zaman,kur,alis,satis
1736889019,AED,9.35259,10.03376
1736889019,AUD,21.2465,22.6729
1736889019,CAD,23.907,25.5123
1736889019,CHF,37.6032,40.1271
1736889019,CNY,4.68301,4.99694
1736889019,DKK,4.74006,5.05828
1736889019,EUR,35.0196,37.8048
1736889019,GBP,41.4885,44.7911
1736889019,JPY,21.7225,23.1808
1736889019,KWD,111.2684,119.4432
1736889019,NOK,3.0153,3.21849
1736889019,PLN,8.2942,8.8538
1736889019,RON,7.1064,7.5885
1736889019,RUB,0.3305,0.35758
1736889019,SAR,9.15177,9.81856
1736889019,SEK,3.07131,3.27808
1736889019,USD,33.993,36.693
1736889019,XAG,32.653,35.293
1736889019,XAU,2910.098,3141.945
1736889019,XPT,1022.681,1111.072
1736889019,ZAR,1.8118,1.9344
1736889860,AED,9.35304,10.03421
1736889860,AUD,21.2541,22.6795
1736889860,CAD,23.9164,25.5223
1736889860,CHF,37.6174,40.1421
1736889860,CNY,4.68301,4.99694
1736889860,DKK,4.74153,5.05976
1736889860,EUR,35.0349,37.8175
1736889860,GBP,41.5041,44.8042
1736889860,JPY,21.7345,23.1936
1736889860,KWD,111.2809,119.4524
1736889860,NOK,3.01635,3.21974
1736889860,PLN,8.2976,8.8572
1736889860,RON,7.1096,7.5913
1736889860,RUB,0.33051,0.3576
1736889860,SAR,9.15197,9.81874
1736889860,SEK,3.07231,3.27914
1736889860,USD,33.995,36.695
1736889860,XAG,32.671,35.308
1736889860,XAU,2911.609,3143.695
1736889860,XPT,1023.278,1112.526
1736889860,ZAR,1.8124,1.9352
1736889979,AED,9.35267,10.03384
1736889979,AUD,21.256,22.6829
1736889979,CAD,23.9222,25.5268
1736889979,CHF,37.6202,40.1451
1736889979,CNY,4.68301,4.99694
1736889979,DKK,4.74169,5.06001
1736889979,EUR,35.0336,37.8199
1736889979,GBP,41.5093,44.81
1736889979,JPY,21.7323,23.1899
1736889979,KWD,111.2769,119.4484
1736889979,NOK,3.01648,3.21985
1736889979,PLN,8.2969,8.8569
1736889979,RON,7.1098,7.594
1736889979,RUB,0.3305,0.35759
1736889979,SAR,9.15163,9.81841
1736889979,SEK,3.07239,3.27926
1736889979,USD,33.993,36.693
1736889979,XAG,32.671,35.313
1736889979,XAU,2911.57,3143.673
1736889979,XPT,1022.953,1112.579
1736889979,ZAR,1.8125,1.9351
1736890459,AED,9.35237,10.03354
1736890459,AUD,21.2565,22.6836
1736890459,CAD,23.9197,25.5242
1736890459,CHF,37.6147,40.1394
1736890459,CNY,4.68234,4.99628
1736890459,DKK,4.74198,5.06033
1736890459,EUR,35.0358,37.8223
1736890459,GBP,41.5113,44.8159
1736890459,JPY,21.7288,23.1876
1736890459,KWD,111.273,119.4445
1736890459,NOK,3.01669,3.22031
1736890459,PLN,8.2976,8.8576
1736890459,RON,7.11,7.5935
1736890459,RUB,0.33049,0.35758
1736890459,SAR,9.15131,9.81809
1736890459,SEK,3.07231,3.27939
1736890459,USD,33.992,36.692
1736890459,XAG,32.667,35.3
1736890459,XAU,2910.421,3142.382
1736890459,XPT,1023.204,1109.196
1736890459,ZAR,1.8125,1.9352
1736890699,AED,9.35262,10.03379
1736890699,AUD,21.2558,22.6827
1736890699,CAD,23.917,25.5213
1736890699,CHF,37.6116,40.136
