zaman,alis,satis
2024-04-15,8.65435,9.14521
2024-04-16,8.67592,9.16679
2024-04-17,8.68049,9.17135
2024-04-18,8.67591,9.16651
2024-04-19,8.7022,9.19302
2024-04-20,8.6625,9.20778
2024-04-21,8.6625,9.20778
2024-04-22,8.67905,9.16963
2024-04-23,8.67267,9.21843
2024-04-24,8.68228,9.17309
2024-04-25,8.67831,9.16888
2024-04-26,8.66745,9.15824
2024-04-27,8.66071,9.20596
2024-04-28,8.66071,9.20596
2024-04-29,8.64145,9.13201
2024-04-30,8.6443,9.1351
2024-05-01,8.53822,9.22203
2024-05-02,8.63896,9.12977
2024-05-03,8.63399,9.12455
2024-05-04,8.49799,9.17913
2024-05-05,8.49799,9.17913
2024-05-06,8.61952,9.11031
2024-05-07,8.61094,9.1015
2024-05-08,8.61078,9.10132
2024-05-09,8.6035,9.09404
2024-05-10,8.59507,9.08586
2024-05-11,8.48918,9.17055
2024-05-12,8.48918,9.17055
2024-05-13,8.59737,9.08791
2024-05-14,8.61395,9.10474
2024-05-15,8.60106,9.0916
2024-05-16,8.59525,9.08579
2024-05-17,8.59752,9.08999
2024-05-18,8.46728,9.15032
2024-05-19,8.46728,9.15032
2024-05-20,8.59507,9.08561
2024-05-21,8.59332,9.0841
2024-05-22,8.59065,9.08119
2024-05-23,8.59678,9.08756
2024-05-24,8.59775,9.08877
2024-05-25,8.46736,9.14896
2024-06-06,8.60813,9.09844
2024-06-07,8.6234,9.1154
2024-06-08,8.50238,9.18495
2024-06-09,8.50238,9.18495
2024-06-10,8.65298,9.14352
2024-06-11,8.634,9.12478
2024-06-12,8.62572,9.11627
2024-06-13,8.62762,9.1201
2024-06-14,8.7323,9.2231
2024-06-15,8.61776,9.29915
2024-06-16,8.61776,9.29915
2024-06-17,8.63744,9.31982
2024-06-18,8.56587,9.24723
2024-06-19,8.54635,9.22844
2024-06-20,8.76971,9.2605
2024-06-21,8.76541,9.2562
2024-06-22,8.63626,9.31762
2024-06-23,8.63626,9.31762
2024-06-24,8.78578,9.27633
2024-06-25,8.80417,9.29473
2024-06-26,8.7747,9.26525
2024-06-27,8.7706,9.26116
2024-06-28,8.75239,9.24392
2024-06-29,8.60962,9.29172
2024-06-30,8.60962,9.29172
2024-07-01,8.73021,9.22295
2024-07-02,8.70096,9.19224
2024-07-03,8.69222,9.18277
2024-07-04,8.69588,9.18837
2024-07-05,8.7228,9.21432
2024-07-06,8.57817,9.26027
2024-07-07,8.57817,9.26027
2024-07-08,8.73542,9.22694
2024-07-09,8.78526,9.2768
2024-07-10,8.77873,9.26976
2024-07-11,8.76151,9.25304
2024-07-12,8.82482,9.31636
2024-07-13,8.68683,9.36895
2024-07-14,8.68683,9.36895
2024-07-15,8.68722,9.36933
2024-07-16,8.83577,9.32732
2024-07-17,8.83734,9.32913
2024-07-18,8.83046,9.323
2024-07-19,8.8283,9.32083
2024-07-20,8.68733,9.37043
2024-07-21,8.68733,9.37043
2024-07-22,8.79313,9.28492
2024-07-23,8.75836,9.24892
2024-07-24,8.76988,9.2624
2024-07-25,8.81808,9.30962
2024-07-26,8.81162,9.30365
2024-07-27,8.66377,9.34638
2024-07-28,8.66377,9.34638
2024-07-29,8.81761,9.30841
2024-07-30,8.83452,9.32532
2024-07-31,8.84437,9.33493
2024-08-01,8.83174,9.32254
2024-08-02,8.86793,9.35998
2024-08-03,8.73676,9.41938
2024-08-04,8.73676,9.41938
2024-08-05,8.925,9.41657
2024-08-06,8.97872,9.46929
2024-08-07,8.94788,9.43894
2024-08-08,8.94299,9.4338
2024-08-09,8.95286,9.44493
2024-08-10,8.812,9.49464
2024-08-11,8.812,9.49464
2024-08-12,8.95742,9.44824
2024-08-13,8.96167,9.45223
2024-08-14,8.96736,9.45792
2024-08-15,8.98116,9.47223
2024-08-16,9.00339,9.49371
2024-08-17,8.86628,9.54692
2024-08-18,8.86628,9.54692
2024-08-19,9.01717,9.50775
2024-08-20,9.05336,9.54445
2024-08-21,9.06119,9.55278
2024-08-22,9.06276,9.55386
2024-08-23,9.08489,9.57675
2024-08-24,8.94472,9.62716
2024-08-25,8.94472,9.62716
2024-08-26,9.09035,9.58145
2024-08-27,9.09375,9.58484
2024-08-28,9.10192,9.59277
2024-08-29,9.10674,9.59758
2024-08-30,8.97024,9.65192
2024-08-31,8.9703,9.65197
2024-09-01,8.9703,9.65197
2024-09-02,9.06838,9.55973
2024-09-03,9.08788,9.57924
2024-09-04,9.09081,9.58189
2024-09-05,9.06991,9.56074
2024-09-06,9.09325,9.58639
2024-09-07,8.943,9.62671
2024-09-08,8.943,9.62671
2024-09-09,9.09727,9.58811
2024-09-10,9.09483,9.58668
2024-09-11,9.08683,9.57767
2024-09-12,9.06136,9.5532
2024-09-13,9.06456,9.55665
2024-09-14,8.92459,9.60725
2024-09-15,8.92459,9.60725
2024-09-16,9.08284,9.57444
2024-09-17,9.11047,9.60233
2024-09-18,9.11383,9.60516
2024-09-19,9.0975,9.58911
2024-09-20,9.11741,9.60824
2024-09-21,8.98462,9.66603
2024-09-22,8.98462,9.66603
2024-09-23,9.12399,9.61558
2024-09-24,9.12195,9.61279
2024-09-25,9.11668,9.6075
2024-09-26,9.12574,9.61682
2024-09-27,9.12913,9.61996
2024-09-28,8.99499,9.6764
2024-09-29,8.99499,9.6764
2024-09-30,9.13514,9.62623
2024-10-01,9.14099,9.63259
2024-10-02,9.14515,9.63597
2024-10-03,9.12983,9.62065
2024-10-04,9.15224,9.64306
2024-10-05,9.01857,9.69996
2024-10-06,9.01857,9.69996
2024-10-07,9.1526,9.64317
2024-10-08,9.16036,9.65119
2024-10-09,9.14792,9.63952
2024-10-10,9.13915,9.62998
2024-10-11,9.16218,9.65479
2024-10-12,9.02628,9.70946
2024-10-13,9.02628,9.70946
2024-10-14,9.15627,9.64814
2024-10-15,9.14565,9.63775
2024-10-16,9.13276,9.62358
2024-10-17,9.11607,9.60691
2024-10-18,9.14969,9.64052
2024-10-19,9.0151,9.69649
2024-10-20,9.0151,9.69649
2024-10-21,9.15811,9.64895
2024-10-22,9.14959,9.64016
2024-10-23,9.16492,9.65575
2024-10-24,9.14863,9.63921
2024-10-25,9.16211,9.65269
2024-10-26,9.02897,9.71012
2024-10-27,9.02897,9.71012
2024-10-28,9.02845,9.7096
2024-10-29,9.02988,9.71205
2024-10-30,9.15371,9.64429
2024-10-31,9.15352,9.64434
2024-11-01,9.17696,9.6678
2024-11-02,9.03918,9.72059
