zaman,alis,satis
2024-04-15,23.1246,24.4338
2024-04-16,23.0782,24.3815
2024-04-17,23.1271,24.4325
2024-04-18,23.2063,24.5168
2024-04-19,23.3134,24.6259
2024-04-20,23.1503,24.5755
2024-04-21,23.1503,24.5755
2024-04-22,23.2831,24.5974
2024-04-23,23.3206,24.7492
2024-04-24,23.2913,24.6037
2024-04-25,23.2943,24.6093
2024-04-26,23.3083,24.6257
2024-04-27,23.2805,24.7158
2024-04-28,23.2805,24.7158
2024-04-29,23.2855,24.6056
2024-04-30,23.139,24.4503
2024-05-01,22.7647,24.4371
2024-05-02,22.9474,24.2621
2024-05-03,22.9878,24.3055
2024-05-04,22.785,24.4742
2024-05-05,22.785,24.4742
2024-05-06,22.9949,24.3153
2024-05-07,22.9125,24.2294
2024-05-08,22.8492,24.1625
2024-05-09,22.8814,24.1977
2024-05-10,22.909,24.2282
2024-05-11,22.7836,24.4727
2024-05-12,22.7836,24.4727
2024-05-13,22.9034,24.222
2024-05-14,22.99,24.311
2024-05-15,22.9789,24.2994
2024-05-16,22.9869,24.3105
2024-05-17,23.0141,24.3388
2024-05-18,22.8274,24.5258
2024-05-19,22.8274,24.5258
2024-05-20,23.0083,24.3333
2024-05-21,22.9435,24.265
2024-05-22,22.8837,24.2021
2024-05-23,22.8623,24.1786
2024-05-24,22.9051,24.2236
2024-05-25,22.7389,24.4308
2024-06-06,22.8681,24.183
2024-06-07,22.8566,24.1683
2024-06-08,22.6652,24.3444
2024-06-09,22.6652,24.3444
2024-06-10,22.8788,24.1874
2024-06-11,22.8338,24.1426
2024-06-12,22.9528,24.2697
2024-06-13,22.8319,24.1415
2024-06-14,23.1172,24.4273
2024-06-15,23.0213,24.7151
2024-06-16,23.0213,24.7151
2024-06-17,23.0343,24.7072
2024-06-18,22.8998,24.5769
2024-06-19,22.8982,24.579
2024-06-20,23.3262,24.6424
2024-06-21,23.296,24.6111
2024-06-22,23.1421,24.8303
2024-06-23,23.1421,24.8303
2024-06-24,23.4217,24.7409
