zaman,alis,satis
2024-04-15,34.5042,36.3725
2024-04-16,34.6326,36.4992
2024-04-17,34.6396,36.5056
2024-04-18,34.6601,36.5281
2024-04-19,34.7742,36.6487
2024-04-20,34.8826,37.2324
2024-04-21,34.8826,37.2324
2024-04-22,34.7194,36.5899
2024-04-23,34.9398,37.2498
2024-04-24,34.6165,36.4806
2024-04-25,34.6119,36.4767
2024-04-26,34.4349,36.2984
2024-04-27,34.721,37.0723
2024-04-28,34.721,37.0723
2024-04-29,34.4425,36.3122
2024-04-30,34.2805,36.1377
2024-05-01,34.0876,36.5932
2024-05-02,34.4612,36.3264
2024-05-03,34.6636,36.5469
2024-05-04,34.4354,37.0321
2024-05-05,34.4354,37.0321
2024-05-06,34.6878,36.5695
2024-05-07,34.6024,36.4814
2024-05-08,34.5493,36.4254
2024-05-09,34.5656,36.4441
2024-05-10,34.4,36.2775
2024-05-11,34.3513,36.94
2024-05-12,34.3513,36.94
2024-05-13,34.5751,36.4555
2024-05-14,34.6346,36.5146
2024-05-15,34.6321,36.5148
2024-05-16,34.6238,36.5073
2024-05-17,34.4251,36.3032
2024-05-18,34.1646,36.7333
2024-05-19,34.1646,36.7333
2024-05-20,34.4554,36.3338
2024-05-21,34.4418,36.3157
2024-05-22,34.2229,36.0856
2024-05-23,34.2635,36.127
2024-05-24,34.1334,35.9957
2024-05-25,33.9606,36.5059
2024-06-06,35.2776,36.9634
2024-06-07,35.0549,36.7316
2024-06-08,34.7873,37.3886
2024-06-09,34.7873,37.3886
2024-06-10,35.2617,36.9378
2024-06-11,35.1184,36.7914
2024-06-12,35.4146,37.1034
2024-06-13,35.2324,36.9119
2024-06-14,35.6072,37.2947
2024-06-15,35.5221,38.1309
2024-06-16,35.5221,38.1309
2024-06-17,35.5245,38.1018
2024-06-18,35.5486,38.1535
2024-06-19,35.4805,38.0863
2024-06-20,36.0095,37.6984
2024-06-21,35.7742,37.4576
2024-06-22,35.4323,38.033
2024-06-23,35.4323,38.033
2024-06-24,35.9296,37.6116
2024-06-25,35.981,37.6619
2024-06-26,35.768,37.4446
2024-06-27,35.7433,37.4195
2024-06-28,35.4952,37.1678
2024-06-29,35.1431,37.7471
2024-06-30,35.1431,37.7471
2024-07-01,35.2956,36.9582
2024-07-02,35.2118,36.8763
2024-07-03,35.2347,36.9044
2024-07-04,35.3437,37.0152
2024-07-05,35.4176,37.0923
2024-07-06,35.1319,37.7362
2024-07-07,35.1319,37.7362
2024-07-08,35.6051,37.2857
2024-07-09,35.7734,37.4481
2024-07-10,35.6791,37.3506
2024-07-11,35.8519,37.5349
2024-07-12,35.9329,37.3901
2024-07-13,35.625,38.2461
2024-07-14,35.625,38.2461
2024-07-15,35.6066,38.1793
2024-07-16,36.0362,37.4905
2024-07-17,36.4584,37.9295
2024-07-18,36.5257,38.0006
2024-07-19,36.2358,37.7028
2024-07-20,35.8573,38.4696
2024-07-21,35.8573,38.4696
2024-07-22,36.1559,37.6221
2024-07-23,35.8852,37.3463
2024-07-24,36.2903,37.7659
2024-07-25,36.6547,38.137
2024-07-26,36.3952,37.8716
2024-07-27,35.9571,38.6102
2024-07-28,35.9571,38.6102
2024-07-29,36.3623,37.8329
2024-07-30,36.4653,37.9372
2024-07-31,36.7416,38.223
2024-08-01,36.929,38.4202
2024-08-02,37.6308,39.1477
2024-08-03,37.3673,40.0894
2024-08-04,37.3673,40.0894
2024-08-05,38.4328,39.9686
2024-08-06,38.5145,40.0443
2024-08-07,37.806,39.3128
2024-08-08,37.8159,39.3238
2024-08-09,37.7697,39.2822
2024-08-10,37.3628,40.0659
2024-08-11,37.3628,40.0659
2024-08-12,37.7148,39.2163
2024-08-13,37.8592,39.3612
2024-08-14,37.971,39.4811
2024-08-15,37.6471,39.1419
2024-08-16,37.7792,39.2792
2024-08-17,37.5414,40.2598
2024-08-18,37.5414,40.2598
2024-08-19,38.1775,39.6874
2024-08-20,38.5736,40.0931
2024-08-21,38.839,40.3676
2024-08-22,38.871,40.4006
2024-08-23,39.0372,40.5732
2024-08-24,38.7109,41.4571
2024-08-25,38.7109,41.4571
2024-08-26,39.2616,40.8019
2024-08-27,39.4685,41.0164
2024-08-28,39.5031,41.051
2024-08-29,39.099,40.635
2024-08-30,38.8158,41.5373
2024-08-31,38.7066,41.4544
2024-09-01,38.7066,41.4544
2024-09-02,39.0091,40.5402
2024-09-03,39.1991,40.7344
2024-09-04,39.3007,40.8395
2024-09-05,39.1721,40.7094
2024-09-06,39.4448,40.9923
2024-09-07,38.9213,41.6829
2024-09-08,38.9213,41.6829
2024-09-09,39.3277,40.8664
2024-09-10,39.3192,40.858
2024-09-11,39.2454,40.7827
2024-09-12,38.8532,40.3793
2024-09-13,39.0694,40.607
2024-09-14,38.5668,41.3135
2024-09-15,38.5668,41.3135
2024-09-16,39.373,40.916
2024-09-17,39.4289,40.9693
2024-09-18,39.4715,41.0129
2024-09-19,39.2834,40.8203
2024-09-20,39.1934,40.7271
2024-09-21,38.7684,41.5065
2024-09-22,38.7684,41.5065
2024-09-23,39.4223,40.9602
2024-09-24,39.4859,41.0266
2024-09-25,39.3247,40.86
2024-09-26,39.4381,40.9763
2024-09-27,39.645,41.1944
2024-09-28,39.2562,42.0361
2024-09-29,39.2562,42.0361
2024-09-30,39.6754,41.2213
2024-10-01,39.6221,41.1698
2024-10-02,39.3968,40.9301
2024-10-03,39.2154,40.7442
2024-10-04,38.9555,40.474
2024-10-05,38.5579,41.2755
2024-10-06,38.5579,41.2755
2024-10-07,39.1608,40.6837
2024-10-08,39.1221,40.6422
2024-10-09,39.0017,40.5191
2024-10-10,39.0211,40.5408
2024-10-11,39.0054,40.5263
2024-10-12,38.6357,41.3513
2024-10-13,38.6357,41.3513
2024-10-14,38.869,40.3798
2024-10-15,38.8765,40.3893
2024-10-16,38.7151,40.2238
2024-10-17,38.6118,40.1194
2024-10-18,38.6387,40.1452
2024-10-19,38.2579,40.9361
2024-10-20,38.2579,40.9361
2024-10-21,38.7903,40.2979
2024-10-22,38.7407,40.2477
2024-10-23,38.7252,40.2291
2024-10-24,38.7009,40.2065
2024-10-25,38.6591,40.1643
2024-10-26,38.2097,40.9041
2024-10-27,38.2097,40.9041
2024-10-28,38.3091,40.9728
2024-10-29,38.1761,40.8299
2024-10-30,38.718,40.2234
2024-10-31,38.8168,40.3261
2024-11-01,38.584,40.0793
2024-11-02,38.1255,40.8014
2024-11-03,38.1255,40.8014
2024-11-04,38.9727,40.4838
2024-11-05,38.9531,40.4635
2024-11-06,38.2511,39.7395
2024-11-07,38.4354,39.9305
2024-11-08,38.3812,39.8733
2024-11-09,37.9545,40.5905
2024-11-10,37.9545,40.5905
2024-11-11,38.1945,39.6707
2024-11-12,38.1876,39.667
2024-11-13,38.0426,39.518
2024-11-14,37.8729,39.341
2024-11-15,37.8097,39.2756
2024-11-16,37.4743,40.0683
2024-11-17,37.4743,40.0683
2024-11-18,38.182,39.6539
2024-11-19,38.3623,39.8403
2024-11-20,38.1326,39.6057
2024-11-21,38.2083,39.6839
2024-11-22,37.7122,39.1686
2024-11-23,37.342,39.918
2024-11-24,37.342,39.918
2024-11-25,38.2306,39.7022
2024-11-26,38.2455,39.7151
2024-11-27,38.4687,39.9466
2024-11-28,38.3583,39.8343
2024-11-29,38.4427,39.9216
2024-11-30,38.0895,40.7106
2024-12-01,38.0895,40.7106
2024-12-02,38.3169,39.7858
2024-12-03,38.4895,39.9643
2024-12-04,38.3896,39.8602
2024-12-05,38.6138,40.0951
2024-12-06,38.807,40.2951
2024-12-07,38.2612,40.8828
2024-12-08,38.2612,40.8828
2024-12-09,38.81,40.2938
2024-12-10,38.7353,40.2155
2024-12-11,38.6424,40.118
2024-12-12,38.4901,39.9595
2024-12-13,38.2243,39.6835
2024-12-14,37.854,40.4347
2024-12-15,37.854,40.4347
2024-12-16,38.2743,39.7318
2024-12-17,38.2701,39.7261
2024-12-18,38.3931,39.8525
2024-12-19,38.294,39.7462
2024-12-20,38.4416,39.8987
2024-12-21,38.1217,40.7018
2024-12-22,38.1217,40.7018
2024-12-23,38.4233,39.8754
2024-12-24,38.3408,39.7897
2024-12-25,38.1843,39.8944
2024-12-26,38.2502,39.7023
2024-12-27,38.2054,39.6525
2024-12-28,37.7097,40.2635
2024-12-29,37.7097,40.2635
2024-12-30,38.2759,39.7177
2024-12-31,38.2653,39.7073
2025-01-01,37.8036,40.3498
2025-01-02,38.045,39.4789
2025-01-03,38.0651,39.5001
2025-01-04,37.6551,40.1901
2025-01-05,37.6551,40.1901
2025-01-06,38.2368,39.6786
2025-01-07,38.1915,39.6298
2025-01-08,38.0198,39.4467
2025-01-09,37.9733,39.404
2025-01-10,37.788,39.2112
2025-01-11,37.3771,39.894
2025-01-12,37.3771,39.894
2025-01-13,37.8732,39.2935
2025-01-14,37.9744,39.3983
2025-01-15,38.1538,39.5854
2025-01-16,38.0451,39.4735
2025-01-17,38.0086,39.4368
2025-01-18,37.5381,40.0562
2025-01-19,37.5381,40.0562
2025-01-20,38.3677,39.8045
2025-01-21,38.4166,39.8563
2025-01-22,38.5108,39.9486
2025-01-23,38.4536,39.8857
2025-01-24,38.493,39.932
2025-01-25,38.109,40.6518
2025-01-26,38.109,40.6518
2025-01-27,38.9137,40.3631
2025-01-28,38.731,40.1726
2025-01-29,38.6236,40.0605
2025-01-30,38.6352,40.0727
2025-01-31,38.5242,39.9574
2025-02-01,38.0946,40.6244
2025-02-02,38.0946,40.6244
2025-02-03,38.5396,39.9651
2025-02-04,38.8082,40.2413
2025-02-05,39.014,40.4599
2025-02-06,38.8302,40.2702
2025-02-07,38.7412,40.1776
