zaman,alis,satis
2024-04-15,4.3742,4.58167
2024-04-16,4.38521,4.59262
2024-04-17,4.38704,4.59461
2024-04-18,4.38514,4.59266
2024-04-19,4.39786,4.6051
2024-04-20,4.35269,4.63063
2024-04-21,4.35269,4.63063
2024-04-22,4.38382,4.59108
2024-04-23,4.3549,4.63175
2024-04-24,4.38443,4.59156
2024-04-25,4.38266,4.59031
2024-04-26,4.37679,4.58385
2024-04-27,4.34841,4.62472
2024-04-28,4.34841,4.62472
2024-04-29,4.36626,4.57485
2024-04-30,4.36777,4.57591
2024-05-01,4.32779,4.64611
2024-05-02,4.35137,4.58682
2024-05-03,4.34885,4.5843
2024-05-04,4.3068,4.62511
2024-05-05,4.3068,4.62511
2024-05-06,4.36338,4.6011
2024-05-07,4.35086,4.58712
2024-05-08,4.34518,4.58157
2024-05-09,4.34496,4.58205
2024-05-10,4.33822,4.57441
2024-05-11,4.31084,4.6299
2024-05-12,4.31084,4.6299
2024-05-13,4.33537,4.5709
2024-05-14,4.3436,4.57925
2024-05-15,4.34282,4.57878
2024-05-16,4.34017,4.57824
2024-05-17,4.34156,4.57771
2024-05-18,4.30155,4.62103
2024-05-19,4.30155,4.62103
2024-05-20,4.3336,4.56928
2024-05-21,4.33271,4.56833
2024-05-22,4.32758,4.56262
2024-05-23,4.3289,4.56516
2024-05-24,4.32957,4.56527
2024-05-25,4.28996,4.60821
2024-06-06,4.3331,4.56834
2024-06-07,4.34096,4.57562
2024-06-08,4.30569,4.62334
2024-06-09,4.30569,4.62334
2024-06-10,4.35475,4.58962
2024-06-11,4.34136,4.57576
2024-06-12,4.34424,4.58181
2024-06-13,4.33998,4.5749
2024-06-14,4.39029,4.62465
2024-06-15,4.35894,4.6763
2024-06-16,4.35894,4.6763
2024-06-17,4.36896,4.686
2024-06-18,4.33363,4.65117
2024-06-19,4.32237,4.63936
2024-06-20,4.40643,4.64064
2024-06-21,4.40395,4.63814
2024-06-22,4.36547,4.68223
2024-06-23,4.36547,4.68223
2024-06-24,4.41572,4.65025
2024-06-25,4.42222,4.65635
2024-06-26,4.40495,4.63927
2024-06-27,4.40179,4.6358
2024-06-28,4.39446,4.62887
2024-06-29,4.34834,4.66489
2024-06-30,4.34834,4.66489
2024-07-01,4.38216,4.61611
2024-07-02,4.36515,4.59901
2024-07-03,4.3617,4.59663
2024-07-04,4.36349,4.59737
2024-07-05,4.37727,4.61137
2024-07-06,4.33161,4.64849
2024-07-07,4.33161,4.64849
2024-07-08,4.38407,4.61845
2024-07-09,4.40714,4.64109
