zaman,alis,satis
2024-04-15,4.53409,4.79078
2024-04-16,4.54693,4.8037
2024-04-17,4.55036,4.80719
2024-04-18,4.55919,4.81672
2024-04-19,4.5784,4.83622
2024-04-20,4.5444,4.8267
2024-04-21,4.5444,4.8267
2024-04-22,4.55608,4.81327
2024-04-23,4.57087,4.85087
2024-04-24,4.57814,4.83646
2024-04-25,4.58585,4.84472
2024-04-26,4.56876,4.82698
2024-04-27,4.56214,4.8449
2024-04-28,4.56214,4.8449
2024-04-29,4.56634,4.82541
2024-04-30,4.55841,4.81688
2024-05-01,4.48903,4.81888
2024-05-02,4.50826,4.76654
2024-05-03,4.54013,4.80038
2024-05-04,4.49811,4.83422
2024-05-05,4.49811,4.83422
2024-05-06,4.53664,4.79713
2024-05-07,4.5296,4.79003
2024-05-08,4.51894,4.77867
2024-05-09,4.52545,4.78578
2024-05-10,4.51531,4.77538
2024-05-11,4.49558,4.83323
2024-05-12,4.49558,4.83323
2024-05-13,4.53418,4.79514
2024-05-14,4.55151,4.81302
2024-05-15,4.5574,4.81965
2024-05-16,4.56026,4.82286
2024-05-17,4.56398,4.82676
2024-05-18,4.52632,4.86377
2024-05-19,4.52632,4.86377
2024-05-20,4.55798,4.82045
2024-05-21,4.55472,4.81704
2024-05-22,4.54139,4.80311
2024-05-23,4.54288,4.80441
2024-05-24,4.55105,4.81303
2024-05-25,4.51541,4.85446
2024-06-06,4.57116,4.83399
2024-06-07,4.55197,4.8132
2024-06-08,4.51696,4.85337
2024-06-09,4.51696,4.85337
2024-06-10,4.5365,4.79596
2024-06-11,4.52125,4.78041
2024-06-12,4.56859,4.83072
2024-06-13,4.53423,4.7943
2024-06-14,4.55444,4.81262
2024-06-15,4.53754,4.86904
2024-06-16,4.53754,4.86904
2024-06-17,4.55358,4.88437
2024-06-18,4.5257,4.85728
2024-06-19,4.52071,4.85253
2024-06-20,4.59214,4.85125
2024-06-21,4.57513,4.83342
2024-06-22,4.54174,4.87492
2024-06-23,4.54174,4.87492
2024-06-24,4.60427,4.8636
2024-06-25,4.59983,4.85836
2024-06-26,4.58154,4.83985
2024-06-27,4.58754,4.84637
2024-06-28,4.58081,4.8398
2024-06-29,4.53772,4.87219
2024-06-30,4.53772,4.87219
2024-07-01,4.57546,4.83479
2024-07-02,4.56357,4.82313
2024-07-03,4.5873,4.84848
2024-07-04,4.58961,4.85078
2024-07-05,4.61057,4.87214
2024-07-06,4.57328,4.912
2024-07-07,4.57328,4.912
2024-07-08,4.62193,4.88375
2024-07-09,4.63875,4.90003
2024-07-10,4.63877,4.90017
2024-07-11,4.65404,4.91689
2024-07-12,4.69871,4.96217
2024-07-13,4.65757,4.99954
2024-07-14,4.65757,4.99954
2024-07-15,4.66377,5.00055
2024-07-16,4.69245,4.95523
2024-07-17,4.71901,4.9833
2024-07-18,4.70578,4.96945
2024-07-19,4.69356,4.95662
2024-07-20,4.64838,4.98868
2024-07-21,4.64838,4.98868
2024-07-22,4.67159,4.93455
2024-07-23,4.63722,4.89923
2024-07-24,4.64651,4.90882
2024-07-25,4.67289,4.93518
2024-07-26,4.66923,4.93149
2024-07-27,4.62472,4.96195
2024-07-28,4.62472,4.96195
2024-07-29,4.65342,4.91456
2024-07-30,4.65877,4.91978
2024-07-31,4.67227,4.93368
2024-08-01,4.65346,4.91418
2024-08-02,4.72834,4.99216
2024-08-03,4.68805,5.02678
2024-08-04,4.68805,5.02678
2024-08-05,4.782,5.04719
2024-08-06,4.79229,5.05637
2024-08-07,4.77428,5.03828
2024-08-08,4.76182,5.02535
2024-08-09,4.77499,5.03886
2024-08-10,4.73067,5.06876
2024-08-11,4.73067,5.06876
2024-08-12,4.77774,5.04173
2024-08-13,4.79301,5.05764
2024-08-14,4.83104,5.09753
2024-08-15,4.80874,5.07373
2024-08-16,4.8319,5.09752
2024-08-17,4.80762,5.15169
2024-08-18,4.80762,5.15169
2024-08-19,4.87173,5.13905
2024-08-20,4.90649,5.17464
2024-08-21,4.92093,5.18978
2024-08-22,4.91595,5.18434
2024-08-23,4.96008,5.2302
2024-08-24,4.924,5.27164
2024-08-25,4.924,5.27164
2024-08-26,4.96096,5.23097
2024-08-27,4.96111,5.23102
2024-08-28,4.94717,5.21609
2024-08-29,4.92395,5.19146
2024-08-30,4.88807,5.23001
2024-08-31,4.87471,5.21927
2024-09-01,4.87471,5.21927
2024-09-02,4.90245,5.16992
2024-09-03,4.90173,5.16859
2024-09-04,4.92452,5.19253
2024-09-05,4.907,5.17467
2024-09-06,4.92811,5.1963
2024-09-07,4.8747,5.21989
2024-09-08,4.8747,5.21989
2024-09-09,4.90386,5.17056
2024-09-10,4.89325,5.15942
2024-09-11,4.88316,5.14911
2024-09-12,4.88396,5.1507
2024-09-13,4.90652,5.17438
2024-09-14,4.85888,5.20598
2024-09-15,4.85888,5.20598
2024-09-16,4.93345,5.20218
2024-09-17,4.9496,5.21838
2024-09-18,4.94805,5.21664
2024-09-19,4.94251,5.2113
2024-09-20,4.96401,5.23338
2024-09-21,4.9343,5.2805
2024-09-22,4.9343,5.2805
2024-09-23,4.96167,5.23078
2024-09-24,4.96851,5.23799
2024-09-25,4.97415,5.24417
2024-09-26,4.97906,5.24907
2024-09-27,4.98729,5.25765
2024-09-28,4.94066,5.29048
2024-09-29,4.94066,5.29048
2024-09-30,4.98334,5.2533
2024-10-01,4.94633,5.21403
2024-10-02,4.93089,5.19771
2024-10-03,4.91333,5.17957
2024-10-04,4.90845,5.17385
2024-10-05,4.87195,5.21446
2024-10-06,4.87195,5.21446
2024-10-07,4.9075,5.17276
2024-10-08,4.90973,5.17496
2024-10-09,4.89206,5.15669
2024-10-10,4.87447,5.13842
2024-10-11,4.89678,5.16123
2024-10-12,4.8555,5.19658
2024-10-13,4.8555,5.19658
2024-10-14,4.88103,5.14482
2024-10-15,4.87145,5.13501
2024-10-16,4.85228,5.11512
2024-10-17,4.82044,5.08204
2024-10-18,4.85243,5.11487
2024-10-19,4.82013,5.15766
2024-10-20,4.82013,5.15766
2024-10-21,4.84868,5.11061
