zaman,alis,satis
2024-04-15,33.5006,35.3068
2024-04-16,33.5974,35.4077
2024-04-17,33.6247,35.4355
2024-04-18,33.6899,35.5051
2024-04-19,33.7271,35.5445
2024-04-20,33.8632,36.1109
2024-04-21,33.8632,36.1109
2024-04-22,33.6652,35.4784
2024-04-23,34.0407,36.2873
2024-04-24,33.8126,35.6295
2024-04-25,33.8697,35.6939
2024-04-26,33.6305,35.4466
2024-04-27,33.9724,36.2277
2024-04-28,33.9724,36.2277
2024-04-29,33.7279,35.5489
2024-04-30,33.6184,35.4359
2024-05-01,33.2701,36.1548
2024-05-02,33.6394,35.4595
2024-05-03,33.768,35.602
2024-05-04,33.3432,36.2686
2024-05-05,33.3432,36.2686
2024-05-06,33.856,35.6886
2024-05-07,33.8023,35.6372
2024-05-08,33.721,35.5515
2024-05-09,33.7738,35.6087
2024-05-10,33.5962,35.4292
2024-05-11,33.3279,36.2583
2024-05-12,33.3279,36.2583
2024-05-13,33.8467,35.6835
2024-05-14,33.9752,35.8188
2024-05-15,34.0243,35.87
2024-05-16,34.0387,35.8897
2024-05-17,33.9594,35.8081
2024-05-18,33.5568,36.5043
2024-05-19,33.5568,36.5043
2024-05-20,34.0254,35.8758
2024-05-21,34.0037,35.8499
2024-05-22,33.9076,35.7492
2024-05-23,33.911,35.7548
2024-05-24,33.8607,35.7074
2024-05-25,33.4833,36.4314
2024-06-06,34.2274,35.8622
2024-06-07,33.993,35.615
2024-06-08,33.4914,36.4177
2024-06-09,33.4914,36.4177
2024-06-10,33.9646,35.5785
2024-06-11,33.8528,35.4616
2024-06-12,34.2072,35.8344
2024-06-13,33.9535,35.5681
2024-06-14,33.8967,35.5025
2024-06-15,33.4657,36.4075
2024-06-16,33.4657,36.4075
2024-06-17,33.6129,36.5063
2024-06-18,33.3996,36.2989
2024-06-19,33.3608,36.2633
2024-06-20,34.3778,35.9895
2024-06-21,34.1557,35.7589
2024-06-22,33.5299,36.4267
2024-06-23,33.5299,36.4267
2024-06-24,34.4595,36.0687
2024-06-25,34.4386,36.0434
2024-06-26,34.2843,35.8907
2024-06-27,34.3419,35.9518
2024-06-28,34.1949,35.8057
2024-06-29,33.4887,36.3976
2024-06-30,33.4887,36.3976
2024-07-01,34.2516,35.8611
2024-07-02,34.1643,35.7786
2024-07-03,34.2996,35.9209
2024-07-04,34.3643,35.9855
2024-07-05,34.4251,36.0488
2024-07-06,33.7512,36.7004
2024-07-07,33.7512,36.7004
2024-07-08,34.6046,36.2332
2024-07-09,34.7388,36.361
2024-07-10,34.7353,36.3586
2024-07-11,34.8526,36.4846
2024-07-12,35.0619,36.483
2024-07-13,34.4014,37.366
2024-07-14,34.4014,37.366
2024-07-15,34.4313,37.3813
2024-07-16,35.1397,36.5571
2024-07-17,35.3344,36.7559
2024-07-18,35.2399,36.6621
2024-07-19,35.0656,36.4845
2024-07-20,34.3232,37.2911
2024-07-21,34.3232,37.2911
2024-07-22,34.9886,36.4034
2024-07-23,34.7293,36.1393
2024-07-24,34.8046,36.219
2024-07-25,35.0013,36.416
2024-07-26,34.8918,36.3031
2024-07-27,34.1558,37.0935
2024-07-28,34.1558,37.0935
2024-07-29,34.8566,36.2622
2024-07-30,34.8915,36.2991
2024-07-31,34.9975,36.4079
2024-08-01,34.8514,36.2579
2024-08-02,35.3299,36.7531
2024-08-03,34.6214,37.5774
2024-08-04,34.6214,37.5774
2024-08-05,35.815,37.2418
2024-08-06,35.896,37.3175
2024-08-07,35.7568,37.1776
2024-08-08,35.6652,37.0865
2024-08-09,35.6772,37.1007
2024-08-10,34.9357,37.8964
2024-08-11,34.9357,37.8964
2024-08-12,35.7876,37.2115
2024-08-13,35.8996,37.3273
2024-08-14,36.1816,37.6161
2024-08-15,36.0119,37.4409
2024-08-16,36.096,37.5283
2024-08-17,35.5102,38.5012
2024-08-18,35.5102,38.5012
2024-08-19,36.4847,37.9267
2024-08-20,36.7486,38.1918
2024-08-21,36.8611,38.3073
2024-08-22,36.8158,38.2601
2024-08-23,37.0567,38.5137
2024-08-24,36.366,39.3981
2024-08-25,36.366,39.3981
2024-08-26,37.1477,38.6006
2024-08-27,37.1428,38.5983
2024-08-28,37.0322,38.4787
2024-08-29,36.7436,38.1826
2024-08-30,36.0886,39.0821
2024-08-31,35.9943,38.9871
2024-09-01,35.9943,38.9871
2024-09-02,36.7724,38.2112
2024-09-03,36.7718,38.2075
2024-09-04,36.9445,38.3899
2024-09-05,36.8185,38.2624
2024-09-06,36.8899,38.3361
2024-09-07,36.0132,39.0165
2024-09-08,36.0132,39.0165
2024-09-09,36.7965,38.2317
2024-09-10,36.7187,38.1511
2024-09-11,36.6443,38.0787
2024-09-12,36.6496,38.0881
2024-09-13,36.7365,38.1778
2024-09-14,35.9027,38.9064
2024-09-15,35.9027,38.9064
2024-09-16,37.0186,38.4681
2024-09-17,37.1391,38.589
2024-09-18,37.1228,38.568
2024-09-19,37.0751,38.5246
2024-09-20,37.1453,38.5943
2024-09-21,36.4343,39.4587
2024-09-22,36.4343,39.4587
2024-09-23,37.2078,38.6547
2024-09-24,37.2509,38.7033
2024-09-25,37.3005,38.7556
2024-09-26,37.3342,38.7893
2024-09-27,37.3068,38.7636
2024-09-28,36.4769,39.5047
2024-09-29,36.4769,39.5047
2024-09-30,37.3561,38.8105
2024-10-01,37.0931,38.5363
2024-10-02,36.9883,38.4269
2024-10-03,36.856,38.2918
2024-10-04,36.7135,38.1401
2024-10-05,35.9552,38.9357
2024-10-06,35.9552,38.9357
2024-10-07,36.7996,38.2262
2024-10-08,36.8184,38.2445
2024-10-09,36.6922,38.1153
2024-10-10,36.5712,37.9911
2024-10-11,36.5935,38.016
2024-10-12,35.8558,38.8359
2024-10-13,35.8558,38.8359
2024-10-14,36.6141,38.0364
2024-10-15,36.5477,37.969
2024-10-16,36.4027,37.8205
2024-10-17,36.1547,37.5654
2024-10-18,36.3086,37.7234
2024-10-19,35.5875,38.5388
2024-10-20,35.5875,38.5388
2024-10-21,36.3554,37.7674
2024-10-22,36.2343,37.6395
