zaman,alis,satis
2024-04-15,39.2548,41.3746
2024-04-16,39.325,41.4433
2024-04-17,39.3711,41.4908
2024-04-18,39.3481,41.4676
2024-04-19,39.3151,41.433
2024-04-20,39.3074,41.9148
2024-04-21,39.3074,41.9148
2024-04-22,38.9967,41.0965
2024-04-23,39.5678,42.1791
2024-04-24,39.333,41.45
2024-04-25,39.4984,41.6252
2024-04-26,39.2403,41.3627
2024-04-27,39.689,42.3323
2024-04-28,39.689,42.3323
2024-04-29,39.4961,41.6319
2024-04-30,39.3698,41.5015
2024-05-01,38.9034,42.2799
2024-05-02,39.2958,41.4214
2024-05-03,39.3495,41.4861
2024-05-04,38.8746,42.2752
2024-05-05,38.8746,42.2752
2024-05-06,39.5029,41.6445
2024-05-07,39.3806,41.5178
2024-05-08,39.1959,41.323
2024-05-09,39.2095,41.3391
2024-05-10,39.0432,41.1728
2024-05-11,38.767,42.1616
2024-05-12,38.767,42.1616
2024-05-13,39.363,41.5025
2024-05-14,39.5148,41.6585
2024-05-15,39.6276,41.7806
2024-05-16,39.6632,41.8196
2024-05-17,39.6458,41.8074
2024-05-18,39.2139,42.6595
2024-05-19,39.2139,42.6595
2024-05-20,39.7939,41.9574
2024-05-21,39.837,42.0032
2024-05-22,39.8265,41.9929
2024-05-23,39.8124,41.9764
2024-05-24,39.7654,41.9336
2024-05-25,39.3192,42.7775
2024-06-06,40.1873,42.1096
2024-06-07,39.9913,41.906
2024-06-08,39.4231,42.893
2024-06-09,39.4231,42.893
2024-06-10,40.228,42.1389
2024-06-11,40.1341,42.048
2024-06-12,40.498,42.4278
2024-06-13,40.2496,42.1669
2024-06-14,40.1887,42.0919
2024-06-15,39.6901,43.1349
2024-06-16,39.6901,43.1349
2024-06-17,39.7671,43.1936
2024-06-18,39.4774,42.9076
2024-06-19,39.5085,42.9492
2024-06-20,40.6686,42.5745
2024-06-21,40.3746,42.273
2024-06-22,39.633,43.0757
2024-06-23,39.633,43.0757
2024-06-24,40.7488,42.655
2024-06-25,40.7862,42.6902
2024-06-26,40.5335,42.4321
2024-06-27,40.5626,42.4635
2024-06-28,40.344,42.2438
2024-06-29,39.5292,42.9598
2024-06-30,39.5292,42.9598
2024-07-01,40.3613,42.2612
2024-07-02,40.326,42.2309
2024-07-03,40.5096,42.4278
2024-07-04,40.5707,42.488
2024-07-05,40.6995,42.6225
2024-07-06,39.9065,43.396
2024-07-07,39.9065,43.396
2024-07-08,40.9986,42.9274
2024-07-09,41.0891,43.0112
2024-07-10,41.1771,43.1048
2024-07-11,41.4067,43.3489
2024-07-12,41.7522,43.4438
2024-07-13,40.9637,44.4933
2024-07-14,40.9637,44.4933
2024-07-15,40.9529,44.4643
2024-07-16,41.8175,43.5035
2024-07-17,42.049,43.7441
2024-07-18,41.9043,43.5948
2024-07-19,41.5931,43.2755
2024-07-20,40.7253,44.2547
2024-07-21,40.7253,44.2547
2024-07-22,41.5118,43.1937
2024-07-23,41.3319,43.0099
2024-07-24,41.4231,43.1057
2024-07-25,41.5431,43.2215
2024-07-26,41.3071,42.9812
2024-07-27,40.4678,43.9847
2024-07-28,40.4678,43.9847
2024-07-29,41.3947,43.0706
2024-07-30,41.4389,43.11
2024-07-31,41.523,43.1957
2024-08-01,41.3192,42.9861
2024-08-02,41.4694,43.1394
2024-08-03,40.6222,44.1094
2024-08-04,40.6222,44.1094
2024-08-05,41.614,43.2751
2024-08-06,41.72,43.3755
2024-08-07,41.6067,43.2633
2024-08-08,41.5838,43.2404
2024-08-09,41.6833,43.3492
2024-08-10,40.8352,44.2934
2024-08-11,40.8352,44.2934
2024-08-12,41.863,43.528
2024-08-13,42.0173,43.6876
2024-08-14,42.149,43.8235
2024-08-15,42.1365,43.8079
2024-08-16,42.3261,44.0049
