zaman,alis,satis
2025-02-08,4.4692,4.7647
2025-02-09,4.4692,4.7647
2025-02-10,4.5057,4.737
2025-02-11,4.5103,4.7413
2025-02-12,4.5182,4.7493
2025-04-10,4.7689,5.0011
2025-04-11,4.7898,5.0221
2025-04-12,4.7427,5.0412
2025-04-13,4.7427,5.0412
2025-04-14,4.7903,5.0226
2025-04-15,4.7958,5.0281
2025-04-15,4.7571,5.0543
2025-04-16,4.7961,5.0282
2025-04-17,4.7875,5.0196
2025-04-18,4.8017,5.0341
2025-04-19,4.7508,5.049
2025-04-20,4.7508,5.049
2025-04-21,4.8052,5.0374
2025-04-22,4.8157,5.048
2025-04-23,4.7845,5.0812
2025-04-24,4.8228,5.0551
2025-04-25,4.8371,5.0694
2025-04-26,4.8048,5.1025
2025-04-27,4.8048,5.1025
2025-04-28,4.838,5.0704
2025-04-29,4.8398,5.072
2025-04-30,4.8439,5.0762
2025-05-01,4.8068,5.1035
2025-05-02,4.8601,5.0928
2025-05-03,4.828,5.1261
2025-05-04,4.828,5.1261
2025-05-05,4.8614,5.0939
2025-05-06,4.865,5.0974
2025-05-07,4.8626,5.0948
2025-05-08,4.8535,5.0854
2025-05-09,4.8661,5.0978
2025-05-10,4.8345,5.1318
2025-05-11,4.8345,5.1318
2025-05-12,4.8584,5.0896
2025-06-17,4.908,5.1375
2025-06-18,4.9196,5.149
2025-06-19,4.9261,5.1555
2025-06-20,4.94,5.1695
2025-06-21,4.9068,5.2004
2025-06-22,4.9068,5.2004
2025-06-23,4.9463,5.1757
2025-06-24,4.93,5.1595
2025-06-25,4.9488,5.1782
2025-06-26,4.9518,5.1812
2025-06-27,4.9662,5.1957
2025-06-28,4.936,5.2293
2025-06-29,4.936,5.2293
2025-06-30,4.9555,5.1849
2025-07-01,4.9596,5.1891
2025-07-02,4.9537,5.1832
2025-07-03,4.9585,5.1879
2025-07-04,4.9596,5.189
2025-07-05,4.9321,5.2266
2025-07-06,4.9321,5.2266
2025-07-07,4.9806,5.2101
2025-07-08,4.9835,5.2129
2025-07-09,4.9872,5.2166
2025-07-10,4.9893,5.2187
