zaman,alis,satis
2024-04-15,20.6298,21.7975
2024-04-16,20.649,21.815
2024-04-17,20.6478,21.8131
2024-04-18,20.6429,21.8084
2024-04-19,20.7078,21.8734
2024-04-20,20.5819,21.8497
2024-04-21,20.5819,21.8497
2024-04-22,20.6322,21.7967
2024-04-23,20.5906,21.8518
2024-04-24,20.6077,21.7703
2024-04-25,20.5268,21.6854
2024-04-26,20.2814,21.4275
2024-04-27,20.0954,21.34
2024-04-28,20.0954,21.34
2024-04-29,20.2872,21.4371
2024-04-30,20.2113,21.3565
2024-05-01,19.8783,21.3385
2024-05-02,20.4066,21.5756
2024-05-03,20.5736,21.7528
2024-05-04,20.3657,21.8905
2024-05-05,20.3657,21.8905
2024-05-06,20.3939,21.5662
2024-05-07,20.3083,21.4754
2024-05-08,20.1583,21.3181
2024-05-09,20.1372,21.2955
2024-05-10,20.0799,21.236
2024-05-11,19.9965,21.4823
2024-05-12,19.9965,21.4823
2024-05-13,20.0827,21.2401
2024-05-14,20.069,21.2219
2024-05-15,20.1626,21.3226
2024-05-16,20.1488,21.3089
2024-05-17,20.1422,21.3014
2024-05-18,19.956,21.4563
2024-05-19,19.956,21.4563
2024-05-20,20.058,21.2129
2024-05-21,20.0763,21.2324
2024-05-22,19.9861,21.1374
2024-05-23,19.9412,21.0891
2024-05-24,19.9435,21.0913
2024-05-25,19.7856,21.2716
2024-06-06,20.0882,21.243
2024-06-07,20.0084,21.1565
2024-06-08,19.9054,21.3779
2024-06-09,19.9054,21.3779
2024-06-10,20.0849,21.2335
2024-06-11,19.9901,21.1357
2024-06-12,20.169,21.326
2024-06-13,20.0099,21.1588
2024-06-14,20.1934,21.339
2024-06-15,20.0818,21.5723
2024-06-16,20.0818,21.5723
2024-06-17,20.0824,21.5407
2024-06-18,19.8982,21.3552
2024-06-19,19.8659,21.3239
2024-06-20,20.124,21.2594
2024-06-21,20.0283,21.1588
2024-06-22,19.8259,21.2818
2024-06-23,19.8259,21.2818
2024-06-24,20.0382,21.1667
2024-06-25,20.0793,21.2076
2024-06-26,19.8994,21.0214
2024-06-27,19.8949,21.0173
2024-06-28,19.8432,20.9649
2024-06-29,19.6351,21.0786
2024-06-30,19.6351,21.0786
2024-07-01,19.6717,20.7865
2024-07-02,19.6322,20.7486
2024-07-03,19.6374,20.7552
2024-07-04,19.6667,20.7856
2024-07-05,19.74,20.8596
2024-07-06,19.5779,21.0225
2024-07-07,19.5779,21.0225
2024-07-08,19.8205,20.9431
2024-07-09,19.8295,20.9462
2024-07-10,19.7803,20.8951
2024-07-11,20.1183,21.2557
2024-07-12,20.3766,21.5217
2024-07-13,20.18,21.6603
2024-07-14,20.18,21.6603
2024-07-15,20.1898,21.6475
2024-07-16,20.2839,21.4196
2024-07-17,20.5786,21.7306
2024-07-18,20.5288,21.6789
2024-07-19,20.4442,21.5898
2024-07-20,20.2373,21.7218
2024-07-21,20.2373,21.7218
2024-07-22,20.4155,21.5641
2024-07-23,20.445,21.6
2024-07-24,20.839,22.0146
2024-07-25,20.9124,22.0872
2024-07-26,20.9057,22.0795
2024-07-27,20.6738,22.1893
2024-07-28,20.6738,22.1893
2024-07-29,20.8442,22.0138
2024-07-30,20.821,21.987
2024-07-31,21.4005,22.5977
2024-08-01,21.4243,22.626
2024-08-02,22.0109,23.2389
2024-08-03,21.8719,23.4694
2024-08-04,21.8719,23.4694
2024-08-05,22.7764,24.0407
2024-08-06,22.6381,23.8871
2024-08-07,22.1419,23.3678
2024-08-08,22.1342,23.3603
2024-08-09,22.2584,23.4899
2024-08-10,22.0559,23.6356
2024-08-11,22.0559,23.6356
2024-08-12,22.0677,23.2866
2024-08-13,22.2134,23.4398
2024-08-14,22.2564,23.4844
2024-08-15,21.9418,23.152
2024-08-16,22.1334,23.3496
2024-08-17,22.0377,23.6113
2024-08-18,22.0377,23.6113
2024-08-19,22.437,23.6697
2024-08-20,22.6149,23.8524
2024-08-21,22.6882,23.9285
2024-08-22,22.5761,23.8085
2024-08-23,22.8154,24.0594
2024-08-24,22.7297,24.3423
2024-08-25,22.7297,24.3423
2024-08-26,22.9593,24.2089
2024-08-27,22.975,24.2249
2024-08-28,22.9347,24.1813
2024-08-29,22.816,24.0571
2024-08-30,22.6263,24.2087
2024-08-31,22.5105,24.1077
2024-09-01,22.5105,24.1077
2024-09-02,22.474,23.7
2024-09-03,22.7674,24.0068
2024-09-04,22.9809,24.2314
2024-09-05,22.9509,24.2028
2024-09-06,23.2562,24.5231
2024-09-07,23.057,24.6968
2024-09-08,23.057,24.6968
2024-09-09,23.2158,24.4783
2024-09-10,23.2287,24.4921
2024-09-11,23.4202,24.6953
2024-09-12,23.1458,24.4094
2024-09-13,23.4739,24.755
2024-09-14,23.2545,24.9031
2024-09-15,23.2545,24.9031
2024-09-16,23.5639,24.8491
2024-09-17,23.4283,24.7004
2024-09-18,23.3825,24.6517
2024-09-19,23.1943,24.4572
2024-09-20,23.0161,24.2649
2024-09-21,22.8892,24.5418
2024-09-22,22.8892,24.5418
2024-09-23,23.1206,24.3741
2024-09-24,23.1335,24.388
2024-09-25,23.0229,24.2721
2024-09-26,22.9758,24.2213
2024-09-27,23.2896,24.5534
2024-09-28,23.2055,24.8466
2024-09-29,23.2055,24.8466
2024-09-30,23.2715,24.5317
2024-10-01,23.1834,24.438
2024-10-02,22.8123,24.0462
2024-10-03,22.6467,23.8753
2024-10-04,22.4596,23.6735
2024-10-05,22.246,23.8269
2024-10-06,22.246,23.8269
2024-10-07,22.5038,23.7201
2024-10-08,22.5039,23.7175
2024-10-09,22.3502,23.5587
2024-10-10,22.3814,23.5944
2024-10-11,22.3737,23.583
2024-10-12,22.2063,23.7716
2024-10-13,22.2063,23.7716
2024-10-14,22.2612,23.4638
2024-10-15,22.3398,23.5496
2024-10-16,22.2421,23.4468
2024-10-17,22.1414,23.3428
2024-10-18,22.2718,23.4758
2024-10-19,22.12,23.6749
2024-10-20,22.12,23.6749
2024-10-21,22.2191,23.4192
2024-10-22,22.085,23.279
2024-10-23,21.8273,23.0054
2024-10-24,21.9374,23.1235
2024-10-25,21.9671,23.153
2024-10-26,21.7478,23.2755
2024-10-27,21.7478,23.2755
2024-10-28,21.6641,23.1693
2024-10-29,21.6023,23.1029
2024-10-30,21.7691,22.9455
2024-10-31,21.8735,23.0555
2024-11-01,21.8663,23.0449
2024-11-02,21.6813,23.195
2024-11-03,21.6813,23.195
2024-11-04,22.0215,23.2081
2024-11-05,22.0264,23.2133
2024-11-06,21.5833,22.7505
2024-11-07,21.7727,22.9497
2024-11-08,21.9152,23.0952
2024-11-09,21.7907,23.3018
2024-11-10,21.7907,23.3018
2024-11-11,21.7343,22.9054
2024-11-12,21.6784,22.8456
2024-11-13,21.5946,22.76
2024-11-14,21.4695,22.6261
2024-11-15,21.5385,22.6964
2024-11-16,21.57,23.0635
2024-11-17,21.57,23.0635
2024-11-18,21.7343,22.8988
2024-11-19,21.8542,23.0258
2024-11-20,21.5552,22.7124
2024-11-21,21.788,22.9589
2024-11-22,21.7252,22.8901
2024-11-23,21.5684,23.0552
2024-11-24,21.5684,23.0552
2024-11-25,21.9072,23.0792
2024-11-26,21.9728,23.1462
2024-11-27,22.2973,23.4878
2024-11-28,22.2355,23.4246
2024-11-29,22.5208,23.7237
2024-11-30,22.4134,23.9551
2024-12-01,22.4134,23.9551
2024-12-02,22.5571,23.7605
2024-12-03,22.7546,23.9663
2024-12-04,22.4414,23.6361
2024-12-05,22.4734,23.6715
2024-12-06,22.6495,23.8538
2024-12-07,22.4215,23.9583
2024-12-08,22.4215,23.9583
2024-12-09,22.4793,23.6737
2024-12-10,22.3604,23.5478
2024-12-11,22.3178,23.5037
2024-12-12,22.3068,23.4903
2024-12-13,22.1681,23.3415
2024-12-14,21.9926,23.4909
2024-12-15,21.9926,23.4909
2024-12-16,22.069,23.2383
2024-12-17,22.1765,23.3505
2024-12-18,22.1899,23.3621
2024-12-19,21.7386,22.8857
2024-12-20,21.8937,23.0443
2024-12-21,21.7748,23.2489
2024-12-22,21.7748,23.2489
2024-12-23,21.8454,22.9926
2024-12-24,21.8469,22.9942
2024-12-25,21.7862,22.9844
2024-12-26,21.6948,22.8373
2024-12-27,21.7421,22.8853
2024-12-28,21.5464,23.0059
2024-12-29,21.5464,23.0059
2024-12-30,21.9087,23.057
2024-12-31,21.9809,23.1307
2025-01-01,21.8208,23.2894
2025-01-02,21.9136,23.0628
2025-01-03,21.9384,23.085
2025-01-04,21.7562,23.2213
2025-01-05,21.7562,23.2213
2025-01-06,21.8834,23.0296
2025-01-07,21.8551,22.9984
2025-01-08,21.7641,22.9022
2025-01-09,21.808,22.9498
2025-01-10,21.8501,22.9925
2025-01-11,21.7135,23.1721
2025-01-12,21.7135,23.1721
2025-01-13,21.9778,23.123
2025-01-14,21.9228,23.065
2025-01-15,22.1205,23.2754
2025-01-16,22.1267,23.2811
2025-01-17,22.215,23.3717
2025-01-18,21.995,23.4709
2025-01-19,21.995,23.4709
2025-01-20,22.279,23.4379
2025-01-21,22.3212,23.4796
2025-01-22,22.2578,23.4122
2025-01-23,22.2354,23.3892
2025-01-24,22.2475,23.4016
2025-01-25,22.1463,23.6245
2025-01-26,22.1463,23.6245
2025-01-27,22.5873,23.7559
2025-01-28,22.4582,23.6192
2025-01-29,22.4518,23.612
2025-01-30,22.6322,23.8019
2025-01-31,22.6098,23.7754
2025-02-01,22.3661,23.8518
2025-02-02,22.3661,23.8518
2025-02-03,22.7067,23.8732
2025-02-04,22.605,23.768
2025-02-05,22.9094,24.0887
2025-02-06,23.0154,24.2025
2025-02-07,23.1459,24.3353
2025-02-08,23.0123,24.5339
2025-02-09,23.0123,24.5339
2025-02-10,23.144,24.3326
2025-02-11,23.0863,24.2701
2025-02-12,22.7979,23.9652
2025-04-10,25.5713,26.8186
2025-04-11,25.8857,27.1415
2025-04-12,25.6103,27.2571
2025-04-13,25.6103,27.2571
2025-04-14,25.9258,27.1858
2025-04-15,26.0502,27.3145
2025-04-15,25.776,27.3867
2025-04-16,26.1282,27.3933
2025-04-17,26.1408,27.4107
2025-04-18,26.1974,27.4663
2025-04-19,25.9154,27.5859
2025-04-20,25.9154,27.5859
2025-04-21,26.4694,27.7489
2025-04-22,26.5499,27.831
2025-04-23,26.0168,27.6325
2025-04-24,26.2449,27.5093
2025-04-25,26.0749,27.3276
2025-04-26,25.9335,27.5586
2025-04-27,25.9335,27.5586
2025-04-28,26.2775,27.5417
2025-04-29,26.3717,27.6378
2025-04-30,26.3162,27.579
2025-05-01,25.629,27.2137
2025-05-02,26.1564,27.4101
2025-05-03,25.796,27.4135
2025-05-04,25.796,27.4135
2025-05-05,26.2061,27.46
2025-05-06,26.3972,27.6592
2025-05-07,26.341,27.5995
2025-05-08,26.0435,27.2881
2025-05-09,26.0871,27.3296
2025-05-10,25.8656,27.4624
2025-05-11,25.8656,27.4624
2025-05-12,25.5378,26.7536
2025-06-17,26.5378,27.7795
2025-06-18,26.6833,27.9309
2025-06-19,26.5387,27.7759
2025-06-20,26.5867,27.8226
2025-06-21,26.3585,27.9477
2025-06-22,26.3585,27.9477
