zaman,alis,satis
2025-02-08,0.0239,0.0255
2025-02-09,0.0239,0.0255
2025-02-10,0.0242,0.0254
2025-02-11,0.0242,0.0254
2025-02-12,0.0242,0.0254
2025-04-10,0.0255,0.0268
2025-04-11,0.026,0.0273
2025-04-12,0.0259,0.0275
2025-04-13,0.0259,0.0275
2025-04-14,0.0261,0.0274
2025-04-15,0.0261,0.0274
2025-04-15,0.0259,0.0276
2025-04-16,0.0263,0.0276
2025-04-17,0.0262,0.0275
2025-04-18,0.0262,0.0275
2025-04-19,0.0259,0.0276
2025-04-20,0.0259,0.0276
2025-04-21,0.0263,0.0275
2025-04-22,0.0262,0.0275
2025-04-23,0.026,0.0277
2025-04-24,0.0261,0.0274
2025-04-25,0.026,0.0273
2025-04-26,0.0259,0.0275
2025-04-27,0.0259,0.0275
2025-04-28,0.0261,0.0274
2025-04-29,0.0262,0.0275
2025-04-30,0.0263,0.0276
2025-05-01,0.026,0.0276
2025-05-02,0.027,0.0283
2025-05-03,0.0267,0.0284
2025-05-04,0.0267,0.0284
2025-05-05,0.0274,0.0287
2025-05-06,0.0273,0.0287
2025-05-07,0.0271,0.0284
2025-05-08,0.027,0.0283
2025-05-09,0.027,0.0283
2025-05-10,0.0269,0.0286
2025-05-11,0.0269,0.0286
2025-05-12,0.0267,0.028
2025-06-17,0.0281,0.0294
2025-06-18,0.0281,0.0295
2025-06-19,0.028,0.0293
2025-06-20,0.0283,0.0296
2025-06-21,0.0281,0.0298
2025-06-22,0.0281,0.0298
2025-06-23,0.0281,0.0295
2025-06-24,0.0285,0.0298
2025-06-25,0.0285,0.0298
2025-06-26,0.0287,0.03
2025-06-27,0.0286,0.03
2025-06-28,0.0285,0.0302
2025-06-29,0.0285,0.0302
2025-06-30,0.0287,0.03
2025-07-01,0.0287,0.03
2025-07-02,0.0286,0.0299
