zaman,alis,satis
2024-04-15,103.121,108.9963
2024-04-16,103.3647,109.2394
2024-04-17,103.4056,109.2795
2024-04-18,103.3204,109.1923
2024-04-19,103.6525,109.5254
2024-04-20,103.153,109.6728
2024-04-21,103.153,109.6728
2024-04-22,103.374,109.2467
2024-04-23,103.3975,109.925
2024-04-24,103.5222,109.4009
2024-04-25,103.5321,109.414
2024-04-26,103.318,109.1949
2024-04-27,103.231,109.7567
2024-04-28,103.231,109.7567
2024-04-29,103.0555,108.9352
2024-04-30,103.0158,109.0683
2024-05-01,101.7787,109.9268
2024-05-02,102.9322,109.1252
2024-05-03,103.0066,109.208
2024-05-04,101.3873,109.8648
2024-05-05,101.3873,109.8648
2024-05-06,102.8067,109.0056
2024-05-07,102.725,108.925
2024-05-08,102.7091,108.9081
2024-05-09,102.569,108.7642
2024-05-10,102.4851,108.6812
2024-05-11,101.2127,109.6835
2024-05-12,101.2127,109.6835
2024-05-13,102.5226,108.7193
2024-05-14,102.7536,108.9531
2024-05-15,102.6365,108.8379
2024-05-16,102.6272,108.8321
2024-05-17,102.6288,108.8316
2024-05-18,101.0741,109.5539
2024-05-19,101.0741,109.5539
2024-05-20,102.6852,108.8939
2024-05-21,102.6638,108.8723
2024-05-22,102.6423,108.8516
2024-05-23,102.7017,108.9102
2024-05-24,102.6866,108.8933
2024-05-25,101.1457,109.6323
2024-06-06,102.9992,109.2187
2024-06-07,103.1528,109.3704
2024-06-08,101.7052,110.205
2024-06-09,101.7052,110.205
2024-06-10,103.5994,109.538
2024-06-11,103.2303,109.4455
2024-06-12,103.263,109.4865
2024-06-13,103.4014,109.3453
2024-06-14,104.4503,110.6724
2024-06-15,103.0803,111.5849
2024-06-16,103.0803,111.5849
2024-06-17,103.2614,111.7618
2024-06-18,102.5459,110.7659
2024-06-19,102.3617,110.5853
2024-06-20,104.8904,111.1133
2024-06-21,104.8936,110.83
2024-06-22,103.3582,111.5764
2024-06-23,103.3582,111.5764
2024-06-24,105.1928,111.1327
2024-06-25,105.389,111.3276
2024-06-26,105.0225,110.9601
2024-06-27,104.8539,111.074
2024-06-28,104.6316,110.8504
2024-06-29,102.9281,111.4272
2024-06-30,102.9281,111.4272
2024-07-01,104.4634,110.6869
2024-07-02,104.231,110.1731
2024-07-03,104.0285,110.2527
2024-07-04,104.3006,110.2496
2024-07-05,104.4819,110.7124
2024-07-06,102.7495,111.2644
2024-07-07,102.7495,111.2644
2024-07-08,104.6671,110.9003
2024-07-09,105.2781,111.5141
2024-07-10,105.3476,111.3008
2024-07-11,105.3268,111.2904
2024-07-12,105.8384,112.0814
2024-07-13,104.1836,112.7141
2024-07-14,104.1836,112.7141
2024-07-15,104.246,112.7815
2024-07-16,105.9872,112.2316
2024-07-17,106.0851,112.3343
2024-07-18,105.9846,112.2323
2024-07-19,105.8929,112.1364
2024-07-20,104.1816,112.7109
2024-07-21,104.1816,112.7109
2024-07-22,105.6239,111.5831
2024-07-23,105.0358,111.276
2024-07-24,105.3814,111.3422
2024-07-25,105.7542,111.9966
2024-07-26,105.6589,111.8998
2024-07-27,103.8861,112.4136
2024-07-28,103.8861,112.4136
2024-07-29,105.8701,111.8269
2024-07-30,105.9588,112.2025
2024-07-31,106.1295,112.3771
2024-08-01,105.9878,112.2353
2024-08-02,106.7732,112.7471
2024-08-03,105.1801,113.4477
2024-08-04,105.1801,113.4477
2024-08-05,107.3806,113.3507
2024-08-06,107.9039,113.8677
2024-08-07,107.3851,113.3401
2024-08-08,107.2528,113.2037
2024-08-09,107.2615,113.5023
2024-08-10,105.7221,113.9617
2024-08-11,105.7221,113.9617
2024-08-12,107.2304,113.4666
2024-08-13,107.3407,113.5808
2024-08-14,107.4369,113.6789
2024-08-15,107.7106,113.6618
2024-08-16,108.0242,113.9785
2024-08-17,106.4035,114.6467
2024-08-18,106.4035,114.6467
2024-08-19,108.3062,114.2672
2024-08-20,108.8009,114.7653
2024-08-21,108.7129,114.9677
2024-08-22,108.8716,114.8339
2024-08-23,109.222,115.1888
2024-08-24,107.5404,115.799
2024-08-25,107.5404,115.799
2024-08-26,109.1317,115.3922
2024-08-27,109.4259,115.3605
2024-08-28,109.3958,115.5126
2024-08-29,109.3785,115.4911
2024-08-30,107.7068,116.1069
2024-08-31,107.6231,116.1684
2024-09-01,107.6231,116.1684
2024-09-02,108.9671,114.9383
2024-09-03,109.2336,115.1615
2024-09-04,109.3433,115.2751
2024-09-05,108.9285,115.0396
2024-09-06,109.232,115.458
2024-09-07,107.3779,115.9284
2024-09-08,107.3779,115.9284
2024-09-09,109.2643,115.5279
2024-09-10,109.1624,115.4211
2024-09-11,109.2389,115.1678
2024-09-12,108.9529,114.8824
2024-09-13,109.1229,115.0595
2024-09-14,107.4344,115.665
2024-09-15,107.4344,115.665
2024-09-16,109.2368,115.5085
2024-09-17,109.5326,115.803
2024-09-18,109.7706,115.7106
2024-09-19,109.3737,115.6436
2024-09-20,109.5849,115.8541
2024-09-21,108.003,116.5662
2024-09-22,108.003,116.5662
2024-09-23,109.6808,115.9508
2024-09-24,109.618,115.8861
2024-09-25,109.6869,115.6206
2024-09-26,109.8138,115.7485
2024-09-27,109.92,115.8585
2024-09-28,108.312,116.5459
2024-09-29,108.312,116.5459
2024-09-30,109.9125,115.8465
2024-10-01,109.9139,115.844
2024-10-02,109.7812,115.7016
2024-10-03,109.5258,115.4799
2024-10-04,109.5334,115.7754
2024-10-05,107.902,116.4243
2024-10-06,107.902,116.4243
2024-10-07,109.6991,115.6104
2024-10-08,109.5664,115.8048
2024-10-09,109.3921,115.6282
