zaman,alis,satis
2024-04-15,2.905,3.07005
2024-04-16,2.90592,3.07062
2024-04-17,2.89448,3.05838
2024-04-18,2.89422,3.05827
2024-04-19,2.91076,3.07522
2024-04-20,2.88566,3.07016
2024-04-21,2.88566,3.07016
2024-04-22,2.89863,3.06281
2024-04-23,2.91198,3.09099
2024-04-24,2.90321,3.06761
2024-04-25,2.90373,3.06835
2024-04-26,2.88943,3.0536
2024-04-27,2.87994,3.06518
2024-04-28,2.87994,3.06518
2024-04-29,2.89121,3.05575
2024-04-30,2.87252,3.03588
2024-05-01,2.82782,3.03622
2024-05-02,2.84356,3.00707
2024-05-03,2.89613,3.06282
2024-05-04,2.86392,3.08655
2024-05-05,2.86392,3.08655
2024-05-06,2.90141,3.06861
2024-05-07,2.88145,3.04769
2024-05-08,2.87635,3.04232
2024-05-09,2.88262,3.04904
2024-05-10,2.88463,3.05133
2024-05-11,2.86801,3.08888
2024-05-12,2.86801,3.08888
2024-05-13,2.8985,3.06593
2024-05-14,2.90073,3.06794
2024-05-15,2.91579,3.08427
2024-05-16,2.92414,3.09314
2024-05-17,2.93072,3.10012
2024-05-18,2.90732,3.12833
2024-05-19,2.90732,3.12833
2024-05-20,2.92978,3.09907
2024-05-21,2.93445,3.1041
2024-05-22,2.92352,3.09257
2024-05-23,2.93842,3.10818
2024-05-24,2.96272,3.13396
2024-05-25,2.92955,3.16193
2024-06-06,2.95682,3.12755
2024-06-07,2.93838,3.10778
2024-06-08,2.90989,3.12977
2024-06-09,2.90989,3.12977
2024-06-10,2.94833,3.11764
2024-06-11,2.9298,3.0983
2024-06-12,2.99241,3.16478
2024-06-13,2.95392,3.12392
2024-06-14,2.97114,3.14015
2024-06-15,2.9547,3.18614
2024-06-16,2.9547,3.18614
2024-06-17,2.95822,3.17373
2024-06-18,2.96489,3.18273
2024-06-19,2.9724,3.19122
2024-06-20,3.0357,3.20762
2024-06-21,3.01871,3.18975
2024-06-22,2.99487,3.21844
2024-06-23,2.99487,3.21844
2024-06-24,3.03405,3.20556
2024-06-25,3.02454,3.19527
2024-06-26,2.99131,3.16064
2024-06-27,2.99956,3.16944
2024-06-28,2.99316,3.16323
2024-06-29,2.95331,3.18042
2024-06-30,2.95331,3.18042
2024-07-01,2.97849,3.14802
2024-07-02,2.96191,3.13096
2024-07-03,3.00269,3.17442
2024-07-04,2.99736,3.16862
2024-07-05,3.00533,3.17653
2024-07-06,2.98119,3.21119
2024-07-07,2.98119,3.21119
2024-07-08,3.0075,3.17854
2024-07-09,3.0142,3.18459
2024-07-10,2.98334,3.15215
2024-07-11,2.98278,3.15202
2024-07-12,2.9955,3.16414
2024-07-13,2.96927,3.19265
2024-07-14,2.96927,3.19265
2024-07-15,2.95411,3.16822
2024-07-16,2.97008,3.13705
2024-07-17,2.9944,3.16268
2024-07-18,2.98821,3.1563
2024-07-19,2.95381,3.12002
2024-07-20,2.9164,3.13438
2024-07-21,2.9164,3.13438
2024-07-22,2.91567,3.08034
2024-07-23,2.88845,3.05221
2024-07-24,2.89874,3.06293
2024-07-25,2.91322,3.07733
2024-07-26,2.90904,3.0732
2024-07-27,2.8816,3.09762
2024-07-28,2.8816,3.09762
2024-07-29,2.91335,3.07774
2024-07-30,2.93424,3.09918
2024-07-31,2.94462,3.11
2024-08-01,2.95004,3.1159
2024-08-02,2.95116,3.11656
2024-08-03,2.92754,3.14348
2024-08-04,2.92754,3.14348
2024-08-05,2.94558,3.1106
2024-08-06,2.99661,3.16241
2024-08-07,3.03214,3.20062
2024-08-08,3.00285,3.16984
2024-08-09,3.01938,3.18718
2024-08-10,2.98954,3.20965
2024-08-11,2.98954,3.20965
2024-08-12,3.02994,3.19802
2024-08-13,3.03037,3.19828
2024-08-14,3.06152,3.23112
2024-08-15,3.05326,3.22216
2024-08-16,3.05239,3.22083
2024-08-17,3.0451,3.26709
2024-08-18,3.0451,3.26709
2024-08-19,3.10557,3.27666
2024-08-20,3.13622,3.30847
2024-08-21,3.14068,3.31305
2024-08-22,3.11842,3.28923
2024-08-23,3.14725,3.31947
2024-08-24,3.13567,3.36138
2024-08-25,3.13567,3.36138
2024-08-26,3.14665,3.31859
2024-08-27,3.1606,3.33317
2024-08-28,3.16386,3.33652
2024-08-29,3.15498,3.32703
2024-08-30,3.10923,3.32753
2024-08-31,3.09973,3.32284
2024-09-01,3.09973,3.32284
2024-09-02,3.11995,3.29083
2024-09-03,3.09805,3.26742
2024-09-04,3.12292,3.29357
2024-09-05,3.10355,3.27355
2024-09-06,3.10448,3.27399
