zaman,alis,satis
2024-04-15,7.8316,8.1677
2024-04-16,7.7622,8.0947
2024-04-17,7.7928,8.1262
2024-04-18,7.836,8.1717
2024-04-19,7.9011,8.2386
2024-04-20,7.7913,8.2902
2024-04-21,7.7913,8.2902
2024-04-22,7.8491,8.1849
2024-04-23,7.834,8.3209
2024-04-24,7.8624,8.1989
2024-04-25,7.8839,8.2213
2024-04-26,7.8559,8.1928
2024-04-27,7.803,8.3007
2024-04-28,7.803,8.3007
2024-04-29,7.8646,8.2026
2024-04-30,7.8384,8.1754
2024-05-01,7.7312,8.3017
2024-05-02,7.7557,8.2024
2024-05-03,7.8208,8.2716
2024-05-04,7.753,8.3434
2024-05-05,7.753,8.3434
2024-05-06,7.855,8.3088
2024-05-07,7.8481,8.3015
2024-05-08,7.8345,8.2873
2024-05-09,7.873,8.3287
2024-05-10,7.8343,8.2882
2024-05-11,7.7907,8.3818
2024-05-12,7.7907,8.3818
2024-05-13,7.8949,8.3518
2024-05-14,7.9514,8.4106
2024-05-15,7.976,8.4374
2024-05-16,7.985,8.4468
2024-05-17,7.9888,8.4517
2024-05-18,7.9204,8.5232
2024-05-19,7.9204,8.5232
2024-05-20,7.9958,8.4589
2024-05-21,7.992,8.4549
2024-05-22,7.9519,8.4124
2024-05-23,7.9487,8.4087
2024-05-24,7.9711,8.4323
2024-05-25,7.9188,8.5211
2024-06-06,7.9565,8.4174
2024-06-07,7.8729,8.3278
2024-06-08,7.8097,8.3943
2024-06-09,7.8097,8.3943
2024-06-10,7.8193,8.269
2024-06-11,7.7736,8.2217
2024-06-12,7.8708,8.3256
2024-06-13,7.7798,8.2287
2024-06-14,7.7638,8.2067
2024-06-15,7.721,8.3029
2024-06-16,7.721,8.3029
2024-06-17,7.7902,8.3584
2024-06-18,7.7756,8.3482
2024-06-19,7.7978,8.3727
2024-06-20,7.9157,8.3646
2024-06-21,7.8865,8.3343
2024-06-22,7.8279,8.4113
2024-06-23,7.8279,8.4113
2024-06-24,7.9915,8.4437
2024-06-25,7.9767,8.4275
2024-06-26,7.9137,8.3625
2024-06-27,7.9241,8.3737
2024-06-28,7.93,8.3809
2024-06-29,7.8441,8.4311
2024-06-30,7.8441,8.4311
2024-07-01,7.9171,8.3679
2024-07-02,7.894,8.3455
2024-07-03,7.9587,8.4142
2024-07-04,7.9925,8.4495
2024-07-05,8.0211,8.4783
2024-07-06,7.9601,8.556
2024-07-07,7.9601,8.556
2024-07-08,8.0797,8.5396
2024-07-09,8.1196,8.5793
2024-07-10,8.125,8.5857
2024-07-11,8.1589,8.6222
2024-07-12,8.2375,8.7017
2024-07-13,8.1667,8.7729
2024-07-14,8.1667,8.7729
2024-07-15,8.1861,8.7795
2024-07-16,8.1768,8.637
2024-07-17,8.1923,8.6532
2024-07-18,8.194,8.6567
2024-07-19,8.1699,8.63
2024-07-20,8.0889,8.6864
2024-07-21,8.0889,8.6864
2024-07-22,8.1391,8.5996
2024-07-23,8.0826,8.5415
2024-07-24,8.0678,8.5252
2024-07-25,8.1349,8.594
2024-07-26,8.1609,8.6212
2024-07-27,8.0704,8.6688
2024-07-28,8.0704,8.6688
2024-07-29,8.0892,8.5455
2024-07-30,8.1056,8.5618
2024-07-31,8.1164,8.5729
2024-08-01,8.0823,8.5371
2024-08-02,8.2219,8.6833
2024-08-03,8.1442,8.7447
2024-08-04,8.1442,8.7447
2024-08-05,8.2946,8.7581
2024-08-06,8.3009,8.7606
2024-08-07,8.2439,8.7025
2024-08-08,8.218,8.6747
2024-08-09,8.2442,8.702
2024-08-10,8.1622,8.7653
2024-08-11,8.1622,8.7653
2024-08-12,8.2872,8.7478
2024-08-13,8.3409,8.8037
2024-08-14,8.4066,8.8732
2024-08-15,8.3821,8.8471
2024-08-16,8.4443,8.9107
2024-08-17,8.4115,9.0187
2024-08-18,8.4115,9.0187
2024-08-19,8.5157,8.9853
2024-08-20,8.5744,9.0456
2024-08-21,8.5696,9.0401
2024-08-22,8.5582,9.0273
2024-08-23,8.6655,9.1401
2024-08-24,8.6073,9.2284
2024-08-25,8.6073,9.2284
2024-08-26,8.6384,9.111
2024-08-27,8.6282,9.1007
2024-08-28,8.5877,9.0569
2024-08-29,8.5652,9.0329
2024-08-30,8.5228,9.1213
2024-08-31,8.4877,9.0931
2024-09-01,8.4877,9.0931
2024-09-02,8.5671,9.0369
2024-09-03,8.5365,9.0034
2024-09-04,8.5883,9.058
2024-09-05,8.5511,9.0196
2024-09-06,8.5875,9.0566
2024-09-07,8.4897,9.0993
2024-09-08,8.4897,9.0993
2024-09-09,8.5549,9.0225
2024-09-10,8.5218,8.9873
2024-09-11,8.4852,8.9491
2024-09-12,8.5042,8.9709
2024-09-13,8.5562,9.0251
2024-09-14,8.4678,9.0771
2024-09-15,8.4678,9.0771
2024-09-16,8.6088,9.0794
2024-09-17,8.6469,9.1184
2024-09-18,8.6425,9.1138
2024-09-19,8.6251,9.0967
2024-09-20,8.668,9.141
2024-09-21,8.6141,9.2315
2024-09-22,8.6141,9.2315
2024-09-23,8.6571,9.1285
2024-09-24,8.6948,9.1683
2024-09-25,8.6936,9.1673
2024-09-26,8.6787,9.1511
2024-09-27,8.7033,9.1769
2024-09-28,8.6114,9.2294
2024-09-29,8.6114,9.2294
2024-09-30,8.6743,9.1461
2024-10-01,8.5964,9.0638
2024-10-02,8.5617,9.0262
2024-10-03,8.5135,8.9762
2024-10-04,8.4784,8.9383
2024-10-05,8.4098,9.0162
2024-10-06,8.4098,9.0162
2024-10-07,8.4634,8.9227
2024-10-08,8.4978,8.9586
2024-10-09,8.4886,8.9497
2024-10-10,8.4507,8.9102
2024-10-11,8.512,8.9734
2024-10-12,8.4345,9.0367
2024-10-13,8.4345,9.0367
2024-10-14,8.4813,8.9414
2024-10-15,8.4675,8.9276
2024-10-16,8.417,8.8747
2024-10-17,8.329,8.7825
2024-10-18,8.4084,8.8649
2024-10-19,8.3449,8.9428
2024-10-20,8.3449,8.9428
2024-10-21,8.3727,8.8266
2024-10-22,8.3421,8.7949
2024-10-23,8.2762,8.7245
2024-10-24,8.284,8.7335
2024-10-25,8.3167,8.768
2024-10-26,8.2317,8.8129
2024-10-27,8.2317,8.8129
2024-10-28,8.2487,8.8234
2024-10-29,8.2418,8.8162
2024-10-30,8.3234,8.775
2024-10-31,8.335,8.7871
2024-11-01,8.328,8.779
2024-11-02,8.232,8.8196
2024-11-03,8.232,8.8196
2024-11-04,8.389,8.8433
2024-11-05,8.367,8.8199
2024-11-06,8.1894,8.6347
2024-11-07,8.3542,8.8079
2024-11-08,8.3178,8.7686
2024-11-09,8.2284,8.8027
2024-11-10,8.2284,8.8027
2024-11-11,8.1869,8.6308
2024-11-12,8.1685,8.6107
2024-11-13,8.1443,8.5858
2024-11-14,8.1493,8.5905
2024-11-15,8.164,8.6051
2024-11-16,8.1148,8.68
2024-11-17,8.1148,8.68
2024-11-18,8.2291,8.6723
2024-11-19,8.2131,8.6552
2024-11-20,8.1402,8.5791
2024-11-21,8.147,8.5869
2024-11-22,8.0698,8.5051
2024-11-23,8.0214,8.5777
2024-11-24,8.0214,8.5777
2024-11-25,8.1868,8.6267
2024-11-26,8.2163,8.6571
2024-11-27,8.2682,8.7119
2024-11-28,8.253,8.697
2024-11-29,8.3003,8.7461
2024-11-30,8.2593,8.8347
2024-12-01,8.2593,8.8347
2024-12-02,8.2647,8.7076
2024-12-03,8.287,8.7303
2024-12-04,8.2915,8.7351
2024-12-05,8.3879,8.838
2024-12-06,8.4087,8.8582
2024-12-07,8.3237,8.8972
2024-12-08,8.3237,8.8972
2024-12-09,8.4255,8.8757
2024-12-10,8.3765,8.8238
2024-12-11,8.3583,8.8037
2024-12-12,8.3726,8.82
2024-12-13,8.3686,8.8138
2024-12-14,8.3215,8.892
2024-12-15,8.3215,8.892
2024-12-16,8.3702,8.8151
2024-12-17,8.3923,8.8385
2024-12-18,8.399,8.8447
2024-12-19,8.3588,8.8015
2024-12-20,8.351,8.7923
2024-12-21,8.3321,8.8992
2024-12-22,8.3321,8.8992
2024-12-23,8.3605,8.8022
2024-12-24,8.3938,8.8374
2024-12-25,8.2923,8.8492
2024-12-26,8.3503,8.7925
2024-12-27,8.3789,8.8218
2024-12-28,8.303,8.8685
2024-12-29,8.303,8.8685
2024-12-30,8.3875,8.8292
2024-12-31,8.3644,8.8048
2025-01-01,8.3018,8.8639
2025-01-02,8.2977,8.7345
2025-01-03,8.3161,8.7525
2025-01-04,8.2627,8.8211
2025-01-05,8.2627,8.8211
2025-01-06,8.4166,8.8601
2025-01-07,8.4162,8.8589
2025-01-08,8.2965,8.7325
2025-01-09,8.3188,8.7565
2025-01-10,8.2894,8.725
2025-01-11,8.2306,8.7861
2025-01-12,8.2306,8.7861
2025-01-13,8.264,8.6968
2025-01-14,8.3168,8.7525
2025-01-15,8.3842,8.8236
2025-01-16,8.3162,8.7521
2025-01-17,8.3843,8.8229
2025-01-18,8.2803,8.8379
2025-01-19,8.2803,8.8379
2025-01-20,8.4867,8.9309
2025-01-21,8.4863,8.9288
2025-01-22,8.5675,9.0142
2025-01-23,8.5807,9.0277
2025-01-24,8.6577,9.1082
2025-01-25,8.6036,9.1799
2025-01-26,8.6036,9.1799
