zaman,alis,satis
2024-04-15,6.7747,7.0707
2024-04-16,6.7928,7.0886
2024-04-17,6.799,7.095
2024-04-18,6.8123,7.1099
2024-04-19,6.8407,7.1375
2024-04-20,6.7356,7.1839
2024-04-21,6.7356,7.1839
2024-04-22,6.807,7.1029
2024-04-23,6.7846,7.213
2024-04-24,6.8356,7.1338
2024-04-25,6.8478,7.1457
2024-04-26,6.8203,7.1182
2024-04-27,6.7608,7.2095
2024-04-28,6.7608,7.2095
2024-04-29,6.8197,7.1187
2024-04-30,6.8109,7.1057
2024-05-01,6.7274,7.2271
2024-05-02,6.7542,7.1472
2024-05-03,6.8027,7.1979
2024-05-04,6.7361,7.2565
2024-05-05,6.7361,7.2565
2024-05-06,6.8062,7.2012
2024-05-07,6.7867,7.185
2024-05-08,6.7698,7.1675
2024-05-09,6.782,7.1799
2024-05-10,6.7646,7.1626
2024-05-11,6.73,7.2571
2024-05-12,6.73,7.2571
2024-05-13,6.7942,7.1939
2024-05-14,6.8201,7.2204
2024-05-15,6.8321,7.2325
2024-05-16,6.8352,7.2354
2024-05-17,6.8417,7.2411
2024-05-18,6.7748,7.3017
2024-05-19,6.7748,7.3017
2024-05-20,6.8331,7.2332
2024-05-21,6.8289,7.2296
2024-05-22,6.808,7.2079
2024-05-23,6.8093,7.2077
2024-05-24,6.8204,7.2204
2024-05-25,6.7595,7.2978
2024-06-06,6.8482,7.2486
2024-06-07,6.8211,7.2197
2024-06-08,6.7596,7.2919
2024-06-09,6.7596,7.2919
2024-06-10,6.7966,7.1907
2024-06-11,6.7718,7.168
2024-06-12,6.8428,7.2428
2024-06-13,6.7927,7.1894
2024-06-14,6.8243,7.2184
2024-06-15,6.7815,7.316
2024-06-16,6.7815,7.316
2024-06-17,6.8223,7.3258
2024-06-18,6.7811,7.2846
2024-06-19,6.7716,7.2765
2024-06-20,6.8776,7.2739
2024-06-21,6.8518,7.2463
2024-06-22,6.7909,7.3236
2024-06-23,6.7909,7.3236
2024-06-24,6.8944,7.2886
2024-06-25,6.8907,7.2855
2024-06-26,6.8601,7.2533
2024-06-27,6.8701,7.265
2024-06-28,6.8598,7.2554
2024-06-29,6.776,7.3201
2024-06-30,6.776,7.3201
2024-07-01,6.8542,7.2492
2024-07-02,6.8345,7.2301
2024-07-03,6.8708,7.2699
2024-07-04,6.8757,7.2733
2024-07-05,6.9073,7.3072
2024-07-06,6.8443,7.3762
2024-07-07,6.8443,7.3762
2024-07-08,6.9276,7.3264
2024-07-09,6.9563,7.3544
2024-07-10,6.9548,7.3537
2024-07-11,6.9779,7.3786
2024-07-12,7.0462,7.4496
2024-07-13,6.9783,7.5394
2024-07-14,6.9783,7.5394
2024-07-15,6.9995,7.5143
2024-07-16,7.0427,7.445
2024-07-17,7.0798,7.4843
2024-07-18,7.0635,7.4647
2024-07-19,7.0398,7.4451
2024-07-20,6.9691,7.4941
2024-07-21,6.9691,7.4941
2024-07-22,7.0064,7.4089
2024-07-23,6.9553,7.3551
2024-07-24,6.9732,7.3735
2024-07-25,7.0131,7.4142
2024-07-26,7.006,7.4084
2024-07-27,6.9356,7.4577
2024-07-28,6.9356,7.4577
2024-07-29,6.9786,7.3778
2024-07-30,6.9845,7.3843
2024-07-31,7.0041,7.4027
2024-08-01,6.9736,7.3721
2024-08-02,7.0886,7.4906
2024-08-03,7.025,7.5438
2024-08-04,7.025,7.5438
2024-08-05,7.1663,7.5712
2024-08-06,7.182,7.5851
2024-08-07,7.1553,7.558
