zaman,alis,satis
2024-04-15,0.33792,0.35539
2024-04-16,0.3359,0.35435
2024-04-17,0.33628,0.35383
2024-04-18,0.337,0.35475
2024-04-19,0.34132,0.35881
2024-04-20,0.33782,0.36068
2024-04-21,0.33782,0.36068
2024-04-22,0.33873,0.35594
2024-04-23,0.33726,0.36065
2024-04-24,0.34313,0.36119
2024-04-25,0.34347,0.36157
2024-04-26,0.34315,0.36335
2024-04-27,0.34151,0.3663
2024-04-28,0.34151,0.3663
2024-04-29,0.33727,0.35519
2024-04-30,0.33782,0.35579
2024-05-01,0.3336,0.35828
2024-05-02,0.34067,0.36345
2024-05-03,0.33756,0.36605
2024-05-04,0.34052,0.36668
2024-05-05,0.34052,0.36668
2024-05-06,0.34231,0.36495
2024-05-07,0.34116,0.36381
2024-05-08,0.33938,0.36196
2024-05-09,0.33694,0.35957
2024-05-10,0.33628,0.3591
2024-05-11,0.33703,0.36007
2024-05-12,0.33703,0.36007
2024-05-13,0.34073,0.36365
2024-05-14,0.34173,0.3644
2024-05-15,0.34221,0.3646
2024-05-16,0.34326,0.36594
2024-05-17,0.34303,0.36502
2024-05-18,0.34258,0.36584
2024-05-19,0.34258,0.36584
2024-05-20,0.34281,0.36497
2024-05-21,0.34567,0.36829
2024-05-22,0.346,0.36916
2024-05-23,0.34494,0.36791
2024-05-24,0.34837,0.37221
2024-05-25,0.34747,0.37196
2024-06-06,0.35039,0.37332
2024-06-07,0.35042,0.37534
2024-06-08,0.35042,0.37647
2024-06-09,0.35042,0.37647
2024-06-10,0.35301,0.37569
2024-06-11,0.35113,0.37458
2024-06-12,0.34972,0.37594
2024-06-13,0.3499,0.3817
2024-06-14,0.35364,0.37833
2024-06-15,0.35362,0.37787
2024-06-16,0.35362,0.37787
2024-06-17,0.35623,0.38133
2024-06-18,0.36232,0.38932
2024-06-19,0.37408,0.40253
2024-06-20,0.36302,0.39058
2024-06-21,0.35717,0.38217
2024-06-22,0.35423,0.38357
2024-06-23,0.35423,0.38357
2024-06-24,0.36286,0.39072
2024-06-25,0.36363,0.39189
2024-06-26,0.36175,0.3889
2024-06-27,0.36716,0.39699
2024-06-28,0.3681,0.39206
2024-06-29,0.36706,0.39692
2024-06-30,0.36706,0.39692
2024-07-01,0.36292,0.38967
2024-07-02,0.35724,0.38442
2024-07-03,0.35624,0.38057
2024-07-04,0.3584,0.38191
2024-07-05,0.35833,0.38131
2024-07-06,0.35808,0.3844
2024-07-07,0.35808,0.3844
2024-07-08,0.36058,0.38294
2024-07-09,0.36289,0.38662
2024-07-10,0.35873,0.3844
2024-07-11,0.3642,0.38804
2024-07-12,0.36359,0.38727
2024-07-13,0.36348,0.38838
2024-07-14,0.36348,0.38838
2024-07-15,0.36056,0.38524
2024-07-16,0.3628,0.38588
2024-07-17,0.36347,0.38567
2024-07-18,0.36435,0.38663
2024-07-19,0.36667,0.38915
2024-07-20,0.36119,0.39079
2024-07-21,0.36119,0.39079
2024-07-22,0.36328,0.38612
2024-07-23,0.36496,0.38755
2024-07-24,0.36963,0.39253
2024-07-25,0.37664,0.40028
2024-07-26,0.37166,0.39521
2024-07-27,0.37052,0.39523
2024-07-28,0.37052,0.39523
2024-07-29,0.37034,0.39384
2024-07-30,0.37068,0.39333
2024-07-31,0.37333,0.39671
2024-08-01,0.37461,0.39823
2024-08-02,0.37705,0.40009
2024-08-03,0.3763,0.40229
2024-08-04,0.3763,0.40229
2024-08-05,0.37947,0.40404
2024-08-06,0.38015,0.40463
2024-08-07,0.3789,0.40271
2024-08-08,0.37334,0.39938
2024-08-09,0.36671,0.3903
2024-08-10,0.36545,0.39073
2024-08-11,0.36545,0.39073
2024-08-12,0.35782,0.38155
2024-08-13,0.35622,0.38105
2024-08-14,0.36482,0.39044
2024-08-15,0.36545,0.39007
2024-08-16,0.36756,0.39074
2024-08-17,0.36323,0.38891
2024-08-18,0.36323,0.38891
2024-08-19,0.36393,0.38742
2024-08-20,0.35949,0.3853
2024-08-21,0.35845,0.38264
2024-08-22,0.35421,0.37925
2024-08-23,0.35963,0.38365
2024-08-24,0.35849,0.3844
2024-08-25,0.35849,0.3844
2024-08-26,0.35217,0.38811
2024-08-27,0.35895,0.384
2024-08-28,0.36071,0.38237
2024-08-29,0.36003,0.38243
2024-08-30,0.36405,0.38936
2024-08-31,0.36405,0.38936
2024-09-01,0.36405,0.38936
2024-09-02,0.36657,0.39109
2024-09-03,0.37863,0.40122
2024-09-04,0.36994,0.39472
2024-09-05,0.36671,0.39054
2024-09-06,0.36528,0.38839
2024-09-07,0.36393,0.38736
2024-09-08,0.36393,0.38736
2024-09-09,0.36425,0.38729
2024-09-10,0.36284,0.38608
2024-09-11,0.36093,0.38377
2024-09-12,0.36047,0.38335
2024-09-13,0.3595,0.38544
2024-09-14,0.36234,0.39026
