zaman,alis,satis
2024-04-15,8.47278,8.95309
2024-04-16,8.49391,8.97446
2024-04-17,8.49815,8.97869
2024-04-18,8.49412,8.97467
2024-04-19,8.51987,9.0004
2024-04-20,8.48078,9.01461
2024-04-21,8.48078,9.01461
2024-04-22,8.49788,8.97846
2024-04-23,8.49277,9.02624
2024-04-24,8.50219,8.98256
2024-04-25,8.49853,8.97916
2024-04-26,8.4879,8.96851
2024-04-27,8.48085,9.01596
2024-04-28,8.48085,9.01596
2024-04-29,8.46243,8.94282
2024-04-30,8.46522,8.94537
2024-05-01,8.36248,9.02974
2024-05-02,8.45999,8.94038
2024-05-03,8.45513,8.93575
2024-05-04,8.32127,8.99064
2024-05-05,8.32127,8.99064
2024-05-06,8.44118,8.92181
2024-05-07,8.43278,8.91342
2024-05-08,8.43285,8.91325
2024-05-09,8.42572,8.90612
2024-05-10,8.41724,8.89786
2024-05-11,8.31332,8.98056
2024-05-12,8.31332,8.98056
2024-05-13,8.41972,8.90012
2024-05-14,8.43618,8.91659
2024-05-15,8.42356,8.90373
2024-05-16,8.41764,8.89851
2024-05-17,8.42101,8.90118
2024-05-18,8.29322,8.9605
2024-05-19,8.29322,8.9605
2024-05-20,8.41769,8.89834
2024-05-21,8.41599,8.89638
2024-05-22,8.41291,8.89353
2024-05-23,8.41915,8.89953
2024-05-24,8.41987,8.90024
2024-05-25,8.29218,8.9599
2024-06-06,8.4298,8.91019
2024-06-07,8.4459,8.92654
2024-06-08,8.32671,8.99513
2024-06-09,8.32671,8.99513
2024-06-10,8.47508,8.95553
2024-06-11,8.45605,8.93646
2024-06-12,8.44614,8.92646
2024-06-13,8.44733,8.92757
2024-06-14,8.54867,9.02865
2024-06-15,8.43609,9.10309
2024-06-16,8.43609,9.10309
2024-06-17,8.45559,9.12259
2024-06-18,8.38574,9.05276
2024-06-19,8.36753,9.0346
2024-06-20,8.58644,9.06648
2024-06-21,8.58223,9.06251
2024-06-22,8.45533,9.12362
2024-06-23,8.45533,9.12362
2024-06-24,8.60194,9.08198
2024-06-25,8.61834,9.09877
2024-06-26,8.59087,9.07113
2024-06-27,8.58685,9.06736
2024-06-28,8.56903,9.04951
2024-06-29,8.42925,9.09631
2024-06-30,8.42925,9.09631
2024-07-01,8.54824,9.02825
2024-07-02,8.51935,8.9994
2024-07-03,8.51057,8.99086
2024-07-04,8.51577,8.99608
2024-07-05,8.54143,9.02174
2024-07-06,8.39914,9.06745
2024-07-07,8.39914,9.06745
2024-07-08,8.55424,9.03458
2024-07-09,8.60374,9.08412
2024-07-10,8.59734,9.07772
2024-07-11,8.58048,9.06086
2024-07-12,8.64248,9.12286
2024-07-13,8.50644,9.17509
2024-07-14,8.50644,9.17509
2024-07-15,8.50772,9.17473
2024-07-16,8.65321,9.13335
2024-07-17,8.65475,9.13512
2024-07-18,8.64801,9.12837
2024-07-19,8.64589,9.12625
2024-07-20,8.50738,9.17457
2024-07-21,8.50738,9.17457
2024-07-22,8.61052,9.0911
2024-07-23,8.57579,9.0561
2024-07-24,8.58731,9.06783
2024-07-25,8.63358,9.11407
2024-07-26,8.62726,9.10798
2024-07-27,8.48182,9.15005
2024-07-28,8.48182,9.15005
2024-07-29,8.63334,9.11362
2024-07-30,8.64943,9.12993
2024-07-31,8.65838,9.13886
2024-08-01,8.64441,9.12454
2024-08-02,8.67915,9.15946
2024-08-03,8.54917,9.21857
2024-08-04,8.54917,9.21857
2024-08-05,8.73267,9.21288
2024-08-06,8.78312,9.26398
2024-08-07,8.75622,9.23674
2024-08-08,8.75284,9.23344
2024-08-09,8.76018,9.24136
2024-08-10,8.62028,9.29024
2024-08-11,8.62028,9.29024
2024-08-12,8.76485,9.24437
2024-08-13,8.76714,9.24803
2024-08-14,8.77621,9.25631
2024-08-15,8.79043,9.2708
2024-08-16,8.81194,9.29208
2024-08-17,8.67752,9.34441
2024-08-18,8.67752,9.34441
2024-08-19,8.82636,9.3068
2024-08-20,8.86203,9.34247
2024-08-21,8.8697,9.35038
2024-08-22,8.87099,9.35143
2024-08-23,8.89337,9.37358
2024-08-24,8.75593,9.42292
2024-08-25,8.75593,9.42292
2024-08-26,8.89776,9.37844
2024-08-27,8.90133,9.38176
2024-08-28,8.90838,9.38877
2024-08-29,8.91285,9.39348
2024-08-30,8.77974,9.44641
2024-08-31,8.77862,9.44672
2024-09-01,8.77862,9.44672
2024-09-02,8.87555,9.35593
2024-09-03,8.89369,9.37402
2024-09-04,8.89561,9.37638
2024-09-05,8.87445,9.35469
2024-09-06,8.89802,9.37775
2024-09-07,8.74772,9.42096
2024-09-08,8.74772,9.42096
2024-09-09,8.90336,9.38321
2024-09-10,8.90359,9.38356
2024-09-11,8.89338,9.37374
2024-09-12,8.8694,9.34954
2024-09-13,8.87159,9.35192
2024-09-14,8.73484,9.40645
2024-09-15,8.73484,9.40645
2024-09-16,8.889,9.36933
2024-09-17,8.91534,9.39586
2024-09-18,8.92005,9.40041
2024-09-19,8.90501,9.38518
2024-09-20,8.92401,9.40442
2024-09-21,8.79428,9.46124
2024-09-22,8.79428,9.46124
2024-09-23,8.93237,9.41311
2024-09-24,8.93037,9.41088
2024-09-25,8.92498,9.40521
2024-09-26,8.93622,9.41658
2024-09-27,8.93858,9.41891
2024-09-28,8.80725,9.47745
2024-09-29,8.80725,9.47745
2024-09-30,8.944,9.42453
2024-10-01,8.94973,9.43025
2024-10-02,8.94926,9.42956
2024-10-03,8.93261,9.41281
2024-10-04,8.94929,9.42921
2024-10-05,8.81858,9.48485
2024-10-06,8.81858,9.48485
2024-10-07,8.94987,9.42982
2024-10-08,8.96105,9.44118
2024-10-09,8.94864,9.42874
2024-10-10,8.93981,9.41993
2024-10-11,8.96094,9.44293
2024-10-12,8.82991,9.49639
2024-10-13,8.82991,9.49639
2024-10-14,8.95657,9.43667
2024-10-15,8.94834,9.42852
2024-10-16,8.93143,9.41141
2024-10-17,8.91463,9.3946
2024-10-18,8.94799,9.42798
2024-10-19,8.81613,9.48247
2024-10-20,8.81613,9.48247
2024-10-21,8.95407,9.43571
2024-10-22,8.94836,9.42838
2024-10-23,8.96359,9.44363
2024-10-24,8.94576,9.42569
2024-10-25,8.95965,9.43938
2024-10-26,8.82922,9.49554
2024-10-27,8.82922,9.49554
2024-10-28,8.83012,9.4963
2024-10-29,8.83082,9.49868
2024-10-30,8.95192,9.43192
2024-10-31,8.95149,9.43247
2024-11-01,8.97418,9.45415
2024-11-02,8.83732,9.50806
2024-11-03,8.83732,9.50806
2024-11-04,8.97388,9.45772
2024-11-05,8.97543,9.45484
2024-11-06,8.94269,9.42256
2024-11-07,8.9472,9.42714
2024-11-08,8.9836,9.46358
2024-11-09,8.85344,9.522
2024-11-10,8.85344,9.522
2024-11-11,8.97667,9.45662
2024-11-12,8.98032,9.46012
2024-11-13,8.97037,9.45015
2024-11-14,8.9784,9.45837
2024-11-15,8.99776,9.47777
2024-11-16,8.86838,9.53475
2024-11-17,8.86838,9.53475
2024-11-18,9.03242,9.51263
2024-11-19,9.03844,9.51866
2024-11-20,9.01342,9.49362
2024-11-21,9.01527,9.49543
2024-11-22,9.03605,9.51622
2024-11-23,8.90087,9.56943
2024-11-24,8.90087,9.56943
2024-11-25,9.04304,9.5231
2024-11-26,9.05467,9.53553
2024-11-27,9.0586,9.53857
2024-11-28,9.04325,9.52415
2024-11-29,9.0647,9.54531
2024-11-30,8.93205,9.60394
2024-12-01,8.93205,9.60394
2024-12-02,9.07561,9.55546
2024-12-03,9.08007,9.55989
2024-12-04,9.08088,9.56191
2024-12-05,9.06826,9.55158
2024-12-06,9.09418,9.57401
2024-12-07,8.95688,9.62304
2024-12-08,8.95688,9.62304
2024-12-09,9.10115,9.58054
2024-12-10,9.10491,9.58473
2024-12-11,9.10848,9.58817
2024-12-12,9.11201,9.59178
2024-12-13,9.13283,9.61463
2024-12-14,8.99951,9.66808
2024-12-15,8.99951,9.66808
2024-12-16,9.13614,9.61595
2024-12-17,9.14381,9.6236
2024-12-18,9.15191,9.6317
2024-12-19,9.17147,9.65118
2024-12-20,9.19827,9.68502
2024-12-21,9.06368,9.74124
2024-12-22,9.06368,9.74124
2024-12-23,9.20682,9.69136
2024-12-24,9.22331,9.70348
2024-12-25,9.19763,9.6846
2024-12-26,9.1971,9.67979
2024-12-27,9.2085,9.69234
2024-12-28,9.06413,9.73411
2024-12-29,9.06413,9.73411
2024-12-30,9.23212,9.71953
2024-12-31,9.24287,9.72272
2025-01-01,9.11144,9.77761
2025-01-02,9.23357,9.71356
2025-01-03,9.25186,9.73468
2025-01-04,9.11843,9.78688
2025-01-05,9.11843,9.78688
2025-01-06,9.23553,9.71566
2025-01-07,9.24796,9.72815
2025-01-08,9.25306,9.7333
2025-01-09,9.24111,9.72211
2025-01-10,9.2662,9.74596
2025-01-11,9.13662,9.80335
2025-01-12,9.13662,9.80335
2025-01-13,9.28415,9.76436
2025-01-14,9.28712,9.76742
2025-01-15,9.28129,9.76164
2025-01-16,9.27942,9.76021
2025-01-17,9.30917,9.79045
2025-01-18,9.16035,9.8274
2025-01-19,9.16035,9.8274
2025-01-20,9.30644,9.78693
2025-01-21,9.32897,9.80954
2025-01-22,9.33659,9.81722
2025-01-23,9.332,9.81263
2025-01-24,9.34592,9.8276
2025-01-25,9.21187,9.87911
2025-01-26,9.21187,9.87911
2025-01-27,9.35931,9.83995
2025-01-28,9.36635,9.84699
2025-01-29,9.37054,9.85199
2025-01-30,9.36847,9.84909
2025-01-31,9.39245,9.87314
2025-02-01,9.25366,9.92708
2025-02-02,9.25366,9.92708
2025-02-03,9.42523,9.9059
2025-02-04,9.41157,9.89252
2025-02-05,9.40674,9.88741
2025-02-06,9.40162,9.88258
2025-02-07,9.42364,9.90434
2025-02-08,9.28924,9.95942
2025-02-09,9.28924,9.95942
2025-02-10,9.4302,9.91251
2025-02-11,9.44402,9.92476
2025-02-12,9.45751,9.93822
2025-04-10,9.93123,10.41128
2025-04-11,9.96962,10.44991
2025-04-12,9.80521,10.47195
2025-04-13,9.80521,10.47195
2025-04-14,9.97044,10.45089
2025-04-15,9.98498,10.46521
2025-04-15,9.83715,10.50549
2025-04-16,9.99406,10.47457
2025-04-17,9.97709,10.45736
2025-04-18,10.00621,10.48675
2025-04-19,9.83535,10.50245
2025-04-20,9.83535,10.50245
2025-04-21,10.01237,10.49268
2025-04-22,10.03172,10.51213
2025-04-23,9.9035,10.57078
2025-04-24,10.04744,10.52813
2025-04-25,10.07296,10.55358
2025-04-26,9.94292,10.61015
2025-04-27,9.94292,10.61015
2025-04-28,10.07639,10.55678
2025-04-29,10.08255,10.56297
2025-04-30,10.08771,10.56786
2025-05-01,9.94776,10.61516
2025-05-02,10.11541,10.59676
2025-05-03,9.98485,10.6523
2025-05-04,9.98485,10.6523
2025-05-05,10.11664,10.59794
2025-05-06,10.12513,10.60558
2025-05-07,10.13075,10.61172
2025-05-08,10.12905,10.60977
2025-05-09,10.16203,10.64329
2025-05-10,10.03362,10.70096
2025-05-11,10.03362,10.70096
2025-05-12,10.16688,10.64733
2025-06-17,10.34077,10.82111
2025-06-18,10.36427,10.84485
2025-06-19,10.37586,10.85606
2025-06-20,10.40538,10.88705
2025-06-21,10.27191,10.93901
2025-06-22,10.27191,10.93901
2025-06-23,10.41993,10.90051
2025-06-24,10.38819,10.86887
2025-06-25,10.42993,10.91015
2025-06-26,10.43571,10.9162
2025-06-27,10.46658,10.94739
2025-06-28,10.33707,11.00737
2025-06-29,10.33707,11.00737
2025-06-30,10.44365,10.92443
2025-07-01,10.4532,10.93403
2025-07-02,10.44073,10.92155
2025-07-03,10.45081,10.93134
2025-07-04,10.45193,10.93242
2025-07-05,10.3308,11.00177
2025-07-06,10.3308,11.00177
2025-07-07,10.49645,10.97667
2025-07-08,10.50217,10.98267
2025-07-09,10.50972,10.99049
2025-07-10,10.51494,10.99576
2025-07-11,10.54363,11.02444
2025-07-12,10.41205,11.08121
