zaman,alis,satis
2024-04-15,2.92051,3.08645
2024-04-16,2.91713,3.08238
2024-04-17,2.90367,3.06803
2024-04-18,2.91902,3.0844
2024-04-19,2.93738,3.10338
2024-04-20,2.91264,3.09522
2024-04-21,2.91264,3.09522
2024-04-22,2.9284,3.09413
2024-04-23,2.94285,3.1237
2024-04-24,2.93441,3.10059
2024-04-25,2.92574,3.09133
2024-04-26,2.91258,3.07776
2024-04-27,2.90367,3.09299
2024-04-28,2.90367,3.09299
2024-04-29,2.90867,3.07399
2024-04-30,2.89941,3.06429
2024-05-01,2.85435,3.0646
2024-05-02,2.8818,3.04727
2024-05-03,2.90917,3.07643
2024-05-04,2.87939,3.09883
2024-05-05,2.87939,3.09883
2024-05-06,2.90813,3.07566
2024-05-07,2.8977,3.06482
2024-05-08,2.8769,3.0428
2024-05-09,2.88557,3.05213
2024-05-10,2.88338,3.04995
2024-05-11,2.86687,3.09838
2024-05-12,2.86687,3.09838
2024-05-13,2.89368,3.0608
2024-05-14,2.89989,3.067
2024-05-15,2.92313,3.09184
2024-05-16,2.92502,3.09389
2024-05-17,2.92358,3.09242
2024-05-18,2.89109,3.12698
2024-05-19,2.89109,3.12698
2024-05-20,2.92605,3.09507
2024-05-21,2.92682,3.09594
2024-05-22,2.91364,3.08197
2024-05-23,2.91723,3.08561
2024-05-24,2.93997,3.10974
2024-05-25,2.90692,3.13378
2024-06-06,3.00567,3.17911
2024-06-07,2.98176,3.1534
2024-06-08,2.95869,3.18217
2024-06-09,2.95869,3.18217
2024-06-10,2.99627,3.16816
2024-06-11,2.99203,3.16408
2024-06-12,3.04807,3.22354
2024-06-13,3.00215,3.17494
2024-06-14,3.01106,3.18222
2024-06-15,2.99814,3.23357
2024-06-16,2.99814,3.23357
2024-06-17,3.00918,3.22833
2024-06-18,3.00568,3.2264
2024-06-19,3.00984,3.23128
2024-06-20,3.05598,3.22899
2024-06-21,3.0327,3.20457
2024-06-22,3.01435,3.23729
2024-06-23,3.01435,3.23729
2024-06-24,3.05642,3.22917
2024-06-25,3.04982,3.22184
2024-06-26,3.02543,3.19673
2024-06-27,3.01263,3.18319
2024-06-28,3.0102,3.18103
2024-06-29,2.97929,3.20069
2024-06-30,2.97929,3.20069
2024-07-01,2.9887,3.1587
2024-07-02,2.98546,3.15583
2024-07-03,3.02337,3.1961
2024-07-04,3.01456,3.18663
2024-07-05,3.02522,3.19731
2024-07-06,2.99993,3.23031
2024-07-07,2.99993,3.23031
2024-07-08,3.01599,3.18728
2024-07-09,3.02807,3.19912
2024-07-10,3.03061,3.20194
2024-07-11,3.04901,3.22181
2024-07-12,3.05244,3.22413
2024-07-13,3.01847,3.25717
2024-07-14,3.01847,3.25717
2024-07-15,3.01264,3.23071
2024-07-16,3.02917,3.1993
2024-07-17,3.05128,3.22268
2024-07-18,3.04807,3.21942
2024-07-19,3.01176,3.18107
2024-07-20,2.98152,3.20529
2024-07-21,2.98152,3.20529
2024-07-22,2.98513,3.15359
2024-07-23,2.95985,3.12756
2024-07-24,2.96663,3.13466
2024-07-25,2.97388,3.14131
2024-07-26,2.96921,3.13649
2024-07-27,2.93306,3.15693
2024-07-28,2.93306,3.15693
2024-07-29,2.96321,3.13011
2024-07-30,2.98184,3.14945
2024-07-31,3.00544,3.17425
2024-08-01,3.00971,3.179
2024-08-02,3.05807,3.22932
2024-08-03,3.02309,3.25593
2024-08-04,3.02309,3.25593
2024-08-05,3.08677,3.25878
2024-08-06,3.10548,3.27712
2024-08-07,3.12017,3.29344
2024-08-08,3.09261,3.26434
2024-08-09,3.1058,3.2782
2024-08-10,3.07115,3.29648
2024-08-11,3.07115,3.29648
2024-08-12,3.10017,3.27212
2024-08-13,3.10712,3.2793
2024-08-14,3.1338,3.30736
2024-08-15,3.11334,3.28555
2024-08-16,3.1226,3.29493
2024-08-17,3.11074,3.34214
2024-08-18,3.11074,3.34214
2024-08-19,3.18006,3.35532
2024-08-20,3.21365,3.38998
2024-08-21,3.22874,3.40578
2024-08-22,3.22226,3.39885
2024-08-23,3.24774,3.42542
2024-08-24,3.22113,3.45486
2024-08-25,3.22113,3.45486
2024-08-26,3.24863,3.42624
2024-08-27,3.25506,3.43284
2024-08-28,3.25779,3.4357
2024-08-29,3.23708,3.41369
2024-08-30,3.21429,3.43994
2024-08-31,3.20056,3.43466
2024-09-01,3.20056,3.43466
2024-09-02,3.22228,3.39877
2024-09-03,3.20949,3.38489
2024-09-04,3.22912,3.40546
2024-09-05,3.20991,3.38577
2024-09-06,3.22674,3.40283
2024-09-07,3.18333,3.4125
2024-09-08,3.18333,3.4125
2024-09-09,3.1933,3.36763
2024-09-10,3.18568,3.35959
2024-09-11,3.18455,3.35862
2024-09-12,3.19948,3.37473
2024-09-13,3.23732,3.41465
2024-09-14,3.1969,3.43204
2024-09-15,3.1969,3.43204
2024-09-16,3.24528,3.4226
2024-09-17,3.26031,3.43798
2024-09-18,3.25564,3.43292
2024-09-19,3.25404,3.43176
2024-09-20,3.25614,3.43349
2024-09-21,3.23911,3.47257
2024-09-22,3.23911,3.47257
2024-09-23,3.26317,3.44076
2024-09-24,3.28323,3.46194
2024-09-25,3.27446,3.45281
2024-09-26,3.28749,3.46669
2024-09-27,3.30002,3.47946
2024-09-28,3.26724,3.50301
2024-09-29,3.26724,3.50301
2024-09-30,3.28386,3.46237
2024-10-01,3.24553,3.42196
2024-10-02,3.24279,3.41883
2024-10-03,3.22323,3.39853
2024-10-04,3.21743,3.39194
2024-10-05,3.18813,3.41989
2024-10-06,3.18813,3.41989
2024-10-07,3.21672,3.39116
2024-10-08,3.21962,3.3941
2024-10-09,3.20707,3.3811
2024-10-10,3.1997,3.37348
2024-10-11,3.21705,3.39121
2024-10-12,3.18976,3.42132
2024-10-13,3.18976,3.42132
2024-10-14,3.20119,3.37474
2024-10-15,3.21461,3.38912
2024-10-16,3.17687,3.34955
2024-10-17,3.15458,3.32636
2024-10-18,3.16399,3.33555
2024-10-19,3.14199,3.36736
2024-10-20,3.14199,3.36736
2024-10-21,3.16252,3.33387
2024-10-22,3.16138,3.33283
2024-10-23,3.14829,3.31881
2024-10-24,3.15032,3.32128
2024-10-25,3.15649,3.32753
2024-10-26,3.11676,3.33955
2024-10-27,3.11676,3.33955
2024-10-28,3.12228,3.33969
2024-10-29,3.10725,3.32362
2024-10-30,3.12468,3.29415
2024-10-31,3.12081,3.29
2024-11-01,3.12189,3.29062
2024-11-02,3.08524,3.30355
2024-11-03,3.08524,3.30355
2024-11-04,3.13076,3.30008
2024-11-05,3.1205,3.28926
2024-11-06,3.0533,3.2191
2024-11-07,3.11632,3.28546
2024-11-08,3.10102,3.26859
2024-11-09,3.0707,3.28446
2024-11-10,3.0707,3.28446
2024-11-11,3.07298,3.23912
2024-11-12,3.07091,3.23691
2024-11-13,3.05512,3.22044
2024-11-14,3.04308,3.2076
2024-11-15,3.04291,3.20693
2024-11-16,3.02866,3.23894
2024-11-17,3.02866,3.23894
2024-11-18,3.06507,3.22978
2024-11-19,3.0715,3.2366
2024-11-20,3.04586,3.20988
2024-11-21,3.04793,3.2121
2024-11-22,3.03632,3.19958
2024-11-23,3.02341,3.23272
2024-11-24,3.02341,3.23272
2024-11-25,3.07409,3.23904
2024-11-26,3.072,3.23663
2024-11-27,3.09029,3.25589
2024-11-28,3.08376,3.24937
2024-11-29,3.09802,3.26384
2024-11-30,3.07897,3.29227
2024-12-01,3.07897,3.29227
2024-12-02,3.07362,3.23793
2024-12-03,3.07822,3.24283
2024-12-04,3.07684,3.24125
2024-12-05,3.11178,3.27831
2024-12-06,3.11485,3.28103
2024-12-07,3.07494,3.28639
2024-12-08,3.07494,3.28639
2024-12-09,3.1103,3.27609
2024-12-10,3.09507,3.25995
2024-12-11,3.09765,3.26269
2024-12-12,3.10692,3.27239
2024-12-13,3.10264,3.26746
2024-12-14,3.07791,3.28845
2024-12-15,3.07791,3.28845
2024-12-16,3.11175,3.27707
2024-12-17,3.11344,3.27859
2024-12-18,3.1177,3.28299
2024-12-19,3.1021,3.26624
2024-12-20,3.10095,3.26492
2024-12-21,3.08693,3.29665
2024-12-22,3.08693,3.29665
2024-12-23,3.10493,3.2687
2024-12-24,3.09813,3.26152
2024-12-25,3.05335,3.3056
2024-12-26,3.08992,3.25394
2024-12-27,3.1184,3.2833
2024-12-28,3.09243,3.3035
2024-12-29,3.09243,3.3035
2024-12-30,3.11498,3.27874
2024-12-31,3.12362,3.28793
2025-01-01,3.1007,3.31029
2025-01-02,3.0997,3.26274
2025-01-03,3.1032,3.26592
2025-01-04,3.08201,3.29037
2025-01-05,3.08201,3.29037
2025-01-06,3.11801,3.28216
2025-01-07,3.12408,3.28808
2025-01-08,3.08197,3.24373
2025-01-09,3.08843,3.25065
2025-01-10,3.07848,3.23978
2025-01-11,3.05597,3.26202
2025-01-12,3.05597,3.26202
2025-01-13,3.06647,3.2268
2025-01-14,3.08389,3.24511
2025-01-15,3.10986,3.27272
2025-01-16,3.09287,3.25478
2025-01-17,3.10469,3.26675
2025-01-18,3.06791,3.27455
2025-01-19,3.06791,3.27455
2025-01-20,3.14625,3.31068
2025-01-21,3.14402,3.30772
2025-01-22,3.15771,3.3221
2025-01-23,3.15485,3.31912
2025-01-24,3.18298,3.34844
2025-01-25,3.16003,3.37153
2025-01-26,3.16003,3.37153
2025-01-27,3.18787,3.35338
2025-01-28,3.16725,3.33168
2025-01-29,3.16362,3.32764
2025-01-30,3.16843,3.33281
2025-01-31,3.15602,3.31929
2025-02-01,3.12875,3.33748
2025-02-02,3.12875,3.33748
2025-02-03,3.13262,3.29422
2025-02-04,3.18451,3.34893
2025-02-05,3.21301,3.37895
2025-02-06,3.20522,3.37077
2025-02-07,3.22576,3.39214
2025-02-08,3.17888,3.39003
2025-02-09,3.17888,3.39003
2025-02-10,3.21219,3.37763
2025-02-11,3.23487,3.40135
2025-02-12,3.22191,3.38759
2025-04-10,3.76037,3.94498
2025-04-11,3.75521,3.93939
2025-04-12,3.74499,4.01949
2025-04-13,3.74499,4.01949
2025-04-14,3.83229,4.02026
2025-04-15,3.79186,3.97716
2025-04-15,3.76899,4.01387
2025-04-16,3.80609,3.99193
2025-04-17,3.85123,4.03938
2025-04-18,3.87274,4.06465
2025-04-19,3.8185,4.08766
2025-04-20,3.8185,4.08766
2025-04-21,3.9016,4.0947
2025-04-22,3.92423,4.11467
2025-04-23,3.85689,4.09744
2025-04-24,3.89021,4.07917
2025-04-25,3.8691,4.05647
2025-04-26,3.84432,4.09275
2025-04-27,3.84432,4.09275
2025-04-28,3.90157,4.09035
2025-04-29,3.89554,4.08418
2025-04-30,3.89356,4.08189
2025-05-01,3.81667,4.05369
2025-05-02,3.92373,4.11286
2025-05-03,3.86965,4.11988
2025-05-04,3.86965,4.11988
2025-05-05,3.90969,4.09775
2025-05-06,3.93796,4.12745
2025-05-07,3.92902,4.11794
2025-05-08,3.89836,4.08589
2025-05-09,3.90466,4.0917
2025-05-10,3.86492,4.11675
2025-05-11,3.86492,4.11675
2025-05-12,3.86259,4.04765
2025-06-17,4.05404,4.24465
2025-06-18,4.01886,4.20749
2025-06-19,4.00364,4.19126
2025-06-20,4.001,4.18792
2025-06-21,3.97338,4.23298
2025-06-22,3.97338,4.23298
2025-06-23,4.02433,4.21202
2025-06-24,4.06343,4.25362
2025-06-25,4.08523,4.27555
2025-06-26,4.0952,4.28605
2025-06-27,4.10765,4.29849
2025-06-28,4.08043,4.33444
2025-06-29,4.08043,4.33444
2025-06-30,4.08242,4.27289
2025-07-01,4.10018,4.29087
2025-07-02,4.0721,4.26166
2025-07-03,4.06728,4.25643
2025-07-04,4.07133,4.26067
2025-07-05,4.04271,4.30053
