zaman,alis,satis
2024-04-15,29.278,30.856
2024-04-16,29.051,30.615
2024-04-17,29.551,31.14
2024-04-18,29.165,30.733
2024-04-19,29.471,31.053
2024-04-20,29.315,31.272
2024-04-21,29.315,31.272
2024-04-22,28.361,29.886
2024-04-23,27.76,29.613
2024-04-24,28.119,29.629
2024-04-25,28.224,29.738
2024-04-26,28.015,29.523
2024-04-27,27.789,29.643
2024-04-28,27.789,29.643
2024-04-29,27.968,29.475
2024-04-30,27.052,28.508
2024-05-01,26.662,28.639
2024-05-02,27.037,28.513
2024-05-03,26.683,28.146
2024-05-04,26.532,28.508
2024-05-05,26.532,28.508
2024-05-06,27.511,29.021
2024-05-07,27.689,29.203
2024-05-08,27.712,29.229
2024-05-09,28.283,29.835
2024-05-10,28.341,29.898
2024-05-11,28.31,30.421
2024-05-12,28.31,30.421
2024-05-13,28.56,30.124
2024-05-14,28.764,30.338
2024-05-15,29.28,30.886
2024-05-16,29.653,31.278
2024-05-17,30.955,32.652
2024-05-18,30.824,33.126
2024-05-19,30.824,33.126
2024-05-20,32.051,33.814
2024-05-21,32.336,34.109
2024-05-22,31.437,33.163
2024-05-23,30.481,32.154
2024-05-24,30.676,32.363
2024-05-25,30.243,32.503
2024-06-06,30.854,32.544
2024-06-07,29.943,31.582
2024-06-08,29.483,31.681
2024-06-09,29.483,31.681
2024-06-10,29.972,31.604
2024-06-11,29.587,31.202
2024-06-12,30.173,31.825
2024-06-13,29.46,31.072
2024-06-14,29.785,31.395
2024-06-15,29.837,32.03
2024-06-16,29.837,32.03
2024-06-17,30.009,32.203
2024-06-18,29.72,31.911
2024-06-19,29.766,31.965
2024-06-20,31.602,33.3
2024-06-21,30.653,32.3
2024-06-22,30.187,32.396
2024-06-23,30.187,32.396
2024-06-24,30.488,32.121
2024-06-25,30.165,31.78
2024-06-26,29.641,31.232
2024-06-27,29.944,31.555
2024-06-28,30.014,31.632
2024-06-29,29.715,31.898
2024-06-30,29.715,31.898
2024-07-01,29.887,31.501
2024-07-02,30.2,31.836
2024-07-03,31.215,32.905
2024-07-04,31.04,32.719
2024-07-05,31.811,33.527
2024-07-06,31.841,34.187
2024-07-07,31.841,34.187
2024-07-08,31.901,33.619
2024-07-09,31.768,33.473
2024-07-10,31.796,33.501
2024-07-11,32.346,34.091
2024-07-12,31.992,33.701
2024-07-13,31.717,34.027
2024-07-14,31.717,34.027
2024-07-15,31.693,33.995
2024-07-16,32.104,33.813
2024-07-17,31.583,33.271
2024-07-18,31.379,33.053
2024-07-19,30.133,31.742
2024-07-20,29.862,32.041
2024-07-21,29.862,32.041
2024-07-22,29.85,31.447
2024-07-23,29.819,31.424
2024-07-24,30.249,31.873
2024-07-25,28.877,30.428
2024-07-26,28.592,30.126
2024-07-27,28.563,30.651
2024-07-28,28.563,30.651
2024-07-29,28.554,30.078
2024-07-30,29.072,30.622
2024-07-31,29.789,31.377
2024-08-01,29.421,30.993
2024-08-02,29.343,30.907
2024-08-03,29.205,31.319
2024-08-04,29.205,31.319
2024-08-05,28.345,29.848
2024-08-06,28.525,30.032
2024-08-07,28.378,29.879
2024-08-08,28.693,30.206
2024-08-09,28.846,30.368
2024-08-10,28.577,30.632
2024-08-11,28.577,30.632
2024-08-12,29.24,30.782
2024-08-13,29.089,30.62
2024-08-14,29.006,30.532
2024-08-15,29.535,31.086
2024-08-16,30.024,31.594
2024-08-17,30.131,32.282
2024-08-18,30.131,32.282
2024-08-19,31.076,32.7
2024-08-20,31.363,32.997
2024-08-21,31.297,32.929
2024-08-22,30.903,32.513
2024-08-23,31.419,33.049
2024-08-24,31.377,33.596
2024-08-25,31.377,33.596
2024-08-26,31.793,33.442
2024-08-27,32.024,33.685
2024-08-28,31.36,32.986
2024-08-29,31.642,33.282
2024-08-30,30.752,32.925
2024-08-31,30.395,32.542
2024-09-01,30.395,32.542
2024-09-02,30.346,31.926
2024-09-03,29.629,31.171
2024-09-04,30.166,31.731
2024-09-05,30.842,32.446
2024-09-06,30.267,31.841
