zaman,alis,satis
2024-04-15,2370.573,2498.95
2024-04-16,2406.3,2536.227
2024-04-17,2418.583,2549.048
2024-04-18,2403.479,2533.091
2024-04-19,2415.978,2546.394
2024-04-20,2431.048,2593.395
2024-04-21,2431.048,2593.395
2024-04-22,2370.139,2498.004
2024-04-23,2360.283,2516.467
2024-04-24,2357.678,2484.829
2024-04-25,2361.398,2488.84
2024-04-26,2347.794,2475.035
2024-04-27,2375.692,2534.665
2024-04-28,2375.692,2534.665
2024-04-29,2353.171,2480.659
2024-04-30,2312.015,2437.441
2024-05-01,2294.983,2494.305
2024-05-02,2317.254,2442.818
2024-05-03,2301.189,2426.424
2024-05-04,2280.764,2481.6
2024-05-05,2280.764,2481.6
2024-05-06,2333.199,2460.001
2024-05-07,2327.895,2454.413
2024-05-08,2325.465,2451.85
2024-05-09,2337.481,2464.678
2024-05-10,2356.705,2485.519
2024-05-11,2337.111,2542.028
2024-05-12,2337.111,2542.028
2024-05-13,2348.951,2476.819
2024-05-14,2363.266,2491.642
2024-05-15,2377.285,2506.635
2024-05-16,2376.087,2505.522
2024-05-17,2410.0,2541.59
2024-05-18,2384.785,2595.601
2024-05-19,2384.785,2595.601
2024-05-20,2427.33,2559.498
2024-05-21,2433.571,2566.111
2024-05-22,2391.776,2522.218
2024-05-23,2347.721,2475.633
2024-05-24,2335.867,2463.407
2024-05-25,2304.484,2507.703
2024-06-06,2379.931,2493.737
2024-06-07,2325.705,2437.128
2024-06-08,2274.714,2474.014
2024-06-09,2274.714,2474.014
2024-06-10,2331.375,2442.328
2024-06-11,2338.448,2449.924
2024-06-12,2345.756,2457.743
2024-06-13,2334.098,2445.546
2024-06-14,2363.537,2475.644
2024-06-15,2334.816,2537.935
2024-06-16,2334.816,2537.935
2024-06-17,2331.935,2533.022
2024-06-18,2313.544,2514.739
2024-06-19,2309.972,2511.336
2024-06-20,2424.058,2537.85
2024-06-21,2383.867,2496.168
2024-06-22,2329.073,2530.824
2024-06-23,2329.073,2530.824
2024-06-24,2395.306,2507.539
2024-06-25,2395.823,2507.954
2024-06-26,2359.636,2470.332
2024-06-27,2389.436,2501.61
2024-06-28,2374.199,2486.252
2024-06-29,2326.721,2528.681
2024-06-30,2326.721,2528.681
2024-07-01,2372.159,2484.056
2024-07-02,2366.306,2478.335
2024-07-03,2399.874,2513.742
2024-07-04,2400.127,2513.741
2024-07-05,2424.394,2539.088
2024-07-06,2382.618,2591.638
2024-07-07,2382.618,2591.638
2024-07-08,2426.84,2541.216
2024-07-09,2423.491,2537.062
2024-07-10,2440.747,2555.134
2024-07-11,2473.341,2589.554
2024-07-12,2476.411,2576.912
2024-07-13,2432.961,2642.927
2024-07-14,2432.961,2642.927
2024-07-15,2449.964,2659.996
2024-07-16,2531.858,2634.083
2024-07-17,2549.817,2652.862
2024-07-18,2549.028,2652.011
2024-07-19,2469.925,2569.945
2024-07-20,2422.777,2631.334
2024-07-21,2422.777,2631.334
2024-07-22,2455.589,2555.279
2024-07-23,2461.497,2561.816
2024-07-24,2494.417,2595.864
2024-07-25,2440.497,2539.275
2024-07-26,2449.057,2548.51
2024-07-27,2402.206,2609.843
2024-07-28,2402.206,2609.843
2024-07-29,2455.791,2555.183
2024-07-30,2472.487,2572.383
2024-07-31,2504.567,2605.698
2024-08-01,2524.533,2626.684
2024-08-02,2518.462,2620.16
2024-08-03,2479.37,2692.273
2024-08-04,2479.37,2692.273
2024-08-05,2499.67,2599.921
2024-08-06,2507.408,2607.145
2024-08-07,2510.336,2610.507
2024-08-08,2525.968,2626.858
2024-08-09,2535.283,2636.612
2024-08-10,2489.23,2700.148
2024-08-11,2489.23,2700.148
2024-08-12,2569.712,2672.147
2024-08-13,2590.296,2693.434
2024-08-14,2570.341,2672.764
2024-08-15,2564.827,2666.806
2024-08-16,2613.939,2717.847
2024-08-17,2583.193,2801.32
2024-08-18,2583.193,2801.32
2024-08-19,2640.122,2744.55
2024-08-20,2671.046,2776.456
2024-08-21,2654.01,2758.636
2024-08-22,2628.757,2732.336
2024-08-23,2658.785,2763.482
2024-08-24,2611.124,2829.472
2024-08-25,2611.124,2829.472
2024-08-26,2675.97,2781.027
2024-08-27,2677.442,2782.526
2024-08-28,2668.606,2773.22
2024-08-29,2676.903,2782.3
2024-08-30,2619.21,2836.587
2024-08-31,2609.333,2826.578
2024-09-01,2609.333,2826.578
2024-09-02,2658.57,2763.004
2024-09-03,2639.219,2742.686
2024-09-04,2661.176,2765.563
2024-09-05,2668.717,2773.541
2024-09-06,2665.026,2769.729
2024-09-07,2595.261,2812.074
2024-09-08,2595.261,2812.074
2024-09-09,2661.168,2765.373
2024-09-10,2672.717,2777.395
2024-09-11,2672.409,2777.205
2024-09-12,2709.608,2816.104
2024-09-13,2732.725,2840.501
2024-09-14,2671.325,2898.852
2024-09-15,2671.325,2898.852
2024-09-16,2746.048,2853.786
2024-09-17,2750.899,2858.443
2024-09-18,2746.629,2853.912
2024-09-19,2752.123,2859.837
2024-09-20,2787.934,2897.186
