zaman,alis,satis
2024-04-15,988.409,1046.236
2024-04-16,993.373,1051.433
2024-04-17,981.829,1037.841
2024-04-18,976.034,1031.404
2024-04-19,963.109,1017.627
2024-04-20,953.563,1021.615
2024-04-21,953.563,1021.615
2024-04-22,956.464,1012.167
2024-04-23,935.865,1000.421
2024-04-24,936.398,989.335
2024-04-25,937.313,990.125
2024-04-26,939.26,992.286
2024-04-27,934.139,1001.863
2024-04-28,934.139,1001.863
2024-04-29,968.287,1024.027
2024-04-30,956.703,1012.665
2024-05-01,963.607,1038.726
2024-05-02,963.954,1021.297
2024-05-03,962.919,1020.33
2024-05-04,957.969,1034.419
2024-05-05,957.969,1034.419
2024-05-06,969.397,1027.449
2024-05-07,989.393,1049.012
2024-05-08,983.403,1041.473
2024-05-09,988.76,1046.896
2024-05-10,995.899,1054.471
2024-05-11,995.908,1075.052
2024-05-12,995.908,1075.052
2024-05-13,1011.542,1071.002
2024-05-14,1037.397,1097.36
2024-05-15,1060.748,1122.906
2024-05-16,1057.617,1120.204
2024-05-17,1083.052,1147.285
2024-05-18,1082.567,1168.798
2024-05-19,1082.567,1168.798
2024-05-20,1064.61,1127.503
2024-05-21,1063.797,1125.317
2024-05-22,1051.717,1113.726
2024-05-23,1035.848,1095.097
2024-05-24,1038.183,1098.659
2024-05-25,1024.717,1106.082
2024-06-06,1006.823,1063.997
2024-06-07,987.454,1043.226
2024-06-08,967.53,1044.169
2024-06-09,967.53,1044.169
2024-06-10,985.242,1041.098
2024-06-11,969.332,1024.023
2024-06-12,971.9,1028.028
2024-06-13,962.315,1018.869
2024-06-14,974.119,1028.738
2024-06-15,974.295,1052.038
2024-06-16,974.295,1052.038
2024-06-17,986.078,1061.751
2024-06-18,976.071,1053.444
2024-06-19,988.798,1066.516
2024-06-20,1012.231,1068.639
2024-06-21,1022.628,1080.47
2024-06-22,1010.952,1090.603
2024-06-23,1010.952,1090.603
2024-06-24,1036.957,1097.579
2024-06-25,1019.584,1078.834
2024-06-26,1028.025,1085.222
2024-06-27,1026.43,1083.654
2024-06-28,1030.428,1088.987
2024-06-29,1009.636,1088.592
2024-06-30,1009.636,1088.592
2024-07-01,997.787,1055.68
2024-07-02,1020.415,1078.304
2024-07-03,1022.465,1079.948
2024-07-04,1027.017,1086.584
2024-07-05,1052.364,1113.143
2024-07-06,1039.594,1122.586
2024-07-07,1039.594,1122.586
2024-07-08,1031.233,1090.335
2024-07-09,1013.705,1071.639
2024-07-10,1020.782,1078.034
2024-07-11,1031.427,1093.102
2024-07-12,1031.198,1090.987
2024-07-13,1025.341,1106.075
2024-07-14,1025.341,1106.075
2024-07-15,1027.355,1106.681
2024-07-16,1026.86,1086.063
2024-07-17,1037.044,1095.519
2024-07-18,1022.907,1082.878
2024-07-19,999.198,1054.572
2024-07-20,987.666,1064.466
2024-07-21,987.666,1064.466
2024-07-22,974.044,1028.322
2024-07-23,969.446,1023.635
2024-07-24,986.266,1042.98
2024-07-25,971.231,1026.778
2024-07-26,957.301,1012.885
2024-07-27,960.043,1032.34
2024-07-28,960.043,1032.34
2024-07-29,982.84,1037.719
2024-07-30,994.747,1049.702
2024-07-31,1015.464,1071.674
2024-08-01,1000.835,1055.788
2024-08-02,995.646,1050.28
2024-08-03,986.623,1063.363
2024-08-04,986.623,1063.363
2024-08-05,957.264,1011.293
2024-08-06,971.781,1026.73
2024-08-07,971.911,1025.844
2024-08-08,978.405,1031.952
2024-08-09,972.877,1026.455
2024-08-10,959.926,1033.219
2024-08-11,959.926,1033.219
2024-08-12,992.156,1046.131
2024-08-13,984.756,1038.897
2024-08-14,977.906,1031.075
2024-08-15,998.718,1054.862
2024-08-16,1008.186,1063.016
2024-08-17,999.457,1074.009
2024-08-18,999.457,1074.009
2024-08-19,1012.986,1068.377
2024-08-20,1010.99,1066.301
2024-08-21,1030.086,1085.988
2024-08-22,1007.968,1062.459
2024-08-23,1013.634,1068.449
2024-08-24,1016.69,1093.314
2024-08-25,1016.69,1093.314
2024-08-26,1031.415,1089.479
2024-08-27,1025.494,1082.463
2024-08-28,998.738,1053.666
2024-08-29,1009.666,1064.487
2024-08-30,987.756,1059.195
2024-08-31,981.686,1055.656
2024-09-01,981.686,1055.656
2024-09-02,986.582,1040.289
2024-09-03,964.655,1018.48
2024-09-04,973.782,1026.366
2024-09-05,989.453,1044.049
2024-09-06,983.317,1036.06
2024-09-07,974.122,1045.989
2024-09-08,974.122,1045.989
2024-09-09,1001.988,1057.206
2024-09-10,1005.72,1059.682
2024-09-11,1004.903,1059.261
2024-09-12,1031.665,1088.048
2024-09-13,1066.505,1124.426
2024-09-14,1049.148,1128.592
2024-09-15,1049.148,1128.592
2024-09-16,1052.256,1108.917
2024-09-17,1050.056,1106.087
2024-09-18,1043.651,1088.174
2024-09-19,1055.497,1100.26
2024-09-20,1053.123,1096.93
2024-09-21,1024.909,1116.118
2024-09-22,1024.909,1116.118
2024-09-23,1038.745,1082.209
2024-09-24,1055.691,1099.166
2024-09-25,1065.697,1109.248
2024-09-26,1084.602,1129.966
2024-09-27,1082.719,1127.717
2024-09-28,1051.795,1144.951
2024-09-29,1051.795,1144.951
2024-09-30,1051.718,1097.263
2024-10-01,1069.436,1113.261
2024-10-02,1084.383,1129.801
2024-10-03,1059.871,1103.82
2024-10-04,1076.063,1121.374
2024-10-05,1041.526,1136.3
2024-10-06,1041.526,1136.3
2024-10-07,1052.033,1095.886
2024-10-08,1031.268,1074.429
2024-10-09,1021.378,1063.231
2024-10-10,1036.047,1079.391
2024-10-11,1052.019,1096.712
2024-10-12,1038.366,1130.795
2024-10-13,1038.366,1130.795
2024-10-14,1072.957,1116.854
2024-10-15,1064.331,1107.857
2024-10-16,1075.079,1118.892
2024-10-17,1082.208,1127.008
2024-10-18,1082.391,1126.929
2024-10-19,1065.826,1160.33
2024-10-20,1065.826,1160.33
2024-10-21,1090.663,1135.463
2024-10-22,1104.336,1149.546
2024-10-23,1098.828,1142.199
2024-10-24,1103.39,1148.692
2024-10-25,1108.128,1153.273
2024-10-26,1078.329,1174.376
2024-10-27,1078.329,1174.376
2024-10-28,1095.014,1187.257
2024-10-29,1105.745,1199.606
2024-10-30,1094.214,1140.661
2024-10-31,1067.426,1111.534
2024-11-01,1081.845,1127.378
2024-11-02,1048.033,1142.318
2024-11-03,1048.033,1142.318
2024-11-04,1073.382,1117.206
2024-11-05,1082.551,1127.091
2024-11-06,1041.928,1085.067
2024-11-07,1068.78,1113.439
2024-11-08,1058.592,1103.311
2024-11-09,1024.514,1112.191
2024-11-10,1024.514,1112.191
2024-11-11,1054.575,1097.806
2024-11-12,1029.696,1072.86
2024-11-13,1015.413,1057.223
2024-11-14,1011.18,1052.606
2024-11-15,1028.161,1071.425
2024-11-16,995.71,1079.651
2024-11-17,995.71,1079.651
2024-11-18,1045.316,1089.782
2024-11-19,1056.749,1101.269
2024-11-20,1046.831,1089.559
2024-11-21,1039.52,1081.787
2024-11-22,1050.272,1092.922
2024-11-23,1023.423,1109.607
2024-11-24,1023.423,1109.607
2024-11-25,1036.723,1078.894
