zaman,alis,satis
2024-04-15,1.6679,1.7394
2024-04-16,1.6722,1.7438
2024-04-17,1.6719,1.7434
2024-04-18,1.6622,1.7334
2024-04-19,1.6687,1.7401
2024-04-20,1.6465,1.7569
2024-04-21,1.6465,1.7569
2024-04-22,1.6625,1.7337
2024-04-23,1.6514,1.754
2024-04-24,1.6557,1.7266
2024-04-25,1.6707,1.7423
2024-04-26,1.6895,1.762
2024-04-27,1.6737,1.7843
2024-04-28,1.6737,1.7843
2024-04-29,1.6988,1.7718
2024-04-30,1.6842,1.7567
2024-05-01,1.6831,1.8074
2024-05-02,1.7011,1.7742
2024-05-03,1.7111,1.7847
2024-05-04,1.6835,1.8112
2024-05-05,1.6835,1.8112
2024-05-06,1.7172,1.7912
2024-05-07,1.7122,1.786
2024-05-08,1.697,1.7702
2024-05-09,1.7091,1.783
2024-05-10,1.7075,1.7813
2024-05-11,1.6839,1.8192
2024-05-12,1.6839,1.8192
2024-05-13,1.7206,1.7949
2024-05-14,1.7154,1.7894
2024-05-15,1.7209,1.7952
2024-05-16,1.7303,1.805
2024-05-17,1.7364,1.8114
2024-05-18,1.7067,1.8404
2024-05-19,1.7067,1.8404
2024-05-20,1.7299,1.8046
2024-05-21,1.7459,1.8213
2024-05-22,1.7273,1.802
2024-05-23,1.7082,1.782
2024-05-24,1.7117,1.7856
2024-05-25,1.683,1.8173
2024-06-06,1.6648,1.7367
2024-06-07,1.6732,1.7453
2024-06-08,1.6455,1.7805
2024-06-09,1.6455,1.7805
2024-06-10,1.6893,1.7618
2024-06-11,1.6956,1.7686
2024-06-12,1.7125,1.7864
2024-06-13,1.717,1.7909
2024-06-14,1.7387,1.8128
2024-06-15,1.7085,1.8586
2024-06-16,1.7085,1.8586
2024-06-17,1.7357,1.8624
2024-06-18,1.7354,1.863
2024-06-19,1.7435,1.8721
2024-06-20,1.7827,1.8582
2024-06-21,1.7915,1.8676
2024-06-22,1.761,1.8951
2024-06-23,1.761,1.8951
2024-06-24,1.7755,1.8506
2024-06-25,1.7758,1.8509
2024-06-26,1.7643,1.839
2024-06-27,1.7409,1.8148
2024-06-28,1.7602,1.8351
2024-06-29,1.7337,1.8655
2024-06-30,1.7337,1.8655
2024-07-01,1.7552,1.8299
2024-07-02,1.7158,1.7892
2024-07-03,1.7406,1.8151
2024-07-04,1.7465,1.8214
2024-07-05,1.7553,1.8301
2024-07-06,1.73,1.8617
2024-07-07,1.73,1.8617
2024-07-08,1.7697,1.8451
2024-07-09,1.7767,1.8518
2024-07-10,1.7763,1.8515
2024-07-11,1.7862,1.8621
2024-07-12,1.7982,1.8739
2024-07-13,1.774,1.9058
2024-07-14,1.774,1.9058
2024-07-15,1.7488,1.8758
2024-07-16,1.7909,1.8663
2024-07-17,1.7767,1.8515
2024-07-18,1.7838,1.8589
2024-07-19,1.7704,1.8448
2024-07-20,1.7423,1.873
2024-07-21,1.7423,1.873
2024-07-22,1.762,1.8366
2024-07-23,1.7444,1.8185
2024-07-24,1.7562,1.8307
2024-07-25,1.7622,1.8366
2024-07-26,1.7694,1.8443
2024-07-27,1.7352,1.8689
2024-07-28,1.7352,1.8689
2024-07-29,1.7498,1.8236
2024-07-30,1.767,1.8414
2024-07-31,1.7831,1.858
2024-08-01,1.7837,1.8587
2024-08-02,1.7845,1.8595
2024-08-03,1.7497,1.883
2024-08-04,1.7497,1.883
2024-08-05,1.7627,1.8364
2024-08-06,1.7812,1.855
2024-08-07,1.7862,1.8605
2024-08-08,1.7856,1.8599
2024-08-09,1.794,1.8686
2024-08-10,1.7628,1.8928
2024-08-11,1.7628,1.8928
2024-08-12,1.8047,1.8797
2024-08-13,1.8115,1.8866
2024-08-14,1.8228,1.8984
2024-08-15,1.8252,1.9008
2024-08-16,1.8441,1.9203
2024-08-17,1.8191,1.9533
2024-08-18,1.8191,1.9533
2024-08-19,1.8617,1.9385
2024-08-20,1.859,1.9353
2024-08-21,1.8579,1.9344
2024-08-22,1.8474,1.9232
2024-08-23,1.8741,1.9508
2024-08-24,1.8496,1.9864
2024-08-25,1.8496,1.9864
2024-08-26,1.882,1.959
2024-08-27,1.8827,1.9596
2024-08-28,1.8735,1.9501
2024-08-29,1.8818,1.9587
2024-08-30,1.8549,1.9854
2024-08-31,1.8426,1.9834
2024-09-01,1.8426,1.9834
2024-09-02,1.8629,1.9395
2024-09-03,1.8508,1.9265
2024-09-04,1.8698,1.9463
2024-09-05,1.8769,1.9539
2024-09-06,1.8719,1.9484
2024-09-07,1.8358,1.9729
2024-09-08,1.8358,1.9729
2024-09-09,1.8635,1.9397
2024-09-10,1.8603,1.9362
2024-09-11,1.8559,1.9319
2024-09-12,1.8597,1.936
2024-09-13,1.8746,1.9516
2024-09-14,1.8397,1.9795
2024-09-15,1.8397,1.9795
2024-09-16,1.8853,1.9625
2024-09-17,1.8946,1.9718
2024-09-18,1.9036,1.9813
2024-09-19,1.9095,1.9876
2024-09-20,1.9107,1.9886
2024-09-21,1.8834,2.0366
2024-09-22,1.8834,2.0366
2024-09-23,1.9343,2.0132
2024-09-24,1.9327,2.0115
2024-09-25,1.9445,2.0238
2024-09-26,1.9474,2.0268
2024-09-27,1.9576,2.0373
2024-09-28,1.9259,2.0658
2024-09-29,1.9259,2.0658
2024-09-30,1.9445,2.0237
2024-10-01,1.9314,2.0102
2024-10-02,1.9276,2.0059
2024-10-03,1.9092,1.9869
2024-10-04,1.9213,1.9993
2024-10-05,1.8846,2.0299
2024-10-06,1.8846,2.0299
2024-10-07,1.9279,2.0062
2024-10-08,1.9112,1.9886
2024-10-09,1.9,1.9771
2024-10-10,1.9085,1.9862
2024-10-11,1.9278,2.0059
2024-10-12,1.9015,2.0402
2024-10-13,1.9015,2.0402
2024-10-14,1.9122,1.9898
2024-10-15,1.9055,1.983
2024-10-16,1.8976,1.9748
2024-10-17,1.8869,1.9638
2024-10-18,1.9097,1.9872
2024-10-19,1.8769,2.0151
2024-10-20,1.8769,2.0151
2024-10-21,1.9061,1.9834
2024-10-22,1.9167,1.9944
2024-10-23,1.8823,1.9586
2024-10-24,1.8949,1.9718
2024-10-25,1.9057,1.983
2024-10-26,1.8714,2.011
2024-10-27,1.8714,2.011
2024-10-28,1.8725,2.0031
2024-10-29,1.8727,2.0033
2024-10-30,1.8962,1.9731
2024-10-31,1.8997,1.9767
2024-11-01,1.9169,1.9944
2024-11-02,1.8736,2.0135
2024-11-03,1.8736,2.0135
2024-11-04,1.9202,1.9979
2024-11-05,1.929,2.007
2024-11-06,1.8913,1.9684
2024-11-07,1.9409,2.0198
2024-11-08,1.923,2.001
2024-11-09,1.8888,2.0207
2024-11-10,1.8888,2.0207
2024-11-11,1.875,1.9509
2024-11-12,1.8636,1.9389
2024-11-13,1.8589,1.9343
2024-11-14,1.8432,1.9177
2024-11-15,1.853,1.9279
2024-11-16,1.8257,1.9527
2024-11-17,1.8257,1.9527
2024-11-18,1.8734,1.9488
2024-11-19,1.876,1.9516
2024-11-20,1.862,1.9371
2024-11-21,1.8768,1.9526
2024-11-22,1.8681,1.9432
2024-11-23,1.842,1.9697
2024-11-24,1.842,1.9697
2024-11-25,1.8777,1.9532
2024-11-26,1.8685,1.9434
2024-11-27,1.8706,1.9455
2024-11-28,1.8712,1.9464
2024-11-29,1.8852,1.9608
2024-11-30,1.8589,1.9886
2024-12-01,1.8589,1.9886
2024-12-02,1.8686,1.9434
2024-12-03,1.8797,1.9549
2024-12-04,1.8772,1.9525
2024-12-05,1.8865,1.962
2024-12-06,1.8952,1.971
2024-12-07,1.8639,1.9925
2024-12-08,1.8639,1.9925
2024-12-09,1.9201,1.9967
2024-12-10,1.9104,1.9866
2024-12-11,1.9248,2.0015
2024-12-12,1.928,2.0048
2024-12-13,1.9137,1.9898
2024-12-14,1.8903,2.0198
2024-12-15,1.8903,2.0198
2024-12-16,1.9157,1.9918
2024-12-17,1.8896,1.9646
2024-12-18,1.903,1.9785
2024-12-19,1.874,1.9482
2024-12-20,1.8772,1.9515
2024-12-21,1.8571,1.9837
2024-12-22,1.8571,1.9837
2024-12-23,1.865,1.9387
2024-12-24,1.8535,1.9268
2024-12-25,1.8447,1.9851
2024-12-26,1.8305,1.9034
2024-12-27,1.848,1.9212
2024-12-28,1.8211,1.9454
2024-12-29,1.8211,1.9454
2024-12-30,1.8461,1.9189
2024-12-31,1.838,1.9105
2025-01-01,1.8133,1.9361
2025-01-02,1.8506,1.9235
2025-01-03,1.8536,1.9264
2025-01-04,1.8239,1.9476
2025-01-05,1.8239,1.9476
2025-01-06,1.8689,1.9426
2025-01-07,1.8665,1.9399
2025-01-08,1.835,1.9073
2025-01-09,1.8369,1.9093
2025-01-10,1.8165,1.8879
2025-01-11,1.7933,1.9146
2025-01-12,1.7933,1.9146
2025-01-13,1.8244,1.8958
2025-01-14,1.8377,1.9096
2025-01-15,1.8549,1.9276
2025-01-16,1.8437,1.9159
2025-01-17,1.8628,1.9357
2025-01-18,1.8318,1.9554
2025-01-19,1.8318,1.9554
2025-01-20,1.8814,1.9552
2025-01-21,1.8835,1.957
2025-01-22,1.8921,1.9658
2025-01-23,1.8851,1.9586
2025-01-24,1.9051,1.9792
2025-01-25,1.8748,2.0006
2025-01-26,1.8748,2.0006
2025-01-27,1.8732,1.946
2025-01-28,1.8764,1.9493
2025-01-29,1.8778,1.9508
2025-01-30,1.8984,1.9721
2025-01-31,1.8875,1.9606
2025-02-01,1.8567,1.9808
2025-02-02,1.8567,1.9808
2025-02-03,1.8725,1.9449
2025-02-04,1.8859,1.959
2025-02-05,1.8955,1.969
2025-02-06,1.897,1.9704
2025-02-07,1.9211,1.9953
2025-02-08,1.8897,2.0156
2025-02-09,1.8897,2.0156
2025-02-10,1.9181,1.9922
2025-02-11,1.9182,1.9921
2025-02-12,1.9108,1.9842
2025-04-10,1.9096,1.9798
2025-04-11,1.9481,2.0201
2025-04-12,1.906,2.0522
2025-04-13,1.906,2.0522
2025-04-14,1.9838,2.0567
2025-04-15,1.9702,2.0423
2025-04-15,1.9507,2.0825
2025-04-16,1.9912,2.0641
2025-04-17,1.986,2.0589
2025-04-18,1.9928,2.0671
2025-04-19,1.9566,2.0822
2025-04-20,1.9566,2.0822
2025-04-21,2.0078,2.0815
2025-04-22,2.0208,2.0944
2025-04-23,1.9926,2.1172
2025-04-24,2.0066,2.0797
2025-04-25,2.013,2.0863
2025-04-26,1.9872,2.123
2025-04-27,1.9872,2.123
2025-04-28,2.0352,2.1093
2025-04-29,2.0344,2.1082
2025-04-30,2.0297,2.1035
2025-05-01,2.0026,2.1275
2025-05-02,2.0608,2.1352
2025-05-03,2.0322,2.1631
2025-05-04,2.0322,2.1631
2025-05-05,2.0702,2.1449
2025-05-06,2.0822,2.1573
2025-05-07,2.0808,2.1559
2025-05-08,2.0867,2.1621
2025-05-09,2.0848,2.1598
2025-05-10,2.0639,2.1978
2025-05-11,2.0639,2.1978
2025-05-12,2.0794,2.1543
2025-06-17,2.1607,2.2369
