zaman,kur,alis,satis
1713192968,ZAR,1.6679,1.7394
1713279495,ZAR,1.6722,1.7438
1713365769,ZAR,1.6719,1.7434
1713452045,ZAR,1.6622,1.7334
1713538451,ZAR,1.6687,1.7401
1713625083,ZAR,1.6465,1.7569
1713711254,ZAR,1.6465,1.7569
1713797410,ZAR,1.6625,1.7337
1713884171,ZAR,1.6514,1.754
1713970563,ZAR,1.6557,1.7266
1714057081,ZAR,1.6707,1.7423
1714143253,ZAR,1.6895,1.762
1714229881,ZAR,1.6737,1.7843
1714316173,ZAR,1.6737,1.7843
1714402695,ZAR,1.6988,1.7718
1714488965,ZAR,1.6842,1.7567
1714575492,ZAR,1.6831,1.8074
1714661762,ZAR,1.7011,1.7742
1714748165,ZAR,1.7111,1.7847
1714834561,ZAR,1.6835,1.8112
1714920843,ZAR,1.6835,1.8112
1715007257,ZAR,1.7172,1.7912
1715093648,ZAR,1.7122,1.786
1715180054,ZAR,1.697,1.7702
1715266324,ZAR,1.7091,1.783
1715352978,ZAR,1.7075,1.7813
1715439600,ZAR,1.6839,1.8192
1715525897,ZAR,1.6839,1.8192
1715611962,ZAR,1.7206,1.7949
1715698482,ZAR,1.7154,1.7894
1715785122,ZAR,1.7209,1.7952
1715871522,ZAR,1.7303,1.805
1715957562,ZAR,1.7364,1.8114
1716044082,ZAR,1.7067,1.8404
1716130722,ZAR,1.7067,1.8404
1716217122,ZAR,1.7299,1.8046
1716303523,ZAR,1.7459,1.8213
1716389802,ZAR,1.7273,1.802
1716475962,ZAR,1.7082,1.782
1716562482,ZAR,1.7117,1.7856
1716648882,ZAR,1.683,1.8173
1717685803,ZAR,1.6648,1.7367
1717772082,ZAR,1.6732,1.7453
1717858602,ZAR,1.6455,1.7805
1717945002,ZAR,1.6455,1.7805
1718031402,ZAR,1.6893,1.7618
1718117682,ZAR,1.6956,1.7686
1718204082,ZAR,1.7125,1.7864
1718290362,ZAR,1.717,1.7909
1718376882,ZAR,1.7387,1.8128
1718463522,ZAR,1.7085,1.8586
1718549683,ZAR,1.7085,1.8586
1718636203,ZAR,1.7357,1.8624
1718722362,ZAR,1.7354,1.863
1718808763,ZAR,1.7435,1.8721
1718895522,ZAR,1.7827,1.8582
1718981682,ZAR,1.7915,1.8676
1719068203,ZAR,1.761,1.8951
1719154363,ZAR,1.761,1.8951
1719240762,ZAR,1.7755,1.8506
1719327403,ZAR,1.7758,1.8509
1719413562,ZAR,1.7643,1.839
1719500202,ZAR,1.7409,1.8148
1719586362,ZAR,1.7602,1.8351
1719672763,ZAR,1.7337,1.8655
1719759402,ZAR,1.7337,1.8655
1719845802,ZAR,1.7552,1.8299
1719932202,ZAR,1.7158,1.7892
1720018482,ZAR,1.7406,1.8151
1720104642,ZAR,1.7465,1.8214
1720191282,ZAR,1.7553,1.8301
1720277802,ZAR,1.73,1.8617
1720364202,ZAR,1.73,1.8617
1720450362,ZAR,1.7697,1.8451
1720536882,ZAR,1.7767,1.8518
1720623402,ZAR,1.7763,1.8515
1720709563,ZAR,1.7862,1.8621
1720796202,ZAR,1.7982,1.8739
1720882602,ZAR,1.774,1.9058
1720968762,ZAR,1.774,1.9058
1721055162,ZAR,1.7488,1.8758
1721141562,ZAR,1.7909,1.8663
1721228202,ZAR,1.7767,1.8515
1721314482,ZAR,1.7838,1.8589
1721400883,ZAR,1.7704,1.8448
1721487402,ZAR,1.7423,1.873
1721573802,ZAR,1.7423,1.873
1721659962,ZAR,1.762,1.8366
1721746602,ZAR,1.7444,1.8185
1721833002,ZAR,1.7562,1.8307
1721919282,ZAR,1.7622,1.8366
1722005682,ZAR,1.7694,1.8443
1722092202,ZAR,1.7352,1.8689
1722178722,ZAR,1.7352,1.8689
1722264882,ZAR,1.7498,1.8236
1722351282,ZAR,1.767,1.8414
1722437802,ZAR,1.7831,1.858
1722524203,ZAR,1.7837,1.8587
1722610362,ZAR,1.7845,1.8595
1722697002,ZAR,1.7497,1.883
1722783522,ZAR,1.7497,1.883
1722869802,ZAR,1.7627,1.8364
1722956322,ZAR,1.7812,1.855
1723042482,ZAR,1.7862,1.8605
1723129002,ZAR,1.7856,1.8599
1723215163,ZAR,1.794,1.8686
1723301682,ZAR,1.7628,1.8928
1723388202,ZAR,1.7628,1.8928
1723474482,ZAR,1.8047,1.8797
1723561123,ZAR,1.8115,1.8866
1723647523,ZAR,1.8228,1.8984
1723730322,ZAR,1.8252,1.9008
1723817802,ZAR,1.8441,1.9203
1723906363,ZAR,1.8191,1.9533
1723993002,ZAR,1.8191,1.9533
1724079282,ZAR,1.8617,1.9385
1724164002,ZAR,1.859,1.9353
1724252202,ZAR,1.8579,1.9344
1724338362,ZAR,1.8474,1.9232
1724424889,ZAR,1.8741,1.9508
1724511409,ZAR,1.8496,1.9864
1724597809,ZAR,1.8496,1.9864
1724684209,ZAR,1.882,1.959
1724770489,ZAR,1.8827,1.9596
1724857010,ZAR,1.8735,1.9501
1724943409,ZAR,1.8818,1.9587
1725029689,ZAR,1.8549,1.9854
1725116089,ZAR,1.8426,1.9834
1725202370,ZAR,1.8426,1.9834
1725288889,ZAR,1.8629,1.9395
1725375169,ZAR,1.8508,1.9265
1725461809,ZAR,1.8698,1.9463
