zaman,alis,satis
2024-04-24,34.090966,35.257329
2024-04-25,34.064374,35.664737
2024-04-26,34.014513,35.190786
2024-04-27,33.53332,35.677988
2024-04-28,33.53332,35.677988
2024-04-29,33.75985,35.268461
2024-04-30,33.670788,35.179725
2024-05-01,32.971847,35.786683
2024-05-02,33.529504,35.02649
2024-05-03,33.798684,35.530598
2024-05-04,33.155717,35.889403
2024-05-05,33.155717,35.889403
2024-05-06,33.947815,35.46684
2024-05-07,33.864789,35.382904
2024-05-08,33.770291,35.278055
2024-05-09,33.724341,35.240573
2024-05-10,33.772887,35.289011
2024-05-11,33.133513,35.870724
2024-05-12,33.133513,35.870724
2024-05-13,33.919543,35.440423
2024-05-14,34.099854,35.614424
2024-05-15,34.076282,35.593376
2024-05-16,34.076066,35.604588
2024-05-17,34.137396,35.666634
2024-05-18,33.390315,36.107882
2024-05-19,33.390315,36.107882
2024-05-20,34.061778,35.591661
2024-05-21,34.015603,35.54365
2024-05-22,33.953565,35.469494
2024-05-23,33.96784,35.493416
2024-05-24,33.921963,35.449065
2024-05-25,33.259709,36.013383
2024-05-26,33.259709,36.013383
2024-05-27,34.087454,35.615354
2024-05-28,33.306126,36.011843
2024-05-29,34.008296,35.534756
2024-05-30,34.134507,35.660494
2024-05-31,34.099893,35.630924
2024-06-01,33.247442,36.00229
2024-06-02,33.247442,36.00229
2024-06-03,34.105675,35.637506
2024-06-04,34.337943,35.869387
2024-06-05,34.12375,35.650415
2024-06-06,34.215921,35.748124
2024-06-07,34.046306,35.678287
2024-06-08,33.33609,36.26892
2024-06-09,33.33609,36.26892
2024-06-10,33.914702,35.212134
2024-06-11,33.951643,35.248078
2024-06-12,34.181304,35.488653
2024-06-13,34.146192,35.450285
2024-06-14,34.082121,35.480729
2024-06-15,33.13362,36.068024
2024-06-16,33.13362,36.068024
2024-06-17,33.170779,36.181875
2024-06-18,33.260573,35.982096
2024-06-19,33.26987,35.911832
2024-06-20,34.458054,35.756332
2024-06-21,34.348803,35.636357
2024-06-22,33.669723,36.312458
2024-06-23,33.669723,36.312458
2024-06-24,34.598486,35.899417
2024-06-25,34.490905,35.776071
2024-06-26,34.555477,35.849065
2024-06-27,34.692383,35.983988
2024-06-28,34.355288,35.757558
2024-06-29,33.811827,36.38825
2024-06-30,33.811827,36.38825
2024-07-01,34.474025,35.781511
2024-07-02,34.398087,35.696493
2024-07-03,34.557292,35.86548
2024-07-04,34.426785,35.733113
2024-07-05,34.623015,35.921907
2024-07-06,33.984947,36.592908
2024-07-07,33.984947,36.592908
2024-07-08,34.825383,36.127533
2024-07-09,34.069367,36.664707
2024-07-10,34.816191,36.126344
2024-07-11,35.07173,36.389185
2024-07-12,35.165268,36.484557
2024-07-13,34.63744,37.25888
2024-07-14,34.63744,37.25888
2024-07-15,34.634852,37.279355
2024-07-16,35.24558,36.55678
2024-07-17,35.417847,36.85154
2024-07-18,35.40222,36.72353
2024-07-19,35.224776,36.533322
2024-07-20,34.588526,37.272874
2024-07-21,34.588526,37.272874
2024-07-22,35.061533,36.378523
2024-07-23,34.919045,36.338535
2024-07-24,34.926406,36.231399
2024-07-25,35.04727,36.360184
2024-07-26,35.047934,36.363128
2024-07-27,34.255537,36.930803
2024-07-28,34.255537,36.930803
2024-07-29,35.046887,36.356399
2024-07-30,35.034975,36.333578
2024-07-31,35.277828,36.476254
2024-08-01,35.064081,36.271283
2024-08-02,35.603675,36.806169
2024-08-03,34.589677,37.256808
2024-08-04,34.589677,37.256808
2024-08-05,35.957222,37.167194
2024-08-06,36.098186,37.303995
2024-08-07,35.968889,37.174084
2024-08-08,35.876083,37.078119
2024-08-09,35.92585,37.131248
2024-08-10,35.265093,37.946136
2024-08-11,35.265093,37.946136
2024-08-12,35.960629,37.274883
2024-08-13,36.089641,37.408457
2024-08-14,36.346624,37.677669
2024-08-15,36.213469,37.537283
2024-08-16,36.378306,37.701877
2024-08-17,35.736372,38.614894
2024-08-18,35.736372,38.614894
2024-08-19,36.582014,37.897891
2024-08-20,36.156183,38.958924
2024-08-21,37.167219,38.507181
2024-08-22,36.9985,38.336941
2024-08-23,37.226241,38.571447
2024-08-24,36.594501,39.533604
2024-08-25,36.594501,39.533604
2024-08-26,37.304272,38.541348
2024-08-27,37.395717,38.629988
2024-08-28,37.186647,38.418762
2024-08-29,37.222825,38.450168
2024-08-30,36.2817,38.968083
2024-08-31,36.214587,38.880094
2024-09-01,36.214587,38.880094
2024-09-02,36.898437,38.121308
2024-09-03,37.031311,38.141658
2024-09-04,37.127222,38.239935
2024-09-05,37.081223,38.195158
2024-09-06,37.04815,38.165851
2024-09-07,36.239105,38.927973
2024-09-08,36.239105,38.927973
2024-09-09,36.990107,38.099541
2024-09-10,36.935403,38.04319
2024-09-11,36.842502,37.949137
2024-09-12,36.828581,37.937208
2024-09-13,36.892573,38.006242
2024-09-14,36.304151,39.00448
2024-09-15,36.304151,39.00448
2024-09-16,37.195604,38.316925
2024-09-17,36.549807,39.235144
2024-09-18,36.599949,39.286813
2024-09-19,37.314898,38.432683
2024-09-20,37.417241,38.537924
2024-09-21,36.613715,39.453494
2024-09-22,36.613715,39.453494
2024-09-23,37.442263,38.561068
2024-09-24,37.512597,38.637886
2024-09-25,37.630843,38.756167
2024-09-26,37.331805,38.562009
2024-09-27,36.83713,39.536774
2024-09-28,36.78321,39.507652
2024-09-29,36.78321,39.507652
2024-09-30,37.514945,38.75248
2024-10-01,37.24814,38.480025
2024-10-02,37.143434,38.365066
2024-10-03,37.013429,38.232662
2024-10-04,36.888289,38.102052
2024-10-05,36.14523,38.954517
2024-10-06,36.14523,38.954517
2024-10-07,36.247242,38.955987
2024-10-08,36.989049,38.203035
2024-10-09,36.879777,38.090395
2024-10-10,36.771287,37.98
2024-10-11,36.791468,38.000848
2024-10-12,35.929951,39.070689
2024-10-13,35.929951,39.070689
2024-10-14,36.794676,37.969504
2024-10-15,36.766676,37.937732
2024-10-16,36.642414,37.810808
2024-10-17,36.276445,37.487598
2024-10-18,36.52925,37.744786
2024-10-19,35.588934,38.749603
2024-10-20,35.585629,38.753173
2024-10-21,36.529625,37.802791
2024-10-22,36.361211,37.575159
2024-10-23,36.385517,37.596904
2024-10-24,36.378151,37.646981
2024-10-25,36.59509,37.68487
2024-10-26,35.456241,38.619833
2024-10-27,35.456241,38.619833
2024-10-28,35.52492,38.694951
2024-10-29,35.464587,38.623413
2024-10-30,36.639684,37.734326
2024-10-31,36.527212,37.730742
2024-11-01,36.710916,37.804022
2024-11-02,35.699097,38.687225
2024-11-03,35.699097,38.687225
2024-11-04,36.802514,38.008721
2024-11-05,36.874306,37.970578
2024-11-06,36.024659,37.249748
2024-11-07,36.339383,37.427617
2024-11-08,36.332353,37.522519
2024-11-09,35.263513,38.432773
2024-11-10,35.263513,38.432773
2024-11-11,36.064348,37.136669
2024-11-12,35.971233,37.039866
2024-11-13,35.981182,37.051176
2024-11-14,35.679258,36.74309
2024-11-15,35.677987,36.84865
2024-11-16,34.768428,37.718194
2024-11-17,34.768428,37.718194
2024-11-18,35.957061,37.020807
2024-11-19,36.045054,37.008074
2024-11-20,35.811518,36.87686
2024-11-21,35.853737,36.808371
2024-11-22,35.499328,36.444814
2024-11-23,34.635215,37.427553
2024-11-24,34.635215,37.427553
2024-11-25,35.969892,36.924573
2024-11-26,35.88937,36.845086
2024-11-27,36.127453,37.092757
2024-11-28,35.890392,36.84611
2024-11-29,35.992791,37.056022
2024-11-30,35.317997,38.111181
2024-12-01,35.317997,38.111181
2024-12-02,35.096819,37.641361
2024-12-03,35.934692,36.994663
2024-12-04,35.890852,36.845225
2024-12-05,36.019623,36.978517
2024-12-06,36.20319,37.16713
2024-12-07,35.273633,38.074751
2024-12-08,35.273633,38.074751
2024-12-09,36.340336,37.300294
2024-12-10,36.21141,37.167221
2024-12-11,36.142574,37.09734
2024-12-12,36.01191,36.966602
2024-12-13,36.170967,37.124502
2024-12-14,35.126285,37.779564
2024-12-15,35.126285,37.779564
2024-12-16,36.180841,37.137799
2024-12-17,36.244176,37.198597
2024-12-18,36.222821,37.175962
2024-12-19,35.954251,36.898928
2024-12-20,36.017584,36.962457
2024-12-21,35.1616,37.8863
2024-12-22,35.1616,37.8863
2024-12-23,36.130863,37.076781
2024-12-24,36.139424,37.091865
2024-12-25,36.097362,37.585608
2024-12-26,36.144425,37.163342
2024-12-27,36.098855,37.187973
2024-12-28,35.369611,37.931064
2024-12-29,35.369611,37.931064
2024-12-30,36.180919,37.129691
2024-12-31,36.156182,37.100651
2025-01-01,35.144028,37.815205
2025-01-02,35.895997,36.833486
2025-01-03,35.832528,36.874867
2025-01-04,34.937806,37.508649
2025-01-05,34.937806,37.508649
2025-01-06,36.141861,37.234155
2025-01-07,36.182634,37.26929
2025-01-08,35.842433,36.918369
2025-01-09,35.818033,36.931292
2025-01-10,35.7509,36.895529
2025-01-11,34.785454,37.564454
2025-01-12,34.785454,37.564454
2025-01-13,35.47196,36.680003
2025-01-14,35.577641,36.735847
2025-01-15,35.158026,38.161079
2025-01-16,34.913117,37.898051
2025-01-17,36.012076,37.123703
2025-01-18,34.746784,38.24709
2025-01-19,34.746784,38.24709
2025-01-20,36.380948,37.503916
2025-01-21,36.399301,37.521391
2025-01-22,36.505103,37.81102
2025-01-23,36.465943,37.774197
2025-01-24,36.642115,38.126796
2025-01-25,35.622645,39.235666
2025-01-26,35.622645,39.235666
2025-01-27,36.981388,38.15737
2025-01-28,36.545746,38.065623
2025-01-29,36.582803,37.815666
2025-01-30,36.812423,37.863634
2025-01-31,36.549211,37.712345
2025-02-01,35.701872,38.636748
2025-02-02,35.701872,38.636748
2025-02-03,36.233485,37.451387
2025-02-04,36.585689,37.817514
2025-02-05,36.670531,37.976923
2025-02-06,36.504012,37.73356
2025-02-07,36.573141,37.80265
2025-02-08,35.599221,38.497432
2025-02-09,35.599221,38.497432
2025-02-10,36.422198,37.642584
2025-02-11,36.605431,37.827553
2025-02-12,36.616323,37.843668
2025-02-13,36.897568,37.919375
2025-02-14,37.261722,38.503581
2025-02-15,36.44312,39.466373
2025-02-16,36.44312,39.466373
2025-02-17,37.418375,38.48768
2025-02-18,37.370072,38.402272
2025-02-19,37.156239,38.3922
2025-02-20,37.229709,38.429187
2025-02-21,37.428268,38.649828
2025-02-22,36.517677,39.591518
2025-02-23,36.517677,39.591518
2025-02-24,36.66558,39.624136
2025-02-25,37.695451,38.834949
2025-02-26,37.639155,38.781156
2025-02-27,37.460106,38.59677
2025-02-28,37.337122,38.46724
2025-03-01,36.363873,39.43392
2025-03-02,36.363873,39.43392
2025-03-03,37.382011,38.521491
2025-03-04,37.845093,38.993001
2025-03-05,38.524362,39.689666
2025-03-06,38.830297,40.005145
2025-03-07,38.973132,40.151407
2025-03-08,37.965653,41.162386
2025-03-09,37.965653,41.162386
2025-03-10,38.961435,40.250367
2025-03-11,39.290136,40.584954
2025-03-12,39.216457,40.508382
2025-03-13,39.119046,40.411306
2025-03-14,39.145889,40.436372
2025-03-15,38.257534,41.492663
2025-03-16,38.257534,41.492663
2025-03-17,39.348336,40.642932
2025-03-18,39.358954,40.654004
2025-03-19,40.372009,42.43521
2025-03-20,40.417843,41.927667
2025-03-21,40.320229,42.046358
2025-03-22,39.678019,43.272764
2025-03-23,39.678019,44.144101
2025-03-24,39.635966,42.921674
2025-03-25,40.397461,41.687142
2025-03-26,40.132987,41.893394
2025-03-27,40.342155,41.629156
2025-03-28,40.403579,41.695451
2025-03-29,39.544544,42.778973
2025-03-30,39.544544,42.778973
2025-03-31,39.403277,42.669318
2025-04-01,39.387595,42.693034
2025-04-02,40.413338,41.709021
2025-04-03,41.4022,42.728828
2025-04-04,41.15212,42.580586
2025-04-05,39.957687,43.340373
2025-04-06,39.957687,43.340373
2025-04-07,40.957988,42.318738
2025-04-08,40.849321,42.156429
2025-04-09,41.329943,42.648362
2025-04-10,41.605453,42.853544
2025-04-11,42.679165,43.954814
2025-04-12,41.695744,44.733373
2025-04-13,41.695744,44.733373
2025-04-14,42.443858,43.796097
2025-04-15,42.340533,43.688368
2025-04-16,42.665014,44.02608
2025-04-17,42.731506,43.861261
2025-04-18,42.781997,44.145463
2025-04-19,41.788466,45.044132
2025-04-20,41.788466,45.044132
2025-04-21,43.279567,44.657963
2025-04-22,43.172292,44.541674
2025-04-23,42.035582,44.999609
2025-04-24,42.808918,44.434497
2025-04-25,42.784609,44.425142
2025-04-26,41.731449,45.14369
2025-04-27,41.731449,45.14369
2025-04-28,42.913902,44.328684
2025-04-29,43.06884,44.59338
2025-04-30,43.045916,44.408361
2025-05-01,41.86292,45.07565
2025-05-02,43.05504,44.443685
2025-05-03,42.0174,45.060432
2025-05-04,42.0174,45.060432
2025-05-05,43.04321,44.514098
2025-05-06,43.07207,44.543105
2025-05-07,43.151457,44.628225
2025-05-08,42.942776,44.408754
2025-05-09,42.948135,44.410272
2025-05-10,41.950395,45.073052
2025-05-11,41.950395,45.073052
2025-05-12,42.464966,43.801096
2025-05-13,42.441014,43.889544
2025-05-14,42.728291,44.113834
