zaman,alis,satis
2024-04-24,31.9205,32.9205
2024-04-25,31.845,33.245
2024-04-26,31.84,32.84
2024-04-27,31.6,33.118
2024-04-28,31.6,33.118
2024-04-29,31.578,32.878
2024-04-30,31.48,32.78
2024-05-01,31.1,33.24
2024-05-02,31.4595,32.7595
2024-05-03,31.444,32.944
2024-05-04,31.0525,33.1
2024-05-05,31.0525,33.1
2024-05-06,31.53,32.83
2024-05-07,31.4675,32.7675
2024-05-08,31.4585,32.7585
2024-05-09,31.369,32.669
2024-05-10,31.42,32.72
2024-05-11,31.0,33.049
2024-05-12,31.0,33.049
2024-05-13,31.46,32.76
2024-05-14,31.56,32.86
2024-05-15,31.48,32.78
2024-05-16,31.445,32.745
2024-05-17,31.49,32.79
2024-05-18,30.95,32.9585
2024-05-19,30.95,32.9585
2024-05-20,31.4,32.7
2024-05-21,31.395,32.695
2024-05-22,31.384,32.684
2024-05-23,31.403,32.703
2024-05-24,31.323,32.623
2024-05-25,30.9,32.948
2024-05-26,30.9,32.948
2024-05-27,31.47,32.77
2024-05-28,30.889,32.889
2024-05-29,31.423,32.723
2024-05-30,31.56,32.86
2024-05-31,31.412,32.712
2024-06-01,30.9,32.95
2024-06-02,30.9,32.95
2024-06-03,31.4,32.7
2024-06-04,31.64,32.94
2024-06-05,31.46,32.76
2024-06-06,31.5015,32.8015
2024-06-07,31.525,32.925
2024-06-08,31.1,33.32
2024-06-09,31.1,33.32
2024-06-10,31.646,32.746
2024-06-11,31.71,32.81
2024-06-12,31.65,32.75
2024-06-13,31.7025,32.8025
2024-06-14,31.975,33.175
2024-06-15,31.2,33.445
2024-06-16,31.2,33.445
2024-06-17,31.2,33.513
2024-06-18,31.2,33.238
2024-06-19,31.2,33.17
2024-06-20,32.18,33.28
2024-06-21,32.18,33.28
2024-06-22,31.7315,33.7
2024-06-23,31.7315,33.7
2024-06-24,32.251,33.351
2024-06-25,32.298,33.398
2024-06-26,32.41,33.51
2024-06-27,32.42,33.52
2024-06-28,32.162,33.362
2024-06-29,31.8,33.701
2024-06-30,31.8,33.701
2024-07-01,32.126,33.226
2024-07-02,32.115,33.215
2024-07-03,32.01,33.11
2024-07-04,31.9275,33.0275
2024-07-05,32.059,33.159
2024-07-06,31.6,33.506
2024-07-07,31.6,33.506
2024-07-08,32.175,33.275
2024-07-09,31.74,33.64
2024-07-10,32.22,33.32
2024-07-11,32.2805,33.3805
2024-07-12,32.325,33.425
2024-07-13,32.0,33.9
2024-07-14,32.0,33.9
2024-07-15,31.98,33.9
2024-07-16,32.4435,33.5435
2024-07-17,32.447,33.647
2024-07-18,32.51,33.61
2024-07-19,32.4035,33.5035
2024-07-20,32.04,34.0
2024-07-21,32.04,34.0
2024-07-22,32.283,33.383
2024-07-23,32.32,33.42
2024-07-24,32.2,33.3
2024-07-25,32.38,33.48
2024-07-26,32.318,33.418
2024-07-27,31.79,33.75
2024-07-28,31.79,33.75
2024-07-29,32.4725,33.5725
2024-07-30,32.4825,33.5825
2024-07-31,32.59,33.59
2024-08-01,32.5125,33.5125
2024-08-02,32.698,33.698
2024-08-03,31.95,33.895
2024-08-04,31.95,33.895
2024-08-05,32.83,33.83
2024-08-06,33.0975,34.0975
2024-08-07,32.985,33.985
2024-08-08,32.9875,33.9875
2024-08-09,32.9365,33.9365
2024-08-10,32.55,34.5
2024-08-11,32.55,34.5
2024-08-12,32.9865,34.0865
2024-08-13,32.99,34.09
2024-08-14,33.005,34.105
2024-08-15,33.07,34.17
2024-08-16,33.148,34.248
2024-08-17,32.65,34.7515
2024-08-18,32.65,34.7515
2024-08-19,33.146,34.246
2024-08-20,32.84,34.84
2024-08-21,33.48,34.58
2024-08-22,33.355,34.455
2024-08-23,33.395,34.495
2024-08-24,32.95,35.057
2024-08-25,32.95,35.057
2024-08-26,33.465,34.465
2024-08-27,33.535,34.535
2024-08-28,33.4975,34.4975
2024-08-29,33.6785,34.6785
2024-08-30,33.0165,34.93
2024-08-31,33.03,34.93
2024-09-01,33.03,34.93
2024-09-02,33.385,34.385
2024-09-03,33.575,34.475
2024-09-04,33.592,34.492
2024-09-05,33.505,34.405
2024-09-06,33.46,34.36
2024-09-07,32.945,34.85
2024-09-08,32.945,34.85
2024-09-09,33.565,34.465
2024-09-10,33.564,34.464
2024-09-11,33.51,34.41
2024-09-12,33.4275,34.3275
2024-09-13,33.3225,34.2225
2024-09-14,33.025,34.95
2024-09-15,33.025,34.95
2024-09-16,33.4875,34.3875
2024-09-17,33.105,35.005
2024-09-18,33.1385,35.0385
2024-09-19,33.61,34.51
2024-09-20,33.6145,34.5145
2024-09-21,33.05,35.08
2024-09-22,33.05,35.08
2024-09-23,33.7035,34.6035
2024-09-24,33.673,34.573
2024-09-25,33.6735,34.5735
2024-09-26,33.595,34.595
2024-09-27,33.21,35.11
2024-09-28,33.2,35.125
2024-09-29,33.2,35.125
2024-09-30,33.66,34.66
2024-10-01,33.671,34.671
2024-10-02,33.6675,34.6675
2024-10-03,33.6105,34.6105
2024-10-04,33.6525,34.6525
2024-10-05,33.18,35.22
2024-10-06,33.18,35.22
2024-10-07,33.2585,35.2085
2024-10-08,33.7475,34.7475
2024-10-09,33.74,34.74
2024-10-10,33.69,34.69
2024-10-11,33.69,34.69
2024-10-12,33.1,35.451
2024-10-13,33.1,35.451
2024-10-14,33.7625,34.7125
2024-10-15,33.743,34.693
2024-10-16,33.7,34.65
2024-10-17,33.575,34.575
2024-10-18,33.7,34.7
2024-10-19,33.05,35.34
2024-10-20,33.05,35.34
2024-10-21,33.714,34.764
2024-10-22,33.689,34.689
2024-10-23,33.796,34.796
2024-10-24,33.686,34.736
2024-10-25,33.835,34.735
2024-10-26,33.1495,35.45
2024-10-27,33.1495,35.45
2024-10-28,33.14,35.45
2024-10-29,33.145,35.45
2024-10-30,33.8325,34.7325
2024-10-31,33.71,34.71
2024-11-01,33.839,34.739
2024-11-02,33.2,35.44
2024-11-03,33.2,35.44
2024-11-04,33.799,34.799
2024-11-05,33.896,34.796
2024-11-06,33.685,34.685
2024-11-07,33.745,34.645
2024-11-08,33.82,34.82
2024-11-09,33.2,35.535
2024-11-10,33.2,35.535
2024-11-11,33.895,34.795
2024-11-12,33.9285,34.8285
2024-11-13,33.89,34.79
2024-11-14,33.915,34.815
2024-11-15,33.872,34.872
2024-11-16,33.25,35.495
2024-11-17,33.25,35.495
2024-11-18,34.0885,34.9885
2024-11-19,34.117,34.917
2024-11-20,34.002,34.902
2024-11-21,34.11,34.91
2024-11-22,34.1,34.9
2024-11-23,33.5,35.655
2024-11-24,33.5,35.655
2024-11-25,34.2335,35.0335
2024-11-26,34.248,35.048
2024-11-27,34.2565,35.0565
2024-11-28,34.106,34.906
2024-11-29,34.145,35.045
2024-11-30,33.65,35.7605
2024-12-01,33.65,35.7605
2024-12-02,33.6685,35.5685
2024-12-03,34.2,35.1
2024-12-04,34.305,35.105
2024-12-05,34.1155,34.9155
2024-12-06,34.2505,35.0505
2024-12-07,33.63,35.75
2024-12-08,33.63,35.75
2024-12-09,34.416,35.216
2024-12-10,34.447,35.247
2024-12-11,34.4175,35.2175
2024-12-12,34.424,35.224
2024-12-13,34.497,35.297
2024-12-14,33.7,35.7025
2024-12-15,33.7,35.7025
2024-12-16,34.513,35.313
2024-12-17,34.5405,35.3405
2024-12-18,34.5695,35.3695
2024-12-19,34.63,35.43
2024-12-20,34.691,35.491
2024-12-21,33.97,36.0505
2024-12-22,33.97,36.0505
2024-12-23,34.77,35.57
2024-12-24,34.805,35.605
2024-12-25,34.78,35.98
2024-12-26,34.838,35.638
2024-12-27,34.67,35.57
2024-12-28,34.1775,36.1
2024-12-29,34.1775,36.1
2024-12-30,34.855,35.655
2024-12-31,34.858,35.658
2025-01-01,34.25,36.225
2025-01-02,34.869,35.669
2025-01-03,34.875,35.775
2025-01-04,34.15,36.11
2025-01-05,34.15,36.11
2025-01-06,34.865,35.765
2025-01-07,34.854,35.754
2025-01-08,34.875,35.775
2025-01-09,34.8315,35.7315
2025-01-10,34.96,35.86
2025-01-11,34.248,36.35
2025-01-12,34.248,36.35
2025-01-13,34.8465,35.8465
2025-01-14,34.7935,35.7435
2025-01-15,34.32,36.62
2025-01-16,34.28,36.58
2025-01-17,35.119,36.019
2025-01-18,34.12,36.9205
2025-01-19,34.12,36.9205
2025-01-20,35.12,36.02
2025-01-21,35.175,36.075
2025-01-22,35.15,36.15
2025-01-23,35.146,36.146
2025-01-24,35.0925,36.2925
2025-01-25,34.24,37.07
2025-01-26,34.24,37.07
2025-01-27,35.235,36.16
2025-01-28,35.1655,36.3655
2025-01-29,35.2775,36.2775
2025-01-30,35.3735,36.1735
2025-01-31,35.358,36.258
2025-02-01,34.75,36.962
2025-02-02,34.75,36.962
