zaman,alis,satis
2024-04-24,2363.545953,2464.319861
2024-04-25,2362.617968,2493.074764
2024-04-26,2379.797379,2480.634358
2024-04-27,2345.434508,2514.257524
2024-04-28,2345.434508,2514.257524
2024-04-29,2356.741106,2480.727854
2024-04-30,2313.925626,2436.160266
2024-05-01,2280.255483,2493.824352
2024-05-02,2298.963459,2420.583272
2024-05-03,2302.802472,2439.440442
2024-05-04,2270.101956,2476.115771
2024-05-05,2270.101956,2476.115771
2024-05-06,2344.11866,2467.433529
2024-05-07,2330.576603,2453.581871
2024-05-08,2323.800544,2446.379949
2024-05-09,2338.198614,2461.931822
2024-05-10,2373.32541,2498.267117
2024-05-11,2322.976258,2533.931573
2024-05-12,2322.976258,2533.931573
2024-05-13,2353.987893,2477.905434
2024-05-14,2369.000809,2493.480811
2024-05-15,2374.056613,2498.962517
2024-05-16,2385.880696,2511.296207
2024-05-17,2414.994615,2541.69334
2024-05-18,2373.026843,2585.1334
2024-05-19,2373.026843,2585.1334
2024-05-20,2424.731864,2552.097431
2024-05-21,2437.141734,2565.177804
2024-05-22,2412.128357,2538.974242
2024-05-23,2360.997437,2485.517312
2024-05-24,2339.804858,2463.435479
2024-05-25,2289.602553,2498.02527
2024-05-26,2289.602553,2498.02527
2024-05-27,2368.376907,2493.055743
2024-05-28,2305.416516,2511.406836
2024-05-29,2353.246882,2477.37132
2024-05-30,2366.682191,2490.901531
2024-05-31,2346.583546,2470.271345
2024-06-01,2282.933282,2490.952815
2024-06-02,2282.933282,2490.952815
2024-06-03,2347.422238,2471.345206
2024-06-04,2349.153248,2472.699964
2024-06-05,2347.757555,2471.534596
2024-06-06,2376.865354,2501.841617
2024-06-07,2330.676446,2460.849927
2024-06-08,2263.879094,2484.152875
2024-06-09,2263.879094,2484.152875
2024-06-10,2326.936076,2434.472717
2024-06-11,2346.430061,2454.567251
2024-06-12,2352.120168,2460.445079
2024-06-13,2336.963863,2444.663454
2024-06-14,2382.947555,2499.469125
2024-06-15,2310.599179,2534.244774
2024-06-16,2310.599179,2534.244774
2024-06-17,2298.305818,2525.798635
2024-06-18,2302.902202,2510.235967
2024-06-19,2304.199872,2506.490154
2024-06-20,2417.451994,2527.174474
2024-06-21,2401.015962,2510.136246
2024-06-22,2337.694795,2542.504588
2024-06-23,2337.694795,2542.504588
2024-06-24,2400.719643,2509.65738
2024-06-25,2396.109393,2505.072765
2024-06-26,2379.303468,2487.170507
2024-06-27,2410.772986,2519.82943
2024-06-28,2396.025967,2512.676278
2024-06-29,2348.153086,2548.402049
2024-06-30,2348.153086,2548.402049
2024-07-01,2389.701088,2498.654409
2024-07-02,2389.118799,2497.96553
2024-07-03,2415.048899,2525.074552
2024-07-04,2405.816018,2515.449703
2024-07-05,2434.567032,2545.224723
2024-07-06,2399.353177,2602.635075
2024-07-07,2399.353177,2602.635075
2024-07-08,2441.793375,2552.59353
2024-07-09,2378.484764,2578.879841
2024-07-10,2452.567036,2563.486095
2024-07-11,2485.630748,2597.678722
2024-07-12,2485.675774,2597.795278
2024-07-13,2449.859936,2655.042542
2024-07-14,2449.859936,2655.042542
2024-07-15,2459.554297,2666.650919
2024-07-16,2533.354266,2647.009528
2024-07-17,2556.724247,2679.189043
2024-07-18,2558.900267,2673.25477
2024-07-19,2487.421918,2599.307535
2024-07-20,2441.362517,2651.920406
2024-07-21,2441.362517,2651.920406
2024-07-22,2474.749246,2588.28938
2024-07-23,2473.449826,2592.856144
2024-07-24,2488.915261,2601.303992
2024-07-25,2442.064371,2552.348001
2024-07-26,2463.459167,2574.767674
2024-07-27,2407.843457,2617.231399
2024-07-28,2407.843457,2617.231399
2024-07-29,2480.033251,2591.646092
2024-07-30,2480.682841,2592.095252
2024-07-31,2524.98374,2630.199718
2024-08-01,2548.005698,2654.022303
2024-08-02,2580.539043,2687.325526
2024-08-03,2478.513933,2689.357559
2024-08-04,2478.513933,2689.357559
2024-08-05,2507.326214,2611.957466
2024-08-06,2533.380288,2637.865218
2024-08-07,2528.261921,2632.880245
2024-08-08,2541.134697,2646.189632
2024-08-09,2554.806904,2660.29995
2024-08-10,2512.275955,2723.665877
2024-08-11,2512.275955,2723.665877
2024-08-12,2580.274687,2694.413034
2024-08-13,2604.468953,2719.613134
2024-08-14,2586.339361,2700.792344
2024-08-15,2582.559816,2696.656353
2024-08-16,2633.470704,2749.247104
2024-08-17,2599.148536,2830.239934
2024-08-18,2599.148536,2830.239934
2024-08-19,2643.391113,2758.410096
2024-08-20,2636.490502,2859.777016
2024-08-21,2674.818577,2791.408463
2024-08-22,2639.783812,2755.333032
2024-08-23,2683.494898,2800.781649
2024-08-24,2626.213389,2859.539157
2024-08-25,2626.213389,2859.539157
2024-08-26,2688.136395,2792.802828
2024-08-27,2690.642126,2795.122653
2024-08-28,2682.43689,2787.041951
2024-08-29,2710.234651,2815.203023
2024-08-30,2637.593659,2848.954827
2024-08-31,2624.941663,2834.379236
2024-09-01,2624.941663,2834.379236
2024-09-02,2664.936025,2768.727204
2024-09-03,2660.004892,2755.540726
2024-09-04,2673.186863,2769.088262
2024-09-05,2683.997063,2780.687929
2024-09-06,2679.163146,2775.454736
2024-09-07,2611.903419,2821.07157
2024-09-08,2611.903419,2821.07157
2024-09-09,2678.457429,2774.550577
2024-09-10,2686.664984,2782.839587
2024-09-11,2682.877687,2779.107649
2024-09-12,2720.743983,2818.349574
2024-09-13,2741.010749,2839.321252
2024-09-14,2701.573831,2920.353323
2024-09-15,2701.573831,2920.353323
2024-09-16,2760.883434,2859.587919
2024-09-17,2711.686166,2926.910625
2024-09-18,2706.507521,2921.422709
2024-09-19,2762.190426,2861.040265
2024-09-20,2801.826022,2901.431311
2024-09-21,2751.323397,2980.90346
2024-09-22,2751.323397,2980.90346
2024-09-23,2831.765913,2932.094388
2024-09-24,2837.48528,2938.149654
2024-09-25,2867.644183,2969.206788
2024-09-26,2859.628472,2969.612348
2024-09-27,2809.12175,3031.139938
2024-09-28,2801.769447,3025.764269
2024-09-29,2801.769447,3025.764269
2024-09-30,2828.137704,2937.137825
2024-10-01,2864.645681,2974.692126
2024-10-02,2860.583984,2970.504463
2024-10-03,2847.248875,2956.97136
2024-10-04,2849.205167,2958.750036
2024-10-05,2794.05326,3029.39311
2024-10-06,2794.05326,3029.39311
2024-10-07,2792.881174,3017.771059
2024-10-08,2838.416371,2947.357518
