zaman,alis,satis
2024-05-02,20.665,21.646
2024-05-03,20.847,21.839
2024-05-06,20.865,21.859
2024-05-07,20.802,21.795
2024-05-08,20.658,21.644
2024-05-09,20.738,21.729
2024-05-10,20.657,21.647
2024-05-13,20.775,21.769
2024-05-14,20.822,21.815
2024-05-15,20.918,21.918
2024-05-16,20.94,21.941
2024-05-17,20.926,21.929
2024-05-20,20.939,21.94
2024-05-21,20.919,21.92
2024-05-22,20.822,21.819
2024-05-23,20.786,21.78
2024-05-24,20.706,21.699
2024-05-27,20.864,21.863
2024-05-28,20.901,21.901
2024-05-29,20.846,21.839
2024-05-30,20.931,21.927
2024-05-31,20.862,21.859
2024-06-03,21.026,22.028
2024-06-04,21.139,22.07
2024-06-05,20.898,21.826
2024-06-06,20.934,21.865
2024-06-07,20.738,21.661
2024-06-10,20.889,21.813
2024-06-11,20.836,21.76
2024-06-12,21.112,22.049
2024-06-13,20.948,21.877
2024-06-14,20.96,21.885
2024-06-17,20.915,22.233
2024-06-18,20.893,22.222
2024-06-19,20.937,22.271
2024-06-20,21.38,22.313
2024-06-21,21.227,22.157
2024-06-24,21.396,22.328
2024-06-25,21.381,22.311
2024-06-26,21.366,22.298
2024-06-27,21.358,22.29
2024-06-28,21.33,22.265
2024-07-01,21.246,22.177
2024-07-02,21.202,22.134
2024-07-03,21.359,22.3
2024-07-04,21.395,22.337
2024-07-05,21.446,22.389
2024-07-08,21.566,22.51
2024-07-09,21.64,22.583
2024-07-10,21.65,22.594
2024-07-11,21.746,22.696
2024-07-12,21.828,22.778
2024-07-15,21.663,23.018
2024-07-16,21.732,22.673
2024-07-17,21.75,22.658
2024-07-18,21.751,22.66
2024-07-19,21.568,22.472
2024-07-22,21.344,22.241
2024-07-23,21.202,22.095
2024-07-24,21.192,22.084
2024-07-25,21.137,22.022
2024-07-26,21.064,21.949
2024-07-29,21.073,21.954
2024-07-30,21.137,22.02
2024-07-31,21.116,21.998
2024-08-01,21.093,21.974
2024-08-02,21.102,21.982
2024-08-05,21.129,22.002
2024-08-06,21.367,22.245
2024-08-07,21.466,22.351
2024-08-08,21.49,22.377
2024-08-09,21.51,22.399
2024-08-12,21.627,22.518
