zaman,alis,satis
2024-05-02,23.064,24.159
2024-05-03,23.049,24.146
2024-05-06,23.059,24.158
2024-05-07,22.968,24.064
2024-05-08,22.887,23.98
2024-05-09,22.924,24.02
2024-05-10,22.9,23.998
2024-05-13,22.948,24.045
2024-05-14,23.024,24.123
2024-05-15,23.023,24.123
2024-05-16,23.033,24.135
2024-05-17,23.0,24.103
2024-05-20,23.057,24.16
2024-05-21,22.987,24.087
2024-05-22,22.931,24.029
2024-05-23,22.9,23.995
2024-05-24,22.853,23.95
2024-05-27,22.983,24.083
2024-05-28,22.998,24.098
2024-05-29,22.974,24.069
2024-05-30,23.064,24.161
2024-05-31,23.004,24.103
2024-06-03,23.079,24.18
2024-06-04,23.246,24.269
2024-06-05,22.983,24.003
2024-06-06,22.97,23.991
2024-06-07,22.893,23.912
2024-06-10,22.986,24.003
2024-06-11,22.93,23.947
2024-06-12,23.05,24.073
2024-06-13,22.938,23.955
2024-06-14,23.069,24.087
2024-06-17,23.061,24.515
2024-06-18,22.909,24.366
2024-06-19,22.906,24.366
2024-06-20,23.424,24.446
2024-06-21,23.335,24.357
2024-06-24,23.524,24.549
2024-06-25,23.559,24.583
2024-06-26,23.438,24.461
2024-06-27,23.43,24.453
2024-06-28,23.331,24.354
2024-07-01,23.254,24.273
2024-07-02,23.235,24.257
2024-07-03,23.31,24.337
2024-07-04,23.35,24.379
2024-07-05,23.346,24.373
2024-07-08,23.437,24.464
2024-07-09,23.561,24.587
2024-07-10,23.577,24.605
2024-07-11,23.546,24.575
2024-07-12,23.603,24.63
2024-07-15,23.411,24.876
2024-07-16,23.597,24.619
2024-07-17,23.616,24.602
2024-07-18,23.604,24.59
2024-07-19,23.469,24.452
2024-07-22,23.36,24.341
2024-07-23,23.274,24.254
2024-07-24,23.272,24.251
2024-07-25,23.34,24.317
2024-07-26,23.222,24.198
2024-07-29,23.283,24.258
2024-07-30,23.343,24.319
2024-07-31,23.408,24.385
2024-08-01,23.359,24.335
2024-08-02,23.361,24.335
2024-08-05,23.584,24.559
2024-08-06,23.786,24.764
2024-08-07,23.843,24.826
2024-08-08,23.793,24.775
2024-08-09,23.808,24.791
2024-08-12,23.853,24.836
2024-08-13,23.89,24.873
2024-08-14,23.957,24.942
2024-08-15,23.969,24.953
2024-08-16,23.948,24.932
2024-08-19,24.175,25.164
2024-08-20,24.297,25.287
2024-08-21,24.369,25.362
2024-08-22,24.375,25.367
2024-08-23,24.511,25.51
2024-08-26,24.62,25.622
2024-08-27,24.657,25.66
2024-08-28,24.686,25.69
2024-08-29,24.59,25.591
2024-08-30,24.466,25.95
2024-09-02,24.571,25.572
2024-09-03,24.533,25.53
2024-09-04,24.612,25.612
2024-09-05,24.542,25.541
2024-09-06,24.5,25.497
2024-09-09,24.53,25.525
2024-09-10,24.456,25.448
2024-09-11,24.421,25.412
2024-09-12,24.37,25.363
2024-09-13,24.357,25.351
2024-09-16,24.442,25.435
2024-09-17,24.536,25.529
2024-09-18,24.52,25.512
2024-09-19,24.503,25.496
2024-09-20,24.503,25.498
2024-09-23,24.73,25.731
2024-09-24,24.753,25.755
2024-09-25,24.782,25.786
2024-09-26,24.779,25.782
2024-09-27,24.706,25.707
2024-09-30,24.734,25.734
2024-10-01,24.764,25.764
2024-10-02,24.811,25.812
2024-10-03,24.674,25.671
2024-10-04,24.595,25.59
2024-10-07,24.602,25.594
2024-10-08,24.521,25.509
2024-10-09,24.444,25.43
2024-10-10,24.291,25.272
2024-10-11,24.24,25.22
2024-10-14,24.288,25.267
2024-10-15,24.248,25.226
2024-10-16,24.244,25.224
2024-10-17,24.189,25.168
2024-10-18,24.19,25.168
2024-10-21,24.221,25.197
2024-10-22,24.219,25.196
2024-10-23,24.212,25.187
2024-10-24,24.161,25.136
2024-10-25,24.109,25.083
2024-10-28,23.976,25.416
2024-10-29,23.967,25.406
2024-10-30,24.053,25.022
2024-10-31,24.077,25.048
2024-11-01,24.06,25.03
2024-11-04,24.187,25.159
