zaman,alis,satis
2024-05-02,34.622,36.264
2024-05-03,34.841,36.499
2024-05-06,34.777,36.434
2024-05-07,34.655,36.31
2024-05-08,34.596,36.248
2024-05-09,34.61,36.264
2024-05-10,34.478,36.131
2024-05-13,34.627,36.283
2024-05-14,34.674,36.329
2024-05-15,34.684,36.342
2024-05-16,34.678,36.337
2024-05-17,34.502,36.155
2024-05-20,34.511,36.162
2024-05-21,34.489,36.139
2024-05-22,34.287,35.927
2024-05-23,34.326,35.968
2024-05-24,34.162,35.802
2024-05-27,34.292,35.933
2024-05-28,34.461,36.109
2024-05-29,34.482,36.125
2024-05-30,34.881,36.542
2024-05-31,34.808,36.471
2024-06-03,35.08,36.753
2024-06-04,35.717,37.29
2024-06-05,35.244,36.809
2024-06-06,35.297,36.866
2024-06-07,35.081,36.642
2024-06-10,35.297,36.858
2024-06-11,35.134,36.691
2024-06-12,35.429,37.002
2024-06-13,35.275,36.839
2024-06-14,35.623,37.195
2024-06-17,35.536,37.776
2024-06-18,35.56,37.821
2024-06-19,35.493,37.755
2024-06-20,36.021,37.594
2024-06-21,35.806,37.374
2024-06-24,35.951,37.517
2024-06-25,36.004,37.569
2024-06-26,35.774,37.335
2024-06-27,35.763,37.324
2024-06-28,35.525,37.082
2024-07-01,35.316,36.864
2024-07-02,35.224,36.774
2024-07-03,35.275,36.83
2024-07-04,35.342,36.898
2024-07-05,35.447,37.007
2024-07-08,35.629,37.19
2024-07-09,35.794,37.354
2024-07-10,35.7,37.256
2024-07-11,35.863,37.43
2024-07-12,35.946,37.511
2024-07-15,35.72,37.955
2024-07-16,36.073,37.636
2024-07-17,36.473,37.997
2024-07-18,36.544,38.071
2024-07-19,36.248,37.767
2024-07-22,36.162,37.68
2024-07-23,35.926,37.439
2024-07-24,36.302,37.83
2024-07-25,36.654,38.188
2024-07-26,36.401,37.93
2024-07-29,36.385,37.908
2024-07-30,36.482,38.006
2024-07-31,36.724,38.257
2024-08-01,36.963,38.507
2024-08-02,37.669,39.241
2024-08-05,38.454,40.044
2024-08-06,38.529,40.113
2024-08-07,37.85,39.411
2024-08-08,37.82,39.38
2024-08-09,37.787,39.348
2024-08-12,37.714,39.268
2024-08-13,37.878,39.438
2024-08-14,37.999,39.563
2024-08-15,37.72,39.27
2024-08-16,37.818,39.372
2024-08-19,38.201,39.765
2024-08-20,38.632,40.206
2024-08-21,38.859,40.441
2024-08-22,38.891,40.475
2024-08-23,39.053,40.644
2024-08-26,39.168,40.762
2024-08-27,39.395,40.997
2024-08-28,39.441,41.044
2024-08-29,39.042,40.632
2024-08-30,38.874,41.233
2024-09-02,38.952,40.538
2024-09-03,39.151,40.741
2024-09-04,39.246,40.839
2024-09-05,39.099,40.69
2024-09-06,39.373,40.975
2024-09-09,39.242,40.834
2024-09-10,39.25,40.843
2024-09-11,39.184,40.776
2024-09-12,38.805,40.386
2024-09-13,39.01,40.603
2024-09-16,39.304,40.901
2024-09-17,39.382,40.977
2024-09-18,39.412,41.008
2024-09-19,39.219,40.81
2024-09-20,39.114,40.701
2024-09-23,39.372,40.964
2024-09-24,39.432,41.028
2024-09-25,39.274,40.864
2024-09-26,39.362,40.954
2024-09-27,39.583,41.188
2024-09-30,39.631,41.232
2024-10-01,39.572,41.169
2024-10-02,39.343,40.93
2024-10-03,39.143,40.725
2024-10-04,38.892,40.464
2024-10-07,39.114,40.691
2024-10-08,39.075,40.649
2024-10-09,38.939,40.51
2024-10-10,38.96,40.534
2024-10-11,38.948,40.522
2024-10-14,38.799,40.363
2024-10-15,38.829,40.396
2024-10-16,38.658,40.22
2024-10-17,38.547,40.108
2024-10-18,38.582,40.142
2024-10-21,38.734,40.295
2024-10-22,38.68,40.24
2024-10-23,38.669,40.226
2024-10-24,38.639,40.197
2024-10-25,38.614,40.173
2024-10-28,38.504,40.816
2024-10-29,38.37,40.674
2024-10-30,38.651,40.209
2024-10-31,38.754,40.317
2024-11-01,38.511,40.064
2024-11-04,38.924,40.489
2024-11-05,38.891,40.455
2024-11-06,38.195,39.736
2024-11-07,38.365,39.912
2024-11-08,38.313,39.858
2024-11-11,38.138,39.671
2024-11-12,38.129,39.661
2024-11-13,37.981,39.508
2024-11-14,37.815,39.335
2024-11-15,37.743,39.26
2024-11-18,38.125,39.649
2024-11-19,38.304,39.834
2024-11-20,38.067,39.592
2024-11-21,38.148,39.676
2024-11-22,37.655,39.163
2024-11-25,38.171,39.694
2024-11-26,38.189,39.711
2024-11-27,38.363,39.893
2024-11-28,38.307,39.835
2024-11-29,38.385,39.916
2024-12-02,38.258,39.779
2024-12-03,38.435,39.962
2024-12-04,38.328,39.851
2024-12-05,38.554,40.088
2024-12-06,38.733,40.273
2024-12-09,38.767,40.303
2024-12-10,38.681,40.213
2024-12-11,38.594,40.122
2024-12-12,38.425,39.946
2024-12-13,38.158,39.669
2024-12-16,38.216,39.725
2024-12-17,38.21,39.717
2024-12-18,38.337,39.848
2024-12-19,38.235,39.739
2024-12-20,38.386,39.895
2024-12-23,38.363,39.866
2024-12-24,38.275,39.775
2024-12-25,38.396,39.897
2024-12-26,38.197,39.696
2024-12-27,38.143,39.641
2024-12-30,38.226,39.719
2024-12-31,38.185,39.677
2025-01-01,37.862,40.066
2025-01-02,37.982,39.466
2025-01-03,38.001,39.486
2025-01-06,38.194,39.687
2025-01-07,38.156,39.646
2025-01-08,37.976,39.458
2025-01-09,37.918,39.4
2025-01-10,37.729,39.202
2025-01-13,37.814,39.285
2025-01-14,37.933,39.408
2025-01-15,38.107,39.59
2025-01-16,37.985,39.464
2025-01-17,37.971,39.449
2025-01-20,38.327,39.815
2025-01-21,38.383,39.869
2025-01-22,38.468,39.957
2025-01-23,38.406,39.893
2025-01-24,38.46,39.95
2025-01-27,38.862,40.362
2025-01-28,38.693,40.185
2025-01-29,38.593,40.081
2025-01-30,38.59,40.078
2025-01-31,38.484,39.967
2025-02-03,38.472,39.946
2025-02-04,38.764,40.252
2025-02-05,38.967,40.463
2025-02-06,38.788,40.279
2025-02-07,38.698,40.185
2025-02-10,38.705,40.188
2025-02-11,38.624,40.102
2025-02-12,38.637,40.113
2025-02-13,38.94,40.428
2025-02-14,39.348,40.851
2025-02-17,39.359,40.857
2025-02-18,39.374,40.871
2025-02-19,39.359,40.854
2025-02-20,39.427,40.925
2025-02-21,39.601,41.105
2025-02-24,39.695,41.198
2025-02-25,39.937,41.448
2025-02-26,39.877,41.386
2025-02-27,39.625,41.125
2025-02-28,39.53,41.026
2025-03-03,39.708,41.211
2025-03-04,40.107,41.624
2025-03-05,40.201,41.723
2025-03-06,40.331,41.858
2025-03-07,40.491,42.026
2025-03-10,40.778,42.317
2025-03-11,40.725,42.26
2025-03-12,40.593,42.122
2025-03-13,40.554,42.081
2025-03-14,40.479,42.003
2025-03-17,40.741,42.274
2025-03-18,40.849,42.385
2025-03-19,42.506,44.039
2025-03-20,42.035,43.562
2025-03-21,42.101,43.632
2025-03-23,42.467,45.297
2025-03-23,42.467,45.297
2025-03-24,42.447,43.975
2025-03-25,42.527,44.059
2025-03-26,42.452,43.98
2025-03-27,42.477,44.005
2025-03-28,42.394,43.927
2025-03-31,41.862,44.688
2025-04-01,41.928,44.759
2025-04-01,41.928,44.759
2025-04-02,42.417,43.947
2025-04-03,43.754,45.331
2025-04-04,43.744,45.322
2025-04-07,43.572,45.14
2025-04-08,43.712,45.285
2025-04-09,44.652,46.259
2025-04-10,44.88,46.499
2025-04-11,46.013,47.67
2025-04-14,45.541,47.19
2025-04-15,45.396,47.047
2025-04-16,45.61,47.267
2025-04-17,45.289,46.937
2025-04-18,45.402,47.053
2025-04-21,46.096,47.768
2025-04-22,45.774,47.433
2025-04-23,44.784,47.199
2025-04-24,45.167,46.799
2025-04-25,45.054,46.682
2025-04-28,45.417,47.054
2025-04-29,45.45,47.088
2025-04-30,45.517,47.158
2025-05-01,44.715,47.117
2025-05-02,45.519,47.157
