zaman,alis,satis
2024-05-02,4.3731,4.5805
2024-05-03,4.3858,4.5945
2024-05-06,4.3663,4.5744
2024-05-07,4.351,4.5586
2024-05-08,4.3463,4.5538
2024-05-09,4.3443,4.5519
2024-05-10,4.3266,4.534
2024-05-13,4.3337,4.5409
2024-05-14,4.3417,4.5489
2024-05-15,4.3447,4.5524
2024-05-16,4.3411,4.5487
2024-05-17,4.3286,4.5361
2024-05-20,4.329,4.5361
2024-05-21,4.3269,4.5339
2024-05-22,4.3207,4.5274
2024-05-23,4.3214,4.5281
2024-05-24,4.3034,4.5099
2024-05-27,4.3174,4.5241
2024-05-28,4.3174,4.5239
2024-05-29,4.33,4.5362
2024-05-30,4.3453,4.5521
2024-05-31,4.3194,4.5259
2024-06-03,4.336,4.5427
2024-06-04,4.3884,4.5816
2024-06-05,4.3448,4.5377
2024-06-06,4.3347,4.5274
2024-06-07,4.3299,4.5226
2024-06-10,4.3566,4.5492
2024-06-11,4.3421,4.5346
2024-06-12,4.3496,4.5426
2024-06-13,4.3437,4.5363
2024-06-14,4.3629,4.5553
2024-06-17,4.3623,4.6373
2024-06-18,4.3239,4.5989
2024-06-19,4.3106,4.5853
2024-06-20,4.4007,4.5928
2024-06-21,4.3866,4.5786
2024-06-24,4.4133,4.6056
2024-06-25,4.4168,4.6088
2024-06-26,4.3965,4.5882
2024-06-27,4.3936,4.5854
2024-06-28,4.3742,4.566
2024-07-01,4.3719,4.5635
2024-07-02,4.3551,4.5467
2024-07-03,4.3547,4.5467
2024-07-04,4.3585,4.5504
2024-07-05,4.3655,4.5576
2024-07-08,4.3852,4.5774
2024-07-09,4.407,4.599
2024-07-10,4.4034,4.5953
2024-07-11,4.4099,4.6026
2024-07-12,4.4252,4.6179
2024-07-15,4.3977,4.6727
2024-07-16,4.4334,4.6254
2024-07-17,4.4423,4.6279
2024-07-18,4.4425,4.6281
2024-07-19,4.4234,4.6087
2024-07-22,4.4078,4.5929
2024-07-23,4.3965,4.5817
2024-07-24,4.4161,4.6019
2024-07-25,4.4614,4.6482
2024-07-26,4.4291,4.6152
2024-07-29,4.4392,4.625
2024-07-30,4.4504,4.6363
2024-07-31,4.4742,4.661
2024-08-01,4.4555,4.6417
2024-08-02,4.5247,4.7135
2024-08-05,4.5927,4.7826
2024-08-06,4.5921,4.7809
2024-08-07,4.5612,4.7493
2024-08-08,4.5555,4.7435
2024-08-09,4.5575,4.7458
2024-08-12,4.5616,4.7496
2024-08-13,4.5797,4.7684
2024-08-14,4.5983,4.7876
2024-08-15,4.577,4.7651
2024-08-16,4.5813,4.7696
2024-08-19,4.6233,4.8125
2024-08-20,4.6459,4.8353
2024-08-21,4.648,4.8373
2024-08-22,4.6391,4.828
2024-08-23,4.6533,4.8428
2024-08-26,4.6573,4.8468
2024-08-27,4.6552,4.8446
2024-08-28,4.6603,4.8498
2024-08-29,4.6699,4.8602
2024-08-30,4.6542,4.9366
2024-09-02,4.6601,4.8498
2024-09-03,4.6669,4.8564
2024-09-04,4.6767,4.8666
2024-09-05,4.6759,4.8662
2024-09-06,4.6794,4.8699
2024-09-09,4.6744,4.864
2024-09-10,4.6643,4.8535
2024-09-11,4.6656,4.8551
2024-09-12,4.6482,4.8375
2024-09-13,4.6591,4.8493
2024-09-16,4.6819,4.8722
2024-09-17,4.6905,4.8804
2024-09-18,4.7066,4.8971
2024-09-19,4.7051,4.896
2024-09-20,4.717,4.9084
2024-09-23,4.7312,4.9226
2024-09-24,4.7526,4.9449
2024-09-25,4.745,4.9371
2024-09-26,4.7791,4.9724
2024-09-27,4.7735,4.967
2024-09-30,4.7755,4.9684
2024-10-01,4.7555,4.9475
2024-10-02,4.756,4.9479
2024-10-03,4.737,4.9284
2024-10-04,4.7099,4.9003
2024-10-07,4.7408,4.9319
2024-10-08,4.7488,4.9401
2024-10-09,4.7195,4.9099
