zaman,alis,satis
2024-05-02,4.5313,4.7462
2024-05-03,4.5504,4.767
2024-05-06,4.5487,4.7655
2024-05-07,4.5402,4.7569
2024-05-08,4.5277,4.7439
2024-05-09,4.5342,4.7508
2024-05-10,4.5137,4.7301
2024-05-13,4.5429,4.7601
2024-05-14,4.5591,4.7766
2024-05-15,4.5661,4.7844
2024-05-16,4.5694,4.7879
2024-05-17,4.5612,4.7798
2024-05-20,4.5677,4.7861
2024-05-21,4.5638,4.7822
2024-05-22,4.551,4.7687
2024-05-23,4.5499,4.7675
2024-05-24,4.5427,4.7607
2024-05-27,4.5595,4.7778
2024-05-28,4.5704,4.789
2024-05-29,4.5649,4.7823
2024-05-30,4.582,4.8001
2024-05-31,4.5664,4.7846
2024-06-03,4.5866,4.8052
2024-06-04,4.6392,4.8434
2024-06-05,4.5928,4.7966
2024-06-06,4.5914,4.7955
2024-06-07,4.5589,4.7618
2024-06-10,4.5572,4.7587
2024-06-11,4.5399,4.7412
2024-06-12,4.588,4.7916
2024-06-13,4.5555,4.7576
2024-06-14,4.5457,4.7462
2024-06-17,4.5565,4.8438
2024-06-18,4.5274,4.8153
2024-06-19,4.5217,4.8099
2024-06-20,4.611,4.8123
2024-06-21,4.5824,4.783
2024-06-24,4.6223,4.8237
2024-06-25,4.6193,4.8202
2024-06-26,4.5975,4.7981
2024-06-27,4.6063,4.8073
2024-06-28,4.5885,4.7896
2024-07-01,4.5954,4.7969
2024-07-02,4.5833,4.785
2024-07-03,4.6032,4.8061
2024-07-04,4.6073,4.8101
2024-07-05,4.6186,4.8218
2024-07-08,4.6421,4.8455
2024-07-09,4.6589,4.8619
2024-07-10,4.6592,4.8624
2024-07-11,4.6731,4.8772
2024-07-12,4.7007,4.9053
2024-07-15,4.6783,4.9709
2024-07-16,4.713,4.9171
2024-07-17,4.7379,4.9358
2024-07-18,4.7259,4.9233
2024-07-19,4.7016,4.8986
2024-07-22,4.69,4.8869
2024-07-23,4.6592,4.8554
2024-07-24,4.6657,4.8621
2024-07-25,4.6904,4.8867
2024-07-26,4.6759,4.8722
2024-07-29,4.6744,4.8701
2024-07-30,4.68,4.8755
2024-07-31,4.6886,4.8844
2024-08-01,4.6735,4.8688
2024-08-02,4.7378,4.9354
2024-08-05,4.8028,5.0014
2024-08-06,4.8121,5.0099
2024-08-07,4.7957,4.9935
2024-08-08,4.7812,4.9785
2024-08-09,4.7836,4.9813
2024-08-12,4.7964,4.994
2024-08-13,4.8125,5.0106
2024-08-14,4.8513,5.0509
2024-08-15,4.8355,5.0342
2024-08-16,4.8378,5.0366
2024-08-19,4.8918,5.092
2024-08-20,4.9305,5.1316
2024-08-21,4.9415,5.1427
2024-08-22,4.9364,5.1375
2024-08-23,4.9681,5.1704
2024-08-26,4.9677,5.17
