zaman,alis,satis
2024-05-02,33.796,35.399
2024-05-03,33.936,35.551
2024-05-06,33.93,35.547
2024-05-07,33.864,35.481
2024-05-08,33.769,35.381
2024-05-09,33.823,35.44
2024-05-10,33.676,35.291
2024-05-13,33.894,35.514
2024-05-14,34.012,35.635
2024-05-15,34.072,35.701
2024-05-16,34.092,35.722
2024-05-17,34.031,35.662
2024-05-20,34.081,35.711
2024-05-21,34.054,35.683
2024-05-22,33.959,35.584
2024-05-23,33.953,35.577
2024-05-24,33.892,35.519
2024-05-27,34.022,35.651
2024-05-28,34.102,35.733
2024-05-29,34.052,35.674
2024-05-30,34.175,35.802
2024-05-31,34.059,35.687
2024-06-03,34.208,35.839
2024-06-04,34.601,36.125
2024-06-05,34.259,35.78
2024-06-06,34.249,35.772
2024-06-07,34.012,35.526
2024-06-10,33.989,35.492
2024-06-11,33.86,35.361
2024-06-12,34.218,35.737
2024-06-13,33.979,35.486
2024-06-14,33.913,35.409
2024-06-17,33.991,36.134
2024-06-18,33.772,35.919
2024-06-19,33.726,35.876
2024-06-20,34.391,35.892
2024-06-21,34.175,35.672
2024-06-24,34.479,35.981
2024-06-25,34.455,35.953
2024-06-26,34.292,35.788
2024-06-27,34.354,35.853
2024-06-28,34.219,35.72
2024-07-01,34.272,35.775
2024-07-02,34.181,35.685
2024-07-03,34.337,35.85
2024-07-04,34.364,35.877
2024-07-05,34.451,35.966
2024-07-08,34.625,36.142
2024-07-09,34.758,36.273
2024-07-10,34.758,36.273
2024-07-11,34.858,36.381
2024-07-12,35.075,36.602
2024-07-15,34.906,37.089
2024-07-16,35.163,36.686
2024-07-17,35.342,36.818
2024-07-18,35.26,36.734
2024-07-19,35.08,36.55
2024-07-22,34.994,36.463
2024-07-23,34.761,36.225
2024-07-24,34.817,36.282
2024-07-25,35.0,36.465
2024-07-26,34.896,36.361
2024-07-29,34.881,36.341
2024-07-30,34.921,36.38
2024-07-31,34.991,36.451
2024-08-01,34.872,36.329
2024-08-02,35.353,36.828
2024-08-05,35.838,37.32
2024-08-06,35.91,37.386
2024-08-07,35.784,37.26
2024-08-08,35.677,37.15
2024-08-09,35.696,37.171
2024-08-12,35.794,37.268
2024-08-13,35.915,37.395
2024-08-14,36.199,37.689
2024-08-15,36.077,37.559
2024-08-16,36.097,37.58
2024-08-19,36.503,37.997
2024-08-20,36.795,38.295
2024-08-21,36.881,38.383
2024-08-22,36.835,38.335
2024-08-23,37.067,38.577
2024-08-26,37.063,38.572
2024-08-27,37.063,38.571
2024-08-28,36.964,38.467
2024-08-29,36.692,38.186
2024-08-30,36.513,38.728
2024-09-02,36.703,38.198
2024-09-03,36.712,38.202
2024-09-04,36.888,38.386
2024-09-05,36.75,38.246
2024-09-06,36.832,38.33
2024-09-09,36.73,38.22
2024-09-10,36.659,38.147
2024-09-11,36.596,38.082
2024-09-12,36.596,38.087
2024-09-13,36.665,38.162
2024-09-16,36.951,38.453
2024-09-17,37.092,38.594
2024-09-18,37.053,38.553
2024-09-19,37.019,38.521
2024-09-20,37.065,38.569
2024-09-23,37.151,38.653
2024-09-24,37.193,38.698
2024-09-25,37.256,38.764
2024-09-26,37.268,38.775
2024-09-27,37.247,38.757
2024-09-30,37.303,38.81
2024-10-01,37.035,38.53
2024-10-02,36.928,38.419
2024-10-03,36.804,38.292
2024-10-04,36.649,38.13
2024-10-07,36.758,38.239
2024-10-08,36.771,38.252
2024-10-09,36.629,38.107
2024-10-10,36.511,37.985
2024-10-11,36.539,38.016
2024-10-14,36.555,38.028
2024-10-15,36.489,37.962
2024-10-16,36.347,37.815
2024-10-17,36.095,37.556
2024-10-18,36.25,37.716
2024-10-21,36.302,37.765
2024-10-22,36.182,37.641
2024-10-23,36.123,37.578
2024-10-24,36.142,37.6
2024-10-25,36.208,37.671
2024-10-28,36.053,38.218
2024-10-29,35.997,38.159
2024-10-30,36.341,37.806
2024-10-31,36.394,37.861
2024-11-01,36.339,37.804
2024-11-04,36.613,38.084
2024-11-05,36.618,38.09
2024-11-06,35.831,37.277
2024-11-07,36.179,37.639
2024-11-08,35.995,37.447
2024-11-11,35.718,37.154
2024-11-12,35.691,37.124
2024-11-13,35.522,36.95
2024-11-14,35.446,36.871
2024-11-15,35.338,36.759
2024-11-18,35.688,37.114
2024-11-19,35.724,37.151
2024-11-20,35.48,36.901
2024-11-21,35.501,36.923
2024-11-22,35.071,36.476
2024-11-25,35.54,36.959
2024-11-26,35.583,37.0
2024-11-27,35.714,37.138
2024-11-28,35.681,37.105
2024-11-29,35.699,37.123
2024-12-02,35.582,36.996
2024-12-03,35.749,37.169
2024-12-04,35.66,37.076
2024-12-05,35.901,37.329
2024-12-06,35.916,37.344
2024-12-09,36.035,37.463
2024-12-10,35.851,37.271
2024-12-11,35.804,37.222
2024-12-12,35.868,37.287
2024-12-13,35.772,37.189
2024-12-16,35.833,37.248
2024-12-17,35.929,37.346
2024-12-18,35.966,37.384
2024-12-19,35.696,37.099
2024-12-20,35.698,37.101
2024-12-23,35.83,37.234
2024-12-24,35.839,37.244
2024-12-25,35.942,37.347
2024-12-26,35.776,37.18
2024-12-27,35.852,37.261
2024-12-30,35.971,37.376
2024-12-31,35.847,37.248
2025-01-01,35.556,37.626
2025-01-02,35.592,36.983
2025-01-03,35.56,36.95
2025-01-06,35.907,37.31
2025-01-07,35.975,37.38
2025-01-08,35.612,37.002
2025-01-09,35.624,37.016
2025-01-10,35.433,36.817
2025-01-13,35.43,36.807
2025-01-14,35.658,37.044
2025-01-15,35.852,37.247
2025-01-16,35.658,37.046
2025-01-17,35.702,37.093
2025-01-20,36.224,37.63
2025-01-21,36.207,37.609
2025-01-22,36.371,37.779
2025-01-23,36.288,37.693
2025-01-24,36.555,37.971
2025-01-27,36.756,38.175
2025-01-28,36.507,37.915
2025-01-29,36.399,37.802
2025-01-30,36.499,37.906
2025-01-31,36.333,37.734
2025-02-03,36.099,37.483
2025-02-04,36.44,37.839
2025-02-05,36.64,38.048
2025-02-06,36.412,37.812
2025-02-07,36.488,37.89
2025-02-10,36.324,37.716
2025-02-11,36.471,37.866
2025-02-12,36.557,37.953
2025-02-13,36.752,38.156
2025-02-14,37.122,38.54
2025-02-17,37.162,38.576
2025-02-18,37.107,38.518
2025-02-19,37.078,38.487
2025-02-20,37.157,38.568
2025-02-21,37.289,38.704
2025-02-24,37.285,38.697
2025-02-25,37.482,38.9
2025-02-26,37.429,38.845
2025-02-27,37.164,38.571
2025-02-28,37.133,38.538
2025-03-03,37.405,38.821
2025-03-04,37.565,38.986
2025-03-05,38.388,39.841
2025-03-06,38.594,40.056
2025-03-07,38.662,40.128
2025-03-10,38.808,40.272
2025-03-11,39.109,40.583
2025-03-12,39.099,40.572
2025-03-13,38.955,40.422
2025-03-14,38.99,40.459
2025-03-17,39.17,40.644
2025-03-18,39.175,40.648
2025-03-19,40.748,42.218
2025-03-20,40.212,41.673
2025-03-21,40.188,41.65
2025-03-23,40.568,43.272
2025-03-23,40.568,43.272
2025-03-24,40.495,41.953
2025-03-25,40.513,41.973
2025-03-26,40.481,41.938
2025-03-27,40.467,41.923
2025-03-28,40.428,41.889
2025-03-31,39.988,42.687
2025-04-01,40.088,42.793
2025-04-01,40.088,42.793
2025-04-02,40.639,42.104
2025-04-03,41.637,43.138
2025-04-04,41.122,42.605
2025-04-07,40.976,42.451
2025-04-08,40.932,42.405
2025-04-09,41.407,42.897
2025-04-10,41.766,43.272
2025-04-11,42.488,44.018
2025-04-14,42.364,43.899
2025-04-15,42.044,43.573
2025-04-16,42.284,43.82
2025-04-17,42.116,43.649
2025-04-18,42.29,43.828
2025-04-21,42.792,44.344
2025-04-22,42.748,44.297
2025-04-23,42.078,44.348
2025-04-24,42.445,43.979
2025-04-25,42.49,44.025
2025-04-28,42.677,44.215
2025-04-29,42.664,44.201
2025-04-30,42.538,44.071
2025-05-01,41.978,44.233
2025-05-02,42.617,44.152
2025-05-05,42.631,44.162
2025-05-06,42.703,44.235
2025-05-07,42.821,44.356
2025-05-08,42.517,44.041
2025-05-09,42.478,44.0
2025-05-12,41.994,43.494
2025-05-13,42.172,43.678
2025-05-14,42.366,43.88
2025-05-15,42.217,43.728
2025-05-16,42.09,43.596
2025-05-19,42.265,44.515
2025-05-20,42.663,44.184
2025-05-21,42.909,44.44
2025-05-22,42.8,44.323
2025-05-23,42.999,44.53
2025-05-26,43.245,44.781
2025-05-27,43.141,44.672
2025-05-28,43.073,44.599
2025-05-29,43.295,44.828
2025-05-30,43.315,44.847
2025-06-02,43.693,45.237
2025-06-03,43.444,44.981
2025-06-04,43.601,45.144
2025-06-05,43.477,45.769
2025-06-06,43.158,45.436
2025-06-09,43.22,45.502
2025-06-10,43.675,45.217
2025-06-11,43.867,45.418
2025-06-12,44.457,46.021
2025-06-13,44.285,45.843
2025-06-16,44.524,46.089
2025-06-17,44.315,45.871
2025-06-18,44.319,45.872
2025-06-19,44.264,45.812
2025-06-20,44.439,45.992
2025-06-23,44.705,46.262
