zaman,alis,satis
2024-05-02,39.476,41.349
2024-05-03,39.544,41.426
2024-05-06,39.594,41.481
2024-05-07,39.447,41.33
2024-05-08,39.245,41.119
2024-05-09,39.269,41.146
2024-05-10,39.136,41.012
2024-05-13,39.418,41.303
2024-05-14,39.548,41.436
2024-05-15,39.693,41.59
2024-05-16,39.723,41.623
2024-05-17,39.73,41.634
2024-05-20,39.861,41.768
2024-05-21,39.9,41.808
2024-05-22,39.891,41.8
2024-05-23,39.869,41.776
2024-05-24,39.795,41.705
2024-05-27,40.034,41.95
2024-05-28,40.094,42.012
2024-05-29,40.039,41.946
2024-05-30,40.152,42.063
2024-05-31,39.967,41.877
2024-06-03,40.173,42.089
2024-06-04,40.647,42.436
2024-06-05,40.226,42.012
2024-06-06,40.212,42.0
2024-06-07,40.02,41.801
2024-06-10,40.27,42.05
2024-06-11,40.15,41.93
2024-06-12,40.518,42.316
2024-06-13,40.28,42.067
2024-06-14,40.207,41.98
2024-06-17,40.218,42.754
2024-06-18,39.918,42.457
2024-06-19,39.942,42.488
2024-06-20,40.686,42.462
2024-06-21,40.4,42.169
2024-06-24,40.774,42.551
2024-06-25,40.81,42.584
2024-06-26,40.534,42.303
2024-06-27,40.57,42.341
2024-06-28,40.349,42.118
2024-07-01,40.38,42.15
2024-07-02,40.34,42.115
2024-07-03,40.551,42.338
2024-07-04,40.578,42.365
2024-07-05,40.734,42.526
2024-07-08,41.022,42.82
2024-07-09,41.115,42.906
2024-07-10,41.2,42.996
2024-07-11,41.416,43.226
2024-07-12,41.771,43.589
2024-07-15,41.513,44.11
2024-07-16,41.845,43.657
2024-07-17,42.062,43.818
2024-07-18,41.93,43.682
2024-07-19,41.607,43.35
2024-07-22,41.519,43.262
2024-07-23,41.372,43.114
2024-07-24,41.441,43.185
2024-07-25,41.533,43.272
2024-07-26,41.313,43.048
2024-07-29,41.434,43.168
2024-07-30,41.465,43.197
2024-07-31,41.526,43.259
2024-08-01,41.341,43.068
2024-08-02,41.451,43.18
2024-08-05,41.631,43.352
2024-08-06,41.747,43.463
2024-08-07,41.637,43.354
2024-08-08,41.595,43.312
2024-08-09,41.708,43.431
2024-08-12,41.886,43.612
2024-08-13,42.045,43.777
2024-08-14,42.182,43.918
2024-08-15,42.23,43.966
2024-08-16,42.342,44.082
2024-08-19,42.833,44.586
2024-08-20,43.148,44.907
2024-08-21,43.304,45.067
2024-08-22,43.433,45.202
2024-08-23,43.727,45.508
2024-08-26,43.783,45.566
2024-08-27,43.925,45.712
2024-08-28,43.921,45.706
2024-08-29,43.611,45.388
2024-08-30,43.362,45.993
2024-09-02,43.611,45.386
2024-09-03,43.545,45.313
2024-09-04,43.765,45.542
2024-09-05,43.64,45.416
2024-09-06,43.656,45.433
2024-09-09,43.522,45.288
2024-09-10,43.433,45.195
2024-09-11,43.264,45.021
2024-09-12,43.352,45.118
2024-09-13,43.489,45.264
2024-09-16,43.846,45.627
2024-09-17,43.968,45.748
2024-09-18,44.044,45.828
2024-09-19,44.085,45.873
2024-09-20,44.173,45.966
2024-09-23,44.561,46.363
2024-09-24,44.656,46.463
2024-09-25,44.602,46.407
2024-09-26,44.71,46.518
2024-09-27,44.675,46.486
2024-09-30,44.81,46.62
2024-10-01,44.433,46.227
2024-10-02,44.354,46.144
2024-10-03,43.788,45.557
2024-10-04,43.795,45.566
2024-10-07,43.797,45.562
2024-10-08,43.881,45.649
2024-10-09,43.75,45.515
2024-10-10,43.631,45.393
2024-10-11,43.655,45.42
2024-10-14,43.728,45.49
2024-10-15,43.806,45.573
2024-10-16,43.465,45.221
2024-10-17,43.349,45.104
2024-10-18,43.536,45.296
2024-10-21,43.559,45.314
2024-10-22,43.428,45.18
2024-10-23,43.43,45.179
2024-10-24,43.371,45.121
2024-10-25,43.425,45.179
2024-10-28,43.284,45.883
2024-10-29,43.296,45.895
2024-10-30,43.536,45.291
2024-10-31,43.198,44.94
2024-11-01,43.412,45.162
2024-11-04,43.584,45.336
2024-11-05,43.684,45.44
2024-11-06,42.979,44.713
2024-11-07,43.488,45.242
2024-11-08,43.321,45.068
2024-11-11,43.195,44.932
2024-11-12,42.981,44.707
2024-11-13,42.654,44.37
2024-11-14,42.632,44.346
2024-11-15,42.399,44.104
2024-11-18,42.648,44.353
2024-11-19,42.712,44.419
2024-11-20,42.614,44.321
2024-11-21,42.587,44.293
2024-11-22,42.187,43.877
2024-11-25,42.571,44.27
2024-11-26,42.607,44.304
2024-11-27,42.8,44.507
2024-11-28,42.881,44.592
2024-11-29,42.923,44.635
2024-12-02,42.943,44.65
2024-12-03,43.024,44.734
2024-12-04,43.054,44.764
2024-12-05,43.317,45.04
2024-12-06,43.32,45.042
2024-12-09,43.52,45.245
2024-12-10,43.427,45.148
2024-12-11,43.491,45.213
2024-12-12,43.42,45.139
2024-12-13,43.095,44.801
2024-12-16,43.241,44.948
2024-12-17,43.41,45.122
2024-12-18,43.505,45.22
2024-12-19,43.181,44.879
2024-12-20,43.089,44.783
2024-12-23,43.153,44.843
2024-12-24,43.277,44.973
2024-12-25,43.32,45.014
2024-12-26,43.012,44.701
2024-12-27,43.212,44.909
2024-12-30,43.404,45.099
2024-12-31,43.287,44.978
2025-01-01,43.023,45.528
2025-01-02,42.824,44.498
2025-01-03,42.856,44.532
2025-01-06,43.228,44.918
2025-01-07,43.373,45.066
2025-01-08,42.672,44.337
2025-01-09,42.529,44.19
2025-01-10,42.3,43.952
2025-01-13,42.172,43.812
2025-01-14,42.218,43.859
2025-01-15,42.608,44.266
2025-01-16,42.296,43.943
2025-01-17,42.267,43.913
2025-01-20,42.804,44.465
2025-01-21,42.812,44.47
2025-01-22,43.044,44.709
2025-01-23,42.996,44.66
2025-01-24,43.338,45.017
2025-01-27,43.714,45.402
2025-01-28,43.507,45.185
2025-01-29,43.435,45.11
2025-01-30,43.639,45.322
2025-01-31,43.427,45.101
2025-02-03,43.494,45.161
2025-02-04,43.779,45.459
2025-02-05,43.994,45.683
2025-02-06,43.554,45.228
2025-02-07,43.784,45.466
2025-02-10,43.606,45.277
2025-02-11,43.795,45.471
2025-02-12,43.798,45.471
2025-02-13,44.113,45.798
2025-02-14,44.607,46.312
2025-02-17,44.673,46.373
2025-02-18,44.75,46.452
2025-02-19,44.738,46.438
2025-02-20,44.837,46.54
2025-02-21,45.015,46.724
2025-02-24,44.986,46.689
2025-02-25,45.191,46.901
2025-02-26,45.188,46.897
2025-02-27,45.035,46.74
2025-02-28,44.961,46.662
2025-03-03,45.271,46.984
2025-03-04,45.375,47.091
2025-03-05,45.874,47.61
2025-03-06,45.972,47.714
2025-03-07,45.999,47.744
2025-03-10,46.211,47.954
2025-03-11,46.325,48.07
2025-03-12,46.387,48.134
2025-03-13,46.451,48.2
2025-03-14,46.335,48.081
2025-03-17,46.573,48.325
2025-03-18,46.548,48.299
2025-03-19,48.546,50.297
2025-03-20,48.159,49.909
2025-03-21,48.023,49.769
2025-03-23,48.462,51.692
2025-03-23,48.462,51.692
2025-03-24,48.473,50.217
2025-03-25,48.514,50.262
2025-03-26,48.379,50.12
2025-03-27,48.558,50.306
2025-03-28,48.38,50.129
2025-03-31,47.827,51.056
2025-04-01,47.869,51.1
2025-04-01,47.869,51.1
2025-04-02,48.53,50.281
2025-04-03,49.315,51.092
2025-04-04,48.453,50.2
2025-04-07,47.926,49.651
2025-04-08,47.853,49.575
2025-04-09,47.885,49.609
2025-04-10,48.441,50.189
2025-04-11,48.951,50.714
2025-04-14,49.146,50.925
2025-04-15,49.165,50.953
2025-04-16,49.267,51.057
2025-04-17,49.105,50.892
2025-04-18,49.318,51.112
