zaman,alis,satis
2024-11-21,33.736,34.499
2024-11-22,34.206,34.979
2024-11-25,33.337,34.09
2024-11-26,33.443,34.198
2024-11-27,33.406,34.161
2024-11-28,33.237,33.988
2024-11-29,33.677,34.438
2024-12-02,33.626,34.385
2024-12-03,34.057,34.826
2024-12-04,34.346,35.121
2024-12-05,34.502,35.281
2024-12-06,34.178,34.95
2024-12-09,35.632,36.436
2024-12-10,35.453,36.253
2024-12-11,35.293,36.089
2024-12-12,34.693,35.475
2024-12-13,33.829,34.592
2024-12-16,33.958,34.723
2024-12-17,33.538,34.294
2024-12-18,33.629,34.387
2024-12-19,32.321,33.049
2024-12-20,32.549,33.282
2024-12-23,33.102,33.847
2024-12-24,33.049,33.793
2024-12-25,33.206,33.953
2024-12-26,33.246,33.995
2024-12-27,33.006,33.75
2024-12-30,32.727,33.464
2024-12-31,32.453,33.184
2025-01-01,32.029,33.676
2025-01-02,32.973,33.715
2025-01-03,33.42,34.172
2025-01-06,33.618,34.375
2025-01-07,33.948,34.712
2025-01-08,33.946,34.709
2025-01-09,34.123,34.891
2025-01-10,34.273,35.045
2025-01-13,33.604,34.36
2025-01-14,33.592,34.347
2025-01-15,34.182,34.951
2025-01-16,34.62,35.399
2025-01-17,34.169,34.938
2025-01-20,34.389,35.161
2025-01-21,34.754,35.534
2025-01-22,34.721,35.501
2025-01-23,34.245,35.014
2025-01-24,34.604,35.382
2025-01-27,34.501,35.275
2025-01-28,34.27,35.04
2025-01-29,35.128,35.917
2025-01-30,35.641,36.441
2025-01-31,35.754,36.557
2025-02-03,35.994,36.801
2025-02-04,36.578,37.399
2025-02-05,36.925,37.753
2025-02-06,36.45,37.267
2025-02-07,36.923,37.751
2025-02-10,36.76,37.584
2025-02-11,36.39,37.206
2025-02-12,36.7,37.522
2025-02-13,36.78,37.604
2025-02-14,38.034,38.886
2025-02-17,37.235,38.069
2025-02-18,37.528,38.368
2025-02-19,37.655,38.498
2025-02-20,38.149,39.002
2025-02-21,37.909,38.757
2025-02-24,37.494,38.333
2025-02-25,37.0,37.827
2025-02-26,36.701,37.522
2025-02-27,36.348,37.161
2025-02-28,35.719,36.518
2025-03-03,36.674,37.494
2025-03-04,36.724,37.546
2025-03-05,37.452,38.289
2025-03-06,37.734,38.578
2025-03-07,37.625,38.467
2025-03-10,37.393,38.229
2025-03-11,38.112,38.964
2025-03-12,38.475,39.335
2025-03-13,38.82,39.688
2025-03-14,39.102,39.975
2025-03-17,39.232,40.108
2025-03-18,39.516,40.398
2025-03-19,40.662,41.564
2025-03-20,40.331,41.226
2025-03-21,39.645,40.525
2025-03-23,40.197,42.211
2025-03-23,40.197,42.211
2025-03-24,40.177,41.067
2025-03-25,40.933,41.841
2025-03-26,40.956,41.864
2025-03-27,41.613,42.536
2025-03-28,41.365,42.283
2025-03-31,40.71,42.757
2025-04-01,40.912,42.969
2025-04-01,40.912,42.969
2025-04-02,41.196,42.109
2025-04-03,39.303,40.175
2025-04-04,36.148,36.985
2025-04-07,36.758,37.609
2025-04-08,36.802,37.654
2025-04-09,36.879,37.732
2025-04-10,37.729,38.602
2025-04-11,38.903,39.803
2025-04-14,38.925,39.827
2025-04-15,38.833,39.733
2025-04-16,39.539,40.456
2025-04-17,38.688,39.585
2025-04-18,39.329,40.24
2025-04-21,39.546,40.462
2025-04-22,39.798,40.72
2025-04-23,40.044,42.061
2025-04-24,40.537,41.475
2025-04-25,39.965,40.89
2025-04-28,40.249,41.181
2025-04-29,40.605,41.544
2025-04-30,39.725,40.644
2025-05-01,38.783,40.734
2025-05-02,39.237,40.145
2025-05-05,39.42,40.332
2025-05-06,40.504,41.44
2025-05-07,39.875,40.797
2025-05-08,39.946,40.87
2025-05-09,40.065,40.991
2025-05-12,39.992,40.917
2025-05-13,40.356,41.289
2025-05-14,39.552,40.466
2025-05-15,39.619,40.534
2025-05-16,39.265,40.173
2025-05-19,39.149,41.114
2025-05-20,40.434,41.368
2025-05-21,40.988,41.935
2025-05-22,40.622,41.561
2025-05-23,40.997,41.944
2025-05-26,41.095,42.044
2025-05-27,40.794,41.736
2025-05-28,40.939,41.884
2025-05-29,41.045,41.992
2025-05-30,40.843,41.786
2025-06-02,42.653,43.637
2025-06-03,42.711,43.697
2025-06-04,42.78,43.767
2025-06-05,43.714,45.902
2025-06-06,43.859,46.055
2025-06-09,44.651,46.887
2025-06-10,45.171,46.213
2025-06-11,44.998,46.036
2025-06-12,45.203,46.245
2025-06-13,45.117,46.158
2025-06-16,45.396,46.442
2025-06-17,46.387,47.456
2025-06-18,46.024,47.085
2025-06-19,45.574,46.624
2025-06-20,45.046,46.083
2025-06-23,45.622,46.672
2025-06-24,44.535,45.56
2025-06-25,45.281,46.323
2025-06-26,46.027,47.086
2025-06-27,45.489,46.536
2025-06-30,45.307,46.349
2025-07-01,45.846,46.9
2025-07-02,45.899,46.955
2025-07-03,46.077,47.137
