zaman,alis,satis
2024-05-02,20.511,21.484
2024-05-03,20.624,21.605
2024-05-06,20.446,21.42
2024-05-07,20.349,21.32
2024-05-08,20.2,21.165
2024-05-09,20.17,21.134
2024-05-10,20.07,21.033
2024-05-13,20.123,21.086
2024-05-14,20.102,21.062
2024-05-15,20.204,21.17
2024-05-16,20.189,21.155
2024-05-17,20.127,21.092
2024-05-20,20.101,21.062
2024-05-21,20.115,21.077
2024-05-22,20.027,20.985
2024-05-23,19.981,20.937
2024-05-24,19.905,20.86
2024-05-27,19.982,20.939
2024-05-28,19.991,20.947
2024-05-29,20.0,20.952
2024-05-30,20.129,21.087
2024-05-31,20.008,20.964
2024-06-03,20.144,21.104
2024-06-04,20.538,21.443
2024-06-05,20.17,21.065
2024-06-06,20.173,21.07
2024-06-07,20.045,20.937
2024-06-10,20.181,21.073
2024-06-11,20.083,20.973
2024-06-12,20.256,21.155
2024-06-13,20.105,20.996
2024-06-14,20.157,21.046
2024-06-17,20.091,21.358
2024-06-18,19.905,21.171
2024-06-19,19.872,21.139
2024-06-20,20.208,21.09
2024-06-21,20.061,20.939
2024-06-24,20.127,21.004
2024-06-25,20.161,21.038
2024-06-26,19.984,20.856
2024-06-27,19.973,20.845
2024-06-28,19.86,20.73
2024-07-01,19.76,20.626
2024-07-02,19.711,20.578
2024-07-03,19.706,20.574
2024-07-04,19.739,20.608
2024-07-05,19.775,20.644
2024-07-08,19.906,20.778
2024-07-09,19.918,20.785
2024-07-10,19.863,20.729
2024-07-11,20.203,21.086
2024-07-12,20.393,21.281
2024-07-15,20.248,21.514
2024-07-16,20.375,21.257
2024-07-17,20.662,21.525
2024-07-18,20.62,21.482
2024-07-19,20.477,21.335
2024-07-22,20.495,21.355
2024-07-23,20.544,21.409
2024-07-24,20.931,21.811
2024-07-25,20.996,21.875
2024-07-26,20.936,21.815
2024-07-29,20.931,21.807
2024-07-30,20.913,21.786
2024-07-31,21.468,22.364
2024-08-01,21.526,22.425
2024-08-02,22.086,23.007
2024-08-05,22.881,23.827
