zaman,alis,satis
2024-05-02,2.8583,2.9939
2024-05-03,2.9032,3.0413
2024-05-06,2.9092,3.0479
2024-05-07,2.8889,3.0268
2024-05-08,2.8807,3.0182
2024-05-09,2.8891,3.0271
2024-05-10,2.8836,3.0219
2024-05-13,2.9043,3.0432
2024-05-14,2.9057,3.0444
2024-05-15,2.9221,3.0617
2024-05-16,2.9304,3.0705
2024-05-17,2.9294,3.0698
2024-05-20,2.9353,3.0756
2024-05-21,2.9409,3.0816
2024-05-22,2.9309,3.0712
2024-05-23,2.9441,3.0849
2024-05-24,2.9551,3.097
2024-05-27,2.9856,3.1285
2024-05-28,2.9914,3.1345
2024-05-29,2.9811,3.123
2024-05-30,2.9964,3.139
2024-05-31,2.9914,3.1344
2024-06-03,3.0044,3.1477
2024-06-04,3.0058,3.1381
2024-06-05,2.975,3.1071
2024-06-06,2.9696,3.1017
2024-06-07,2.944,3.0751
2024-06-10,2.9619,3.0928
2024-06-11,2.9441,3.0746
2024-06-12,3.0055,3.1389
2024-06-13,2.9676,3.0992
2024-06-14,2.9659,3.0967
2024-06-17,2.9613,3.148
2024-06-18,2.9664,3.155
2024-06-19,2.9719,3.1613
2024-06-20,3.0487,3.1818
2024-06-21,3.0235,3.1559
2024-06-24,3.0478,3.1806
2024-06-25,3.0373,3.1694
2024-06-26,3.0044,3.1355
2024-06-27,3.0117,3.1432
2024-06-28,2.9989,3.1304
2024-07-01,2.9919,3.1231
2024-07-02,2.9758,3.1068
2024-07-03,3.0142,3.147
2024-07-04,3.0082,3.1406
2024-07-05,3.0106,3.143
2024-07-08,3.021,3.1534
2024-07-09,3.0279,3.1598
2024-07-10,2.9966,3.1272
2024-07-11,2.9966,3.1275
2024-07-12,2.9968,3.1272
2024-07-15,2.9643,3.1497
2024-07-16,2.9815,3.1106
2024-07-17,3.0071,3.1327
2024-07-18,3.0031,3.1286
2024-07-19,2.9596,3.0836
2024-07-22,2.9279,3.0508
2024-07-23,2.9024,3.0247
2024-07-24,2.9103,3.0328
2024-07-25,2.9231,3.0455
2024-07-26,2.9135,3.0359
2024-07-29,2.9321,3.0549
2024-07-30,2.9498,3.073
2024-07-31,2.9561,3.0795
2024-08-01,2.9659,3.0898
2024-08-02,2.9541,3.0773
2024-08-05,2.9571,3.0794
2024-08-06,3.0104,3.1342
2024-08-07,3.0454,3.171
2024-08-08,3.0156,3.1401
2024-08-09,3.0257,3.1507
2024-08-12,3.0418,3.1672
2024-08-13,3.0445,3.1699
2024-08-14,3.0743,3.2009
2024-08-15,3.07,3.1962
2024-08-16,3.0615,3.1873
2024-08-19,3.1178,3.2454
2024-08-20,3.1512,3.2796
2024-08-21,3.1541,3.2825
2024-08-22,3.131,3.2585
2024-08-23,3.1526,3.281
2024-08-26,3.1515,3.2798
2024-08-27,3.1655,3.2943
2024-08-28,3.1686,3.2974
2024-08-29,3.1532,3.2817
2024-08-30,3.113,3.3019
2024-09-02,3.1322,3.2598
2024-09-03,3.1088,3.235
2024-09-04,3.1351,3.2624
2024-09-05,3.1155,3.2423
2024-09-06,3.1088,3.2353
2024-09-09,3.0698,3.1944
2024-09-10,3.0671,3.1915
2024-09-11,3.0529,3.1769
2024-09-12,3.0738,3.199
2024-09-13,3.1072,3.234
2024-09-16,3.1298,3.257
2024-09-17,3.1496,3.2771
2024-09-18,3.1469,3.2743
2024-09-19,3.1644,3.2928
2024-09-20,3.1587,3.2869
2024-09-23,3.1871,3.316
2024-09-24,3.1996,3.3291
2024-09-25,3.1702,3.2985
2024-09-26,3.1735,3.3018
2024-09-27,3.1781,3.3069
2024-09-30,3.1721,3.3003
2024-10-01,3.157,3.2845
2024-10-02,3.1615,3.2891
2024-10-03,3.1446,3.2717
2024-10-04,3.1325,3.2591
2024-10-07,3.1485,3.2754
2024-10-08,3.1278,3.2538
2024-10-09,3.1025,3.2276
2024-10-10,3.1074,3.2328
2024-10-11,3.1171,3.2432
2024-10-14,3.1082,3.2335
2024-10-15,3.0976,3.2225
2024-10-16,3.0619,3.1857
2024-10-17,3.0493,3.1727
2024-10-18,3.0549,3.1784
2024-10-21,3.0596,3.1829
2024-10-22,3.0637,3.1873
2024-10-23,3.0414,3.1638
2024-10-24,3.0501,3.1732
2024-10-25,3.059,3.1825
2024-10-28,3.0374,3.2198
2024-10-29,3.0382,3.2206
2024-10-30,3.0579,3.1812
2024-10-31,3.0408,3.1634
2024-11-01,3.0371,3.1596
2024-11-04,3.0657,3.1889
2024-11-05,3.0593,3.1822
2024-11-06,3.0043,3.1255
2024-11-07,3.084,3.2084
2024-11-08,3.0534,3.1765
2024-11-11,3.0316,3.1534
2024-11-12,3.0358,3.1577
2024-11-13,3.0176,3.139
2024-11-14,3.0181,3.1394
2024-11-15,3.022,3.1435
2024-11-18,3.0504,3.1724
2024-11-19,3.074,3.1968
2024-11-20,3.0466,3.1687
2024-11-21,3.0532,3.1754
2024-11-22,3.0317,3.1531
2024-11-25,3.054,3.1759
2024-11-26,3.0406,3.1618
2024-11-27,3.0563,3.1782
2024-11-28,3.0599,3.182
2024-11-29,3.058,3.18
2024-12-02,3.0499,3.1711
2024-12-03,3.0745,3.1966
2024-12-04,3.0687,3.1906
2024-12-05,3.0804,3.2029
2024-12-06,3.0567,3.1783
2024-12-09,3.0716,3.1934
2024-12-10,3.0558,3.1768
2024-12-11,3.0597,3.1808
2024-12-12,3.0749,3.1967
2024-12-13,3.0613,3.1825
2024-12-16,3.0556,3.1762
2024-12-17,3.0579,3.1785
2024-12-18,3.0573,3.1778
2024-12-19,3.0248,3.1438
2024-12-20,3.0068,3.125
2024-12-23,3.0321,3.1509
2024-12-24,3.0319,3.1507
2024-12-25,3.0342,3.1528
2024-12-26,3.0255,3.1443
2024-12-27,3.0256,3.1445
2024-12-30,3.0418,3.1606
2024-12-31,3.043,3.1619
2025-01-01,3.0173,3.193
2025-01-02,3.0405,3.1593
2025-01-03,3.0349,3.1536
2025-01-06,3.0659,3.1858
2025-01-07,3.0642,3.1838
2025-01-08,3.0316,3.1499
2025-01-09,3.032,3.1504
2025-01-10,3.0234,3.1415
2025-01-13,3.0255,3.1432
2025-01-14,3.0405,3.1587
2025-01-15,3.0715,3.191
2025-01-16,3.0499,3.1686
2025-01-17,3.0389,3.1572
2025-01-20,3.0768,3.1962
2025-01-21,3.0674,3.1862
2025-01-22,3.091,3.2106
2025-01-23,3.0926,3.2124
2025-01-24,3.1116,3.2322
2025-01-27,3.1139,3.2341
2025-01-28,3.0991,3.2187
2025-01-29,3.0902,3.2094
2025-01-30,3.1008,3.2203
2025-01-31,3.0929,3.2121
2025-02-03,3.0746,3.1924
2025-02-04,3.114,3.2336
2025-02-05,3.1365,3.257
2025-02-06,3.1214,3.2413
2025-02-07,3.1397,3.2604
2025-02-10,3.141,3.2614
2025-02-11,3.1466,3.267
2025-02-12,3.1339,3.2536
2025-02-13,3.1443,3.2644
2025-02-14,3.186,3.3078
2025-02-17,3.19,3.3114
2025-02-18,3.1841,3.3052
2025-02-19,3.1929,3.3142
2025-02-20,3.1951,3.3165
2025-02-21,3.2078,3.3296
2025-02-24,3.2003,3.3215
2025-02-25,3.216,3.3376
2025-02-26,3.1985,3.3195
2025-02-27,3.1769,3.2971
2025-02-28,3.1686,3.2886
2025-03-03,3.1967,3.3177
2025-03-04,3.1843,3.3047
2025-03-05,3.2639,3.3874
2025-03-06,3.2833,3.4077
2025-03-07,3.293,3.4179
2025-03-10,3.3291,3.4547
2025-03-11,3.3472,3.4734
2025-03-12,3.369,3.4959
2025-03-13,3.3604,3.487
2025-03-14,3.3631,3.4898
2025-03-17,3.3949,3.5227
2025-03-18,3.392,3.5196
2025-03-19,3.5397,3.6673
2025-03-20,3.5083,3.6358
2025-03-21,3.5257,3.6539
2025-03-23,3.5572,3.7943
2025-03-23,3.5572,3.7943
2025-03-24,3.5667,3.6951
2025-03-25,3.5762,3.7051
2025-03-26,3.5642,3.6925
2025-03-27,3.5657,3.694
2025-03-28,3.5716,3.7007
2025-03-31,3.5136,3.7508
2025-04-01,3.5255,3.7634
2025-04-01,3.5255,3.7634
2025-04-02,3.597,3.7267
