zaman,alis,satis
2024-05-02,8.4307,8.8307
2024-05-03,8.4052,8.8051
2024-05-06,8.392,8.7919
2024-05-07,8.379,8.779
2024-05-08,8.3772,8.7772
2024-05-09,8.369,8.7689
2024-05-10,8.3426,8.7425
2024-05-13,8.3638,8.7638
2024-05-14,8.3801,8.7801
2024-05-15,8.3678,8.7677
2024-05-16,8.3626,8.7625
2024-05-17,8.3439,8.7439
2024-05-20,8.3623,8.7623
2024-05-21,8.3602,8.7601
2024-05-22,8.3575,8.7574
2024-05-23,8.363,8.7629
2024-05-24,8.3323,8.7323
2024-05-27,8.3546,8.7546
2024-05-28,8.3614,8.7613
2024-05-29,8.3972,8.7971
2024-05-30,8.4025,8.8024
2024-05-31,8.3681,8.768
2024-06-03,8.3882,8.7881
2024-06-04,8.4794,8.8527
2024-06-05,8.4081,8.7814
2024-06-06,8.3948,8.7681
2024-06-07,8.3869,8.7602
2024-06-10,8.4436,8.8169
2024-06-11,8.4204,8.7937
2024-06-12,8.4105,8.7838
2024-06-13,8.4135,8.7866
2024-06-14,8.4594,8.8325
2024-06-17,8.4544,8.9875
2024-06-18,8.3819,8.915
2024-06-19,8.3638,8.8969
2024-06-20,8.55,8.9232
2024-06-21,8.5241,8.8973
2024-06-24,8.5662,8.9394
2024-06-25,8.5819,8.955
2024-06-26,8.555,8.9282
2024-06-27,8.5496,8.9227
2024-06-28,8.5114,8.8846
2024-07-01,8.512,8.8852
2024-07-02,8.4817,8.8549
2024-07-03,8.468,8.8412
2024-07-04,8.4757,8.8489
2024-07-05,8.4848,8.858
2024-07-08,8.5185,8.8917
2024-07-09,8.5678,8.941
2024-07-10,8.5616,8.9349
2024-07-11,8.5443,8.9176
2024-07-12,8.5747,8.948
2024-07-15,8.5251,9.0583
2024-07-16,8.6185,8.9917
2024-07-17,8.6176,8.9775
2024-07-18,8.6127,8.9726
2024-07-19,8.5888,8.9487
2024-07-22,8.5726,8.9325
2024-07-23,8.5443,8.9042
2024-07-24,8.5515,8.9114
2024-07-25,8.5956,8.9554
2024-07-26,8.5681,8.928
2024-07-29,8.598,8.9579
2024-07-30,8.6144,8.9742
2024-07-31,8.6189,8.9787
2024-08-01,8.6108,8.9706
2024-08-02,8.6262,8.9859
2024-08-05,8.6964,9.0561
2024-08-06,8.747,9.1065
2024-08-07,8.7193,9.0789
2024-08-08,8.7167,9.0764
2024-08-09,8.7047,9.0644
2024-08-12,8.7292,9.0889
2024-08-13,8.7313,9.0909
2024-08-14,8.7401,9.0998
2024-08-15,8.7546,9.1143
2024-08-16,8.7544,9.1141
2024-08-19,8.7906,9.1504
2024-08-20,8.825,9.1847
2024-08-21,8.8344,9.1942
2024-08-22,8.8345,9.1943
2024-08-23,8.835,9.1947
2024-08-26,8.8379,9.1977
2024-08-27,8.8431,9.2029
2024-08-28,8.8503,9.21
2024-08-29,8.8316,9.1913
2024-08-30,8.7836,9.3165
2024-09-02,8.8363,9.196
2024-09-03,8.8593,9.219
2024-09-04,8.8602,9.2199
2024-09-05,8.8363,9.1959
2024-09-06,8.8383,9.1979
2024-09-09,8.8648,9.2245
2024-09-10,8.8674,9.2272
2024-09-11,8.8574,9.2171
2024-09-12,8.833,9.1927
2024-09-13,8.8132,9.1729
2024-09-16,8.8527,9.2125
2024-09-17,8.8832,9.2428
2024-09-18,8.8837,9.2434
2024-09-19,8.8696,9.2293
2024-09-20,8.8647,9.2244
2024-09-23,8.8957,9.2555
2024-09-24,8.8924,9.2522
2024-09-25,8.8898,9.2496
2024-09-26,8.8987,9.2586
2024-09-27,8.8793,9.2392
2024-09-30,8.9073,9.2672
2024-10-01,8.9133,9.2731
2024-10-02,8.9127,9.2724
2024-10-03,8.8987,9.2583
2024-10-04,8.8907,9.2502
2024-10-07,8.9155,9.2749
2024-10-08,8.927,9.2866
2024-10-09,8.9119,9.2714
2024-10-10,8.9035,9.2631
2024-10-11,8.8932,9.2527
2024-10-14,8.9203,9.2799
2024-10-15,8.9128,9.2724
2024-10-16,8.8957,9.2551
2024-10-17,8.8786,9.2381
2024-10-18,8.8904,9.2498
2024-10-21,8.9199,9.2794
2024-10-22,8.9126,9.272
2024-10-23,8.9277,9.2872
2024-10-24,8.9102,9.2696
2024-10-25,8.9014,9.2608
2024-10-28,8.8683,9.4009
2024-10-29,8.8699,9.4024
2024-10-30,8.9158,9.2752
2024-10-31,8.9165,9.276
2024-11-01,8.9163,9.2758
2024-11-04,8.9409,9.3004
2024-11-05,8.9394,9.2987
2024-11-06,8.907,9.2663
2024-11-07,8.9108,9.2702
2024-11-08,8.9142,9.2736
2024-11-11,8.9407,9.3001
2024-11-12,8.9449,9.3042
2024-11-13,8.9349,9.2942
2024-11-14,8.9425,9.3019
2024-11-15,8.9401,9.2996
2024-11-18,8.9961,9.3557
2024-11-19,9.0023,9.3619
2024-11-20,8.9769,9.3365
2024-11-21,8.979,9.3386
2024-11-22,8.9763,9.3359
2024-11-25,9.0076,9.3671
2024-11-26,9.0178,9.3771
2024-11-27,9.0127,9.3722
