zaman,alis,satis
2024-05-02,2.8966,3.034
2024-05-03,2.9158,3.0545
2024-05-06,2.9168,3.0558
2024-05-07,2.9045,3.0431
2024-05-08,2.8826,3.0202
2024-05-09,2.8921,3.0303
2024-05-10,2.8826,3.0208
2024-05-13,2.8996,3.0382
2024-05-14,2.9045,3.0431
2024-05-15,2.9283,3.0683
2024-05-16,2.9311,3.0713
2024-05-17,2.9223,3.0624
2024-05-20,2.9318,3.0721
2024-05-21,2.9324,3.0727
2024-05-22,2.9208,3.0606
2024-05-23,2.9232,3.0629
2024-05-24,2.9324,3.0731
2024-05-27,2.9519,3.0932
2024-05-28,2.9753,3.1176
2024-05-29,2.957,3.0978
2024-05-30,2.9759,3.1176
2024-05-31,2.9808,3.1233
2024-06-03,3.0198,3.1637
2024-06-04,3.0439,3.1779
2024-06-05,3.0225,3.1567
2024-06-06,3.0195,3.1537
2024-06-07,2.9876,3.1206
2024-06-10,3.0105,3.1436
2024-06-11,3.0049,3.1381
2024-06-12,3.0617,3.1976
2024-06-13,3.0165,3.1503
2024-06-14,3.0058,3.1384
2024-06-17,3.0112,3.201
2024-06-18,3.0072,3.1984
2024-06-19,3.0109,3.2029
2024-06-20,3.0697,3.2037
2024-06-21,3.0375,3.1705
2024-06-24,3.0697,3.2034
2024-06-25,3.0626,3.1957
2024-06-26,3.0396,3.1722
2024-06-27,3.0244,3.1564
2024-06-28,3.0155,3.1477
2024-07-01,3.003,3.1346
2024-07-02,2.9996,3.1315
2024-07-03,3.035,3.1688
2024-07-04,3.0259,3.1592
2024-07-05,3.0307,3.164
2024-07-08,3.0294,3.1621
2024-07-09,3.0414,3.1739
2024-07-10,3.0446,3.1773
2024-07-11,3.0612,3.1949
2024-07-12,3.0541,3.1871
2024-07-15,3.022,3.211
2024-07-16,3.0428,3.1746
2024-07-17,3.0643,3.1922
2024-07-18,3.0611,3.189
2024-07-19,3.0173,3.1438
2024-07-22,2.9973,3.1231
2024-07-23,2.9741,3.0994
2024-07-24,2.9788,3.1042
2024-07-25,2.9841,3.109
2024-07-26,2.9735,3.0984
2024-07-29,2.978,3.1026
2024-07-30,2.9962,3.1213
2024-07-31,3.017,3.143
2024-08-01,3.0235,3.1498
2024-08-02,3.062,3.1897
2024-08-05,3.0998,3.228
2024-08-06,3.1178,3.2459
2024-08-07,3.1356,3.265
2024-08-08,3.1047,3.2328
2024-08-09,3.1125,3.2411
2024-08-12,3.1122,3.2405
2024-08-13,3.1207,3.2492
2024-08-14,3.1481,3.2777
2024-08-15,3.1292,3.2578
2024-08-16,3.1272,3.2558
2024-08-19,3.1936,3.3243
2024-08-20,3.2337,3.3655
2024-08-21,3.2426,3.3746
2024-08-22,3.2349,3.3666
2024-08-23,3.2534,3.3859
2024-08-26,3.2536,3.386
2024-08-27,3.2606,3.3932
2024-08-28,3.264,3.3967
2024-08-29,3.2348,3.3666
2024-08-30,3.2176,3.4129
2024-09-02,3.2342,3.3658
2024-09-03,3.2216,3.3524
2024-09-04,3.2421,3.3738
2024-09-05,3.223,3.3542
2024-09-06,3.2324,3.3639
2024-09-09,3.2069,3.3371
2024-09-10,3.1991,3.3289
2024-09-11,3.1984,3.3283
2024-09-12,3.2126,3.3434
2024-09-13,3.241,3.3733
2024-09-16,3.2577,3.39
2024-09-17,3.2744,3.407
2024-09-18,3.2674,3.3997
2024-09-19,3.267,3.3996
2024-09-20,3.2598,3.3921
2024-09-23,3.2768,3.4093
2024-09-24,3.295,3.4283
2024-09-25,3.289,3.4221
2024-09-26,3.2999,3.4334
2024-09-27,3.3061,3.4401
2024-09-30,3.2982,3.4315
2024-10-01,3.2587,3.3902
2024-10-02,3.2548,3.3861
2024-10-03,3.2371,3.3679
2024-10-04,3.2222,3.3525
2024-10-07,3.2318,3.3621
2024-10-08,3.234,3.3643
2024-10-09,3.2201,3.35
2024-10-10,3.2122,3.3419
2024-10-11,3.2182,3.3483
2024-10-14,3.2134,3.3429
2024-10-15,3.228,3.3582
2024-10-16,3.1902,3.3191
2024-10-17,3.1671,3.2953
2024-10-18,3.1696,3.2977
2024-10-21,3.175,3.3029
2024-10-22,3.1744,3.3025
2024-10-23,3.1612,3.2885
2024-10-24,3.163,3.2906
2024-10-25,3.1612,3.2888
2024-10-28,3.1384,3.3269
2024-10-29,3.1258,3.3135
2024-10-30,3.1368,3.2632
