zaman,alis,satis
2024-05-02,31.62,33.12
2024-05-03,31.525,33.025
2024-05-06,31.475,32.975
2024-05-07,31.426,32.926
2024-05-08,31.419,32.919
2024-05-09,31.388,32.888
2024-05-10,31.289,32.789
2024-05-13,31.369,32.869
2024-05-14,31.429,32.929
2024-05-15,31.383,32.883
2024-05-16,31.363,32.863
2024-05-17,31.293,32.793
2024-05-20,31.362,32.862
2024-05-21,31.354,32.854
2024-05-22,31.345,32.845
2024-05-23,31.366,32.866
2024-05-24,31.251,32.751
2024-05-27,31.334,32.834
2024-05-28,31.359,32.859
2024-05-29,31.495,32.995
2024-05-30,31.515,33.015
2024-05-31,31.386,32.886
2024-06-03,31.462,32.962
2024-06-04,31.803,33.203
2024-06-05,31.535,32.935
2024-06-06,31.485,32.885
2024-06-07,31.455,32.855
2024-06-10,31.665,33.065
2024-06-11,31.58,32.98
2024-06-12,31.546,32.946
2024-06-13,31.568,32.968
2024-06-14,31.739,33.139
2024-06-17,31.723,33.723
2024-06-18,31.449,33.449
2024-06-19,31.378,33.378
2024-06-20,32.075,33.475
2024-06-21,31.979,33.379
2024-06-24,32.136,33.536
2024-06-25,32.198,33.598
2024-06-26,32.095,33.495
2024-06-27,32.076,33.476
2024-06-28,31.932,33.332
2024-07-01,31.935,33.335
2024-07-02,31.82,33.22
2024-07-03,31.767,33.167
2024-07-04,31.795,33.195
2024-07-05,31.828,33.228
2024-07-08,31.954,33.354
2024-07-09,32.136,33.536
2024-07-10,32.112,33.512
2024-07-11,32.047,33.447
2024-07-12,32.161,33.561
2024-07-15,31.975,33.975
2024-07-16,32.325,33.725
2024-07-17,32.323,33.673
2024-07-18,32.305,33.655
2024-07-19,32.216,33.566
2024-07-22,32.155,33.505
2024-07-23,32.051,33.401
2024-07-24,32.08,33.43
2024-07-25,32.246,33.596
2024-07-26,32.144,33.494
2024-07-29,32.256,33.606
2024-07-30,32.318,33.668
2024-07-31,32.337,33.687
2024-08-01,32.311,33.661
2024-08-02,32.368,33.718
2024-08-05,32.644,33.994
2024-08-06,32.842,34.192
2024-08-07,32.735,34.085
2024-08-08,32.712,34.062
2024-08-09,32.672,34.022
2024-08-12,32.766,34.116
2024-08-13,32.78,34.13
2024-08-14,32.803,34.153
2024-08-15,32.853,34.203
2024-08-16,32.853,34.203
2024-08-19,32.985,34.335
2024-08-20,33.113,34.463
2024-08-21,33.149,34.499
2024-08-22,33.149,34.499
2024-08-23,33.151,34.501
2024-08-26,33.162,34.512
2024-08-27,33.182,34.532
2024-08-28,33.212,34.562
2024-08-29,33.141,34.491
2024-08-30,32.961,34.961
2024-09-02,33.16,34.51
2024-09-03,33.249,34.599
2024-09-04,33.255,34.605
2024-09-05,33.17,34.52
2024-09-06,33.177,34.527
2024-09-09,33.271,34.621
2024-09-10,33.271,34.621
2024-09-11,33.24,34.59
2024-09-12,33.148,34.498
2024-09-13,33.075,34.425
2024-09-16,33.225,34.575
2024-09-17,33.343,34.693
2024-09-18,33.341,34.691
2024-09-19,33.283,34.633
2024-09-20,33.264,34.614
2024-09-23,33.378,34.728
2024-09-24,33.362,34.712
2024-09-25,33.354,34.704
2024-09-26,33.379,34.729
2024-09-27,33.307,34.657
2024-09-30,33.415,34.765
2024-10-01,33.44,34.79
2024-10-02,33.451,34.801
2024-10-03,33.407,34.757
2024-10-04,33.395,34.745
2024-10-07,33.488,34.838
2024-10-08,33.517,34.867
2024-10-09,33.462,34.812
2024-10-10,33.43,34.78
2024-10-11,33.392,34.742
2024-10-14,33.495,34.845
2024-10-15,33.461,34.811
2024-10-16,33.41,34.76
2024-10-17,33.346,34.696
2024-10-18,33.391,34.741
2024-10-21,33.503,34.853
2024-10-22,33.472,34.822
2024-10-23,33.528,34.878
2024-10-24,33.467,34.817
2024-10-25,33.434,34.784
2024-10-28,33.304,35.304
2024-10-29,33.311,35.311
2024-10-30,33.485,34.835
2024-10-31,33.486,34.836
2024-11-01,33.488,34.838
2024-11-04,33.582,34.932
2024-11-05,33.581,34.931
2024-11-06,33.461,34.811
2024-11-07,33.472,34.822
2024-11-08,33.48,34.83
2024-11-11,33.582,34.932
2024-11-12,33.609,34.959
2024-11-13,33.573,34.923
2024-11-14,33.586,34.936
2024-11-15,33.574,34.924
2024-11-18,33.771,35.121
2024-11-19,33.796,35.146
2024-11-20,33.701,35.051
2024-11-21,33.711,35.061
2024-11-22,33.701,35.051
2024-11-25,33.825,35.175
2024-11-26,33.884,35.234
2024-11-27,33.847,35.197
2024-11-28,33.841,35.191
2024-11-29,33.836,35.186
2024-12-02,33.962,35.312
2024-12-03,33.981,35.331
2024-12-04,33.988,35.338
2024-12-05,33.939,35.289
2024-12-06,33.946,35.296
2024-12-09,34.055,35.405
2024-12-10,34.074,35.424
2024-12-11,34.098,35.448
2024-12-12,34.105,35.455
2024-12-13,34.097,35.447
2024-12-16,34.192,35.542
2024-12-17,34.223,35.573
2024-12-18,34.252,35.602
2024-12-19,34.329,35.679
2024-12-20,34.338,35.688
2024-12-23,34.452,35.802
2024-12-24,34.449,35.799
2024-12-25,34.518,35.868
2024-12-26,34.387,35.737
2024-12-27,34.365,35.715
2024-12-30,34.57,35.92
2024-12-31,34.548,35.898
2025-01-01,34.354,36.354
2025-01-02,34.547,35.897
2025-01-03,34.529,35.879
2025-01-06,34.541,35.891
2025-01-07,34.585,35.935
2025-01-08,34.6,35.95
2025-01-09,34.555,35.905
2025-01-10,34.567,35.917
2025-01-13,34.721,36.071
2025-01-14,34.726,36.076
2025-01-15,34.7,36.05
2025-01-16,34.676,36.026
2025-01-17,34.671,36.021
2025-01-20,34.786,36.136
2025-01-21,34.863,36.213
2025-01-22,34.887,36.237
2025-01-23,34.869,36.219
2025-01-24,34.849,36.199
2025-01-27,34.976,36.326
2025-01-28,35.002,36.352
2025-01-29,35.016,36.366
2025-01-30,35.011,36.361
2025-01-31,35.016,36.366
2025-02-03,35.219,36.569
2025-02-04,35.165,36.515
2025-02-05,35.15,36.5
2025-02-06,35.128,36.478
2025-02-07,35.128,36.478
2025-02-10,35.233,36.583
2025-02-11,35.283,36.633
2025-02-12,35.339,36.689
2025-02-13,35.34,36.69
2025-02-14,35.333,36.683
2025-02-17,35.47,36.82
2025-02-18,35.508,36.858
2025-02-19,35.538,36.888
2025-02-20,35.54,36.89
2025-02-21,35.564,36.914
2025-02-24,35.666,37.016
2025-02-25,35.692,37.042
2025-02-26,35.682,37.032
2025-02-27,35.664,37.014
2025-02-28,35.672,37.022
2025-03-03,35.666,37.016
2025-03-04,35.693,37.043
2025-03-05,35.669,37.019
2025-03-06,35.645,36.995
2025-03-07,35.602,36.952
2025-03-10,35.789,37.139
2025-03-11,35.826,37.176
2025-03-12,35.84,37.19
2025-03-13,35.846,37.196
2025-03-14,35.84,37.19
2025-03-17,35.885,37.235
2025-03-18,35.896,37.246
2025-03-19,37.426,38.776
2025-03-20,37.153,38.503
2025-03-21,37.129,38.479
2025-03-23,37.511,40.011
2025-03-23,37.511,40.011
2025-03-24,37.506,38.856
2025-03-25,37.469,38.819
2025-03-26,37.511,38.861
2025-03-27,37.511,38.861
2025-03-28,37.345,38.695
2025-03-31,37.031,39.531
2025-04-01,37.038,39.538
2025-04-01,37.038,39.538
2025-04-02,37.429,38.779
2025-04-03,37.453,38.803
2025-04-04,37.43,38.78
2025-04-07,37.507,38.857
2025-04-08,37.514,38.864
2025-04-09,37.515,38.865
2025-04-10,37.421,38.771
2025-04-11,37.477,38.827
2025-04-14,37.28,38.63
2025-04-15,37.13,38.48
2025-04-16,37.163,38.513
2025-04-17,37.099,38.449
2025-04-18,37.121,38.471
2025-04-21,37.225,38.575
2025-04-22,37.246,38.596
2025-04-23,37.088,39.088
2025-04-24,37.349,38.699
2025-04-25,37.359,38.709
2025-04-28,37.456,38.806
2025-04-29,37.474,38.824
2025-04-30,37.447,38.797
2025-05-01,37.241,39.241
2025-05-02,37.501,38.851
2025-05-05,37.596,38.946
2025-05-06,37.636,38.986
2025-05-07,37.663,39.013
2025-05-08,37.652,39.002
2025-05-09,37.683,39.033
2025-05-12,37.793,39.143
2025-05-13,37.798,39.148
2025-05-14,37.781,39.131
2025-05-15,37.73,39.08
2025-05-16,37.727,39.077
2025-05-19,37.561,39.561
2025-05-20,37.866,39.216
2025-05-21,37.836,39.186
2025-05-22,37.949,39.299
2025-05-23,37.93,39.28
2025-05-26,37.996,39.346
2025-05-27,38.032,39.382
2025-05-28,38.11,39.46
2025-05-29,38.132,39.482
2025-05-30,38.177,39.527
2025-06-02,38.205,39.555
2025-06-03,38.156,39.506
2025-06-04,38.156,39.506
2025-06-05,37.942,39.942
2025-06-06,37.89,39.89
2025-06-09,37.891,39.891
2025-06-10,38.236,39.586
2025-06-11,38.197,39.547
2025-06-12,38.376,39.726
2025-06-13,38.372,39.722
