zaman,alis,satis
2024-05-02,2345.482,2469.368
2024-05-03,2330.131,2453.24
2024-05-06,2360.362,2475.195
2024-05-07,2353.993,2468.534
2024-05-08,2350.911,2465.304
2024-05-09,2365.017,2480.108
2024-05-10,2383.677,2499.711
2024-05-13,2363.279,2478.824
2024-05-14,2377.135,2493.335
2024-05-15,2392.639,2509.615
2024-05-16,2390.118,2506.977
2024-05-17,2425.987,2544.626
2024-05-20,2440.423,2559.742
2024-05-21,2448.868,2568.603
2024-05-22,2408.503,2526.267
2024-05-23,2362.502,2478.01
2024-05-24,2348.347,2463.204
2024-05-27,2372.359,2488.361
2024-05-28,2373.759,2489.82
2024-05-29,2378.797,2475.224
2024-05-30,2381.213,2477.73
2024-05-31,2364.137,2460.009
2024-06-03,2376.411,2472.753
2024-06-04,2371.888,2467.944
2024-06-05,2383.506,2480.128
2024-06-06,2395.421,2492.544
2024-06-07,2341.449,2436.394
2024-06-10,2346.671,2441.753
2024-06-11,2354.387,2449.812
2024-06-12,2361.17,2456.882
2024-06-13,2349.521,2444.753
2024-06-14,2379.596,2475.987
2024-06-17,2379.349,2563.903
2024-06-18,2358.916,2542.212
2024-06-19,2355.125,2538.213
2024-06-20,2439.404,2538.098
2024-06-21,2399.306,2496.411
2024-06-24,2410.033,2507.517
2024-06-25,2409.487,2506.927
2024-06-26,2373.283,2469.294
2024-06-27,2403.45,2500.688
2024-06-28,2389.072,2485.779
2024-07-01,2387.104,2483.73
2024-07-02,2381.594,2478.037
2024-07-03,2416.899,2514.791
2024-07-04,2413.926,2511.688
2024-07-05,2440.055,2538.862
2024-07-08,2442.023,2540.865
2024-07-09,2438.161,2536.783
2024-07-10,2454.492,2553.782
2024-07-11,2490.054,2590.807
2024-07-12,2492.015,2592.806
2024-07-15,2505.498,2699.52
2024-07-16,2547.71,2650.693
2024-07-17,2561.871,2665.437
2024-07-18,2563.594,2667.237
2024-07-19,2482.635,2583.036
2024-07-22,2468.496,2568.347
2024-07-23,2476.278,2576.481
2024-07-24,2507.467,2608.922
2024-07-25,2452.785,2551.968
2024-07-26,2461.115,2560.6710000000003
2024-07-29,2468.853,2568.682
2024-07-30,2486.196,2586.704
2024-07-31,2517.1,2618.851
2024-08-01,2541.402,2644.144
2024-08-02,2532.974,2635.356
2024-08-05,2512.149,2613.591
2024-08-06,2519.265,2620.925
2024-08-07,2524.788,2626.708
2024-08-08,2535.636,2638.002
2024-08-09,2549.135,2652.061
2024-08-12,2583.592,2687.875
2024-08-13,2602.106,2707.131
2024-08-14,2583.099,2687.349
2024-08-15,2592.634,2697.25
2024-08-16,2626.032,2731.996
2024-08-19,2660.795,2754.228
2024-08-20,2692.016,2786.498
2024-08-21,2674.418,2768.27
2024-08-22,2649.316,2742.2870000000003
2024-08-23,2679.175,2773.193
2024-08-26,2689.194,2783.559
2024-08-27,2690.91,2785.328
2024-08-28,2682.683,2776.802
2024-08-29,2691.934,2786.403
2024-08-30,2642.881,2834.157
2024-09-02,2673.611,2767.43
2024-09-03,2656.814,2750.011
2024-09-04,2675.612,2769.467
2024-09-05,2683.02,2777.166
2024-09-06,2679.692,2773.718
2024-09-09,2676.359,2770.234
2024-09-10,2688.751,2783.061
2024-09-11,2688.218,2782.521
2024-09-12,2724.541,2820.152
2024-09-13,2748.034,2844.496
2024-09-16,2761.322,2858.195
2024-09-17,2767.1,2864.131
2024-09-18,2761.611,2858.451
2024-09-19,2767.256,2864.315
2024-09-20,2802.126,2900.415
2024-09-23,2829.088,2928.28
2024-09-24,2841.484,2941.117
2024-09-25,2856.548,2956.712
2024-09-26,2867.574,2968.115
2024-09-27,2848.821,2948.732
2024-09-30,2837.018,2936.474
2024-10-01,2864.817,2965.2380000000003
2024-10-02,2858.262,2958.449
2024-10-03,2852.508,2952.51
2024-10-04,2860.52,2960.807
2024-10-07,2852.825,2952.808
2024-10-08,2830.91,2930.114
2024-10-09,2815.408,2914.088
2024-10-10,2825.396,2924.439
2024-10-11,2854.102,2954.166
2024-10-14,2857.498,2957.642
2024-10-15,2871.492,2972.138
2024-10-16,2877.075,2977.937
2024-10-17,2896.529,2998.099
2024-10-18,2922.387,3024.845
2024-10-21,2942.4880000000003,3045.607
2024-10-22,2957.217,3060.865
2024-10-23,2935.601,3038.469
2024-10-24,2943.953,3047.137
2024-10-25,2949.836,3053.24
2024-10-28,2915.389,3125.927
2024-10-29,2939.426,3151.691
2024-10-30,2997.224,3102.268
2024-10-31,2954.795,3058.352
2024-11-01,2961.031,3064.806
2024-11-04,2966.61,3070.543
2024-11-05,2968.038,3072.022
2024-11-06,2865.116,2965.54
2024-11-07,2902.975,3004.721
2024-11-08,2902.631,3004.362
2024-11-11,2837.099,2936.495
2024-11-12,2826.844,2925.871
2024-11-13,2814.376,2912.9790000000003
2024-11-14,2770.663,2867.73
2024-11-15,2782.491,2879.977
2024-11-18,2835.357,2934.622
2024-11-19,2857.548,2957.581
2024-11-20,2867.433,2967.848
2024-11-21,2894.399,2995.753
2024-11-22,2927.081,3029.584
2024-11-25,2876.79,2977.485
2024-11-26,2860.925,2961.043
2024-11-27,2889.534,2990.667
2024-11-28,2880.608,2981.431
2024-11-29,2894.264,2995.567
2024-12-02,2892.801,2994.005
2024-12-03,2896.837,2998.176
2024-12-04,2900.191,3001.644
2024-12-05,2892.414,2993.6130000000003
2024-12-06,2880.259,2981.03
2024-12-09,2932.6130000000003,3035.175
2024-12-10,2952.281,3055.524
2024-12-11,2969.829,3073.676
2024-12-12,2952.545,3055.785
2024-12-13,2921.87,3024.041
2024-12-16,2924.281,3026.5
2024-12-17,2904.95,3006.483
2024-12-18,2910.249,3011.956
2024-12-19,2868.0,2968.202
2024-12-20,2893.781,2994.88
2024-12-23,2902.042,3003.388
2024-12-24,2896.158,2997.301
2024-12-25,2905.201,3006.633
2024-12-26,2911.643,3013.349
2024-12-27,2896.524,2997.71
2024-12-30,2906.904,3008.378
2024-12-31,2907.516,3009.019
2025-01-01,2873.319,3079.485
2025-01-02,2945.744,3048.582
2025-01-03,2942.522,3045.254
2025-01-06,2927.146,3029.337
2025-01-07,2958.249,3061.528
2025-01-08,2968.882,3072.508
2025-01-09,2976.648,3080.562
2025-01-10,2991.592,3096.023
2025-01-13,2988.564,3092.832
2025-01-14,2979.777,3083.736
2025-01-15,2998.163,3102.773
2025-01-16,3034.639,3140.532
2025-01-17,3026.553,3132.165
2025-01-20,3034.29,3140.129
2025-01-21,3073.213,3180.38
2025-01-22,3093.259,3201.117
2025-01-23,3081.948,3189.418
2025-01-24,3116.014,3224.679
2025-01-27,3097.117,3205.076
2025-01-28,3103.124,3211.282
2025-01-29,3109.781,3218.166
2025-01-30,3139.07,3248.478
2025-01-31,3165.784,3276.121
2025-02-03,3207.1440000000002,3318.843
2025-02-04,3213.329,3325.265
2025-02-05,3249.229,3362.422
