zaman,kur,alis,satis
1714661742,SEK,2.8966,3.034
1714748042,SEK,2.9158,3.0545
1715007332,SEK,2.9168,3.0558
1715093753,SEK,2.9045,3.0431
1715179842,SEK,2.8826,3.0202
1715266490,SEK,2.8921,3.0303
1715353001,SEK,2.8826,3.0208
1715611896,SEK,2.8996,3.0382
1715698259,SEK,2.9045,3.0431
1715785172,SEK,2.9283,3.0683
1715871480,SEK,2.9311,3.0713
1715957561,SEK,2.9223,3.0624
1716216967,SEK,2.9318,3.0721
1716303377,SEK,2.9324,3.0727
1716389669,SEK,2.9208,3.0606
1716476062,SEK,2.9232,3.0629
1716562268,SEK,2.9324,3.0731
1716821364,SEK,2.9519,3.0932
1716908090,SEK,2.9753,3.1176
1716994635,SEK,2.957,3.0978
1717080797,SEK,2.9759,3.1176
1717167182,SEK,2.9808,3.1233
1717426356,SEK,3.0198,3.1637
1717513165,SEK,3.0439,3.1779
1717599446,SEK,3.0225,3.1567
1717685718,SEK,3.0195,3.1537
1717772084,SEK,2.9876,3.1206
1718031569,SEK,3.0105,3.1436
1718117445,SEK,3.0049,3.1381
1718203961,SEK,3.0617,3.1976
1718290397,SEK,3.0165,3.1503
1718376812,SEK,3.0058,3.1384
1718635112,SEK,3.0112,3.201
1718722302,SEK,3.0072,3.1984
1718808599,SEK,3.0109,3.2029
1718895508,SEK,3.0697,3.2037
1718981706,SEK,3.0375,3.1705
1719240663,SEK,3.0697,3.2034
1719327140,SEK,3.0626,3.1957
1719413659,SEK,3.0396,3.1722
1719500333,SEK,3.0244,3.1564
1719586541,SEK,3.0155,3.1477
1719845668,SEK,3.003,3.1346
1719932300,SEK,2.9996,3.1315
1720018556,SEK,3.035,3.1688
1720104684,SEK,3.0259,3.1592
1720191243,SEK,3.0307,3.164
1720450348,SEK,3.0294,3.1621
1720536777,SEK,3.0414,3.1739
1720623536,SEK,3.0446,3.1773
1720709713,SEK,3.0612,3.1949
1720796133,SEK,3.0541,3.1871
1721055241,SEK,3.022,3.211
1721141707,SEK,3.0428,3.1746
1721228219,SEK,3.0643,3.1922
1721314505,SEK,3.0611,3.189
1721400890,SEK,3.0173,3.1438
1721659963,SEK,2.9973,3.1231
1721746601,SEK,2.9741,3.0994
1721833049,SEK,2.9788,3.1042
1721919418,SEK,2.9841,3.109
1722005673,SEK,2.9735,3.0984
1722265090,SEK,2.978,3.1026
1722351358,SEK,2.9962,3.1213
1722437847,SEK,3.017,3.143
1722524294,SEK,3.0235,3.1498
1722610494,SEK,3.062,3.1897
1722869841,SEK,3.0998,3.228
1722956234,SEK,3.1178,3.2459
1723042305,SEK,3.1356,3.265
1723129131,SEK,3.1047,3.2328
1723215290,SEK,3.1125,3.2411
1723474275,SEK,3.1122,3.2405
1723560937,SEK,3.1207,3.2492
1723647350,SEK,3.1481,3.2777
1723733488,SEK,3.1292,3.2578
1723820102,SEK,3.1272,3.2558
1724079294,SEK,3.1936,3.3243
1724165956,SEK,3.2337,3.3655
1724252148,SEK,3.2426,3.3746
1724338396,SEK,3.2349,3.3666
1724424824,SEK,3.2534,3.3859
1724684376,SEK,3.2536,3.386
1724770500,SEK,3.2606,3.3932
1724857029,SEK,3.264,3.3967
1724943150,SEK,3.2348,3.3666
1725029438,SEK,3.2176,3.4129
1725288947,SEK,3.2342,3.3658
1725375251,SEK,3.2216,3.3524
1725461825,SEK,3.2421,3.3738
1725548248,SEK,3.223,3.3542
1725634741,SEK,3.2324,3.3639
1725893796,SEK,3.2069,3.3371
1725980089,SEK,3.1991,3.3289
1726066596,SEK,3.1984,3.3283
1726152858,SEK,3.2126,3.3434
1726239189,SEK,3.241,3.3733
1726498533,SEK,3.2577,3.39
1726585084,SEK,3.2744,3.407
1726671149,SEK,3.2674,3.3997
1726757525,SEK,3.267,3.3996
1726844319,SEK,3.2598,3.3921
1727103534,SEK,3.2768,3.4093
1727189865,SEK,3.295,3.4283
1727276189,SEK,3.289,3.4221
1727362644,SEK,3.2999,3.4334
1727448974,SEK,3.3061,3.4401
1727708151,SEK,3.2982,3.4315
1727794711,SEK,3.2587,3.3902
1727880708,SEK,3.2548,3.3861
1727967560,SEK,3.2371,3.3679
1728053654,SEK,3.2222,3.3525
1728313049,SEK,3.2318,3.3621
1728399571,SEK,3.234,3.3643
1728485702,SEK,3.2201,3.35
1728571992,SEK,3.2122,3.3419
1728658444,SEK,3.2182,3.3483
1728917741,SEK,3.2134,3.3429
1729004108,SEK,3.228,3.3582
1729090537,SEK,3.1902,3.3191
1729176883,SEK,3.1671,3.2953
1729263146,SEK,3.1696,3.2977
1729522597,SEK,3.175,3.3029
1729608835,SEK,3.1744,3.3025
1729695253,SEK,3.1612,3.2885
1729781789,SEK,3.163,3.2906
1729867603,SEK,3.1612,3.2888
1730127338,SEK,3.1384,3.3269
1730213225,SEK,3.1258,3.3135
1730300096,SEK,3.1368,3.2632
1730386385,SEK,3.1337,3.2601
1730472982,SEK,3.1258,3.2518
1730731783,SEK,3.1473,3.2738
1730818437,SEK,3.1331,3.2591
1730904973,SEK,3.0676,3.1913
1730991501,SEK,3.1284,3.2545
1731077914,SEK,3.102,3.2271
1731336949,SEK,3.0854,3.2095
1731423247,SEK,3.0837,3.2075
1731509722,SEK,3.067,3.1903
1731595902,SEK,3.0558,3.1787
1731682510,SEK,3.0477,3.1703
1731941662,SEK,3.0772,3.2002
1732028252,SEK,3.0839,3.207
1732114485,SEK,3.0573,3.1798
1732201013,SEK,3.0594,3.182
1732287455,SEK,3.0403,3.1621
1732546701,SEK,3.0867,3.2099
1732632823,SEK,3.0852,3.2081
1732719275,SEK,3.0978,3.2214
1732805500,SEK,3.096,3.2195
1732892059,SEK,3.1019,3.2257
1733151258,SEK,3.0852,3.2078
1733237671,SEK,3.0891,3.2118
1733324077,SEK,3.0887,3.2114
1733410533,SEK,3.1239,3.2481
1733496903,SEK,3.1184,3.2424
1733756017,SEK,3.1246,3.2485
1733842428,SEK,3.1074,3.2305
1733928832,SEK,3.1106,3.2338
1734015289,SEK,3.1188,3.2422
1734101932,SEK,3.1071,3.2301
1734360824,SEK,3.1254,3.2488
1734447298,SEK,3.1255,3.2488
1734533702,SEK,3.1302,3.2536
1734620106,SEK,3.1144,3.2369
1734706762,SEK,3.1072,3.2294
1734965540,SEK,3.1172,3.2393
1735052311,SEK,3.1056,3.2274
1735138474,SEK,3.1144,3.2363
1735225054,SEK,3.1036,3.2254
1735311088,SEK,3.1223,3.245
1735570768,SEK,3.1312,3.2535
1735657169,SEK,3.1316,3.2539
1735694132,SEK,3.1022,3.2828
1735829792,SEK,3.1116,3.2332
1735916140,SEK,3.1078,3.2293
1736175400,SEK,3.1304,3.2527
1736256267,SEK,3.1356,3.258
1736348050,SEK,3.0941,3.2148
1736434491,SEK,3.1005,3.2217
1736521087,SEK,3.0835,3.2039
1736780054,SEK,3.0769,3.1965
1736866708,SEK,3.0969,3.2173
1736952884,SEK,3.1223,3.2438
