zaman,alis,satis
2024-05-02,21.0096,21.4751
2024-05-03,21.2197,21.6436
2024-05-04,21.1111,21.9918
2024-05-05,21.1212,22.0066
2024-05-06,21.2792,21.7085
2024-05-07,21.2233,21.6425
2024-05-08,21.0856,21.5023
2024-05-09,21.1425,21.5657
2024-05-10,21.1196,21.544
2024-05-11,21.0057,21.9801
2024-05-12,21.0162,21.9873
2024-05-13,21.1972,21.6055
2024-05-14,21.2416,21.6631
2024-05-15,21.3431,21.7551
2024-05-16,21.3239,21.8074
2024-05-17,21.3672,21.7988
2024-05-18,21.2759,22.1537
2024-05-19,21.2967,22.172
2024-05-20,21.3697,21.7868
2024-05-21,21.3425,21.7596
2024-05-22,21.2419,21.6557
2024-05-23,21.1537,21.6464
2024-05-24,21.1869,21.6238
2024-05-25,21.076,21.9942
2024-05-26,21.0879,22.0001
2024-05-27,21.3778,21.4201
2024-05-28,21.4083,21.4518
2024-05-29,21.2958,21.3314
2024-05-30,21.2544,21.7094
2024-05-31,21.2373,21.6617
2024-06-01,21.1707,22.0475
2024-06-02,21.1908,22.0672
2024-06-03,21.3715,21.7838
2024-06-04,21.4313,21.8899
2024-06-05,21.2802,21.6982
2024-06-06,21.2926,21.7566
2024-06-07,21.1124,21.5411
2024-06-08,20.952,21.9248
2024-06-09,20.9721,21.9444
2024-06-10,21.2633,21.688
2024-06-11,21.2044,21.63
2024-06-12,21.4897,21.916
2024-06-13,21.2609,21.8102
2024-06-14,21.3449,21.8024
2024-06-15,21.2297,22.2244
2024-06-16,21.2548,22.2436
2024-06-17,21.3583,22.2379
2024-06-18,21.3577,22.2398
2024-06-19,21.4297,22.3345
2024-06-20,21.7431,22.2127
2024-06-21,21.6088,22.0456
2024-06-22,21.5226,22.4153
2024-06-23,21.5424,22.4379
2024-06-24,21.7847,22.2026
2024-06-25,21.7533,22.1795
2024-06-26,21.7307,22.1606
2024-06-27,21.7101,22.1954
2024-06-28,21.7336,22.152
2024-06-29,21.4961,22.4705
2024-06-30,21.5179,22.4886
2024-07-01,21.6207,22.0431
2024-07-02,21.5625,22.0007
2024-07-03,21.7174,22.1818
2024-07-04,21.7291,22.2305
2024-07-05,21.8222,22.261
2024-07-06,21.7542,22.6891
2024-07-07,21.7726,22.7084
2024-07-08,21.9394,22.3736
2024-07-09,22.0199,22.4553
2024-07-10,22.0384,22.4653
2024-07-11,22.0939,22.5937
2024-07-12,22.2206,22.6549
2024-07-13,22.0918,22.9802
2024-07-14,22.1192,23.0014
2024-07-15,22.1125,23.0086
2024-07-16,22.1096,22.5383
2024-07-17,22.1394,22.559
2024-07-18,22.119,22.5855
2024-07-19,21.9584,22.3837
2024-07-20,21.6414,22.8572
2024-07-21,21.6612,22.8808
2024-07-22,21.7272,22.149
2024-07-23,21.5745,21.9983
2024-07-24,21.5774,22.0004
2024-07-25,21.478,21.9519
2024-07-26,21.4353,21.8686
2024-07-27,21.2659,22.1944
2024-07-28,21.2876,22.2179
2024-07-29,21.4425,21.8714
2024-07-30,21.512,21.9293
2024-07-31,21.4879,21.9058
2024-08-01,21.437,21.9099
2024-08-02,21.4726,21.9119
2024-08-03,21.3135,22.2414
2024-08-04,21.3348,22.2633
2024-08-05,21.4139,21.9539
2024-08-06,21.7232,22.1381
2024-08-07,21.8292,22.246
2024-08-08,21.8453,22.3091
2024-08-09,21.8848,22.3091
2024-08-10,21.7273,22.6027
2024-08-11,21.7489,22.6286
2024-08-12,22.0106,22.4323
2024-08-13,22.0389,22.4565
2024-08-14,22.0938,22.5201
2024-08-15,22.1197,22.6021
2024-08-16,22.1886,22.6092
2024-08-17,22.163,23.0898
2024-08-18,22.1878,23.1099
2024-08-19,22.5367,22.952
2024-08-20,22.7111,23.1422
2024-08-21,22.7113,23.1451
2024-08-22,22.6069,23.0776
2024-08-23,22.8338,23.2564
2024-08-24,22.7784,23.6894
2024-08-25,22.8045,23.7176
2024-08-26,22.9285,23.3471
2024-08-27,22.9463,23.3629
2024-08-28,22.9552,23.476
2024-08-29,22.8628,23.2902
2024-08-30,22.7453,23.6483
2024-08-31,22.7084,23.5931
2024-09-01,22.7458,23.6238
2024-09-02,22.9022,23.3172
2024-09-03,22.7159,23.1397
2024-09-04,22.7825,23.207
2024-09-05,22.6465,23.1289
2024-09-06,22.5926,23.0127
2024-09-07,22.3563,23.2803
2024-09-08,22.3838,23.3095
2024-09-09,22.521,22.9365
2024-09-10,22.4848,22.904
2024-09-11,22.4332,22.8482
2024-09-12,22.5254,22.9967
2024-09-13,22.6131,23.032
2024-09-14,22.4347,23.3545
2024-09-15,22.4551,23.374
2024-09-16,22.7626,23.1925
2024-09-17,22.9263,23.3573
2024-09-18,22.955,23.3727
2024-09-19,23.0164,23.4899
2024-09-20,22.9884,23.4079
2024-09-21,22.9223,23.8471
2024-09-22,22.95,23.8684
2024-09-23,23.2608,23.6819
2024-09-24,23.3072,23.7242
2024-09-25,23.2876,23.7045
2024-09-26,23.3603,23.8323
2024-09-27,23.5205,23.9466
2024-09-28,23.3156,24.1888
2024-09-29,23.3306,24.2059
2024-09-30,23.5857,23.9966
2024-10-01,23.4404,23.8564
2024-10-02,23.411,23.8436
2024-10-03,23.2026,23.6877
