zaman,alis,satis
2024-05-02,23.4793,23.9357
2024-05-03,23.4826,23.9506
2024-05-04,23.2165,24.311
2024-05-05,23.2335,24.3215
2024-05-06,23.5346,24.0036
2024-05-07,23.4473,23.9073
2024-05-08,23.378,23.8307
2024-05-09,23.4103,23.8578
2024-05-10,23.4265,23.8905
2024-05-11,23.1497,24.3524
2024-05-12,23.1628,24.3589
2024-05-13,23.4326,23.8846
2024-05-14,23.5179,23.9714
2024-05-15,23.5009,23.9529
2024-05-16,23.5189,23.9641
2024-05-17,23.4911,23.9635
2024-05-18,23.2314,24.3274
2024-05-19,23.2561,24.3456
2024-05-20,23.5406,23.9916
2024-05-21,23.4756,23.9284
2024-05-22,23.4127,23.8631
2024-05-23,23.3792,23.8344
2024-05-24,23.3979,23.8742
2024-05-25,23.1528,24.2924
2024-05-26,23.1659,24.299
2024-05-27,23.472,23.9331
2024-05-28,23.4863,23.9414
2024-05-29,23.3863,23.8355
2024-05-30,23.4732,23.9195
2024-05-31,23.4366,23.902
2024-06-01,23.2258,24.3218
2024-06-02,23.2511,24.3406
2024-06-03,23.486,23.9359
2024-06-04,23.5805,24.0638
2024-06-05,23.4066,23.8574
2024-06-06,23.3922,23.8469
2024-06-07,23.3194,23.79
2024-06-08,23.0002,24.1986
2024-06-09,23.0254,24.2172
2024-06-10,23.4069,23.857
2024-06-11,23.3444,23.8061
2024-06-12,23.4658,23.9283
2024-06-13,23.3449,23.8106
2024-06-14,23.4879,23.9844
2024-06-15,23.243,24.46
2024-06-16,23.2707,24.4811
2024-06-17,23.4081,24.5105
2024-06-18,23.306,24.4071
2024-06-19,23.3162,24.4332
2024-06-20,23.8572,24.307
2024-06-21,23.7513,24.232
2024-06-22,23.542,24.647
2024-06-23,23.5686,24.667
2024-06-24,23.9509,24.3953
2024-06-25,23.994,24.4401
2024-06-26,23.8501,24.307
2024-06-27,23.8521,24.3129
2024-06-28,23.7615,24.2218
2024-06-29,23.4369,24.642
2024-06-30,23.4621,24.6605
2024-07-01,23.6725,24.1288
2024-07-02,23.6452,24.0933
2024-07-03,23.7278,24.1899
2024-07-04,23.7555,24.2358
2024-07-05,23.7564,24.2388
2024-07-06,23.4963,24.6544
2024-07-07,23.5219,24.6733
2024-07-08,23.8591,24.3162
2024-07-09,23.9795,24.4411
2024-07-10,23.9887,24.4512
2024-07-11,23.9686,24.4259
2024-07-12,24.022,24.4973
2024-07-13,23.7577,24.8622
2024-07-14,23.7873,24.8851
2024-07-15,23.7736,24.8779
2024-07-16,24.0181,24.4684
2024-07-17,24.0355,24.4868
2024-07-18,24.0271,24.4795
2024-07-19,23.897,24.3601
2024-07-20,23.4514,24.9166
2024-07-21,23.4784,24.9369
2024-07-22,23.7818,24.2348
2024-07-23,23.6872,24.1491
2024-07-24,23.6911,24.1445
2024-07-25,23.7486,24.2133
2024-07-26,23.6352,24.1131
2024-07-27,23.3461,24.4974
2024-07-28,23.3743,24.519
2024-07-29,23.7027,24.1567
2024-07-30,23.7655,24.2133
2024-07-31,23.8252,24.2796
2024-08-01,23.7766,24.2207
2024-08-02,23.7791,24.2459
2024-08-03,23.4791,24.6258
2024-08-04,23.5064,24.6464
2024-08-05,23.8718,24.5228
2024-08-06,24.1919,24.6392
2024-08-07,24.2576,24.7041
2024-08-08,24.2184,24.6625
2024-08-09,24.2218,24.6871
2024-08-10,23.9522,25.0483
2024-08-11,23.982,25.0713
2024-08-12,24.2825,24.7339
2024-08-13,24.3116,24.7582
2024-08-14,24.3853,24.8297
2024-08-15,24.3953,24.8477
2024-08-16,24.3766,24.8376
2024-08-17,24.1737,25.3098
2024-08-18,24.2017,25.331
2024-08-19,24.6013,25.0458
2024-08-20,24.7193,25.1733
2024-08-21,24.7948,25.244
2024-08-22,24.7978,25.2491
2024-08-23,24.9449,25.4078
2024-08-24,24.6992,25.8234
2024-08-25,24.7323,25.8495
2024-08-26,25.1241,25.5783
2024-08-27,25.1575,25.6027
2024-08-28,25.1824,25.6287
2024-08-29,24.9815,25.4515
2024-08-30,24.7463,25.8522
2024-08-31,24.7523,25.855
2024-09-01,24.7929,25.8885
2024-09-02,24.9846,25.4309
2024-09-03,24.9485,25.4135
2024-09-04,25.0348,25.4887
2024-09-05,24.9633,25.4157
2024-09-06,24.9063,25.375
2024-09-07,24.5614,25.7098
2024-09-08,24.5962,25.7377
2024-09-09,24.9594,25.4151
2024-09-10,24.8778,25.3261
2024-09-11,24.8489,25.2927
2024-09-12,24.8032,25.2535
2024-09-13,24.8006,25.2608
2024-09-14,24.5107,25.6491
2024-09-15,24.5361,25.6676
2024-09-16,24.8709,25.3266
2024-09-17,24.9456,25.406
2024-09-18,24.9536,25.4004
2024-09-19,24.9321,25.384
2024-09-20,24.934,25.3926
2024-09-21,24.6898,25.8312
2024-09-22,24.7198,25.8543
2024-09-23,25.1668,25.6168
2024-09-24,25.1842,25.6373
2024-09-25,25.2233,25.6689
2024-09-26,25.2174,25.6672
2024-09-27,25.1618,25.629
2024-09-28,24.8532,25.9561
2024-09-29,24.8738,25.9698
2024-09-30,25.1666,25.6145
2024-10-01,25.201,25.6472
2024-10-02,25.2349,25.6906
2024-10-03,25.0991,25.5466
2024-10-04,25.0226,25.4909
2024-10-05,24.2052,26.5557
2024-10-06,24.2707,26.6191
2024-10-07,24.9835,25.5146
2024-10-08,24.89,25.4112
2024-10-09,24.8208,25.3442
2024-10-10,24.6712,25.2071
2024-10-11,24.6123,25.1458
2024-10-12,24.0428,26.1765
2024-10-13,24.0745,26.207
2024-10-14,24.6754,25.1935
2024-10-15,24.6315,25.1504
2024-10-16,24.6267,25.1519
2024-10-17,24.5639,25.0812
2024-10-18,24.5528,25.0844
2024-10-19,23.9293,26.1336
2024-10-20,23.9609,26.164
2024-10-21,24.6003,25.116
2024-10-22,24.598,25.1156
2024-10-23,24.5814,25.1094
2024-10-24,24.5375,25.0601
2024-10-25,24.4913,25.018
2024-10-26,23.8589,25.9633
2024-10-27,23.8907,25.9937
2024-10-28,23.8669,25.9572
2024-10-29,23.8912,25.9747
2024-10-30,24.43,24.9458
2024-10-31,24.4529,24.9731
2024-11-01,24.4266,24.959
2024-11-02,23.7785,25.8814
2024-11-03,23.8105,25.9122
2024-11-04,24.5566,25.0722
2024-11-05,24.6067,25.1241
2024-11-06,24.3676,24.8923
2024-11-07,24.5279,25.0464
2024-11-08,24.4562,24.9809
2024-11-09,23.8358,26.1479
2024-11-10,23.8678,26.1789
2024-11-11,24.4688,24.9853
2024-11-12,24.4837,24.9984
2024-11-13,24.3746,24.8961
2024-11-14,24.3213,24.8364
2024-11-15,24.2056,24.7274
2024-11-16,23.6271,25.7026
2024-11-17,23.6588,25.7329
2024-11-18,24.3646,24.8788
2024-11-19,24.5134,25.0352
2024-11-20,24.428,24.9611
2024-11-21,24.5315,25.0671
2024-11-22,24.4612,25.003
2024-11-23,23.7484,26.018
2024-11-24,23.7803,26.0489
2024-11-25,24.5752,25.0939
2024-11-26,24.4153,24.9348
2024-11-27,24.4575,24.9837
2024-11-28,24.5301,25.0531
2024-11-29,24.4992,25.0281
2024-11-30,23.9605,26.0465
2024-12-01,23.993,26.0776
2024-12-02,24.5071,25.0253
2024-12-03,24.5736,25.0876
2024-12-04,24.5285,25.049
2024-12-05,24.5788,25.0964
2024-12-06,24.3931,24.9125
2024-12-07,23.6812,25.8366
2024-12-08,23.7135,25.8677
2024-12-09,24.5026,25.0188
2024-12-10,24.3895,24.9088
2024-12-11,24.5042,25.0179
2024-12-12,24.4421,24.9609
2024-12-13,24.3178,24.8419
2024-12-14,23.7493,25.8076
2024-12-15,23.7817,25.8387
2024-12-16,24.3517,24.8729
2024-12-17,24.3007,24.8173
2024-12-18,24.2914,24.8096
2024-12-19,24.2713,24.7912
2024-12-20,24.2343,24.7576
