zaman,alis,satis
2024-05-02,35.1747,35.9685
2024-05-03,35.4708,36.1925
2024-05-04,35.2806,36.745
2024-05-05,35.2971,36.7702
2024-05-06,35.4725,36.1913
2024-05-07,35.3432,36.051
2024-05-08,35.2878,35.9897
2024-05-09,35.2772,36.0026
2024-05-10,35.2311,35.9494
2024-05-11,35.11,36.739
2024-05-12,35.1243,36.7545
2024-05-13,35.3264,36.0259
2024-05-14,35.3694,36.0786
2024-05-15,35.3848,36.085
2024-05-16,35.2882,36.1133
2024-05-17,35.19,35.9229
2024-05-18,34.9667,36.433
2024-05-19,34.9968,36.4671
2024-05-20,35.2211,35.9317
2024-05-21,35.1717,35.8822
2024-05-22,34.9634,35.6714
2024-05-23,34.9232,35.7439
2024-05-24,34.9232,35.6587
2024-05-25,34.7628,36.303
2024-05-26,34.7824,36.3128
2024-05-27,34.993,35.6952
2024-05-28,35.1443,35.8579
2024-05-29,35.074,35.7743
2024-05-30,35.4018,36.1833
2024-05-31,35.4108,36.1307
2024-06-01,35.2786,36.7455
2024-06-02,35.3098,36.7808
2024-06-03,35.6824,36.3858
2024-06-04,36.2128,36.9779
2024-06-05,35.8741,36.5867
2024-06-06,35.8767,36.6732
2024-06-07,35.7074,36.4359
2024-06-08,35.5263,37.1641
2024-06-09,35.565,37.1928
2024-06-10,35.9164,36.6397
2024-06-11,35.7413,36.4763
2024-06-12,36.0394,36.7553
2024-06-13,35.7778,36.7149
2024-06-14,36.2461,37.0155
2024-06-15,36.0597,37.721
2024-06-16,36.1024,37.7535
2024-06-17,36.3154,37.7953
2024-06-18,36.3856,37.8625
2024-06-19,36.3371,37.8552
2024-06-20,36.62,37.4145
2024-06-21,36.4228,37.1667
2024-06-22,36.2686,37.7553
2024-06-23,36.303,37.7925
2024-06-24,36.5882,37.3
2024-06-25,36.6411,37.3484
2024-06-26,36.3902,37.1102
2024-06-27,36.325,37.1356
2024-06-28,36.1797,36.8938
2024-06-29,35.8706,37.5135
2024-06-30,35.9089,37.5417
2024-07-01,35.9309,36.6577
2024-07-02,35.8007,36.5501
2024-07-03,35.8445,36.6238
2024-07-04,35.8848,36.7223
2024-07-05,36.0498,36.7937
2024-07-06,35.9717,37.5345
2024-07-07,36.0084,37.5654
2024-07-08,36.255,36.9782
2024-07-09,36.4136,37.1428
2024-07-10,36.311,37.046
2024-07-11,36.4112,37.2589
2024-07-12,36.5704,37.3025
2024-07-13,36.4234,37.9135
2024-07-14,36.4685,37.9484
2024-07-15,36.4702,37.9721
2024-07-16,36.6962,37.4151
2024-07-17,37.1041,37.8196
2024-07-18,37.1283,37.9308
2024-07-19,36.8915,37.617
2024-07-20,36.4267,38.4671
2024-07-21,36.4592,38.5077
2024-07-22,36.7845,37.5038
2024-07-23,36.5427,37.2605
2024-07-24,36.9512,37.6619
2024-07-25,37.239,38.058
2024-07-26,37.0289,37.7661
2024-07-27,36.793,38.3585
2024-07-28,36.8353,38.3944
2024-07-29,37.0312,37.7382
2024-07-30,37.1085,37.8352
2024-07-31,37.3681,38.0749
2024-08-01,37.5637,38.3463
2024-08-02,38.326,39.0492
2024-08-03,38.2063,39.7672
2024-08-04,38.2405,39.8105
2024-08-05,38.9612,39.8997
2024-08-06,39.1824,39.8886
2024-08-07,38.4744,39.1826
2024-08-08,38.4244,39.2265
2024-08-09,38.4231,39.1396
2024-08-10,38.2221,39.7095
2024-08-11,38.2673,39.7479
2024-08-12,38.3917,39.1055
2024-08-13,38.532,39.2377
2024-08-14,38.664,39.3673
2024-08-15,38.3169,39.1173
2024-08-16,38.4841,39.213
2024-08-17,38.3989,39.9422
2024-08-18,38.4411,39.9777
2024-08-19,38.8569,39.5595
2024-08-20,39.2989,40.0042
2024-08-21,39.5053,40.2143
2024-08-22,39.5017,40.3028
2024-08-23,39.707,40.4186
2024-08-24,39.5486,41.0814
2024-08-25,39.5911,41.1332
2024-08-26,39.9583,40.6667
2024-08-27,40.1633,40.8689
2024-08-28,40.1153,41.0027
2024-08-29,39.6631,40.3903
2024-08-30,39.5363,41.034
2024-08-31,39.4974,40.9988
2024-09-01,39.5635,41.0502
2024-09-02,39.6025,40.3123
2024-09-03,39.7957,40.5132
2024-09-04,39.9002,40.6186
2024-09-05,39.7223,40.5263
2024-09-06,40.0502,40.7586
2024-09-07,39.7883,41.3316
2024-09-08,39.8339,41.387
2024-09-09,39.9372,40.6415
2024-09-10,39.9225,40.6311
2024-09-11,39.845,40.5505
2024-09-12,39.4143,40.2143
2024-09-13,39.7081,40.4176
2024-09-14,39.4436,41.0004
2024-09-15,39.4816,41.0325
2024-09-16,39.9916,40.7023
2024-09-17,40.0263,40.7561
2024-09-18,40.0877,40.7943
2024-09-19,39.8427,40.6476
2024-09-20,39.7842,40.4916
2024-09-21,39.642,41.1868
2024-09-22,39.6874,41.2261
2024-09-23,40.0425,40.7694
2024-09-24,40.1041,40.828
2024-09-25,39.9531,40.6581
2024-09-26,40.0041,40.8049
2024-09-27,40.3033,41.0217
2024-09-28,40.2031,41.6717
2024-09-29,40.2364,41.6937
2024-09-30,40.2603,40.9554
2024-10-01,40.2404,40.9446
2024-10-02,40.001,40.7098
2024-10-03,39.7288,40.5253
2024-10-04,39.5437,40.2524
2024-10-05,38.5429,41.6859
2024-10-06,38.6582,41.7972
2024-10-07,39.7564,40.5076
2024-10-08,39.707,40.4609
2024-10-09,39.5518,40.3276
2024-10-10,39.5783,40.34
2024-10-11,39.5537,40.348
2024-10-12,38.8438,41.7215
2024-10-13,38.8986,41.7738
2024-10-14,39.4427,40.1924
2024-10-15,39.4543,40.2059
2024-10-16,39.2799,40.0591
2024-10-17,39.1603,39.9086
2024-10-18,39.1926,39.9639
2024-10-19,38.4125,41.3966
2024-10-20,38.4667,41.4484
2024-10-21,39.3648,40.1113
2024-10-22,39.3039,40.0531
2024-10-23,39.3002,40.0493
2024-10-24,39.2472,40.0231
2024-10-25,39.2114,39.9758
2024-10-26,38.47,41.3143
2024-10-27,38.524,41.3658
2024-10-28,38.5828,41.4062
2024-10-29,38.5088,41.2928
2024-10-30,39.2808,40.0287
2024-10-31,39.3673,40.1226
2024-11-01,39.1193,39.8898
2024-11-02,38.3795,41.1979
2024-11-03,38.4342,41.25
2024-11-04,39.5505,40.2981
2024-11-05,39.5257,40.2756
2024-11-06,38.8183,39.5762
2024-11-07,38.9699,39.7199
2024-11-08,38.9091,39.6827
2024-11-09,38.1008,41.2421
2024-11-10,38.155,41.2942
2024-11-11,38.759,39.5143
2024-11-12,38.728,39.4891
2024-11-13,38.598,39.35
2024-11-14,38.4191,39.1678
2024-11-15,38.3564,39.1122
2024-11-16,37.735,40.4795
2024-11-17,37.7883,40.5303
2024-11-18,38.7345,39.4862
2024-11-19,38.9205,39.6807
2024-11-20,38.6623,39.4372
2024-11-21,38.7515,39.5241
2024-11-22,38.2297,39.0182
2024-11-23,37.3848,40.4018
2024-11-24,37.4379,40.4527
2024-11-25,38.7724,39.5349
2024-11-26,38.7982,39.5571
2024-11-27,38.9601,39.7356
2024-11-28,38.9077,39.6757
2024-11-29,38.9761,39.751
2024-11-30,38.33,41.0973
2024-12-01,38.3849,41.1497
2024-12-02,38.8632,39.6223
2024-12-03,39.0354,39.7786
2024-12-04,38.9403,39.703
2024-12-05,39.1646,39.9085
2024-12-06,39.3153,40.0927
2024-12-07,38.3944,41.3317
2024-12-08,38.4497,41.3845
2024-12-09,39.3763,40.1377
2024-12-10,39.2757,40.04
2024-12-11,39.2045,39.9621
2024-12-12,39.0186,39.7758
2024-12-13,38.7463,39.5118
2024-12-14,38.0994,40.8421
2024-12-15,38.1542,40.8943
2024-12-16,38.8263,39.5845
2024-12-17,38.8142,39.5684
2024-12-18,38.9403,39.705
2024-12-19,38.8216,39.5658
2024-12-20,38.9494,39.7203
2024-12-21,38.0325,41.1046
2024-12-22,38.087,41.157
2024-12-23,38.9301,39.6886
2024-12-24,38.8547,39.6097
2024-12-25,38.9683,39.7437
2024-12-26,38.7817,39.5223
2024-12-27,38.7224,39.4773
2024-12-28,37.6649,40.8503
2024-12-29,37.7164,40.8996
2024-12-30,38.7662,39.5351
2024-12-31,38.7841,39.5335
2025-01-01,37.9241,40.6902
2025-01-02,38.5515,39.3099
2025-01-03,38.574,39.3385
2025-01-04,37.821,40.6502
2025-01-05,37.8726,40.6992
2025-01-06,38.7921,39.5463
2025-01-07,38.7412,39.4967
