zaman,alis,satis
2024-05-02,4.5855,4.7242
2024-05-03,4.6348,4.7268
2024-05-04,4.6085,4.8007
2024-05-05,4.6109,4.8038
2024-05-06,4.641,4.7338
2024-05-07,4.6324,4.7217
2024-05-08,4.6202,4.7097
2024-05-09,4.6232,4.715
2024-05-10,4.6155,4.7068
2024-05-11,4.593,4.8063
2024-05-12,4.595,4.8081
2024-05-13,4.6354,4.7247
2024-05-14,4.6525,4.7425
2024-05-15,4.6599,4.7488
2024-05-16,4.6527,4.758
2024-05-17,4.6552,4.7483
2024-05-18,4.6312,4.8225
2024-05-19,4.6351,4.8271
2024-05-20,4.6627,4.7532
2024-05-21,4.6575,4.7476
2024-05-22,4.6442,4.7335
2024-05-23,4.6307,4.737
2024-05-24,4.647,4.7404
2024-05-25,4.6231,4.8232
2024-05-26,4.6257,4.8245
2024-05-27,4.6548,4.7459
2024-05-28,4.6631,4.7545
2024-05-29,4.6439,4.7333
2024-05-30,4.6512,4.7501
2024-05-31,4.65,4.7418
2024-06-01,4.6278,4.8196
2024-06-02,4.6324,4.8237
2024-06-03,4.664,4.7535
2024-06-04,4.7053,4.8027
2024-06-05,4.6771,4.7674
2024-06-06,4.6701,4.7712
2024-06-07,4.6423,4.7348
2024-06-08,4.608,4.8207
2024-06-09,4.6122,4.8252
2024-06-10,4.6394,4.7306
2024-06-11,4.6219,4.7145
2024-06-12,4.6699,4.7622
2024-06-13,4.6227,4.7418
2024-06-14,4.6272,4.7246
2024-06-15,4.603,4.819
2024-06-16,4.6084,4.8232
2024-06-17,4.6522,4.8451
2024-06-18,4.6305,4.8225
2024-06-19,4.6269,4.8245
2024-06-20,4.6883,4.7902
2024-06-21,4.6637,4.7576
2024-06-22,4.6456,4.8395
2024-06-23,4.6502,4.8441
2024-06-24,4.7061,4.7965
2024-06-25,4.702,4.7925
2024-06-26,4.678,4.7708
2024-06-27,4.6825,4.7856
2024-06-28,4.6734,4.7645
2024-06-29,4.6301,4.8429
2024-06-30,4.6346,4.847
2024-07-01,4.6766,4.7682
2024-07-02,4.6601,4.7556
2024-07-03,4.6807,4.781
2024-07-04,4.6814,4.7886
2024-07-05,4.7006,4.7949
2024-07-06,4.6823,4.8864
2024-07-07,4.6869,4.8906
2024-07-08,4.724,4.816
2024-07-09,4.7408,4.8336
2024-07-10,4.74,4.8329
2024-07-11,4.7466,4.8543
2024-07-12,4.7844,4.8778
2024-07-13,4.7589,4.9527
2024-07-14,4.7648,4.9573
2024-07-15,4.7742,4.97
2024-07-16,4.7965,4.8873
2024-07-17,4.8214,4.9118
2024-07-18,4.8044,4.906
2024-07-19,4.7867,4.8788
2024-07-20,4.7221,4.9883
2024-07-21,4.7275,4.9924
2024-07-22,4.7739,4.8651
2024-07-23,4.7407,4.8336
2024-07-24,4.7495,4.84
2024-07-25,4.7669,4.871
2024-07-26,4.7589,4.8522
2024-07-27,4.7243,4.9285
2024-07-28,4.7294,4.9335
2024-07-29,4.758,4.8492
2024-07-30,4.7638,4.8548
2024-07-31,4.7708,4.8619
2024-08-01,4.7501,4.851
2024-08-02,4.8225,4.9152
2024-08-03,4.788,4.9916
2024-08-04,4.7933,4.9961
2024-08-05,4.8603,4.9926
2024-08-06,4.8938,4.9847
2024-08-07,4.8782,4.969
2024-08-08,4.8585,4.9598
2024-08-09,4.8666,4.9586
2024-08-10,4.8351,5.0282
2024-08-11,4.8407,5.0332
2024-08-12,4.8838,4.9756
2024-08-13,4.8962,4.987
2024-08-14,4.9369,5.0273
2024-08-15,4.9143,5.0173
2024-08-16,4.9256,5.0171
2024-08-17,4.9135,5.1135
2024-08-18,4.9181,5.1188
2024-08-19,4.9772,5.0677
2024-08-20,5.0164,5.1076
2024-08-21,5.0261,5.1177
2024-08-22,5.0157,5.1188
2024-08-23,5.0525,5.1442
2024-08-24,5.0303,5.2292
2024-08-25,5.0358,5.2357
2024-08-26,5.0678,5.1589
2024-08-27,5.0665,5.1573
2024-08-28,5.0426,5.156
2024-08-29,4.9963,5.0893
2024-08-30,4.9761,5.1702
2024-08-31,4.9706,5.166
2024-09-01,4.9787,5.1727
2024-09-02,5.0037,5.0945
2024-09-03,5.0045,5.0968
2024-09-04,5.0283,5.1205
2024-09-05,5.0037,5.1068
2024-09-06,5.0198,5.1124
2024-09-07,4.9787,5.181
2024-09-08,4.9846,5.1878
2024-09-09,5.01,5.1005
2024-09-10,4.997,5.0881
2024-09-11,4.9887,5.0795
2024-09-12,4.9818,5.0845
2024-09-13,5.0032,5.0943
2024-09-14,4.9666,5.1688
2024-09-15,4.9713,5.173
2024-09-16,5.04,5.1311
2024-09-17,5.0536,5.1473
2024-09-18,5.0546,5.1457
2024-09-19,5.0431,5.1467
2024-09-20,5.0556,5.1466
2024-09-21,5.0394,5.2425
2024-09-22,5.0455,5.2471
2024-09-23,5.0684,5.1602
2024-09-24,5.0754,5.1661
2024-09-25,5.0834,5.174
2024-09-26,5.0788,5.1816
2024-09-27,5.0875,5.1803
2024-09-28,5.0559,5.2476
2024-09-29,5.0591,5.2514
2024-09-30,5.0884,5.1779
2024-10-01,5.0527,5.1432
2024-10-02,5.035,5.1262
2024-10-03,5.0114,5.1136
2024-10-04,5.0,5.0913
2024-10-05,4.885,5.2548
2024-10-06,4.8988,5.2679
2024-10-07,5.0103,5.1056
2024-10-08,5.0101,5.1058
2024-10-09,4.9908,5.0867
2024-10-10,4.9733,5.0699
2024-10-11,4.9779,5.0762
2024-10-12,4.8965,5.2313
2024-10-13,4.9031,5.2375
2024-10-14,4.9814,5.0765
2024-10-15,4.9717,5.067
2024-10-16,4.9526,5.0492
2024-10-17,4.9176,5.0124
2024-10-18,4.9379,5.0357
2024-10-19,4.8569,5.2043
2024-10-20,4.8635,5.2105
2024-10-21,4.9494,5.0441
2024-10-22,4.9321,5.027
2024-10-23,4.9222,5.017
2024-10-24,4.9241,5.0201
2024-10-25,4.9321,5.0289
2024-10-26,4.8403,5.169
2024-10-27,4.8468,5.1751
2024-10-28,4.8577,5.1841
2024-10-29,4.8537,5.1781
