zaman,alis,satis
2024-05-02,34.2523,35.0851
2024-05-03,34.2841,35.2831
2024-05-04,34.0846,35.8265
2024-05-05,34.1005,35.8512
2024-05-06,34.3372,35.4149
2024-05-07,34.2691,35.3268
2024-05-08,34.1849,35.2343
2024-05-09,34.2085,35.2779
2024-05-10,34.1527,35.2165
2024-05-11,33.9876,35.9585
2024-05-12,33.9993,35.9756
2024-05-13,34.2991,35.3469
2024-05-14,34.4286,35.4516
2024-05-15,34.486,35.5046
2024-05-16,34.4357,35.5672
2024-05-17,34.4529,35.496
2024-05-18,34.2781,36.0616
2024-05-19,34.3068,36.0963
2024-05-20,34.5062,35.5351
2024-05-21,34.4719,35.4913
2024-05-22,34.3707,35.3936
2024-05-23,34.2707,35.4202
2024-05-24,34.393,35.3769
2024-05-25,34.215,36.0021
2024-05-26,34.2344,36.0118
2024-05-27,34.4523,35.4555
2024-05-28,34.5092,35.5174
2024-05-29,34.3612,35.3534
2024-05-30,34.4088,35.4727
2024-05-31,34.4034,35.4105
2024-06-01,34.2191,35.9713
2024-06-02,34.2472,36.0082
2024-06-03,34.5017,35.463
2024-06-04,34.8125,35.8331
2024-06-05,34.5994,35.5758
2024-06-06,34.5524,35.5702
2024-06-07,34.3544,35.308
2024-06-08,34.0985,35.9505
2024-06-09,34.129,35.9853
2024-06-10,34.3253,35.2617
2024-06-11,34.1893,35.147
2024-06-12,34.551,35.5059
2024-06-13,34.1961,35.2967
2024-06-14,34.2435,35.2321
2024-06-15,34.0593,35.9369
2024-06-16,34.1,35.9679
2024-06-17,34.4243,36.1305
2024-06-18,34.2618,35.9635
2024-06-19,34.2247,35.9675
2024-06-20,34.6931,35.6593
2024-06-21,34.5029,35.4108
2024-06-22,34.372,36.0294
2024-06-23,34.4017,36.0681
2024-06-24,34.8178,35.7046
2024-06-25,34.7867,35.6761
2024-06-26,34.6064,35.5123
2024-06-27,34.6405,35.6229
2024-06-28,34.5736,35.4624
2024-06-29,34.2511,36.0477
2024-06-30,34.2785,36.0843
2024-07-01,34.5981,35.4864
2024-07-02,34.4744,35.3983
2024-07-03,34.6287,35.5889
2024-07-04,34.6402,35.6407
2024-07-05,34.7793,35.7021
2024-07-06,34.6409,36.3726
2024-07-07,34.669,36.4103
2024-07-08,34.9585,35.8505
2024-07-09,35.0865,35.9912
2024-07-10,35.0775,35.9849
2024-07-11,35.1261,36.1525
2024-07-12,35.4162,36.3236
2024-07-13,35.2322,36.8871
2024-07-14,35.2762,36.9211
2024-07-15,35.3371,37.0138
2024-07-16,35.5021,36.3918
2024-07-17,35.6835,36.5747
2024-07-18,35.5684,36.5333
2024-07-19,35.4348,36.3309
2024-07-20,34.9451,37.1404
2024-07-21,34.976,37.1803
2024-07-22,35.3385,36.2325
2024-07-23,35.092,35.9864
2024-07-24,35.1633,36.0402
2024-07-25,35.2893,36.2781
2024-07-26,35.2302,36.1397
2024-07-27,34.9875,36.7158
2024-07-28,35.0206,36.7576
2024-07-29,35.2269,36.1123
2024-07-30,35.261,36.1616
2024-07-31,35.3217,36.2058
2024-08-01,35.1678,36.1253
2024-08-02,35.7114,36.6083
2024-08-03,35.4453,37.166
2024-08-04,35.4769,37.2068
2024-08-05,35.9897,37.1791
2024-08-06,36.2428,37.1248
2024-08-07,36.1202,37.0021
2024-08-08,35.976,36.9351
2024-08-09,36.0381,36.929
2024-08-10,35.8134,37.4514
2024-08-11,35.8482,37.4955
2024-08-12,36.1686,37.0584
2024-08-13,36.2567,37.1393
2024-08-14,36.5564,37.438
2024-08-15,36.387,37.3605
2024-08-16,36.4707,37.3551
2024-08-17,36.3873,38.0743
2024-08-18,36.4198,38.1161
2024-08-19,36.8579,37.7408
2024-08-20,37.1526,38.039
2024-08-21,37.2352,38.1222
2024-08-22,37.1484,38.1221
2024-08-23,37.4223,38.3092
2024-08-24,37.2478,38.937
2024-08-25,37.2877,38.9866
2024-08-26,37.531,38.4165
2024-08-27,37.5124,38.3969
2024-08-28,37.3307,38.3839
2024-08-29,36.9874,37.8842
2024-08-30,36.8348,38.4945
2024-08-31,36.8051,38.4572
2024-09-01,36.8656,38.5073
2024-09-02,37.0421,38.0668
2024-09-03,37.0473,38.0737
2024-09-04,37.2333,38.2575
2024-09-05,37.0502,38.1506
2024-09-06,37.1871,38.2063
2024-09-07,36.8704,38.7152
2024-09-08,36.9129,38.767
2024-09-09,37.1066,38.1203
2024-09-10,37.0071,38.0225
2024-09-11,36.9503,37.9592
2024-09-12,36.9002,37.9319
2024-09-13,37.06,38.0036
2024-09-14,36.7957,38.562
2024-09-15,36.8244,38.5993
2024-09-16,37.3297,38.2757
2024-09-17,37.4301,38.3947
2024-09-18,37.4309,38.374
2024-09-19,37.3479,38.3868
2024-09-20,37.4295,38.4705
2024-09-21,37.3121,39.1731
2024-09-22,37.3477,39.2179
2024-09-23,37.5206,38.5409
2024-09-24,37.5638,38.5763
2024-09-25,37.6278,38.6416
2024-09-26,37.5935,38.6981
2024-09-27,37.6577,38.6856
2024-09-28,37.4233,39.1882
2024-09-29,37.4447,39.2187
2024-09-30,37.646,38.6534
2024-10-01,37.3974,38.4133
2024-10-02,37.2794,38.3007
2024-10-03,37.1032,38.1631
2024-10-04,37.0018,37.9772
2024-10-05,36.1311,39.199
2024-10-06,36.2321,39.2952
2024-10-07,37.0867,38.0865
2024-10-08,37.0819,38.0845
2024-10-09,36.9486,37.9548
2024-10-10,36.8235,37.8205
2024-10-11,36.8616,37.8547
2024-10-12,36.2414,39.021
2024-10-13,36.2902,39.067
2024-10-14,36.8876,37.8573
2024-10-15,36.8201,37.7913
2024-10-16,36.6772,37.661
2024-10-17,36.4033,37.3754
2024-10-18,36.5577,37.5481
2024-10-19,35.9299,38.8124
2024-10-20,35.9784,38.8582
2024-10-21,36.6252,37.5955
2024-10-22,36.5043,37.4737
2024-10-23,36.4344,37.4073
2024-10-24,36.4452,37.4398
2024-10-25,36.5805,37.5044
2024-10-26,35.8711,38.5706
2024-10-27,35.9195,38.6162
2024-10-28,35.9886,38.6627
2024-10-29,35.9687,38.6312
2024-10-30,36.7174,37.6258
2024-10-31,36.785,37.7001
2024-11-01,36.7177,37.6354
2024-11-02,36.0493,38.7461
2024-11-03,36.0985,38.7925
2024-11-04,36.985,37.8927
2024-11-05,37.0036,37.9135
2024-11-06,36.2125,37.1319
2024-11-07,36.5516,37.4632
2024-11-08,36.3605,37.2817
2024-11-09,35.6267,38.6191
2024-11-10,35.6752,38.6653
2024-11-11,36.0911,37.0004
2024-11-12,36.0574,36.9641
2024-11-13,35.8909,36.8059
2024-11-14,35.7909,36.6995
2024-11-15,35.7042,36.6237
2024-11-16,35.1707,37.8328
2024-11-17,35.2185,37.8779
2024-11-18,36.0609,36.9635
2024-11-19,36.0962,37.0095
2024-11-20,35.8252,36.7494
2024-11-21,35.8591,36.7807
2024-11-22,35.4178,36.3399
2024-11-23,34.6726,37.5683
2024-11-24,34.7199,37.6133
2024-11-25,35.9179,36.734
2024-11-26,35.9645,36.7699
2024-11-27,36.0853,36.9053
2024-11-28,36.0622,36.8747
2024-11-29,36.0761,36.9029
2024-11-30,35.5803,38.1509
2024-12-01,35.6292,38.1971
2024-12-02,35.9609,36.7698
2024-12-03,36.1273,36.934
2024-12-04,36.0569,36.8656
2024-12-05,36.2873,37.094
2024-12-06,36.2858,37.1055
2024-12-07,35.5355,38.2349
2024-12-08,35.5846,38.2814
2024-12-09,36.4086,37.2144
2024-12-10,36.2217,37.0342
2024-12-11,36.1847,36.992
2024-12-12,36.2283,37.0397
2024-12-13,36.1432,36.96
2024-12-14,35.591,38.1519
2024-12-15,35.6396,38.1978
2024-12-16,36.2216,37.0618
2024-12-17,36.3146,37.1512
2024-12-18,36.3211,37.1665
2024-12-19,36.0525,36.8957
2024-12-20,36.0301,36.8813
2024-12-21,35.2834,38.1856
2024-12-22,35.3318,38.2317
2024-12-23,36.1786,37.0189
2024-12-24,36.2004,37.054
2024-12-25,36.2884,37.1675
2024-12-26,36.1357,36.9759
2024-12-27,36.2071,37.061
2024-12-28,35.2815,38.3119
2024-12-29,35.3275,38.3555
2024-12-30,36.3329,37.1844
2024-12-31,36.2143,37.0634
2025-01-01,35.4789,38.123
2025-01-02,35.9494,36.7883
2025-01-03,35.9163,36.7646
2025-01-04,35.2683,37.9695
2025-01-05,35.3141,38.0126
2025-01-06,36.2685,37.11
2025-01-07,36.3416,37.1954
2025-01-08,35.9688,36.8088
2025-01-09,35.9837,36.8293
2025-01-10,35.7799,36.6434
2025-01-11,35.1706,37.8044
2025-01-12,35.2162,37.8472
2025-01-13,35.7824,36.6296
2025-01-14,36.0115,36.8496
2025-01-15,36.2039,37.0503
2025-01-16,36.0173,36.8579
2025-01-17,36.0612,36.9204
2025-01-18,35.1217,37.9682
2025-01-19,35.1671,38.011
2025-01-20,36.6081,37.4502
2025-01-21,36.5705,37.4081
2025-01-22,36.7501,37.5883
2025-01-23,36.6499,37.4973
2025-01-24,36.9119,37.7625
2025-01-25,36.2568,38.9585
2025-01-26,36.3013,38.9999
2025-01-27,37.1356,37.9782
2025-01-28,36.888,37.7258
2025-01-29,36.781,37.6234
2025-01-30,36.8837,37.7282
2025-01-31,36.6669,37.5236
2025-02-01,35.9168,38.6531
2025-02-02,35.9612,38.6946
2025-02-03,36.4587,37.3028
2025-02-04,36.8052,37.6525
2025-02-05,37.0013,37.8716
2025-02-06,36.7751,37.625
2025-02-07,36.8436,37.6944
