zaman,alis,satis
2024-05-02,39.9053,41.1418
2024-05-03,40.1426,41.0671
2024-05-04,39.9501,41.7192
2024-05-05,39.9685,41.7482
2024-05-06,40.2287,41.2951
2024-05-07,40.0807,41.1137
2024-05-08,39.9109,40.9343
2024-05-09,39.8724,40.9381
2024-05-10,39.8492,40.9085
2024-05-11,39.6902,41.7687
2024-05-12,39.7014,41.7906
2024-05-13,40.0534,41.084
2024-05-14,40.2028,41.2234
2024-05-15,40.3397,41.3519
2024-05-16,40.2952,41.4503
2024-05-17,40.3938,41.439
2024-05-18,40.2226,42.0987
2024-05-19,40.2541,42.1409
2024-05-20,40.5252,41.5492
2024-05-21,40.5424,41.5763
2024-05-22,40.5358,41.5625
2024-05-23,40.4172,41.5482
2024-05-24,40.5513,41.5359
2024-05-25,40.3742,42.2613
2024-05-26,40.397,42.2728
2024-05-27,40.7069,41.6905
2024-05-28,40.7325,41.7355
2024-05-29,40.5831,41.5504
2024-05-30,40.6167,41.6727
2024-05-31,40.5172,41.5258
2024-06-01,40.3921,42.243
2024-06-02,40.4251,42.2865
2024-06-03,40.6793,41.6797
2024-06-04,41.0507,42.1304
2024-06-05,40.779,41.7898
2024-06-06,40.7122,41.7736
2024-06-07,40.5689,41.5456
2024-06-08,40.3272,42.3205
2024-06-09,40.36,42.3644
2024-06-10,40.8083,41.7865
2024-06-11,40.683,41.674
2024-06-12,41.0578,42.036
2024-06-13,40.7012,41.8429
2024-06-14,40.7425,41.7566
2024-06-15,40.5358,42.5649
2024-06-16,40.5841,42.6018
2024-06-17,40.8963,42.7184
2024-06-18,40.6544,42.468
2024-06-19,40.7075,42.564
2024-06-20,41.204,42.2328
2024-06-21,40.9388,41.9157
2024-06-22,40.82,42.6336
2024-06-23,40.855,42.6795
2024-06-24,41.3224,42.275
2024-06-25,41.3477,42.2957
2024-06-26,41.0677,42.0353
2024-06-27,41.0687,42.1264
2024-06-28,40.9251,41.872
2024-06-29,40.5862,42.5674
2024-06-30,40.6187,42.6103
2024-07-01,40.9099,41.8675
2024-07-02,40.8339,41.822
2024-07-03,41.0661,42.0973
2024-07-04,41.0572,42.1479
2024-07-05,41.2739,42.273
2024-07-06,41.1084,43.0142
2024-07-07,41.1423,43.0573
2024-07-08,41.5484,42.5203
2024-07-09,41.6599,42.6251
2024-07-10,41.7374,42.7094
2024-07-11,41.8954,42.998
2024-07-12,42.3309,43.3027
2024-07-13,42.1432,43.9611
2024-07-14,42.1956,44.0008
2024-07-15,42.2034,44.0436
2024-07-16,42.4074,43.3653
2024-07-17,42.6182,43.5817
2024-07-18,42.4394,43.4961
2024-07-19,42.1881,43.1438
2024-07-20,41.6748,44.1316
2024-07-21,41.7119,44.1777
2024-07-22,42.0774,43.0304
2024-07-23,41.9193,42.883
2024-07-24,42.0066,42.9511
2024-07-25,42.0237,43.0894
2024-07-26,41.8782,42.84
2024-07-27,41.6528,43.5537
