zaman,alis,satis
2024-05-02,0.2082,0.2133
2024-05-03,0.2093,0.2145
2024-05-04,0.2068,0.2172
2024-05-05,0.2069,0.2173
2024-05-06,0.208,0.2132
2024-05-07,0.207,0.2121
2024-05-08,0.2055,0.2106
2024-05-09,0.205,0.2102
2024-05-10,0.2046,0.2098
2024-05-11,0.2024,0.2136
2024-05-12,0.2025,0.2137
2024-05-13,0.2047,0.2097
2024-05-14,0.2045,0.2096
2024-05-15,0.2056,0.2106
2024-05-16,0.2054,0.2103
2024-05-17,0.2049,0.2101
2024-05-18,0.2023,0.2125
2024-05-19,0.2025,0.2127
2024-05-20,0.2046,0.2097
2024-05-21,0.2046,0.2096
2024-05-22,0.2038,0.2088
2024-05-23,0.2031,0.2081
2024-05-24,0.2029,0.2082
2024-05-25,0.2008,0.2113
2024-05-26,0.2009,0.2114
2024-05-27,0.2034,0.2085
2024-05-28,0.2034,0.2084
2024-05-29,0.2028,0.2078
2024-05-30,0.2039,0.209
2024-05-31,0.2029,0.208
2024-06-01,0.2004,0.2105
2024-06-02,0.2006,0.2107
2024-06-03,0.2043,0.2093
2024-06-04,0.2078,0.2131
2024-06-05,0.2048,0.2098
2024-06-06,0.2049,0.2099
2024-06-07,0.2035,0.2087
2024-06-08,0.2012,0.2124
2024-06-09,0.2014,0.2125
2024-06-10,0.2049,0.2099
2024-06-11,0.2038,0.2089
2024-06-12,0.2054,0.2106
2024-06-13,0.204,0.2091
2024-06-14,0.2046,0.21
2024-06-15,0.202,0.2133
2024-06-16,0.2022,0.2135
2024-06-17,0.2033,0.2136
2024-06-18,0.2018,0.212
2024-06-19,0.2016,0.2119
2024-06-20,0.2051,0.2101
2024-06-21,0.2035,0.2087
2024-06-22,0.2009,0.2111
2024-06-23,0.2011,0.2113
2024-06-24,0.2043,0.2093
2024-06-25,0.2047,0.2097
2024-06-26,0.2028,0.2079
2024-06-27,0.2026,0.2078
2024-06-28,0.2016,0.2067
2024-06-29,0.1985,0.2095
2024-06-30,0.1988,0.2096
2024-07-01,0.2005,0.2056
2024-07-02,0.1999,0.2049
2024-07-03,0.1999,0.205
2024-07-04,0.2002,0.2054
2024-07-05,0.2006,0.2059
2024-07-06,0.1986,0.2092
2024-07-07,0.1988,0.2093
2024-07-08,0.202,0.207
2024-07-09,0.2021,0.2072
2024-07-10,0.2015,0.2066
2024-07-11,0.2049,0.21
2024-07-12,0.2067,0.212
2024-07-13,0.2042,0.2147
2024-07-14,0.2045,0.2149
2024-07-15,0.2048,0.2153
2024-07-16,0.2067,0.2118
2024-07-17,0.2096,0.2147
2024-07-18,0.2091,0.2142
2024-07-19,0.2078,0.2131
2024-07-20,0.2036,0.2173
2024-07-21,0.2038,0.2174
2024-07-22,0.208,0.213
