zaman,alis,satis
2024-05-02,2.8845,2.988
2024-05-03,2.9496,3.0235
2024-05-04,2.9336,3.0613
2024-05-05,2.935,3.0632
2024-05-06,2.9601,3.0347
2024-05-07,2.9401,3.013
2024-05-08,2.9339,3.0063
2024-05-09,2.9378,3.012
2024-05-10,2.9409,3.0142
2024-05-11,2.929,3.0789
2024-05-12,2.9301,3.0802
2024-05-13,2.9571,3.0291
2024-05-14,2.958,3.0307
2024-05-15,2.9743,3.0466
2024-05-16,2.9767,3.0593
2024-05-17,2.9828,3.0578
2024-05-18,2.9713,3.1065
2024-05-19,2.9737,3.1095
2024-05-20,2.9897,3.0626
2024-05-21,2.9944,3.0674
2024-05-22,2.984,3.0563
2024-05-23,2.9895,3.0733
2024-05-24,3.0182,3.0934
2024-05-25,3.0026,3.1379
2024-05-26,3.0043,3.1387
2024-05-27,3.0411,3.1149
2024-05-28,3.0434,3.1175
2024-05-29,3.0263,3.0988
2024-05-30,3.0344,3.1133
2024-05-31,3.0381,3.1121
2024-06-01,3.023,3.1672
2024-06-02,3.026,3.1699
2024-06-03,3.0473,3.1196
2024-06-04,3.0426,3.1201
2024-06-05,3.0222,3.0954
2024-06-06,3.0152,3.095
2024-06-07,2.9903,3.0648
2024-06-08,2.9731,3.1145
2024-06-09,2.9756,3.1176
2024-06-10,3.0081,3.0817
2024-06-11,2.9877,3.0621
2024-06-12,3.0511,3.1256
2024-06-13,3.004,3.0959
2024-06-14,3.013,3.0906
2024-06-15,3.0019,3.1534
2024-06-16,3.0054,3.1562
2024-06-17,3.0212,3.1501
2024-06-18,3.032,3.1605
2024-06-19,3.0406,3.1725
2024-06-20,3.0941,3.1742
2024-06-21,3.0709,3.1466
2024-06-22,3.0695,3.199
2024-06-23,3.0724,3.2022
2024-06-24,3.0944,3.1678
2024-06-25,3.085,3.1583
2024-06-26,3.0507,3.1253
2024-06-27,3.0546,3.1361
2024-06-28,3.0489,3.1222
2024-06-29,3.0129,3.1626
2024-06-30,3.0154,3.1658
2024-07-01,3.0377,3.1117
2024-07-02,3.019,3.0951
2024-07-03,3.0578,3.1375
2024-07-04,3.0483,3.1325
2024-07-05,3.0568,3.1327
2024-07-06,3.0468,3.1872
2024-07-07,3.0495,3.1903
2024-07-08,3.0664,3.1405
2024-07-09,3.0729,3.1479
2024-07-10,3.0422,3.1171
2024-07-11,3.0366,3.1213
2024-07-12,3.0443,3.1191
2024-07-13,3.0307,3.1622
2024-07-14,3.0345,3.1651
2024-07-15,3.0244,3.1549
2024-07-16,3.0267,3.1001
2024-07-17,3.054,3.1271
2024-07-18,3.0449,3.1251
2024-07-19,3.007,3.0811
2024-07-20,2.9623,3.1366
2024-07-21,2.9649,3.1399
2024-07-22,2.9731,3.0467
2024-07-23,2.9457,3.0202
2024-07-24,2.9551,3.0281
2024-07-25,2.9638,3.0452
2024-07-26,2.9572,3.0322
2024-07-27,2.9404,3.0841
2024-07-28,2.9431,3.0877
