zaman,alis,satis
2024-05-02,8.56,8.8482
2024-05-03,8.5476,8.8292
2024-05-04,8.4736,9.1013
2024-05-05,8.4729,9.1013
2024-05-06,8.5359,8.8239
2024-05-07,8.525,8.805
2024-05-08,8.5469,8.8299
2024-05-09,8.5272,8.811
2024-05-10,8.5133,8.7929
2024-05-11,8.4378,9.1029
2024-05-12,8.4378,9.1029
2024-05-13,8.5126,8.7929
2024-05-14,8.5308,8.8118
2024-05-15,8.541,8.8231
2024-05-16,8.525,8.8103
2024-05-17,8.5133,8.7982
2024-05-18,8.4407,9.0643
2024-05-19,8.4407,9.0643
2024-05-20,8.5119,8.7914
2024-05-21,8.5097,8.7899
2024-05-22,8.525,8.8065
2024-05-23,8.5228,8.8125
2024-05-24,8.5119,8.7937
2024-05-25,8.4385,9.0764
2024-05-26,8.4385,9.0764
2024-05-27,8.5017,8.7832
2024-05-28,8.5075,8.7884
2024-05-29,8.5366,8.8186
2024-05-30,8.5352,8.8208
2024-05-31,8.5133,8.7937
2024-06-01,8.4485,9.0723
2024-06-02,8.4485,9.0723
2024-06-03,8.5126,8.7914
2024-06-04,8.5784,8.8734
2024-06-05,8.5644,8.8466
2024-06-06,8.5417,8.8269
2024-06-07,8.5381,8.8208
2024-06-08,8.4521,9.1199
2024-06-09,8.4528,9.1199
2024-06-10,8.5733,8.8566
2024-06-11,8.5498,8.8352
2024-06-12,8.5939,8.8818
2024-06-13,8.5777,8.8795
2024-06-14,8.6303,8.9172
2024-06-15,8.5403,9.2156
2024-06-16,8.5403,9.2156
2024-06-17,8.5969,9.238
2024-06-18,8.5293,9.1638
2024-06-19,8.5461,9.1942
2024-06-20,8.701,8.9922
2024-06-21,8.6715,8.9639
2024-06-22,8.6021,9.2505
2024-06-23,8.6028,9.2505
2024-06-24,8.6957,8.9812
2024-06-25,8.7139,9.0008
2024-06-26,8.7147,9.0071
2024-06-27,8.6897,8.9851
2024-06-28,8.6618,8.9467
2024-06-29,8.5549,9.2338
2024-06-30,8.5556,9.2347
2024-07-01,8.6415,8.9281
2024-07-02,8.6139,8.8987
2024-07-03,8.6393,8.9289
2024-07-04,8.6132,8.9118
2024-07-05,8.6273,8.918
2024-07-06,8.552,9.2131
2024-07-07,8.552,9.2123
2024-07-08,8.6475,8.9343
2024-07-09,8.6949,8.9851
2024-07-10,8.7246,9.0174
2024-07-11,8.6965,8.9929
2024-07-12,8.7284,9.015
2024-07-13,8.6535,9.3041
2024-07-14,8.6535,9.3041
2024-07-15,8.6543,9.3092
2024-07-16,8.7467,9.0349
2024-07-17,8.7729,9.0635
2024-07-18,8.7536,9.0476
2024-07-19,8.7368,9.0261
2024-07-20,8.5947,9.3841
2024-07-21,8.5947,9.3841
2024-07-22,8.701,8.989
2024-07-23,8.6708,8.96
2024-07-24,8.7086,8.9961
2024-07-25,8.736,9.0341
2024-07-26,8.7147,9.0071
2024-07-27,8.6206,9.289
2024-07-28,8.6206,9.289
2024-07-29,8.7246,9.0135
2024-07-30,8.7414,9.0301
