zaman,alis,satis
2024-05-02,32.0307,32.7097
2024-05-03,31.8605,32.7875
2024-05-04,31.7379,33.3599
2024-05-05,31.7613,33.3742
2024-05-06,31.9014,32.8244
2024-05-07,31.853,32.7594
2024-05-08,31.8606,32.7596
2024-05-09,31.8382,32.7021
2024-05-10,31.7388,32.6182
2024-05-11,31.6131,33.331
2024-05-12,31.631,33.3399
2024-05-13,31.7986,32.6691
2024-05-14,31.8625,32.7345
2024-05-15,31.8181,32.6865
2024-05-16,31.8027,32.6732
2024-05-17,31.7153,32.6452
2024-05-18,31.5813,33.1832
2024-05-19,31.615,33.2079
2024-05-20,31.8117,32.7127
2024-05-21,31.794,32.697
2024-05-22,31.7821,32.6826
2024-05-23,31.8013,32.7088
2024-05-24,31.6785,32.6367
2024-05-25,31.5966,33.2783
2024-05-26,31.6145,33.2872
2024-05-27,31.7696,32.6701
2024-05-28,31.7829,32.6849
2024-05-29,31.8358,32.7273
2024-05-30,31.7535,32.7429
2024-05-31,31.5962,32.6095
2024-06-01,31.5133,33.2053
2024-06-02,31.5477,33.2308
2024-06-03,31.7326,32.6405
2024-06-04,31.9851,32.9431
2024-06-05,31.8305,32.7424
2024-06-06,31.7889,32.7008
2024-06-07,31.7535,32.6729
2024-06-08,31.5536,33.3116
2024-06-09,31.5883,33.3373
2024-06-10,31.9627,32.8807
2024-06-11,31.8664,32.7949
2024-06-12,31.834,32.7595
2024-06-13,31.8421,32.7746
2024-06-14,32.0353,33.0108
2024-06-15,31.8171,33.6025
2024-06-16,31.8551,33.6315
2024-06-17,32.1144,33.7384
2024-06-18,31.8893,33.5103
2024-06-19,31.8415,33.4818
2024-06-20,32.388,33.2501
2024-06-21,32.2754,33.1797
2024-06-22,32.1369,33.7151
2024-06-23,32.1734,33.7426
2024-06-24,32.4369,33.2985
2024-06-25,32.5033,33.3669
2024-06-26,32.3807,33.2599
2024-06-27,32.3666,33.2438
2024-06-28,32.2465,33.1268
2024-06-29,31.9596,33.6678
2024-06-30,31.9941,33.6931
2024-07-01,32.2327,33.1038
2024-07-02,32.1006,32.9597
2024-07-03,32.0634,32.9415
2024-07-04,32.0749,32.978
2024-07-05,32.1108,33.0311
2024-07-06,31.9452,33.5918
2024-07-07,31.9801,33.6176
2024-07-08,32.2518,33.1234
2024-07-09,32.4309,33.3076
2024-07-10,32.4044,33.2835
2024-07-11,32.3383,33.2104
2024-07-12,32.4535,33.3497
2024-07-13,32.2804,33.8579
2024-07-14,32.3207,33.889
2024-07-15,32.3615,33.9375
2024-07-16,32.6228,33.4855
2024-07-17,32.6223,33.4865
2024-07-18,32.6061,33.4718
2024-07-19,32.5186,33.4051
2024-07-20,32.1038,34.1756
2024-07-21,32.1409,34.2036
2024-07-22,32.4542,33.3209
2024-07-23,32.3418,33.2184
2024-07-24,32.3866,33.2467
2024-07-25,32.5363,33.417
2024-07-26,32.4361,33.3351
2024-07-27,32.2061,33.849
2024-07-28,32.2451,33.8789
2024-07-29,32.5575,33.4257
2024-07-30,32.623,33.4897
2024-07-31,32.6368,33.503
2024-08-01,32.6097,33.4714
2024-08-02,32.6664,33.5591
2024-08-03,32.4723,34.1137
2024-08-04,32.5101,34.1424
2024-08-05,32.81,33.8603
2024-08-06,33.1237,33.9892
2024-08-07,33.0196,33.8889
2024-08-08,33.01,33.8788
2024-08-09,32.9624,33.8529
2024-08-10,32.7823,34.3509
2024-08-11,32.8231,34.3824
2024-08-12,33.0634,33.9347
2024-08-13,33.0765,33.9413
2024-08-14,33.1017,33.9635
2024-08-15,33.1472,34.02
2024-08-16,33.1554,34.04
2024-08-17,32.9665,34.5792
2024-08-18,33.0048,34.6082
2024-08-19,33.2838,34.1457
2024-08-20,33.4125,34.2774
2024-08-21,33.4384,34.3063
2024-08-22,33.4374,34.3084
2024-08-23,33.4393,34.3251
2024-08-24,33.2493,34.8569
2024-08-25,33.2941,34.8922
2024-08-26,33.5485,34.415
2024-08-27,33.5654,34.4279
2024-08-28,33.5887,34.4527
2024-08-29,33.4116,34.3069
2024-08-30,33.2602,34.847
2024-08-31,33.2868,34.8651
2024-09-01,33.3415,34.9104
2024-09-02,33.4384,34.3634
2024-09-03,33.5347,34.4591
2024-09-04,33.5436,34.4681
2024-09-05,33.462,34.3844
2024-09-06,33.4532,34.3915
2024-09-07,33.2359,34.9141
2024-09-08,33.2832,34.952
2024-09-09,33.5796,34.4915
2024-09-10,33.5664,34.4833
2024-09-11,33.5374,34.4504
2024-09-12,33.4426,34.362
2024-09-13,33.3666,34.2898
2024-09-14,33.1873,34.8671
2024-09-15,33.2217,34.8922
2024-09-16,33.5296,34.4465
2024-09-17,33.6111,34.5445
2024-09-18,33.6422,34.5567
2024-09-19,33.5798,34.5017
2024-09-20,33.6453,34.5107
2024-09-21,33.4911,35.1128
2024-09-22,33.5318,35.144
2024-09-23,33.7762,34.6052
2024-09-24,33.7593,34.5823
2024-09-25,33.7562,34.5792
2024-09-26,33.7812,34.6097
2024-09-27,33.6931,34.537
2024-09-28,33.5855,35.1086
2024-09-29,33.6135,35.1271
2024-09-30,33.8088,34.6297
2024-10-01,33.8436,34.6656
2024-10-02,33.845,34.672
2024-10-03,33.8109,34.5964
2024-10-04,33.817,34.6206
2024-10-05,33.3111,35.3972
2024-10-06,33.4,35.48
2024-10-07,33.8957,34.677
2024-10-08,33.9197,34.7019
2024-10-09,33.8698,34.6555
2024-10-10,33.7905,34.6197
2024-10-11,33.746,34.5873
2024-10-12,33.4836,35.3764
2024-10-13,33.5274,35.4168
2024-10-14,33.8608,34.6806
2024-10-15,33.8273,34.6485
2024-10-16,33.7713,34.601
2024-10-17,33.7068,34.526
2024-10-18,33.7424,34.5814
2024-10-19,33.4174,35.4155
2024-10-20,33.4612,35.456
2024-10-21,33.8682,34.6854
2024-10-22,33.8354,34.6552
2024-10-23,33.8914,34.7111
2024-10-24,33.8256,34.6528
2024-10-25,33.7941,34.6272
2024-10-26,33.5378,35.4192
2024-10-27,33.5814,35.4594
2024-10-28,33.5477,35.4122
2024-10-29,33.5989,35.4539
2024-10-30,33.851,34.6697
2024-10-31,33.851,34.6758
2024-11-01,33.8486,34.6758
2024-11-02,33.5744,35.4583
2024-11-03,33.6186,35.4991
2024-11-04,33.9462,34.764
2024-11-05,33.9443,34.764
2024-11-06,33.8203,34.6495
2024-11-07,33.8348,34.6565
