zaman,alis,satis
2024-05-02,27.4134,28.5815
2024-05-03,27.0844,27.9709
2024-05-04,27.1359,28.7495
2024-05-05,27.1558,28.7618
2024-05-06,28.0213,28.9382
2024-05-07,28.1769,29.0502
2024-05-08,28.2581,29.1289
2024-05-09,28.8502,29.7392
2024-05-10,28.6738,29.7594
2024-05-11,28.489,30.4357
2024-05-12,28.5052,30.4438
2024-05-13,28.9274,29.999
2024-05-14,29.0282,30.1682
2024-05-15,29.6357,30.7687
2024-05-16,29.908,31.1472
2024-05-17,31.2662,32.4289
2024-05-18,31.8478,33.735
2024-05-19,31.8818,33.7601
2024-05-20,32.3413,33.4875
2024-05-21,32.7113,33.8559
2024-05-22,31.7843,32.9229
2024-05-23,30.8551,31.9968
2024-05-24,31.076,32.1286
2024-05-25,30.7801,32.5891
2024-05-26,30.7976,32.5978
2024-05-27,32.2401,33.2797
2024-05-28,32.6115,33.6485
2024-05-29,32.8412,33.8661
2024-05-30,32.0986,33.1931
2024-05-31,31.6389,32.6809
2024-06-01,30.8387,32.6049
2024-06-02,30.8723,32.6298
2024-06-03,31.0993,32.1256
2024-06-04,30.3703,31.4683
2024-06-05,30.4469,31.4804
2024-06-06,31.2999,32.4038
2024-06-07,30.2377,31.2901
2024-06-08,29.6094,31.5117
2024-06-09,29.6418,31.5358
2024-06-10,30.37,31.4301
2024-06-11,29.9928,31.0412
2024-06-12,30.6397,31.6864
2024-06-13,29.7476,30.9898
2024-06-14,30.0224,31.0985
2024-06-15,30.2365,32.1777
2024-06-16,30.2726,32.2052
2024-06-17,30.4066,32.1637
2024-06-18,30.1306,31.8756
2024-06-19,30.2893,32.0689
2024-06-20,32.014,33.1249
2024-06-21,30.9483,32.0165
2024-06-22,30.5186,32.3005
2024-06-23,30.5533,32.3265
2024-06-24,30.9541,31.9869
2024-06-25,30.5755,31.6212
2024-06-26,30.0702,31.1298
2024-06-27,30.3388,31.4542
2024-06-28,30.3677,31.4016
2024-06-29,29.9406,31.8276
2024-06-30,29.9728,31.8514
2024-07-01,30.3349,31.3764
2024-07-02,30.6382,31.7029
2024-07-03,31.5743,32.6775
2024-07-04,31.3463,32.4905
2024-07-05,32.1317,33.1929
2024-07-06,32.107,33.9435
2024-07-07,32.1419,33.9694
2024-07-08,32.3249,33.3696
2024-07-09,32.1953,33.2555
2024-07-10,32.24,33.2919
2024-07-11,32.7917,33.9482
2024-07-12,32.3165,33.3999
2024-07-13,31.9748,33.7683
2024-07-14,32.0147,33.7992
2024-07-15,32.2641,34.0308
2024-07-16,32.5679,33.6359
2024-07-17,31.8986,32.9357
2024-07-18,31.7788,32.9182
2024-07-19,30.4616,31.5121
2024-07-20,30.2142,32.4707
2024-07-21,30.2492,32.4971
2024-07-22,30.2899,31.3254
2024-07-23,30.2137,31.3016
2024-07-24,30.6757,31.7181
2024-07-25,29.2182,30.3337
2024-07-26,28.9094,29.9693
2024-07-27,28.8669,30.7154
2024-07-28,28.9019,30.7423
2024-07-29,28.9558,29.9932
2024-07-30,29.4785,30.558
2024-07-31,30.1701,31.2393
2024-08-01,29.8267,30.9688
2024-08-02,29.6179,30.6639
2024-08-03,29.8011,31.6403
2024-08-04,29.8358,31.6665
2024-08-05,28.5713,29.8726
2024-08-06,28.8714,29.9061
2024-08-07,28.7534,29.8092
2024-08-08,29.0349,30.132
2024-08-09,29.1841,30.2258
2024-08-10,28.9023,30.674
2024-08-11,28.9383,30.7018
2024-08-12,29.6279,30.6906
2024-08-13,29.4394,30.5177
2024-08-14,29.3486,30.3811
2024-08-15,30.1769,31.3313
2024-08-16,30.2314,31.3017
2024-08-17,30.7527,32.578
2024-08-18,30.7884,32.605
2024-08-19,31.5162,32.5505
2024-08-20,31.7972,32.8783
2024-08-21,31.6572,32.6979
2024-08-22,31.2388,32.395
2024-08-23,31.7745,32.8149
2024-08-24,31.8919,33.7039
2024-08-25,31.9347,33.7377
2024-08-26,32.2316,33.3149
2024-08-27,32.4389,33.4745
2024-08-28,31.7046,32.9197
2024-08-29,31.8212,32.8695
2024-08-30,31.0395,32.8425
2024-08-31,30.8691,32.6355
2024-09-01,30.9198,32.6775
2024-09-02,30.7328,31.7665
2024-09-03,30.0359,31.0911
2024-09-04,30.5259,31.6148
2024-09-05,31.1844,32.2979
2024-09-06,30.6497,31.7345
2024-09-07,29.8222,31.6593
2024-09-08,29.8646,31.6932
2024-09-09,30.3922,31.4585
2024-09-10,30.5707,31.6085
2024-09-11,30.5314,31.6097
2024-09-12,31.7123,32.908
2024-09-13,32.8733,33.9622
2024-09-14,32.6999,34.5854
2024-09-15,32.7338,34.6101
2024-09-16,33.1013,34.2359
2024-09-17,33.4004,34.5079
2024-09-18,32.95,34.0491
2024-09-19,33.3005,34.4821
2024-09-20,33.545,34.6445
2024-09-21,33.3978,35.2977
2024-09-22,33.4385,35.329
2024-09-23,33.4184,34.4603
2024-09-24,33.9952,35.077
2024-09-25,34.5611,35.6432
2024-09-26,34.7514,35.9063
2024-09-27,34.5226,35.6037
2024-09-28,34.0477,35.8295
2024-09-29,34.0761,35.8484
2024-09-30,33.7965,34.8691
2024-10-01,34.1351,35.2161
2024-10-02,34.4372,35.512
2024-10-03,34.4278,35.5898
2024-10-04,35.0517,36.1367
2024-10-05,33.9759,37.214
2024-10-06,34.0778,37.3124
2024-10-07,34.4661,35.6028
2024-10-08,33.2497,34.3745
2024-10-09,33.0879,34.1817
2024-10-10,33.3087,34.4161
2024-10-11,33.9967,35.1509
2024-10-12,33.4457,36.3803
2024-10-13,33.4934,36.4258
2024-10-14,33.7859,34.9288
2024-10-15,34.2235,35.327
2024-10-16,34.4569,35.6102
2024-10-17,34.4912,35.5926
2024-10-18,35.1295,36.2931
2024-10-19,35.6859,38.973
2024-10-20,35.7365,39.0214
2024-10-21,36.6402,37.862
2024-10-22,37.4688,38.6493
2024-10-23,36.6235,37.8276
2024-10-24,36.4849,37.7173
2024-10-25,36.7845,37.9894
2024-10-26,35.8621,38.9977
2024-10-27,35.9126,39.0457
2024-10-28,36.1206,39.1968
2024-10-29,36.6772,39.8054
2024-10-30,36.72,37.899
2024-10-31,35.3637,36.5482
2024-11-01,35.4078,36.6189
2024-11-02,34.514,37.6054
2024-11-03,34.5633,37.6524
2024-11-04,35.5896,36.7912
2024-11-05,35.6897,36.914
2024-11-06,33.5025,34.7243
2024-11-07,34.4462,35.627
2024-11-08,34.2283,35.4422
2024-11-09,33.2546,36.5473
2024-11-10,33.3024,36.5932
2024-11-11,33.2618,34.4435
2024-11-12,33.3902,34.6005
2024-11-13,33.3706,34.5852
2024-11-14,32.8592,34.0367
2024-11-15,33.4367,34.6318
2024-11-16,32.2184,35.203
2024-11-17,32.2643,35.2468
2024-11-18,33.9956,35.1716
2024-11-19,34.001,35.2011
2024-11-20,33.8873,35.0941
2024-11-21,33.5882,34.8026
2024-11-22,34.0583,35.3105
2024-11-23,33.3165,36.5829
2024-11-24,33.3642,36.6288
2024-11-25,33.2051,34.3002
2024-11-26,33.2979,34.3933
2024-11-27,33.3028,34.4357
2024-11-28,33.0807,34.1688
2024-11-29,33.5405,34.6422
2024-11-30,32.8874,35.8231
2024-12-01,32.9348,35.8683
2024-12-02,33.5458,34.631
2024-12-03,33.9246,35.0458
2024-12-04,34.2911,35.3866
2024-12-05,34.3171,35.4071
2024-12-06,34.0746,35.2047
2024-12-07,33.2826,36.3002
2024-12-08,33.3308,36.3463
2024-12-09,35.4505,36.582
2024-12-10,35.311,36.4351
2024-12-11,35.2558,36.3436
2024-12-12,34.5598,35.6931
2024-12-13,33.6937,34.8245
2024-12-14,33.0934,35.9845
2024-12-15,33.1407,36.0295
2024-12-16,33.8435,34.9682
2024-12-17,33.4162,34.5024
