zaman,alis,satis
2024-05-02,2368.1122,2441.0835
2024-05-03,2352.2541,2421.2284
2024-05-04,2351.8453,2454.5656
2024-05-05,2353.0936,2456.0936
2024-05-06,2383.5023,2462.7303
2024-05-07,2377.3521,2454.5142
2024-05-08,2376.7615,2453.8111
2024-05-09,2387.1775,2452.711
2024-05-10,2409.8248,2480.0884
2024-05-11,2397.4834,2513.3559
2024-05-12,2398.1812,2514.6865
2024-05-13,2394.5642,2463.6816
2024-05-14,2408.7863,2478.3914
2024-05-15,2426.2,2495.2187
2024-05-16,2418.5303,2496.3329
2024-05-17,2462.0352,2533.4368
2024-05-18,2451.3631,2556.2365
2024-05-19,2453.3061,2558.8085
2024-05-20,2474.8155,2544.6407
2024-05-21,2482.4011,2552.3222
2024-05-22,2437.8713,2507.3411
2024-05-23,2389.1323,2459.4785
2024-05-24,2385.8005,2448.016
2024-05-25,2368.7361,2468.8865
2024-05-26,2370.0707,2469.5544
2024-05-27,2404.1911,2465.3897
2024-05-28,2406.4632,2467.5573
2024-05-29,2396.7822,2456.7349
2024-05-30,2393.2502,2458.5738
2024-05-31,2381.7745,2443.2034
2024-06-01,2363.3626,2459.0477
2024-06-02,2365.2908,2461.5807
2024-06-03,2390.4383,2453.7721
2024-06-04,2385.0453,2452.1897
2024-06-05,2403.9258,2467.8595
2024-06-06,2413.5766,2482.9001
2024-06-07,2359.6068,2424.8463
2024-06-08,2325.8883,2437.203
2024-06-09,2327.7963,2439.7235
2024-06-10,2366.4631,2430.8051
2024-06-11,2372.4343,2437.3663
2024-06-12,2380.5413,2445.2998
2024-06-13,2360.8062,2433.5443
2024-06-14,2398.8709,2460.0406
2024-06-15,2386.5135,2492.0344
2024-06-16,2389.3487,2494.193
2024-06-17,2399.4622,2493.1174
2024-06-18,2383.5164,2476.9138
2024-06-19,2382.6167,2478.7121
2024-06-20,2457.8268,2521.0874
2024-06-21,2418.3868,2478.0412
2024-06-22,2397.5975,2493.4762
2024-06-23,2399.665,2496.1594
2024-06-24,2430.7068,2488.4859
2024-06-25,2430.5219,2488.4984
2024-06-26,2393.4769,2452.7505
2024-06-27,2420.7032,2485.0724
2024-06-28,2410.5074,2468.4184
2024-06-29,2390.0298,2495.572
2024-06-30,2391.9382,2498.1106
2024-07-01,2407.6601,2466.2809
2024-07-02,2399.6126,2459.901
2024-07-03,2433.7551,2497.0336
2024-07-04,2428.1581,2494.699
2024-07-05,2458.6833,2518.5609
2024-07-06,2457.4094,2556.6268
2024-07-07,2459.4163,2559.2621
2024-07-08,2462.3926,2520.9221
2024-07-09,2459.114,2518.1458
2024-07-10,2477.046,2536.3425
2024-07-11,2507.6464,2574.8021
2024-07-12,2512.7106,2571.8655
2024-07-13,2503.881,2597.994
2024-07-14,2506.9908,2600.3976
2024-07-15,2529.3904,2624.5997
2024-07-16,2571.0192,2628.958
2024-07-17,2584.6174,2642.7188
2024-07-18,2585.1477,2649.1179
2024-07-19,2506.9212,2565.3195
2024-07-20,2478.3584,2611.8503
2024-07-21,2480.5113,2614.6989
2024-07-22,2492.1806,2550.4146
2024-07-23,2499.1849,2558.2244
2024-07-24,2532.5931,2590.5694
2024-07-25,2472.4831,2537.4085
2024-07-26,2484.8159,2544.1877
2024-07-27,2471.1913,2572.0922
2024-07-28,2473.5015,2575.0454
2024-07-29,2491.7884,2550.2177
2024-07-30,2509.2585,2567.6376
2024-07-31,2541.4493,2599.7944
2024-08-01,2562.9606,2626.7142
2024-08-02,2554.1947,2613.1654
2024-08-03,2552.5566,2651.4435
2024-08-04,2554.8293,2654.3651
2024-08-05,2528.0359,2600.9465
2024-08-06,2542.944,2601.0785
2024-08-07,2550.1922,2608.2749
2024-08-08,2560.8428,2624.4693
2024-08-09,2574.9969,2633.9125
2024-08-10,2563.5836,2656.829
2024-08-11,2566.0729,2659.9625
2024-08-12,2608.2495,2666.9665
2024-08-13,2627.976,2686.1577
2024-08-14,2608.2777,2666.381
2024-08-15,2611.0924,2675.8747
2024-08-16,2651.772,2710.3412
2024-08-17,2659.88,2757.8876
2024-08-18,2662.2398,2760.929
2024-08-19,2679.1008,2737.2661
2024-08-20,2711.8489,2770.3865
2024-08-21,2690.2972,2748.9463
2024-08-22,2663.0028,2727.7786
2024-08-23,2695.6131,2754.2782
2024-08-24,2685.4294,2783.998
2024-08-25,2688.3016,2787.5491
2024-08-26,2716.6604,2775.0517
2024-08-27,2715.9448,2774.1755
2024-08-28,2701.8925,2772.528
2024-08-29,2707.1617,2766.5965
2024-08-30,2685.9981,2781.0645
2024-08-31,2680.5658,2774.7694
2024-09-01,2684.948,2778.395
2024-09-02,2690.5877,2756.8788
2024-09-03,2673.8623,2740.9448
2024-09-04,2693.1313,2760.1936
2024-09-05,2696.3191,2769.6726
2024-09-06,2698.0484,2764.9057
2024-09-07,2670.4367,2776.5324
2024-09-08,2673.4955,2780.2698
2024-09-09,2696.1893,2762.3638
2024-09-10,2707.1623,2773.6044
2024-09-11,2706.5442,2772.8172
2024-09-12,2748.5102,2817.4427
2024-09-13,2775.8673,2838.3831
2024-09-14,2759.478,2863.5415
2024-09-15,2761.5779,2866.3455
2024-09-16,2789.5118,2852.0434
2024-09-17,2790.4652,2854.4949
2024-09-18,2789.2207,2851.6754
2024-09-19,2790.8229,2860.1068
2024-09-20,2828.9194,2893.4178
2024-09-21,2825.7343,2930.4433
2024-09-22,2828.3978,2933.8178
2024-09-23,2857.155,2921.9101
2024-09-24,2870.7173,2935.1376
2024-09-25,2884.18,2948.5032
2024-09-26,2891.8968,2963.2266
2024-09-27,2880.7015,2945.9688
2024-09-28,2872.9403,2972.1876
2024-09-29,2874.5566,2974.5217
2024-09-30,2864.2973,2927.9422
2024-10-01,2893.6208,2957.9774
2024-10-02,2884.3925,2949.0128
2024-10-03,2876.9626,2947.9197
2024-10-04,2890.969,2955.6022
2024-10-05,2819.4081,3025.7889
2024-10-06,2828.0666,3034.096
2024-10-07,2881.1145,2936.7937
2024-10-08,2858.6716,2914.3799
2024-10-09,2840.3998,2896.3849
2024-10-10,2850.232,2912.4086
2024-10-11,2878.2864,2941.616
2024-10-12,2842.2185,3035.0631
2024-10-13,2846.3018,3038.9291
2024-10-14,2881.6836,2943.1949
2024-10-15,2896.0498,2957.7936
2024-10-16,2903.2946,2965.6656
2024-10-17,2922.7644,2984.1243
2024-10-18,2949.5192,3012.7423
2024-10-19,2906.0023,3110.0982
2024-10-20,2910.1826,3114.0662
2024-10-21,2971.5066,3032.7016
2024-10-22,2985.5885,3047.1612
2024-10-23,2966.4865,3028.1413
2024-10-24,2972.1716,3034.3759
2024-10-25,2978.398,3041.0028
2024-10-26,2946.1597,3139.0619
2024-10-27,2950.3653,3143.0338
2024-10-28,2944.3677,3135.6862
2024-10-29,2975.3531,3166.8337
2024-10-30,3028.502,3089.9228
2024-10-31,2982.7048,3044.7
2024-11-01,2987.792,3049.8742
2024-11-02,2935.7228,3130.6631
2024-11-03,2939.9738,3134.687
2024-11-04,2995.9531,3057.3608
2024-11-05,2997.5771,3058.9966
2024-11-06,2892.0302,2954.4609
2024-11-07,2929.6587,2991.2363
2024-11-08,2929.2701,2992.3099
2024-11-09,2877.6355,3092.8994
2024-11-10,2881.7989,3096.871
2024-11-11,2862.7199,2924.1066
2024-11-12,2852.5357,2913.8298
2024-11-13,2841.9579,2903.8025
2024-11-14,2794.0485,2855.3642
2024-11-15,2809.0589,2871.245
2024-11-16,2755.9921,2942.6711
2024-11-17,2759.9686,2946.4338
2024-11-18,2863.986,2925.0901
2024-11-19,2882.6823,2944.2967
2024-11-20,2893.4152,2956.0364
2024-11-21,2920.603,2983.0135
2024-11-22,2952.2555,3016.2707
2024-11-23,2912.7073,3126.2008
2024-11-24,2916.9333,3130.2274
2024-11-25,2900.4446,2962.1677
2024-11-26,2886.8948,2948.2825
2024-11-27,2917.0919,2979.3659
2024-11-28,2906.78,2968.0779
2024-11-29,2918.8605,2981.4208
2024-11-30,2878.5648,3067.9312
2024-12-01,2882.7503,3071.891
2024-12-02,2922.3115,2983.4316
2024-12-03,2923.8802,2985.3062
2024-12-04,2928.5473,2990.0378
2024-12-05,2915.7875,2977.0211
2024-12-06,2907.0026,2969.2929
2024-12-07,2854.2557,3052.8699
2024-12-08,2858.4317,3056.8375
2024-12-09,2960.5648,3022.0474
2024-12-10,2978.8149,3040.2172
2024-12-11,2999.4221,3061.164
2024-12-12,2977.6313,3039.6276
2024-12-13,2947.7582,3009.8815
2024-12-14,2894.6005,3083.8662
2024-12-15,2898.6505,3087.6805
2024-12-16,2951.6664,3013.4937
2024-12-17,2932.6832,2993.7609
2024-12-18,2937.627,2999.2002
2024-12-19,2893.0166,2954.321
2024-12-20,2919.6667,2982.7698
2024-12-21,2859.2479,3073.8875
2024-12-22,2863.3324,3077.7778
2024-12-23,2929.3837,2990.5218
2024-12-24,2921.6869,2983.8356
2024-12-25,2929.9799,2994.5822
2024-12-26,2938.2916,2999.3722
2024-12-27,2922.5658,2985.0762
2024-12-28,2858.6525,3082.8586
2024-12-29,2862.579,3086.5939
2024-12-30,2932.403,2994.5196
2024-12-31,2933.3088,2995.2648
2025-01-01,2901.1583,3096.2709
2025-01-02,2971.535,3033.9972
2025-01-03,2970.2985,3032.3755
2025-01-04,2912.3032,3111.9935
2025-01-05,2916.3141,3115.7769
2025-01-06,2953.9739,3015.8474
2025-01-07,2990.9433,3052.4014
2025-01-08,2996.0565,3057.607
2025-01-09,3003.2252,3065.189
2025-01-10,3017.4781,3081.8892
2025-01-11,2979.4501,3175.0649
2025-01-12,2983.5176,3178.8888
2025-01-13,3016.8352,3078.5492
2025-01-14,3007.9349,3069.9659
2025-01-15,3026.9707,3088.8735
2025-01-16,3065.0539,3127.1
2025-01-17,3058.4707,3121.2059
2025-01-18,2981.7672,3196.7583
2025-01-19,2985.4207,3200.1702
2025-01-20,3063.3715,3125.9666
2025-01-21,3101.5184,3162.8393
2025-01-22,3126.9439,3188.3439
2025-01-23,3112.4827,3174.4393
2025-01-24,3146.1309,3209.0191
2025-01-25,3089.6009,3291.8127
2025-01-26,3093.21,3295.1424
2025-01-27,3127.0928,3188.625
2025-01-28,3133.2915,3195.1916
2025-01-29,3140.6605,3202.0672
2025-01-30,3174.6181,3236.2882
2025-01-31,3200.8367,3263.5293
2025-02-01,3134.4613,3341.8475
2025-02-02,3138.0561,3345.1588
2025-02-03,3238.164,3302.3339
2025-02-04,3246.8012,3309.4017
2025-02-05,3281.2882,3345.3182
2025-02-06,3254.9037,3317.1962
2025-02-07,3283.2172,3346.0803
2025-02-08,3217.7504,3428.3288
2025-02-09,3221.7713,3432.0736
2025-02-10,3331.0114,3392.5134
2025-02-11,3324.0532,3385.7634
2025-02-12,3322.4004,3384.0681
2025-02-13,3350.5283,3412.3389
2025-02-14,3354.9549,3418.2059
2025-02-15,3270.3537,3468.7916
2025-02-16,3273.8866,3472.0048
2025-02-17,3348.6471,3410.3389
2025-02-18,3379.1669,3440.7352
2025-02-19,3396.4568,3458.5492
2025-02-20,3394.784,3456.5491
2025-02-21,3389.2617,3452.3568
2025-02-22,3349.1996,3553.6826
2025-02-23,3353.5268,3557.7151
2025-02-24,3409.2888,3471.2589
2025-02-25,3404.5181,3466.5814
2025-02-26,3368.0808,3430.1241
2025-02-27,3327.7563,3390.4495
2025-02-28,3284.7031,3347.5433
2025-03-01,3246.662,3468.3924
2025-03-02,3250.9331,3472.4063
2025-03-03,3333.2764,3396.9125
2025-03-04,3375.3028,3437.4898
2025-03-05,3377.6269,3440.0449
2025-03-06,3376.5162,3438.5156
2025-03-07,3381.9567,3444.8308
2025-03-08,3321.2724,3533.8014
2025-03-09,3325.4601,3537.7025
2025-03-10,3378.7001,3440.3729
2025-03-11,3393.9576,3456.2831
2025-03-12,3402.9815,3465.3048
2025-03-13,3459.2338,3520.7397
2025-03-14,3476.492,3539.0707
2025-03-15,3400.2292,3633.7836
2025-03-16,3404.4597,3637.7367
2025-03-17,3497.0282,3559.5313
2025-03-18,3533.5904,3595.5002
2025-03-19,3639.0796,3745.6532
2025-03-20,3644.382,3754.4806
2025-03-21,3621.4101,3721.311
2025-03-22,3513.2905,3790.8478
2025-03-23,3518.0463,3965.4273
2025-03-24,3619.0097,3742.6947
2025-03-25,3639.1865,3761.8212
2025-03-26,3630.1072,3753.0601
2025-03-27,3678.7216,3797.8238
2025-03-28,3675.2494,3795.3504
2025-03-29,3641.9338,3912.7867
2025-03-30,3646.8712,3917.4103
2025-03-31,3694.6664,3960.272
2025-04-01,3705.0611,3970.4202
2025-04-02,3752.702,3872.5764
2025-04-03,3763.0148,3884.2979
2025-04-04,3650.0127,3770.0862
2025-04-05,3572.1891,3862.1859
2025-04-06,3577.0428,3866.7557
2025-04-07,3606.5083,3726.8042
2025-04-08,3618.6751,3738.519
2025-04-09,3704.9103,3793.088
2025-04-10,3789.2757,3879.6617
2025-04-11,3890.8387,3980.4615
2025-04-12,3463.4459,4092.9883
2025-04-13,3468.1632,4097.8913
2025-04-14,3878.3787,3967.065
2025-04-15,3899.4698,3987.4802
2025-04-16,4004.4285,4092.2296
2025-04-17,3962.7198,4056.6196
2025-04-18,4012.3045,4109.0271
2025-04-19,3445.3225,4212.373
2025-04-20,3450.018,4217.4126
