zaman,alis,satis
2024-05-02,954.8547,1008.6748
2024-05-03,951.9059,1003.532
2024-05-04,929.8479,1115.7489
2024-05-05,930.2881,1116.4581
2024-05-06,1000.2771,1054.2424
2024-05-07,1000.8393,1052.0713
2024-05-08,983.3689,1034.4843
2024-05-09,977.4776,1029.5936
2024-05-10,994.9324,1048.4259
2024-05-11,959.0446,1147.1043
2024-05-12,959.3276,1147.667
2024-05-13,987.7202,1040.7109
2024-05-14,1003.7606,1055.1479
2024-05-15,1009.1717,1062.2155
2024-05-16,1002.6448,1059.3615
2024-05-17,1022.2514,1074.2698
2024-05-18,989.9183,1173.3927
2024-05-19,990.7251,1174.4843
2024-05-20,1030.4901,1081.9259
2024-05-21,1051.5305,1104.9504
2024-05-22,1016.5843,1069.787
2024-05-23,987.5635,1042.5837
2024-05-24,982.4433,1034.4378
2024-05-25,943.7324,1131.462
2024-05-26,944.2854,1131.7416
2024-05-27,1015.5057,1067.071
2024-05-28,993.8338,1045.333
2024-05-29,972.6456,1023.7159
2024-05-30,970.188,1023.4672
2024-05-31,928.1742,979.6902
2024-06-01,892.0607,1077.7452
2024-06-02,892.8147,1078.7554
2024-06-03,940.3898,991.5434
2024-06-04,929.7578,984.5083
2024-06-05,949.7152,1001.1327
2024-06-06,943.739,997.3097
2024-06-07,921.1016,974.991
2024-06-08,891.4944,1081.5015
2024-06-09,892.2539,1082.5173
2024-06-10,912.0588,966.5824
2024-06-11,910.6601,964.5009
2024-06-12,923.1383,974.9304
2024-06-13,891.8946,951.0995
2024-06-14,909.7119,962.4148
2024-06-15,876.5481,1067.2607
2024-06-16,877.6351,1068.0954
2024-06-17,878.7699,1064.908
2024-06-18,868.559,1051.6164
2024-06-19,892.4899,1078.6696
2024-06-20,956.2414,1012.763
2024-06-21,1040.5928,1094.9228
2024-06-22,947.4417,1131.4988
2024-06-23,948.2833,1132.613
2024-06-24,1033.1675,1100.6721
2024-06-25,970.5922,1025.9638
2024-06-26,955.5573,1012.8891
2024-06-27,965.1046,1022.3137
2024-06-28,997.0208,1054.0381
