zaman,alis,satis
2024-05-02,982.1294,1013.1764
2024-05-03,978.9461,1007.7735
2024-05-04,974.8623,1039.4773
2024-05-05,975.3059,1040.1938
2024-05-06,989.8033,1018.9576
2024-05-07,1009.5995,1038.0107
2024-05-08,1002.3641,1030.684
2024-05-09,1005.9568,1034.8536
2024-05-10,1014.5789,1043.3345
2024-05-11,1011.0935,1081.1627
2024-05-12,1011.3814,1081.7349
2024-05-13,1028.0254,1061.5415
2024-05-14,1055.6758,1084.2708
2024-05-15,1081.7274,1110.0607
2024-05-16,1075.3919,1107.5463
2024-05-17,1097.9251,1132.5988
2024-05-18,1099.4779,1167.5337
2024-05-19,1100.3449,1168.7035
2024-05-20,1084.4291,1113.8713
2024-05-21,1084.6599,1113.3218
2024-05-22,1073.1421,1101.6105
2024-05-23,1051.5478,1083.8752
2024-05-24,1055.3786,1084.6738
2024-05-25,1042.8267,1109.618
2024-05-26,1043.4159,1109.9145
2024-05-27,1078.5283,1111.6689
2024-05-28,1081.9669,1110.7442
2024-05-29,1065.9305,1099.446
2024-05-30,1059.4172,1090.061
2024-05-31,1058.2961,1087.1796
2024-06-01,1056.0517,1117.2268
2024-06-02,1056.9077,1118.371
2024-06-03,1045.1001,1073.501
2024-06-04,1034.6366,1070.1708
2024-06-05,1021.9759,1050.6235
2024-06-06,1023.39,1054.3306
2024-06-07,1000.667,1029.6776
2024-06-08,979.9102,1050.3746
2024-06-09,980.7117,1051.4479
2024-06-10,1002.9925,1031.8194
2024-06-11,983.5596,1018.0055
2024-06-12,989.8621,1018.9201
2024-06-13,975.2827,1010.0871
2024-06-14,984.9171,1014.9372
2024-06-15,981.8791,1053.201
2024-06-16,983.0486,1054.0977
2024-06-17,1002.9896,1063.6131
2024-06-18,994.9382,1055.4668
2024-06-19,1007.6617,1069.3851
2024-06-20,1029.849,1060.8403
2024-06-21,1036.2484,1066.4959
2024-06-22,1028.3848,1094.329
2024-06-23,1029.2655,1095.4945
2024-06-24,1051.5303,1086.0767
2024-06-25,1038.3001,1067.0396
2024-06-26,1046.356,1075.9161
2024-06-27,1042.3198,1074.1478
2024-06-28,1046.9924,1076.4752
2024-06-29,1023.3754,1093.4576
2024-06-30,1024.1892,1094.5559
2024-07-01,1017.2513,1046.2011
2024-07-02,1035.56,1070.9581
2024-07-03,1038.0694,1069.0384
2024-07-04,1041.687,1074.0304
2024-07-05,1067.7124,1097.2696
2024-07-06,1057.9783,1126.6682
2024-07-07,1058.8354,1127.8187
2024-07-08,1048.0724,1077.079
2024-07-09,1032.5285,1061.6955
2024-07-10,1037.8255,1067.0547
2024-07-11,1048.8941,1083.0907
2024-07-12,1044.4389,1077.3551
2024-07-13,1039.0719,1107.7627
2024-07-14,1040.3394,1108.7972
2024-07-15,1051.5526,1112.8797
2024-07-16,1046.9949,1075.7302
2024-07-17,1053.1301,1081.9043
2024-07-18,1039.5409,1070.6179
2024-07-19,1015.5138,1044.3822
2024-07-20,995.6681,1079.754
2024-07-21,996.5415,1080.9029
2024-07-22,991.2466,1020.0295
2024-07-23,981.74,1018.7232
2024-07-24,1003.8342,1034.0239
2024-07-25,985.496,1017.7192
2024-07-26,972.6435,1001.8386
2024-07-27,970.3642,1040.9907
2024-07-28,971.2718,1042.1642
2024-07-29,995.3995,1032.2256
2024-07-30,1006.8414,1041.4572
2024-07-31,1028.5001,1065.3222
2024-08-01,1016.9117,1047.8431
2024-08-02,1009.1008,1038.1573
2024-08-03,1002.2636,1069.4132
2024-08-04,1003.1497,1070.578
2024-08-05,968.6185,1007.2623
