zaman,kur,alis,satis
1714661992,XPT,982.1294,1013.1764
1714748355,XPT,978.9461,1007.7735
1714834777,XPT,974.8623,1039.4773
1714921082,XPT,975.3059,1040.1938
1715007527,XPT,989.8033,1018.9576
1715093809,XPT,1009.5995,1038.0107
1715180120,XPT,1002.3641,1030.684
1715266552,XPT,1005.9568,1034.8536
1715353094,XPT,1014.5789,1043.3345
1715439334,XPT,1011.0935,1081.1627
1715525668,XPT,1011.3814,1081.7349
1715612189,XPT,1028.0254,1061.5415
1715698557,XPT,1055.6758,1084.2708
1715785196,XPT,1081.7274,1110.0607
1715871586,XPT,1075.3919,1107.5463
1715957746,XPT,1097.9251,1132.5988
1716044283,XPT,1099.4779,1167.5337
1716130791,XPT,1100.3449,1168.7035
1716216905,XPT,1084.4291,1113.8713
1716303595,XPT,1084.6599,1113.3218
1716389981,XPT,1073.1421,1101.6105
1716476128,XPT,1051.5478,1083.8752
1716562553,XPT,1055.3786,1084.6738
1716649121,XPT,1042.8267,1109.618
1716735308,XPT,1043.4159,1109.9145
1716821725,XPT,1078.5283,1111.6689
1716908187,XPT,1081.9669,1110.7442
1716994799,XPT,1065.9305,1099.446
1717081019,XPT,1059.4172,1090.061
1717167361,XPT,1058.2961,1087.1796
1717253971,XPT,1056.0517,1117.2268
1717340160,XPT,1056.9077,1118.371
1717426646,XPT,1045.1001,1073.501
1717512903,XPT,1034.6366,1070.1708
1717599515,XPT,1021.9759,1050.6235
1717685890,XPT,1023.39,1054.3306
1717772190,XPT,1000.667,1029.6776
1717858456,XPT,979.9102,1050.3746
1717945104,XPT,980.7117,1051.4479
1718031591,XPT,1002.9925,1031.8194
1718117738,XPT,983.5596,1018.0055
1718204240,XPT,989.8621,1018.9201
1718290542,XPT,975.2827,1010.0871
1718376955,XPT,984.9171,1014.9372
1718463308,XPT,981.8791,1053.201
1718549906,XPT,983.0486,1054.0977
1718636266,XPT,1002.9896,1063.6131
1718722520,XPT,994.9382,1055.4668
1718808942,XPT,1007.6617,1069.3851
1718895590,XPT,1029.849,1060.8403
1718981800,XPT,1036.2484,1066.4959
1719068348,XPT,1028.3848,1094.329
1719154560,XPT,1029.2655,1095.4945
1719240982,XPT,1051.5303,1086.0767
1719327467,XPT,1038.3001,1067.0396
1719413731,XPT,1046.356,1075.9161
1719500072,XPT,1042.3198,1074.1478
1719586602,XPT,1046.9924,1076.4752
1719672975,XPT,1023.3754,1093.4576
1719759590,XPT,1024.1892,1094.5559
1719845836,XPT,1017.2513,1046.2011
1719932378,XPT,1035.56,1070.9581
1720018678,XPT,1038.0694,1069.0384
1720104916,XPT,1041.687,1074.0304
1720191463,XPT,1067.7124,1097.2696
1720277924,XPT,1057.9783,1126.6682
1720364330,XPT,1058.8354,1127.8187
1720450554,XPT,1048.0724,1077.079
1720536959,XPT,1032.5285,1061.6955
1720623305,XPT,1037.8255,1067.0547
1720709790,XPT,1048.8941,1083.0907
1720796242,XPT,1044.4389,1077.3551
1720882662,XPT,1039.0719,1107.7627
1720968996,XPT,1040.3394,1108.7972
1721055359,XPT,1051.5526,1112.8797
1721141756,XPT,1046.9949,1075.7302
1721228378,XPT,1053.1301,1081.9043
1721314735,XPT,1039.5409,1070.6179
1721401110,XPT,1015.5138,1044.3822
1721487575,XPT,995.6681,1079.754
1721573689,XPT,996.5415,1080.9029
1721660214,XPT,991.2466,1020.0295
1721746697,XPT,981.74,1018.7232
1721832901,XPT,1003.8342,1034.0239
1721919501,XPT,985.496,1017.7192
1722005741,XPT,972.6435,1001.8386
1722092083,XPT,970.3642,1040.9907
1722178487,XPT,971.2718,1042.1642
1722265142,XPT,995.3995,1032.2256
1722351547,XPT,1006.8414,1041.4572
1722437909,XPT,1028.5001,1065.3222
1722524320,XPT,1016.9117,1047.8431
1722610553,XPT,1009.1008,1038.1573
1722697093,XPT,1002.2636,1069.4132
1722783545,XPT,1003.1497,1070.578
1722869966,XPT,968.6185,1007.2623
1722956347,XPT,987.277,1016.0114
1723042612,XPT,988.4458,1017.9908
1723128874,XPT,993.2702,1024.135
1723215412,XPT,987.4957,1016.46
1723301947,XPT,973.5682,1039.1555
1723388333,XPT,974.5083,1040.3647
1723474583,XPT,1006.4598,1040.964
1723560889,XPT,999.8508,1028.6037
1723647265,XPT,993.0634,1021.7226
1723733832,XPT,1025.564,1056.8881
1723820378,XPT,1012.5464,1046.9969
1723906637,XPT,1013.7946,1080.5226
1723993128,XPT,1014.6892,1081.6986
1724079424,XPT,1030.3836,1059.5735
1724165974,XPT,1026.6014,1055.4116
1724252349,XPT,1047.9012,1076.814
1724338621,XPT,1019.9566,1051.2062
1724424958,XPT,1029.0313,1057.9149
1724511265,XPT,1031.7125,1098.8584
1724597846,XPT,1032.8114,1100.2416
1724684110,XPT,1049.3628,1078.2329
1724770697,XPT,1039.0251,1073.5568
1724856895,XPT,1014.0353,1047.4434
1724943456,XPT,1019.4722,1048.6326
1725029746,XPT,998.8551,1059.8052
1725116192,XPT,992.4362,1058.6934
1725202535,XPT,994.0441,1060.0709
1725289065,XPT,999.2169,1034.4701
1725375396,XPT,978.0637,1007.0951
1725461977,XPT,990.0504,1019.5913
1725548350,XPT,1005.423,1036.6778
1725634501,XPT,997.7613,1026.6816
1725720923,XPT,986.3073,1053.7455
1725807336,XPT,987.4351,1055.145
1725893949,XPT,1018.0023,1046.7042
1725980192,XPT,1022.5779,1051.4437
1726066799,XPT,1024.1735,1052.9104
1726153048,XPT,1044.0621,1081.077
1726239477,XPT,1082.85,1112.1936
1726325868,XPT,1064.949,1132.6451
1726412154,XPT,1065.7555,1133.7461
1726498766,XPT,1070.3441,1099.579
1726584869,XPT,1067.4808,1096.9107
1726671425,XPT,1054.7883,1089.48
1726757787,XPT,1067.7205,1099.1878
1726844389,XPT,1062.1481,1090.9578
1726930524,XPT,1049.4349,1118.7424
1727017065,XPT,1050.4221,1120.0187
1727103592,XPT,1051.5512,1080.5222
1727189945,XPT,1068.152,1096.9347
1727276293,XPT,1079.8736,1108.6711
1727362776,XPT,1096.4134,1127.8517
1727449068,XPT,1095.9559,1125.5698
1727535479,XPT,1079.9305,1144.9855
1727621968,XPT,1080.5295,1145.8833
1727708107,XPT,1064.7226,1093.2224
