zaman,alis,satis
2024-04-29,20.9856,21.8021
2024-04-30,20.8403,21.6528
2024-05-01,20.65485,21.899592
2024-05-02,20.9357,21.789318
2024-05-03,21.0205,21.8476
2024-05-04,20.907003,22.21653
2024-05-05,20.907003,22.21653
2024-05-06,21.1925,22.0085
2024-05-07,21.1347,21.9541
2024-05-08,20.9814,21.7936
2024-05-09,20.95,21.7692
2024-05-10,21.0532,21.8777
2024-05-11,20.741673,22.281372
2024-05-12,20.741673,22.281372
2024-05-13,21.1076,21.9215
2024-05-14,21.1274,21.9429
2024-05-15,21.2484,22.0766
2024-05-16,21.2162,22.0354
2024-05-17,21.2341,22.057
2024-05-18,21.076689,22.413581
2024-05-19,21.076689,22.413581
2024-05-20,21.347,22.1638
2024-05-21,21.2872,22.1024
2024-05-22,21.2072,22.0211
2024-05-23,21.1162,21.9452
2024-05-24,21.0825,21.905
2024-05-25,20.882649,22.162394
2024-05-26,20.882649,22.162394
2024-05-27,21.2015,22.0229
2024-05-28,21.2645,22.0781
2024-05-29,21.1671,21.9816
2024-05-30,21.1239,21.9455
2024-05-31,21.1865,22.0087
2024-06-01,21.1374,22.0876
2024-06-02,21.1374,22.0876
2024-06-03,21.2295,22.0418
2024-06-04,21.3453,22.1665
2024-06-05,21.3654,22.1787
2024-06-06,21.172,21.9945
2024-06-07,21.2589,22.0845
2024-06-08,20.803647,22.201077
2024-06-09,20.803647,22.201077
2024-06-10,21.1872,22.004
2024-06-11,21.1485,21.9617
2024-06-12,21.2054,22.018
2024-06-13,21.1596,22.031778
2024-06-14,21.313,22.1489
2024-06-15,21.149157,22.473878
2024-06-16,21.149157,22.473878
2024-06-17,21.153711,22.427014
2024-06-18,21.064116,22.327832
2024-06-19,21.214992,22.484786
2024-06-20,21.6285,22.4725
2024-06-21,21.6006,22.4515
2024-06-22,21.337356,22.682847
2024-06-23,21.337356,22.682847
2024-06-24,21.6574,22.472
2024-06-25,21.7022,22.5184
2024-06-26,21.7398,22.5583
2024-06-27,21.7436,22.5651
2024-06-28,21.6241,22.455
2024-06-29,21.279639,22.745366
2024-06-30,21.279639,22.745366
2024-07-01,21.6175,22.4355
2024-07-02,21.5442,22.3571
2024-07-03,21.5377,22.3506
2024-07-04,21.6653,22.4879
2024-07-05,21.7727,22.593
2024-07-06,21.546741,22.874444
2024-07-07,21.546741,22.874444
2024-07-08,21.857,22.6733
2024-07-09,21.8796,22.6932
2024-07-10,22.0197,22.8395
2024-07-11,21.9858,22.8038
2024-07-12,22.0878,22.9243
2024-07-13,21.898488,23.228146
2024-07-14,21.898488,23.228146
2024-07-15,21.947592,23.226227
2024-07-16,22.1238,22.9412
2024-07-17,22.1229,22.9339
2024-07-18,22.0252,22.8499
2024-07-19,21.897,22.7213
2024-07-20,21.8266,22.7146
