zaman,alis,satis
2024-04-29,23.504,24.4121
2024-04-30,23.3518,24.2706
2024-05-01,23.148462,24.538429
2024-05-02,23.4304,24.371098
2024-05-03,23.4091,24.332
2024-05-04,23.137374,24.583273
2024-05-05,23.137374,24.583273
2024-05-06,23.3113,24.4116
2024-05-07,23.4024,24.3189
2024-05-08,23.2712,24.1831
2024-05-09,23.2933,24.2089
2024-05-10,23.222,24.3206
2024-05-11,23.001447,24.708513
2024-05-12,23.001447,24.708513
2024-05-13,23.3698,24.287
2024-05-14,23.417,24.3352
2024-05-15,23.3886,24.5083
2024-05-16,23.4182,24.3303
2024-05-17,23.293,24.4296
2024-05-18,23.189646,24.657407
2024-05-19,23.189646,24.657407
2024-05-20,23.4618,24.3791
2024-05-21,23.4448,24.3635
2024-05-22,23.3651,24.2789
2024-05-23,23.2566,24.3498
2024-05-24,23.2528,24.174
2024-05-25,23.073717,24.490353
2024-05-26,23.073717,24.490353
2024-05-27,23.3884,24.3042
2024-05-28,23.4456,24.3562
2024-05-29,23.388,24.3037
2024-05-30,23.2857,24.3421
2024-05-31,23.3854,24.3104
2024-06-01,23.3324,24.3861
2024-06-02,23.3324,24.3861
2024-06-03,23.4204,24.3325
2024-06-04,23.5275,24.4472
2024-06-05,23.5477,24.4605
2024-06-06,23.3681,24.2817
2024-06-07,23.3451,24.2649
2024-06-08,22.94769,24.503685
2024-06-09,22.94769,24.503685
2024-06-10,23.3821,24.2992
2024-06-11,23.3167,24.2311
2024-06-12,23.3669,24.2802
2024-06-13,23.3057,24.2176
2024-06-14,23.3116,24.3916
2024-06-15,23.27439,24.756993
2024-06-16,23.27439,24.756993
2024-06-17,23.349234,24.762649
2024-06-18,23.173707,24.57994
2024-06-19,23.17836,24.577718
2024-06-20,23.7285,24.6536
2024-06-21,23.738,24.6571
2024-06-22,23.479518,24.951115
2024-06-23,23.479518,24.951115
2024-06-24,23.8632,24.782
2024-06-25,23.908,24.82
2024-06-26,23.8654,24.7866
2024-06-27,23.846,24.7547
2024-06-28,23.7593,24.6876
2024-06-29,23.413485,24.982829
2024-06-30,23.413485,24.982829
2024-07-01,23.6994,24.6172
2024-07-02,23.6301,24.5434
2024-07-03,23.6112,24.5322
2024-07-04,23.7276,24.6429
2024-07-05,23.7976,24.7181
2024-07-06,23.417643,24.875365
2024-07-07,23.417643,24.875365
2024-07-08,23.8169,24.7309
2024-07-09,23.8538,24.7675
2024-07-10,23.9596,24.8737
2024-07-11,23.9223,24.8368
2024-07-12,23.9832,24.9123
2024-07-13,23.70999,25.172103
2024-07-14,23.70999,25.172103
2024-07-15,23.743155,25.152812
2024-07-16,24.0016,24.9146
2024-07-17,24.0284,24.9416
2024-07-18,24.0034,24.9197
2024-07-19,23.864,24.7839
2024-07-20,23.7996,24.7762
2024-07-21,23.7996,24.7762
2024-07-22,23.8148,24.73
2024-07-23,23.7536,24.669
2024-07-24,23.6595,24.5752
2024-07-25,23.724,24.6399
2024-07-26,23.6397,24.5605
2024-07-27,23.296863,24.781435
2024-07-28,23.296863,24.781435
2024-07-29,23.6635,24.5768
2024-07-30,23.7117,24.622
2024-07-31,23.7951,24.7036
2024-08-01,23.7645,24.6725
2024-08-02,23.6601,24.5741
2024-08-03,23.48031,24.906978
2024-08-04,23.48031,24.906978
2024-08-05,23.8542,24.7665
2024-08-06,24.0159,24.9343
2024-08-07,24.1931,25.1053
2024-08-08,24.1893,25.0992
2024-08-09,24.1777,25.1001
2024-08-10,23.881557,25.357337
2024-08-11,23.881557,25.357337
2024-08-12,24.2448,25.1535
2024-08-13,24.2503,25.1585
2024-08-14,24.2913,25.2005
2024-08-15,24.359,25.2694
2024-08-16,24.3014,25.2169
2024-08-17,24.128463,25.581961
2024-08-18,24.128463,25.581961
2024-08-19,24.4697,25.3867
2024-08-20,24.6593,25.5722
2024-08-21,24.7609,25.6764
2024-08-22,24.7807,25.6966
2024-08-23,24.8001,25.7142
2024-08-24,24.646233,26.109989
2024-08-25,24.646233,26.109989
2024-08-26,24.9982,25.9074
2024-08-27,25.0915,25.9997
2024-08-28,25.1007,26.009
2024-08-29,25.0356,25.9572
2024-08-30,24.740679,26.165438
2024-08-31,24.689892,26.156449
2024-09-01,24.689892,26.156449
2024-09-02,24.9992,25.9101
2024-09-03,24.916,25.8261
2024-09-04,24.9314,25.8402
2024-09-05,24.9819,25.8901
2024-09-06,24.9488,25.8755
2024-09-07,24.519117,26.00101
2024-09-08,24.519117,26.00101
2024-09-09,24.9271,25.8375
2024-09-10,24.9076,25.8279
2024-09-11,24.8727,25.7826
2024-09-12,24.8208,25.741
2024-09-13,24.7443,25.6593
2024-09-14,24.452688,25.936875
2024-09-15,24.452688,25.936875
2024-09-16,24.855,25.7646
2024-09-17,24.8693,25.778
2024-09-18,24.9134,25.8296
2024-09-19,24.9171,25.8279
2024-09-20,24.8988,25.8128
2024-09-21,24.631086,26.115544
2024-09-22,24.631086,26.115544
