zaman,alis,satis
2024-04-29,35.0905,36.4683
2024-04-30,35.0677,36.4441
2024-05-01,34.634234,36.726841
2024-05-02,35.0064,36.438603
2024-05-03,35.1811,36.5722
2024-05-04,34.898366,37.114378
2024-05-05,34.898366,37.114378
2024-05-06,35.2969,36.678
2024-05-07,35.266,36.6466
2024-05-08,35.2627,36.646
2024-05-09,34.9631,36.35
2024-05-10,35.0836,36.4767
2024-05-11,34.592159,37.213156
2024-05-12,34.592159,37.213156
2024-05-13,35.1896,36.5682
2024-05-14,35.206,36.5831
2024-05-15,35.3062,36.7049
2024-05-16,35.1599,36.544
2024-05-17,35.1193,36.5072
2024-05-18,34.648193,36.826932
2024-05-19,34.648193,36.826932
2024-05-20,35.063,36.439
2024-05-21,35.0412,36.4188
2024-05-22,34.8229,36.1975
2024-05-23,34.7451,36.1461
2024-05-24,34.7917,36.1729
2024-05-25,34.400099,36.539991
2024-05-26,34.400099,36.539991
2024-05-27,34.8608,36.2415
2024-05-28,35.0033,36.3776
2024-05-29,34.919,36.2968
2024-05-30,35.1127,36.4998
2024-05-31,35.1302,36.5157
2024-06-01,35.1647,36.7685
2024-06-02,35.1647,36.7685
2024-06-03,35.3904,36.7664
2024-06-04,35.9199,37.3058
2024-06-05,36.0006,37.3776
2024-06-06,35.825,37.258823
2024-06-07,35.8009,37.1924
2024-06-08,35.166755,37.557768
2024-06-09,35.166755,37.557768
2024-06-10,35.8332,37.2135
2024-06-11,35.7878,37.1639
2024-06-12,35.7842,37.1638
2024-06-13,35.4147,37.176998
2024-06-14,36.0183,37.4239
2024-06-15,35.858072,38.094886
2024-06-16,35.858072,38.094886
2024-06-17,35.876882,38.024287
2024-06-18,35.839559,37.97611
2024-06-19,35.889752,38.022267
2024-06-20,36.3835,37.8203
2024-06-21,36.3084,37.7597
2024-06-22,35.890544,38.174979
2024-06-23,35.890544,38.174979
2024-06-24,36.5179,37.8962
2024-06-25,36.4917,37.8712
2024-06-26,36.3628,37.7445
2024-06-27,36.2896,37.6668
2024-06-28,36.1018,37.4992
2024-06-29,35.533649,37.93268
2024-06-30,35.533649,37.93268
2024-07-01,35.941,37.3217
2024-07-02,35.8981,37.2741
2024-07-03,35.7145,37.0945
2024-07-04,35.7352,37.1244
2024-07-05,35.9653,37.3531
2024-07-06,35.587307,37.821984
2024-07-07,35.587307,37.821984
2024-07-08,36.1561,37.5353
2024-07-09,36.1478,37.5226
2024-07-10,36.3432,37.7214
2024-07-11,36.2298,37.6156
