zaman,alis,satis
2024-04-29,4.6005,4.77741
2024-04-30,4.60562,4.78053
2024-05-01,4.564966,4.835389
2024-05-02,4.58313,4.768033
2024-05-03,4.6013,4.78135
2024-05-04,4.563174,4.849852
2024-05-05,4.563174,4.849852
2024-05-06,4.61858,4.79452
2024-05-07,4.63275,4.81052
2024-05-08,4.62564,4.80277
2024-05-09,4.57991,4.75902
2024-05-10,4.60257,4.78234
2024-05-11,4.532989,4.872658
2024-05-12,4.532989,4.872658
2024-05-13,4.61875,4.7946
2024-05-14,4.6295,4.80557
2024-05-15,4.64188,4.82014
2024-05-16,4.63032,4.80887
2024-05-17,4.63685,4.81635
2024-05-18,4.594389,4.884546
2024-05-19,4.594389,4.884546
2024-05-20,4.64639,4.82174
2024-05-21,4.64549,4.82106
2024-05-22,4.6302,4.80597
2024-05-23,4.61952,4.80167
2024-05-24,4.63016,4.80947
2024-05-25,4.579153,4.86073
2024-05-26,4.579153,4.86073
2024-05-27,4.64251,4.81795
2024-05-28,4.65381,4.82894
2024-05-29,4.64128,4.81634
2024-05-30,4.62612,4.80562
2024-05-31,4.63262,4.8119
2024-06-01,4.62321,4.82909
2024-06-02,4.62321,4.82909
2024-06-03,4.64647,4.82259
2024-06-04,4.68332,4.85985
2024-06-05,4.68444,4.85993
2024-06-06,4.65619,4.83862
2024-06-07,4.65564,4.83537
2024-06-08,4.569837,4.879768
2024-06-09,4.569837,4.879768
2024-06-10,4.63266,4.80845
2024-06-11,4.61605,4.79092
2024-06-12,4.6281,4.80343
2024-06-13,4.59795,4.78314
2024-06-14,4.61476,4.79931
2024-06-15,4.579509,4.878152
2024-06-16,4.579509,4.878152
2024-06-17,4.604279,4.88393
2024-06-18,4.572362,4.850054
2024-06-19,4.573995,4.850781
2024-06-20,4.66038,4.84437
2024-06-21,4.64695,4.83224
2024-06-22,4.603556,4.897959
2024-06-23,4.603556,4.897959
2024-06-24,4.68791,4.86332
2024-06-25,4.68854,4.86418
2024-06-26,4.67874,4.85533
2024-06-27,4.67599,4.85141
2024-06-28,4.66638,4.84774
2024-06-29,4.59032,4.902554
2024-06-30,4.59032,4.902554
2024-07-01,4.67232,4.84884
2024-07-02,4.66687,4.84269
2024-07-03,4.6568,4.83209
2024-07-04,4.67183,4.85246
2024-07-05,4.69099,4.86978
2024-07-06,4.637236,4.927622
2024-07-07,4.637236,4.927622
2024-07-08,4.70951,4.88517
2024-07-09,4.71177,4.88685
2024-07-10,4.7344,4.90977
2024-07-11,4.75659,4.93428
2024-07-12,4.75945,4.94195
2024-07-13,4.715179,5.008079
2024-07-14,4.715179,5.008079
2024-07-15,4.72693,5.004746
2024-07-16,4.79001,4.96481
2024-07-17,4.81027,4.98514
2024-07-18,4.80717,4.98791
2024-07-19,4.77226,4.95247
2024-07-20,4.75959,4.95651
2024-07-21,4.75959,4.95651
2024-07-22,4.77443,4.95045
2024-07-23,4.75713,4.9337
2024-07-24,4.73779,4.91384
2024-07-25,4.75356,4.93286
2024-07-26,4.74951,4.92997
2024-07-27,4.688132,4.978759
2024-07-28,4.688132,4.978759
2024-07-29,4.75131,4.92734
2024-07-30,4.76358,4.93994
2024-07-31,4.77654,4.95255
2024-08-01,4.7318,4.91073
2024-08-02,4.76494,4.94515
2024-08-03,4.755591,5.039742
2024-08-04,4.755591,5.039742
2024-08-05,4.85269,5.028
2024-08-06,4.85751,5.03597
2024-08-07,4.86485,5.04046
2024-08-08,4.85049,5.03053
2024-08-09,4.85408,5.03339
2024-08-10,4.79426,5.086879
2024-08-11,4.79426,5.086879
2024-08-12,4.86901,5.04529
2024-08-13,4.87218,5.04705
2024-08-14,4.91935,5.0956
2024-08-15,4.9082,5.08826
2024-08-16,4.91455,5.09476
2024-08-17,4.875173,5.165396
2024-08-18,4.875173,5.165396
2024-08-19,4.94472,5.12093
2024-08-20,4.97957,5.1549
2024-08-21,5.01034,5.18501
2024-08-22,5.00807,5.18778
2024-08-23,5.01087,5.18953
2024-08-24,4.993953,5.285485
2024-08-25,4.993953,5.285485
2024-08-26,5.04787,5.22321
2024-08-27,5.05071,5.22575
2024-08-28,5.010451,5.236315
2024-08-29,5.00919,5.18956
2024-08-30,4.951502,5.233854
2024-08-31,4.932355,5.222259
2024-09-01,4.932355,5.222259
2024-09-02,4.99891,5.17403
2024-09-03,4.98687,5.16287
2024-09-04,4.99715,5.17285
2024-09-05,5.00508,5.18396
2024-09-06,5.01012,5.1899
2024-09-07,4.94075,5.236107
2024-09-08,4.94075,5.236107
2024-09-09,5.0013,5.17716
2024-09-10,4.99184,5.16709
2024-09-11,4.99353,5.17011
2024-09-12,4.96041,5.14011
2024-09-13,4.99011,5.16937
2024-09-14,4.928059,5.22429
2024-09-15,4.928059,5.22429
2024-09-16,5.02547,5.20124
2024-09-17,5.03757,5.21298
2024-09-18,5.04045,5.21616
2024-09-19,5.03417,5.21396
2024-09-20,5.04767,5.22679
2024-09-21,4.999398,5.295878
2024-09-22,4.999398,5.295878
2024-09-23,5.05069,5.22544
2024-09-24,5.05056,5.22538
2024-09-25,5.07888,5.2546
2024-09-26,5.05506,5.23396
2024-09-27,5.06237,5.24171
2024-09-28,5.008516,5.303958
2024-09-29,5.008516,5.303958
2024-09-30,5.09158,5.26633
2024-10-01,5.04043,5.21539
2024-10-02,5.03733,5.21229
2024-10-03,5.00575,5.18478
2024-10-04,5.01391,5.19339
2024-10-05,4.938186,5.231501
2024-10-06,4.938186,5.231501
2024-10-07,5.00467,5.18016
2024-10-08,5.00953,5.18495
2024-10-09,4.9907,5.16595
2024-10-10,4.95809,5.13742
2024-10-11,4.97004,5.14877
2024-10-12,4.916436,5.207079
2024-10-13,4.916436,5.207079
2024-10-14,4.97077,5.14683
2024-10-15,4.9653,5.14004
2024-10-16,4.95051,5.12693
2024-10-17,4.92151,5.10257
2024-10-18,4.93955,5.11917
2024-10-19,4.876074,5.180496
2024-10-20,4.876074,5.180496
2024-10-21,4.93895,5.1139
2024-10-22,4.93287,5.10839
2024-10-23,4.91351,5.08918
2024-10-24,4.89965,5.07874
2024-10-25,4.9151,5.09597
2024-10-26,4.855888,5.149651
2024-10-27,4.855888,5.149651
2024-10-28,4.879776,5.155064
2024-10-29,4.871579,5.146408
2024-10-30,4.93494,5.10974
2024-10-31,4.93187,5.11098
2024-11-01,4.94668,5.12564
2024-11-02,4.883707,5.171386
2024-11-03,4.883707,5.171386
2024-11-04,4.98045,5.1554
2024-11-05,4.98221,5.15775
2024-11-06,4.87993,5.05589
2024-11-07,4.89665,5.07891
2024-11-08,4.91837,5.09778
2024-11-09,4.831474,5.117644
2024-11-10,4.831474,5.117644
2024-11-11,4.86959,5.0449
2024-11-12,4.85603,5.03104
2024-11-13,4.85135,5.02672
2024-11-14,4.78915,4.96809
2024-11-15,4.83232,5.01191
2024-11-16,4.76459,5.04759
2024-11-17,4.76459,5.04759
2024-11-18,4.8373,5.01245
2024-11-19,4.85303,5.02805
2024-11-20,4.83559,5.01053
2024-11-21,4.81286,4.99145
2024-11-22,4.77475,4.95426
2024-11-23,4.723851,5.01629
2024-11-24,4.723851,5.01629
2024-11-25,4.82188,4.99735
2024-11-26,4.83152,5.00825
2024-11-27,4.84133,5.0166
2024-11-28,4.84186,5.02196
2024-11-29,4.86311,5.0426
2024-11-30,4.81709,5.103999
2024-12-01,4.81709,5.103999
2024-12-02,4.8571,5.0321
2024-12-03,4.85975,5.03462
2024-12-04,4.85379,5.0286
2024-12-05,4.8491,5.02805
2024-12-06,4.88238,5.06112
2024-12-07,4.817624,5.113705
