zaman,alis,satis
2024-04-29,34.0545,35.6166
2024-04-30,34.07457,35.60972
2024-05-01,33.749654,35.98238
2024-05-02,33.91882,35.576212
2024-05-03,33.990295,35.607463
2024-05-04,33.677374,36.069927
2024-05-05,33.677374,36.069927
2024-05-06,34.17552,35.71281
2024-05-07,34.14689,35.711597
2024-05-08,34.111058,35.630867
2024-05-09,33.97969,35.538561
2024-05-10,33.86113,35.40943
2024-05-11,33.397976,35.873058
2024-05-12,33.397976,35.873058
2024-05-13,33.97102,35.49826
2024-05-14,34.05516,35.616872
2024-05-15,34.20993,35.74366
2024-05-16,34.17499,35.759314
2024-05-17,34.163,35.7133
2024-05-18,33.335111,36.448859
2024-05-19,33.335111,36.448859
2024-05-20,34.23076,35.75882
2024-05-21,34.22212,35.7493
2024-05-22,34.0769,35.6151
2024-05-23,34.15459,35.69679
2024-05-24,34.056319,35.63725
2024-05-25,33.69953,36.03082
2024-05-26,33.69953,36.03082
2024-05-27,34.19187,35.73568
2024-05-28,34.2664,35.801952
2024-05-29,34.17461,35.708816
2024-05-30,34.14942,35.678664
2024-05-31,34.11472,35.656402
2024-06-01,33.904461,35.788454
2024-06-02,33.904461,35.788454
2024-06-03,34.1452,35.684333
2024-06-04,34.4905,36.01696
2024-06-05,34.50282,36.02324
2024-06-06,34.2903,35.8096
2024-06-07,34.313485,35.8367
2024-06-08,33.743486,36.189491
2024-06-09,33.743486,36.189491
2024-06-10,34.11646,35.63572
2024-06-11,33.98621,35.50475
2024-06-12,34.0778,35.6052
2024-06-13,34.0223,35.61299
2024-06-14,33.95493,35.46511
2024-06-15,33.646169,36.114044
2024-06-16,33.646169,36.114044
2024-06-17,33.885096,36.101187
2024-06-18,33.63618,35.843475
2024-06-19,33.681245,35.896248
2024-06-20,34.38574,35.96524
2024-06-21,34.2039,35.8003
2024-06-22,33.6629,36.418155
2024-06-23,33.6629,36.418155
2024-06-24,34.52645,36.04485
2024-06-25,34.5262,36.0626
2024-06-26,34.42683,35.94602
2024-06-27,34.4834,36.0318
2024-06-28,34.32362,35.84641
2024-06-29,33.759425,36.290592
2024-06-30,33.759326,36.290592
2024-07-01,34.37117,35.89264
2024-07-02,34.3199,35.8568
2024-07-03,34.2517,35.7655
2024-07-04,34.36376,35.89836
2024-07-05,34.54642,36.06697
2024-07-06,34.027913,36.587633
2024-07-07,34.027913,36.587633
2024-07-08,34.681,36.2132
2024-07-09,34.6962,36.2294
2024-07-10,34.8803,36.3928
2024-07-11,34.9147,36.4279
2024-07-12,35.0762,36.5929
2024-07-13,34.738535,37.089098
2024-07-14,34.738535,37.089098
2024-07-15,34.831793,37.064757
2024-07-16,35.3038,36.8099
2024-07-17,35.4509,36.9587
2024-07-18,35.4194,36.9326
2024-07-19,35.1353,36.6476
2024-07-20,34.6236,37.0692
2024-07-21,34.6236,37.0692
2024-07-22,35.1593,36.6711
2024-07-23,35.0244,36.5395
2024-07-24,34.8882,36.4006
2024-07-25,35.132,36.6416
2024-07-26,34.9737,36.4876
2024-07-27,34.231655,37.112126
2024-07-28,34.231655,37.112126
2024-07-29,34.9917,36.5035
2024-07-30,35.0814,36.5976
2024-07-31,35.1775,36.6865
2024-08-01,34.9619,36.4686
2024-08-02,35.0868,36.5934
2024-08-03,34.980788,37.355233
