zaman,alis,satis
2024-04-29,39.9494,41.5582
2024-04-30,39.9464,41.4743
2024-05-01,39.552232,41.921261
2024-05-02,39.7768,41.433994
2024-05-03,39.8819,41.4858
2024-05-04,39.412444,41.930654
2024-05-05,39.412444,41.930654
2024-05-06,39.9829,41.5492
2024-05-07,39.906,41.4325
2024-05-08,39.7379,41.2621
2024-05-09,39.5572,41.142961
2024-05-10,39.5107,41.0633
2024-05-11,38.984249,41.608848
2024-05-12,38.984249,41.608848
2024-05-13,39.6269,41.1789
2024-05-14,39.7132,41.2699
2024-05-15,39.9259,41.5078
2024-05-16,39.8456,41.3688
2024-05-17,39.9832,41.5357
2024-05-18,39.594683,42.087083
2024-05-19,39.594683,42.087083
2024-05-20,40.1261,41.6582
2024-05-21,40.146,41.6669
2024-05-22,40.0977,41.6498
2024-05-23,40.1959,41.772031
2024-05-24,40.105953,41.6916
2024-05-25,39.75239,42.164045
2024-05-26,39.75239,42.164045
2024-05-27,40.2619,41.8161
2024-05-28,40.3494,41.9042
2024-05-29,40.29,41.8437
2024-05-30,40.2653,41.823483
2024-05-31,40.096663,41.6509
2024-06-01,40.156902,41.773
2024-06-02,40.156902,41.773
2024-06-03,40.2278,41.759
2024-06-04,40.5856,42.1403
2024-06-05,40.6771,42.2392
2024-06-06,40.365,41.9721
2024-06-07,40.4416,41.9845
2024-06-08,39.733976,42.387962
2024-06-09,39.733976,42.387962
2024-06-10,40.4417,42.0143
2024-06-11,40.4424,42.0185
2024-06-12,40.5047,42.0801
2024-06-13,40.2308,42.0457
2024-06-14,40.5204,42.0751
2024-06-15,40.130372,42.617434
2024-06-16,40.130372,42.617434
2024-06-17,40.230362,42.628443
2024-06-18,39.981476,42.357864
2024-06-19,40.035629,42.450784
2024-06-20,40.7782,42.444
2024-06-21,40.5778,42.2015
2024-06-22,40.180565,42.758834
2024-06-23,40.180565,42.758834
2024-06-24,40.8885,42.426
2024-06-25,41.0254,42.56
2024-06-26,40.8511,42.4299
2024-06-27,40.8968,42.4475
2024-06-28,40.7085,42.2578
2024-06-29,39.96029,42.670964
2024-06-30,39.96029,42.670964
2024-07-01,40.6274,42.1996
2024-07-02,40.558,42.1696
2024-07-03,40.5852,42.112
2024-07-04,40.6583,42.2906
2024-07-05,40.9646,42.5203
2024-07-06,40.51766,42.992346
2024-07-07,40.51766,42.992346
2024-07-08,41.1654,42.7499
2024-07-09,41.1827,42.7355
2024-07-10,41.3787,42.9422
2024-07-11,41.4896,42.9974
2024-07-12,41.8571,43.3731
2024-07-13,41.508749,44.004871
2024-07-14,41.508749,44.004871
2024-07-15,41.534786,43.898417
2024-07-16,42.0805,43.5859
2024-07-17,42.3989,43.9044
2024-07-18,42.1987,43.7066
2024-07-19,41.8388,43.3456
2024-07-20,41.2654,43.8805
2024-07-21,41.2654,43.8805
2024-07-22,41.9094,43.4156
2024-07-23,41.7459,43.256
2024-07-24,41.6808,43.188
2024-07-25,41.8295,43.337
2024-07-26,41.5876,43.0964
2024-07-27,40.715462,43.849836
2024-07-28,40.951181,43.656926
2024-07-29,41.6176,43.1228
2024-07-30,41.7647,43.2721
2024-07-31,41.8194,43.3262
2024-08-01,41.5569,43.0628
2024-08-02,41.4054,42.9116
2024-08-03,41.098097,43.722071
2024-08-04,41.098097,43.722071
2024-08-05,41.7858,43.2938
2024-08-06,41.8164,43.3352
2024-08-07,41.9393,43.4469
2024-08-08,41.7727,43.2818
2024-08-09,41.8936,43.4024
2024-08-10,40.886435,44.394529
2024-08-11,41.384999,43.929424
2024-08-12,42.0325,43.5393
2024-08-13,42.1612,43.6673
2024-08-14,42.3408,43.848
2024-08-15,42.5006,44.0101
2024-08-16,42.6195,44.1278
2024-08-17,42.272435,44.736616
2024-08-18,42.272435,44.736616
2024-08-19,42.9206,44.4294
2024-08-20,43.232,44.7407
2024-08-21,43.4547,44.9605
2024-08-22,43.7217,45.2284
2024-08-23,43.7804,45.2861
2024-08-24,43.528349,46.071028
2024-08-25,43.255208,46.062241
2024-08-26,44.0872,45.595
2024-08-27,44.2361,45.7419
2024-08-28,44.2233,45.7296
2024-08-29,43.9954,45.5037
2024-08-30,43.48667,45.889632
2024-08-31,43.200263,45.873472
2024-09-01,43.311341,45.745808
2024-09-02,43.8774,45.3848
2024-09-03,43.8462,45.3555
2024-09-04,43.8787,45.3861
2024-09-05,44.0107,45.5163
2024-09-06,43.8509,45.3672
2024-09-07,43.162445,45.82782
2024-09-08,43.255703,45.746212
2024-09-09,43.804,45.3158
2024-09-10,43.829,45.3388
2024-09-11,43.7699,45.2808
2024-09-12,43.5514,45.0615
2024-09-13,43.6871,45.2007
2024-09-14,43.141655,45.776411
2024-09-15,41.005136,46.298177
2024-09-16,44.1089,45.6193
2024-09-17,44.2256,45.7344
2024-09-18,44.2911,45.8001
2024-09-19,44.4368,45.9494
2024-09-20,44.4735,45.9851
2024-09-21,43.923161,46.830346
2024-09-22,43.927517,46.627134
2024-09-23,44.7145,46.2213
2024-09-24,44.8729,46.3822
2024-09-25,44.8825,46.3923
2024-09-26,44.9409,46.4505
2024-09-27,44.9005,46.4126
2024-09-28,44.253722,46.935386
2024-09-29,44.253722,46.935386
2024-09-30,45.087,46.5954
2024-10-01,44.7917,46.2991
2024-10-02,44.7109,46.2196
2024-10-03,44.0274,45.5351
2024-10-04,44.2506,45.7636
2024-10-05,43.496471,46.246061
2024-10-06,43.139972,46.372715
2024-10-07,44.0703,45.5783
2024-10-08,44.1437,45.6521
2024-10-09,44.0599,45.5682
2024-10-10,43.9574,45.4668
2024-10-11,43.8657,45.3788
2024-10-12,43.388759,45.93084
2024-10-13,43.388759,45.93084
2024-10-14,43.9612,45.4707
2024-10-15,44.0855,45.5941
2024-10-16,43.7673,45.2791
2024-10-17,43.6986,45.2112
2024-10-18,43.8767,45.3893
2024-10-19,43.166108,46.078805
2024-10-20,43.302233,45.932658
2024-10-21,43.8448,45.3527
2024-10-22,43.6777,45.1876
2024-10-23,43.683,45.1938
2024-10-24,43.6766,45.184
2024-10-25,43.6724,45.1845
2024-10-26,43.016123,45.666927
2024-10-27,43.147892,45.658039
2024-10-28,43.238477,45.638445
2024-10-29,43.264613,45.664503
2024-10-30,43.7171,45.226
2024-10-31,43.6734,45.182
2024-11-01,43.4668,44.9796
2024-11-02,41.76506,45.921649
2024-11-03,41.76506,45.921649
2024-11-04,43.792,45.2988
2024-11-05,43.8734,45.3823
2024-11-06,43.3228,44.8341
2024-11-07,43.4442,44.9522
2024-11-08,43.6635,45.1773
2024-11-09,42.625172,45.905388
2024-11-10,43.009589,45.46321
2024-11-11,43.5076,45.017
2024-11-12,43.342,44.8494
2024-11-13,43.0238,44.5318
2024-11-14,42.7011,44.2088
2024-11-15,42.8213,44.3329
2024-11-16,42.024539,44.72995
2024-11-17,42.024539,44.72995
2024-11-18,42.8241,44.3328
2024-11-19,42.9347,44.4429
2024-11-20,42.881,44.3888
2024-11-21,42.8527,44.3601
2024-11-22,42.3979,43.9107
2024-11-23,41.948507,44.538353
2024-11-24,41.616164,44.478056
2024-11-25,42.7229,44.2307
2024-11-26,42.8031,44.3108
2024-11-27,42.8529,44.3635
2024-11-28,43.0861,44.5944
2024-11-29,43.1727,44.6848
2024-11-30,42.539438,45.618952
2024-12-01,42.83822,45.316154
2024-12-02,43.3808,44.8891
2024-12-03,43.2589,44.7657
2024-12-04,43.2817,44.7888
2024-12-05,43.4282,44.9356
2024-12-06,43.5463,45.0567
2024-12-07,42.764267,45.58037
2024-12-08,42.795056,45.660362
2024-12-09,43.7264,45.2325
2024-12-10,43.7028,45.2086
2024-12-11,43.6362,45.1429
2024-12-12,43.6982,45.2057
2024-12-13,43.3522,44.8629
2024-12-14,42.764762,45.239091
2024-12-15,42.764762,45.239091
2024-12-16,43.477,44.983
2024-12-17,43.6724,45.1785
2024-12-18,43.755,45.2609
2024-12-19,43.5627,45.0699
2024-12-20,43.1493,44.6602
2024-12-21,42.808124,45.469068
2024-12-22,42.808124,45.469068
2024-12-23,43.3863,44.8923
2024-12-24,43.3661,44.8745
2024-12-25,43.4758,45.018
2024-12-26,43.3647,44.8848
2024-12-27,43.3398,44.8512
2024-12-28,41.917916,46.14395
2024-12-29,41.917916,46.14395
2024-12-30,43.7536,45.261
2024-12-31,43.5139,45.0242
2025-01-01,42.920786,45.511892
2025-01-02,43.1892,44.6963
2025-01-03,43.0159,44.5268
2025-01-04,42.210263,45.355241
2025-01-05,42.636062,45.103246
2025-01-06,43.5583,45.0659
2025-01-07,43.6642,45.1711
2025-01-08,42.9425,44.4491
2025-01-09,42.7052,44.2123
2025-01-10,42.7305,44.2421
