zaman,alis,satis
2024-04-29,20.4169,21.3305
2024-04-30,20.36813,21.27916
2024-05-01,20.194797,21.52671
2024-05-02,20.7711,21.722081
2024-05-03,20.8381,21.7591
2024-05-04,20.678165,22.085866
2024-05-05,20.678165,22.085866
2024-05-06,20.7811,21.696
2024-05-07,20.6874,21.5967
2024-05-08,20.5502,21.4605
2024-05-09,20.4107,21.3263
2024-05-10,20.4365,21.3556
2024-05-11,20.143842,21.758848
2024-05-12,20.143842,21.758848
2024-05-13,20.47618,21.39022
2024-05-14,20.42733,21.3423
2024-05-15,20.5358,21.4609
2024-05-16,20.5129,21.4269
2024-05-17,20.4485,21.3683
2024-05-18,20.217013,21.601874
2024-05-19,20.217013,21.601874
2024-05-20,20.48696,21.40255
2024-05-21,20.393,21.3055
2024-05-22,20.3465,21.2576
2024-05-23,20.2668,21.1908
2024-05-24,20.2792,21.197
2024-05-25,20.043594,21.4095
2024-05-26,20.043594,21.4095
2024-05-27,20.32373,21.24077
2024-05-28,20.3219,21.2321
2024-05-29,20.29798,21.21341
2024-05-30,20.32,21.2384
2024-05-31,20.2351,21.1519
2024-06-01,20.17408,21.21769
2024-06-02,20.17408,21.21769
2024-06-03,20.3392,21.2481
2024-06-04,20.7043,21.6226
2024-06-05,20.5755,21.487
2024-06-06,20.44441,21.37081
2024-06-07,20.4753,21.396
2024-06-08,20.115092,21.603591
2024-06-09,20.115092,21.603581
2024-06-10,20.48866,21.40673
2024-06-11,20.4065,21.3164
2024-06-12,20.3692,21.2807
2024-06-13,20.2016,21.1268
2024-06-14,20.45894,21.38479
2024-06-15,20.270661,21.692441
2024-06-16,20.270651,21.692441
2024-06-17,20.293995,21.642557
2024-06-18,20.117478,21.456717
2024-06-19,20.106182,21.44489
2024-06-20,20.4398,21.3844
2024-06-21,20.3788,21.3284
2024-06-22,20.074868,21.503228
2024-06-23,20.074868,21.503228
2024-06-24,20.4387,21.35529
2024-06-25,20.4526,21.3672
2024-06-26,20.3381,21.252
2024-06-27,20.33551,21.2555
2024-06-28,20.22374,21.15141
2024-06-29,19.843298,21.322488
2024-06-30,19.843298,21.322488
2024-07-01,20.0803,20.9959
2024-07-02,20.0246,20.9334
2024-07-03,19.9131,20.82546
2024-07-04,19.9612,20.8804
2024-07-05,20.0739,20.9888
2024-07-06,19.824191,21.222023
2024-07-07,19.824191,21.222023
2024-07-08,20.1155,21.0287
2024-07-09,20.1441,21.0541
2024-07-10,20.1802,21.0921
2024-07-11,20.21525,21.13642
2024-07-12,20.4733,21.4038
2024-07-13,20.422715,21.832275
2024-07-14,20.422715,21.832275
2024-07-15,20.418735,21.757899
2024-07-16,20.70722,21.62011
2024-07-17,20.97409,21.88683
2024-07-18,20.8873,21.8071
2024-07-19,20.74754,21.67004
2024-07-20,20.70283,21.70252
2024-07-21,20.70283,21.70252
2024-07-22,20.85668,21.77131
2024-07-23,20.90621,21.82363
2024-07-24,21.10737,22.02233
