zaman,alis,satis
2024-04-29,2.9083,3.0224
2024-04-30,2.9009,3.0144
2024-05-01,2.873968,3.045967
2024-05-02,2.8899,3.008516
2024-05-03,2.9269,3.0423
2024-05-04,2.905856,3.093538
2024-05-05,2.905856,3.093538
2024-05-06,2.9379,3.0742
2024-05-07,2.9413,3.055
2024-05-08,2.9245,3.0381
2024-05-09,2.9146,3.0301
2024-05-10,2.9303,3.0683
2024-05-11,2.892719,3.116687
2024-05-12,2.892719,3.116687
2024-05-13,2.9465,3.0601
2024-05-14,2.9573,3.0708
2024-05-15,2.9729,3.0872
2024-05-16,2.9705,3.086
2024-05-17,2.9729,3.0887
2024-05-18,2.946436,3.142523
2024-05-19,2.946436,3.142523
2024-05-20,2.9879,3.1015
2024-05-21,2.9917,3.1056
2024-05-22,2.9769,3.09
2024-05-23,2.9918,3.1078
2024-05-24,3.0055,3.1208
2024-05-25,2.975215,3.163036
2024-05-26,2.975215,3.163036
2024-05-27,3.0319,3.1455
2024-05-28,3.0435,3.1571
2024-05-29,3.0339,3.1473
2024-05-30,3.0176,3.1521
2024-05-31,3.0377,3.1533
2024-06-01,3.02471,3.16581
2024-06-02,3.02471,3.16581
2024-06-03,3.0399,3.1535
2024-06-04,3.0404,3.1545
2024-06-05,3.0413,3.155
2024-06-06,3.0116,3.133
2024-06-07,3.0251,3.1405
2024-06-08,2.945575,3.147411
2024-06-09,2.945575,3.147411
2024-06-10,2.9987,3.1122
2024-06-11,2.9943,3.1082
2024-06-12,3.0083,3.1216
2024-06-13,2.9976,3.1159
2024-06-14,3.0097,3.1461
2024-06-15,2.986531,3.187306
2024-06-16,2.986531,3.187306
2024-06-17,2.992273,3.171712
2024-06-18,2.979799,3.158279
2024-06-19,3.0094,3.188377
2024-06-20,3.0786,3.1976
2024-06-21,3.0774,3.1957
2024-06-22,3.03709,3.231989
2024-06-23,3.03709,3.231989
2024-06-24,3.0846,3.1985
2024-06-25,3.0845,3.1982
2024-06-26,3.0623,3.1761
2024-06-27,3.0585,3.1718
2024-06-28,3.0517,3.168
2024-06-29,2.984036,3.197588
2024-06-30,2.984036,3.197588
2024-07-01,3.046,3.1597
2024-07-02,3.0303,3.1434
2024-07-03,3.0308,3.1447
2024-07-04,3.0513,3.1674
2024-07-05,3.0451,3.1792
2024-07-06,3.025923,3.217505
2024-07-07,3.025923,3.217505
2024-07-08,3.0526,3.1848
2024-07-09,3.0574,3.1713
2024-07-10,3.0469,3.1604
2024-07-11,3.0163,3.1304
2024-07-12,3.0355,3.1523
2024-07-13,3.007895,3.198538
2024-07-14,3.007895,3.198538
2024-07-15,3.001975,3.179893
2024-07-16,3.0315,3.1445
2024-07-17,3.0517,3.1649
2024-07-18,3.0454,3.1608
2024-07-19,3.009,3.1242
2024-07-20,2.98631,3.11669
2024-07-21,2.98631,3.11669
2024-07-22,2.99288,3.10678
2024-07-23,2.9623,3.0758
2024-07-24,2.953,3.0668
2024-07-25,2.9409,3.0567
2024-07-26,2.9669,3.0822
2024-07-27,2.920983,3.109779
2024-07-28,2.920983,3.109779
2024-07-29,2.9733,3.0865
2024-07-30,2.9879,3.1014
2024-07-31,3.0157,3.1292
2024-08-01,3.0027,3.118
2024-08-02,2.9835,3.0992
2024-08-03,2.967404,3.156885
2024-08-04,2.967404,3.156885
2024-08-05,2.9913,3.1056
2024-08-06,3.0,3.1353
2024-08-07,3.0869,3.2009
2024-08-08,3.0467,3.1625
2024-08-09,3.0586,3.1745
2024-08-10,3.029507,3.222202
2024-08-11,3.029507,3.222202
2024-08-12,3.0821,3.1959
2024-08-13,3.0805,3.1937
2024-08-14,3.1038,3.2367
2024-08-15,3.1156,3.231
2024-08-16,3.096,3.2121
2024-08-17,3.087719,3.276813
2024-08-18,3.087719,3.276813
2024-08-19,3.1237,3.2562
2024-08-20,3.1799,3.2933
2024-08-21,3.1979,3.3117
2024-08-22,3.1784,3.2941
2024-08-23,3.1701,3.2859
2024-08-24,3.179799,3.37149
2024-08-25,3.179799,3.37149
2024-08-26,3.1955,3.3091
2024-08-27,3.2105,3.3242
2024-08-28,3.189273,3.335145
2024-08-29,3.2132,3.33
2024-08-30,3.165721,3.346442
2024-08-31,3.136734,3.326969
2024-09-01,3.136734,3.326969
2024-09-02,3.1808,3.2943
2024-09-03,3.1572,3.2708
2024-09-04,3.159,3.2726
2024-09-05,3.167,3.2821
2024-09-06,3.1649,3.2801
2024-09-07,3.095867,3.298386
2024-09-08,3.095867,3.298386
2024-09-09,3.1196,3.2328
2024-09-10,3.1278,3.241
2024-09-11,3.1069,3.2393
2024-09-12,3.1005,3.2164
2024-09-13,3.1398,3.2551
2024-09-14,3.112548,3.30682
2024-09-15,3.112548,3.30682
2024-09-16,3.1822,3.2955
2024-09-17,3.1873,3.3009
2024-09-18,3.1919,3.3055
2024-09-19,3.2183,3.334
2024-09-20,3.2059,3.3212
2024-09-21,3.182274,3.375682
2024-09-22,3.182274,3.375682
2024-09-23,3.2237,3.3368
2024-09-24,3.2427,3.356
2024-09-25,3.2296,3.3625
2024-09-26,3.1994,3.3146
2024-09-27,3.1919,3.3288
2024-09-28,3.186561,3.37649
2024-09-29,3.186561,3.37649
2024-09-30,3.2209,3.3342
2024-10-01,3.1999,3.3133
2024-10-02,3.2196,3.3331
2024-10-03,3.1844,3.2996
2024-10-04,3.1984,3.3144
2024-10-05,3.145911,3.337544
2024-10-06,3.145911,3.337544
2024-10-07,3.1976,3.3108
2024-10-08,3.1953,3.309
2024-10-09,3.1533,3.2669
2024-10-10,3.1346,3.2497
2024-10-11,3.1569,3.2722
2024-10-12,3.132368,3.325101
2024-10-13,3.132368,3.325101
2024-10-14,3.143,3.2752
2024-10-15,3.1325,3.2684
2024-10-16,3.1142,3.2482
2024-10-17,3.0813,3.2161
2024-10-18,3.1203,3.2356
2024-10-19,3.061236,3.258754
2024-10-20,3.061236,3.258754
2024-10-21,3.1129,3.2261
2024-10-22,3.0932,3.2279
2024-10-23,3.0908,3.2043
2024-10-24,3.0951,3.2105
2024-10-25,3.1012,3.2176
2024-10-26,3.056435,3.245755
2024-10-27,3.056435,3.245755
2024-10-28,3.05296,3.228979
2024-10-29,3.068899,3.244432
2024-10-30,3.1042,3.2171
2024-10-31,3.08,3.1959
2024-11-01,3.0763,3.1916
2024-11-02,3.03717,3.222959
2024-11-03,3.03717,3.222959
2024-11-04,3.1076,3.2209
2024-11-05,3.1074,3.221
2024-11-06,3.0442,3.17003
2024-11-07,3.0888,3.205
2024-11-08,3.1178,3.233
2024-11-09,3.052891,3.24014
2024-11-10,3.052891,3.24014
2024-11-11,3.0786,3.1921
2024-11-12,3.0828,3.1959
2024-11-13,3.0753,3.1884
2024-11-14,3.0401,3.1552
2024-11-15,3.0757,3.1911
2024-11-16,3.03909,3.225919
2024-11-17,3.03909,3.225919
2024-11-18,3.0824,3.196
2024-11-19,3.1034,3.2199
2024-11-20,3.0914,3.2071
2024-11-21,3.09,3.205
2024-11-22,3.0805,3.1963
2024-11-23,3.053297,3.245503
2024-11-24,3.053297,3.245503
2024-11-25,3.0991,3.213
2024-11-26,3.08699,3.20163
2024-11-27,3.0873,3.2006
2024-11-28,3.0974,3.216
2024-11-29,3.10105,3.21664
2024-11-30,3.071018,3.264824
2024-12-01,3.071018,3.264824
2024-12-02,3.1053,3.2191
2024-12-03,3.1135,3.227
2024-12-04,3.1126,3.226
2024-12-05,3.1079,3.223
2024-12-06,3.1061,3.2213
2024-12-07,3.045565,3.238362
2024-12-08,3.045565,3.238362
2024-12-09,3.1054,3.2216
2024-12-10,3.1058,3.2214
2024-12-11,3.0805,3.2195
2024-12-12,3.1129,3.2266
2024-12-13,3.1035,3.2368
2024-12-14,3.07081,3.257007
2024-12-15,3.07081,3.257007
2024-12-16,3.0976,3.2109
2024-12-17,3.0941,3.2075
2024-12-18,3.0933,3.2067
2024-12-19,3.0539,3.1689
2024-12-20,3.0444,3.1599
2024-12-21,3.04804,3.244907
2024-12-22,3.04804,3.244907
2024-12-23,3.0714,3.1872
2024-12-24,3.0511,3.1694
2024-12-25,3.03742,3.28943
2024-12-26,3.0576,3.1743
2024-12-27,3.0685,3.1843
2024-12-28,3.007311,3.225404
2024-12-29,3.007311,3.225404
2024-12-30,3.0782,3.1939
2024-12-31,3.0883,3.2039
2025-01-01,3.009638,3.229565
2025-01-02,3.0727,3.1881
2025-01-03,3.0751,3.1911
2025-01-04,3.043426,3.231504
2025-01-05,3.043426,3.231504
2025-01-06,3.1099,3.2316
2025-01-07,3.1036,3.2348
2025-01-08,3.0711,3.1855
2025-01-09,3.06974,3.18536
2025-01-10,3.0697,3.1877
2025-01-11,3.01734,3.21092
2025-01-12,3.01734,3.21092
2025-01-13,3.0636,3.177
2025-01-14,3.0832,3.1963
2025-01-15,3.0957,3.2113
2025-01-16,3.0755,3.1918
2025-01-17,3.0856,3.2012
2025-01-18,3.016578,3.222667
2025-01-19,3.016578,3.222667
2025-01-20,3.0861,3.2022
2025-01-21,3.0895,3.2035
